Data from azuriteWhite_Reflection__3__08.txt Node;
"Date: Thu Sep 11 15:28:18 CEST 2025 User: sycur";
186,01;309,24
186,281;232,83
186,552;145,7
186,822;-10,38
187,093;0
187,364;-127,25
187,635;-113,91
187,905;46,91
188,176;18,36
188,447;18,33
188,717;13,28
188,988;12,65
189,258;11,4
189,529;14,98
189,8;16,35
190,07;16,2
190,341;15,14
190,611;10,94
190,882;12,17
191,152;11,08
191,423;9,56
191,693;9,39
191,964;9,63
192,234;10,22
192,505;9,96
192,775;10,18
193,045;9,11
193,316;8,34
193,586;8,21
193,856;7,69
194,127;7,95
194,397;8,24
194,667;9,39
194,938;8,41
195,208;8,33
195,478;6,92
195,748;6,91
196,019;6,81
196,289;7,39
196,559;7,04
196,829;6,96
197,099;6,88
197,37;6,47
197,64;5,98
197,91;5,98
198,18;5,94
198,45;5,61
198,72;5,85
198,99;6,03
199,26;5,9
199,53;6,17
199,8;5,91
200,07;5,61
200,34;5,3
200,61;5,81
200,88;5,77
201,15;6,33
201,42;5,9
201,69;5,67
201,96;5,55
202,23;5,49
202,499;5,25
202,769;5,68
203,039;5,72
203,309;6,05
203,579;5,88
203,849;5,71
204,118;5,72
204,388;5,71
204,658;5,45
204,927;5,45
205,197;5,44
205,467;5,32
205,736;5,31
206,006;5,17
206,276;4,99
206,545;4,94
206,815;4,83
207,085;4,78
207,354;4,86
207,624;4,81
207,893;4,61
208,163;4,69
208,432;4,39
208,702;4,22
208,971;4,07
209,241;4,02
209,51;3,95
209,78;3,92
210,049;3,86
210,318;3,91
210,588;3,9
210,857;3,81
211,127;3,72
211,396;3,75
211,665;3,74
211,935;3,71
212,204;3,63
212,473;3,49
212,742;3,57
213,012;3,37
213,281;3,28
213,55;3,37
213,819;3,21
214,088;3,21
214,358;3,24
214,627;3,27
214,896;3,1
215,165;3,07
215,434;3,03
215,703;3,08
215,972;2,96
216,241;2,89
216,51;2,92
216,779;2,9
217,048;2,82
217,317;2,79
217,586;2,72
217,855;2,68
218,124;2,75
218,393;2,69
218,662;2,77
218,931;2,76
219,2;2,72
219,469;2,72
219,738;2,67
220,006;2,63
220,275;2,6
220,544;2,69
220,813;2,64
221,082;2,61
221,35;2,53
221,619;2,54
221,888;2,53
222,157;2,51
222,425;2,49
222,694;2,47
222,963;2,42
223,231;2,42
223,5;2,45
223,769;2,43
224,037;2,42
224,306;2,43
224,574;2,41
224,843;2,39
225,111;2,41
225,38;2,42
225,648;2,42
225,917;2,38
226,185;2,36
226,454;2,36
226,722;2,35
226,991;2,34
227,259;2,33
227,528;2,31
227,796;2,28
228,064;2,27
228,333;2,25
228,601;2,27
228,869;2,26
229,138;2,21
229,406;2,19
229,674;2,19
229,942;2,18
230,211;2,18
230,479;2,18
230,747;2,14
231,015;2,15
231,283;2,14
231,552;2,15
231,82;2,12
232,088;2,11
232,356;2,09
232,624;2,07
232,892;2,08
233,16;2,07
233,428;2,06
233,696;2,05
233,964;2,05
234,232;2,02
234,5;2,01
234,768;2,02
235,036;2,01
235,304;1,99
235,572;1,97
235,84;1,96
236,108;1,95
236,376;1,95
236,644;1,93
236,912;1,9
237,179;1,88
237,447;1,88
237,715;1,88
237,983;1,87
238,251;1,88
238,518;1,86
238,786;1,86
239,054;1,85
239,322;1,83
239,589;1,84
239,857;1,84
240,125;1,83
240,392;1,83
240,66;1,82
240,927;1,81
241,195;1,82
241,463;1,82
241,73;1,82
241,998;1,81
242,265;1,8
242,533;1,8
242,8;1,82
243,068;1,81
243,335;1,82
243,603;1,82
243,87;1,81
244,138;1,81
244,405;1,81
244,672;1,82
244,94;1,82
245,207;1,81
245,474;1,82
245,742;1,81
246,009;1,81
246,276;1,82
246,544;1,81
246,811;1,81
247,078;1,82
247,345;1,8
247,613;1,8
247,88;1,8
248,147;1,8
248,414;1,79
248,681;1,78
248,948;1,78
249,215;1,78
249,483;1,78
249,75;1,79
250,017;1,78
250,284;1,77
250,551;1,77
250,818;1,77
251,085;1,76
251,352;1,75
251,619;1,74
251,886;1,74
252,153;1,75
252,42;1,74
252,687;1,73
252,953;1,74
253,22;1,74
253,487;1,76
253,754;1,76
254,021;1,75
254,288;1,75
254,555;1,75
254,821;1,75
255,088;1,75
255,355;1,75
255,622;1,75
255,888;1,75
256,155;1,76
256,422;1,75
256,688;1,75
256,955;1,76
257,222;1,77
257,488;1,76
257,755;1,76
258,022;1,77
258,288;1,77
258,555;1,76
258,821;1,77
259,088;1,76
259,354;1,76
259,621;1,76
259,887;1,76
260,154;1,76
260,42;1,75
260,687;1,75
260,953;1,75
261,219;1,74
261,486;1,74
261,752;1,74
262,019;1,74
262,285;1,74
262,551;1,73
262,818;1,74
263,084;1,74
263,35;1,74
263,616;1,74
263,883;1,74
264,149;1,74
264,415;1,73
264,681;1,74
264,947;1,74
265,214;1,74
265,48;1,74
265,746;1,74
266,012;1,75
266,278;1,75
266,544;1,75
266,81;1,77
267,076;1,76
267,342;1,76
267,608;1,77
267,874;1,77
268,14;1,77
268,406;1,77
268,672;1,76
268,938;1,76
269,204;1,76
269,47;1,75
269,736;1,75
270,002;1,75
270,268;1,75
270,533;1,74
270,799;1,74
271,065;1,74
271,331;1,73
271,597;1,73
271,862;1,72
272,128;1,71
272,394;1,72
272,66;1,72
272,925;1,71
273,191;1,7
273,457;1,7
273,722;1,69
273,988;1,67
274,254;1,68
274,519;1,68
274,785;1,68
275,05;1,67
275,316;1,68
275,582;1,67
275,847;1,67
276,113;1,67
276,378;1,67
276,644;1,67
276,909;1,66
277,174;1,66
277,44;1,67
277,705;1,67
277,971;1,67
278,236;1,66
278,501;1,66
278,767;1,66
279,032;1,66
279,297;1,67
279,563;1,68
279,828;1,67
280,093;1,67
280,358;1,67
280,624;1,67
280,889;1,67
281,154;1,68
281,419;1,68
281,684;1,67
281,95;1,67
282,215;1,68
282,48;1,69
282,745;1,69
283,01;1,68
283,275;1,67
283,54;1,67
283,805;1,67
284,07;1,67
284,335;1,67
284,6;1,66
284,865;1,66
285,13;1,66
285,395;1,66
285,66;1,66
285,925;1,65
286,19;1,65
286,455;1,63
286,72;1,62
286,985;1,62
287,249;1,62
287,514;1,63
287,779;1,63
288,044;1,64
288,309;1,64
288,573;1,65
288,838;1,64
289,103;1,64
289,367;1,65
289,632;1,64
289,897;1,65
290,161;1,65
290,426;1,65
290,691;1,65
290,955;1,65
291,22;1,65
291,484;1,65
291,749;1,65
292,014;1,66
292,278;1,67
292,543;1,66
292,807;1,67
293,072;1,66
293,336;1,66
293,6;1,65
293,865;1,64
294,129;1,64
294,394;1,64
294,658;1,64
294,922;1,64
295,187;1,63
295,451;1,63
295,715;1,64
295,98;1,64
296,244;1,63
296,508;1,63
296,773;1,63
297,037;1,63
297,301;1,63
297,565;1,63
297,829;1,62
298,094;1,63
298,358;1,63
298,622;1,62
298,886;1,61
299,15;1,61
299,414;1,62
299,678;1,62
299,942;1,62
300,206;1,62
300,47;1,62
300,734;1,62
300,998;1,61
301,262;1,61
301,526;1,61
301,79;1,61
302,054;1,61
302,318;1,61
302,582;1,6
302,846;1,61
303,11;1,61
303,374;1,61
303,637;1,6
303,901;1,6
304,165;1,6
304,429;1,6
304,693;1,6
304,956;1,58
305,22;1,58
305,484;1,57
305,747;1,57
306,011;1,56
306,275;1,56
306,538;1,56
306,802;1,55
307,066;1,55
307,329;1,55
307,593;1,55
307,856;1,55
308,12;1,54
308,384;1,53
308,647;1,52
308,911;1,52
309,174;1,52
309,438;1,52
309,701;1,53
309,964;1,52
310,228;1,52
310,491;1,54
310,755;1,53
311,018;1,53
311,281;1,53
311,545;1,53
311,808;1,53
312,071;1,53
312,335;1,53
312,598;1,52
312,861;1,53
313,124;1,53
313,388;1,53
313,651;1,54
313,914;1,54
314,177;1,54
314,44;1,53
314,704;1,54
314,967;1,53
315,23;1,52
315,493;1,52
315,756;1,51
316,019;1,51
316,282;1,51
316,545;1,51
316,808;1,51
317,071;1,52
317,334;1,53
317,597;1,53
317,86;1,53
318,123;1,53
318,386;1,53
318,649;1,52
318,912;1,51
319,175;1,51
319,437;1,51
319,7;1,52
319,963;1,52
320,226;1,52
320,489;1,52
320,751;1,53
321,014;1,53
321,277;1,54
321,54;1,53
321,802;1,52
322,065;1,52
322,328;1,51
322,59;1,52
322,853;1,51
323,116;1,5
323,378;1,5
323,641;1,5
323,903;1,49
324,166;1,49
324,428;1,5
324,691;1,5
324,953;1,51
325,216;1,51
325,478;1,5
325,741;1,5
326,003;1,51
326,266;1,5
326,528;1,5
326,791;1,5
327,053;1,5
327,315;1,49
327,578;1,49
327,84;1,48
328,102;1,48
328,365;1,47
328,627;1,48
328,889;1,47
329,151;1,48
329,414;1,48
329,676;1,48
329,938;1,47
330,2;1,46
330,462;1,46
330,725;1,46
330,987;1,46
331,249;1,46
331,511;1,46
331,773;1,46
332,035;1,46
332,297;1,46
332,559;1,47
332,821;1,49
333,083;1,49
333,345;1,51
333,607;1,51
333,869;1,51
334,131;1,51
334,393;1,51
334,655;1,5
334,917;1,49
335,179;1,48
335,44;1,48
335,702;1,47
335,964;1,47
336,226;1,46
336,488;1,46
336,749;1,47
337,011;1,46
337,273;1,48
337,535;1,47
