Data from azuriteWhite_Reflection__4__09.txt Node;
"Date: Thu Sep 11 15:29:32 CEST 2025 User: sycur";
186,01;-1728,55
186,281;1391,7
186,552;247,74
186,822;136,5
187,093;0
187,364;-18,17
187,635;-32,1
187,905;49,42
188,176;30,68
188,447;32,5
188,717;24,56
188,988;23,3
189,258;23,7
189,529;24,44
189,8;23,85
190,07;23,8
190,341;23,14
190,611;18,29
190,882;16,38
191,152;16,12
191,423;17,39
191,693;17,14
191,964;16,56
192,234;15,69
192,505;14,54
192,775;14,26
193,045;13,29
193,316;12,76
193,586;11,74
193,856;11,26
194,127;11
194,397;11,26
194,667;11,63
194,938;10,18
195,208;10,19
195,478;9,75
195,748;9,58
196,019;9,72
196,289;10,44
196,559;10,59
196,829;10,1
197,099;9,54
197,37;9,27
197,64;8,68
197,91;8,65
198,18;8,52
198,45;8,54
198,72;8,88
198,99;9,05
199,26;9,15
199,53;9,07
199,8;8,7
200,07;8,44
200,34;8,02
200,61;8,41
200,88;8,46
201,15;8,39
201,42;8,14
201,69;7,94
201,96;7,81
202,23;7,7
202,499;7,4
202,769;7,47
203,039;7,69
203,309;7,98
203,579;7,68
203,849;7,74
204,118;7,6
204,388;7,4
204,658;7,14
204,927;7,01
205,197;7,01
205,467;6,81
205,736;6,75
206,006;6,64
206,276;6,58
206,545;6,29
206,815;6,3
207,085;6,1
207,354;6,12
207,624;6,19
207,893;6,15
208,163;6,3
208,432;6,07
208,702;5,92
208,971;5,78
209,241;5,87
209,51;5,72
209,78;5,55
210,049;5,45
210,318;5,37
210,588;5,43
210,857;5,25
211,127;5,19
211,396;5,11
211,665;5,06
211,935;5,1
212,204;5,13
212,473;5,02
212,742;5,2
213,012;5,07
213,281;4,87
213,55;4,77
213,819;4,55
214,088;4,51
214,358;4,41
214,627;4,38
214,896;4,27
215,165;4,28
215,434;4,26
215,703;4,28
215,972;4,19
216,241;4,14
216,51;4,22
216,779;4,19
217,048;4,15
217,317;4,08
217,586;3,98
217,855;3,9
218,124;3,91
218,393;3,82
218,662;3,78
218,931;3,73
219,2;3,73
219,469;3,76
219,738;3,73
220,006;3,76
220,275;3,72
220,544;3,69
220,813;3,64
221,082;3,65
221,35;3,63
221,619;3,6
221,888;3,61
222,157;3,58
222,425;3,56
222,694;3,49
222,963;3,48
223,231;3,45
223,5;3,44
223,769;3,42
224,037;3,41
224,306;3,44
224,574;3,46
224,843;3,42
225,111;3,37
225,38;3,34
225,648;3,29
225,917;3,26
226,185;3,26
226,454;3,19
226,722;3,13
226,991;3,11
227,259;3,1
227,528;3,06
227,796;2,99
228,064;2,96
228,333;2,97
228,601;2,95
228,869;2,91
229,138;2,89
229,406;2,86
229,674;2,85
229,942;2,82
230,211;2,83
230,479;2,82
230,747;2,81
231,015;2,8
231,283;2,8
231,552;2,8
231,82;2,77
232,088;2,77
232,356;2,78
232,624;2,77
232,892;2,76
233,16;2,75
233,428;2,76
233,696;2,75
233,964;2,74
234,232;2,73
234,5;2,72
234,768;2,72
235,036;2,73
235,304;2,71
235,572;2,69
235,84;2,66
236,108;2,66
236,376;2,66
236,644;2,67
236,912;2,65
237,179;2,63
237,447;2,62
237,715;2,63
237,983;2,62
238,251;2,62
238,518;2,61
238,786;2,62
239,054;2,61
239,322;2,59
239,589;2,59
239,857;2,58
240,125;2,57
240,392;2,57
240,66;2,55
240,927;2,52
241,195;2,52
241,463;2,52
241,73;2,51
241,998;2,49
242,265;2,46
242,533;2,46
242,8;2,47
243,068;2,46
243,335;2,44
243,603;2,44
243,87;2,43
244,138;2,42
244,405;2,41
244,672;2,42
244,94;2,42
245,207;2,41
245,474;2,42
245,742;2,42
246,009;2,41
246,276;2,41
246,544;2,41
246,811;2,41
247,078;2,41
247,345;2,41
247,613;2,4
247,88;2,41
248,147;2,4
248,414;2,39
248,681;2,38
248,948;2,39
249,215;2,39
249,483;2,38
249,75;2,38
250,017;2,36
250,284;2,35
250,551;2,35
250,818;2,35
251,085;2,34
251,352;2,33
251,619;2,32
251,886;2,32
252,153;2,32
252,42;2,32
252,687;2,31
252,953;2,31
253,22;2,32
253,487;2,33
253,754;2,33
254,021;2,31
254,288;2,32
254,555;2,31
254,821;2,3
255,088;2,3
255,355;2,3
255,622;2,3
255,888;2,29
256,155;2,28
256,422;2,28
256,688;2,27
256,955;2,26
257,222;2,26
257,488;2,25
