Data from azuriteWhite_Reflection__0__05.txt Node;
"Date: Thu Sep 11 15:25:19 CEST 2025 User: sycur";
186,01;-1813,66
186,281;1136,23
186,552;323,51
186,822;81,59
187,093;0
187,364;-411,25
187,635;-82,44
187,905;74,39
188,176;36,64
188,447;31,76
188,717;22,6
188,988;21,52
189,258;23,18
189,529;22,61
189,8;23,37
190,07;22,84
190,341;24,51
190,611;21,91
190,882;20,2
191,152;18,92
191,423;18,59
191,693;18,7
191,964;17,75
192,234;17,93
192,505;17,08
192,775;17,28
193,045;16,12
193,316;16,37
193,586;15,87
193,856;15,14
194,127;15,4
194,397;15,73
194,667;15,87
194,938;15,05
195,208;15,73
195,478;15,15
195,748;15,42
196,019;15,28
196,289;15,68
196,559;15,86
196,829;15,65
197,099;15,26
197,37;15,05
197,64;14,47
197,91;14,27
198,18;13,75
198,45;13,17
198,72;12,99
198,99;12,57
199,26;12,38
199,53;12,5
199,8;11,95
200,07;12
200,34;11,47
200,61;11,36
200,88;10,89
201,15;11,34
201,42;10,63
201,69;10,24
201,96;9,97
202,23;9,8
202,499;9,73
202,769;9,73
203,039;9,59
203,309;9,88
203,579;9,76
203,849;9,71
204,118;9,57
204,388;9,47
204,658;9,42
204,927;9,4
205,197;9,24
205,467;9,07
205,736;8,9
206,006;8,96
206,276;8,78
206,545;8,67
206,815;8,37
207,085;8,34
207,354;8,41
207,624;8,39
207,893;8,13
208,163;8,13
208,432;8,04
208,702;7,94
208,971;7,71
209,241;7,59
209,51;7,57
209,78;7,6
210,049;7,61
210,318;7,54
210,588;7,42
210,857;7,36
211,127;7,22
211,396;7,15
211,665;7,03
211,935;7,03
212,204;6,98
212,473;6,88
212,742;6,88
213,012;6,66
213,281;6,53
213,55;6,6
213,819;6,41
214,088;6,35
214,358;6,37
214,627;6,34
214,896;6,27
215,165;6,1
215,434;6,06
215,703;6,04
215,972;5,88
216,241;5,82
216,51;5,83
216,779;5,88
217,048;5,86
217,317;5,79
217,586;5,73
217,855;5,64
218,124;5,6
218,393;5,59
218,662;5,59
218,931;5,54
219,2;5,51
219,469;5,55
219,738;5,52
220,006;5,41
220,275;5,34
220,544;5,27
220,813;5,27
221,082;5,24
221,35;5,2
221,619;5,23
221,888;5,25
222,157;5,22
222,425;5,13
222,694;5,07
222,963;5,06
223,231;5,03
223,5;5,05
223,769;5,05
224,037;5
224,306;5,02
224,574;4,99
224,843;4,95
225,111;4,91
225,38;4,89
225,648;4,91
225,917;4,88
226,185;4,88
226,454;4,85
226,722;4,79
226,991;4,75
227,259;4,7
227,528;4,65
227,796;4,58
228,064;4,57
228,333;4,54
228,601;4,52
228,869;4,47
229,138;4,44
229,406;4,4
229,674;4,41
229,942;4,38
230,211;4,37
230,479;4,35
230,747;4,32
231,015;4,33
231,283;4,32
231,552;4,33
231,82;4,31
232,088;4,3
232,356;4,29
232,624;4,26
232,892;4,28
233,16;4,25
233,428;4,24
233,696;4,22
233,964;4,2
234,232;4,18
234,5;4,18
234,768;4,16
235,036;4,15
235,304;4,12
235,572;4,1
235,84;4,07
236,108;4,06
236,376;4,06
236,644;4,04
236,912;4,01
237,179;3,98
237,447;3,98
237,715;3,98
237,983;3,98
238,251;3,99
238,518;3,97
238,786;3,98
239,054;3,99
239,322;3,97
239,589;3,97
239,857;3,97
240,125;3,98
240,392;3,99
240,66;3,99
240,927;3,99
241,195;3,98
241,463;3,99
241,73;3,99
241,998;3,97
242,265;3,96
242,533;3,96
242,8;3,97
243,068;3,96
243,335;3,94
243,603;3,93
243,87;3,91
244,138;3,91
244,405;3,92
244,672;3,92
244,94;3,92
245,207;3,93
245,474;3,93
245,742;3,93
246,009;3,93
246,276;3,93
246,544;3,92
246,811;3,93
247,078;3,93
247,345;3,92
247,613;3,93
247,88;3,93
248,147;3,93
248,414;3,93
248,681;3,94
248,948;3,95
249,215;3,97
249,483;3,98
249,75;3,99
250,017;3,99
250,284;3,98
250,551;3,98
250,818;3,97
251,085;3,97
251,352;3,98
251,619;3,98
251,886;3,98
252,153;4
252,42;3,99
252,687;4,01
252,953;4,02
253,22;4,04
253,487;4,05
253,754;4,07
254,021;4,08
254,288;4,08
254,555;4,1
254,821;4,1
255,088;4,1
255,355;4,1
255,622;4,11
255,888;4,13
256,155;4,15
256,422;4,15
256,688;4,16
256,955;4,16
257,222;4,16
257,488;4,16
257,755;4,17
258,022;4,2
258,288;4,19
258,555;4,19
258,821;4,2
259,088;4,2
259,354;4,2
259,621;4,21
259,887;4,21
260,154;4,22
260,42;4,22
260,687;4,23
260,953;4,25
261,219;4,25
261,486;4,25
261,752;4,25
262,019;4,28
262,285;4,29
262,551;4,3
262,818;4,33
263,084;4,34
263,35;4,34
263,616;4,35
263,883;4,37
264,149;4,39
264,415;4,39
264,681;4,41
264,947;4,43
265,214;4,44
265,48;4,45
265,746;4,46
266,012;4,47
266,278;4,48
266,544;4,49
266,81;4,5
267,076;4,51
267,342;4,53
267,608;4,53
267,874;4,54
268,14;4,56
268,406;4,55
268,672;4,57
268,938;4,57
269,204;4,57
269,47;4,57
269,736;4,57
270,002;4,58
270,268;4,59
270,533;4,59
270,799;4,6
271,065;4,61
271,331;4,63
271,597;4,64
271,862;4,64
272,128;4,65
272,394;4,67
272,66;4,69
272,925;4,7
273,191;4,7
273,457;4,71
273,722;4,71
273,988;4,72
274,254;4,74
274,519;4,77
274,785;4,78
275,05;4,8
275,316;4,82
275,582;4,83
275,847;4,84
276,113;4,86
276,378;4,87
276,644;4,87
276,909;4,88
277,174;4,9
277,44;4,93
277,705;4,95
277,971;4,97
278,236;4,98
278,501;5
278,767;5,02
279,032;5,03
279,297;5,06
279,563;5,09
279,828;5,11
280,093;5,12
280,358;5,13
280,624;5,15
280,889;5,16
281,154;5,18
281,419;5,2
281,684;5,21
281,95;5,23
282,215;5,24
282,48;5,27
282,745;5,28
283,01;5,28
283,275;5,29
283,54;5,3
283,805;5,32
284,07;5,33
284,335;5,34
284,6;5,36
284,865;5,38
285,13;5,38
285,395;5,39
285,66;5,41
285,925;5,43
286,19;5,44
286,455;5,45
286,72;5,46
286,985;5,48
287,249;5,5
287,514;5,53
287,779;5,56
288,044;5,58
288,309;5,6
288,573;5,61
288,838;5,64
289,103;5,65
289,367;5,66
289,632;5,7
289,897;5,71
290,161;5,74
290,426;5,76
290,691;5,78
290,955;5,81
291,22;5,83
291,484;5,86
291,749;5,88
292,014;5,91
292,278;5,94
292,543;5,95
292,807;5,98
293,072;6
293,336;6,01
293,6;6,03
293,865;6,05
294,129;6,07
294,394;6,1
294,658;6,14
294,922;6,15
295,187;6,17
295,451;6,2
295,715;6,22
295,98;6,24
296,244;6,25
296,508;6,28
296,773;6,3
297,037;6,32
297,301;6,35
297,565;6,38
297,829;6,4
298,094;6,44
298,358;6,45
298,622;6,48
298,886;6,5
299,15;6,53
299,414;6,56
299,678;6,6
299,942;6,61
300,206;6,64
300,47;6,67
300,734;6,69
300,998;6,71
301,262;6,75
301,526;6,77
301,79;6,8
302,054;6,83
302,318;6,85
302,582;6,87
302,846;6,9
303,11;6,92
303,374;6,95
303,637;6,97
303,901;7
304,165;7,03
304,429;7,05
304,693;7,08
304,956;7,1
305,22;7,1
305,484;7,13
305,747;7,16
306,011;7,19
306,275;7,22
306,538;7,25
306,802;7,27
307,066;7,31
307,329;7,35
307,593;7,37
307,856;7,41
308,12;7,43
308,384;7,45
308,647;7,48
308,911;7,52
309,174;7,55
309,438;7,58
309,701;7,62
309,964;7,65
310,228;7,69
310,491;7,73
310,755;7,77
311,018;7,81
311,281;7,83
311,545;7,85
311,808;7,88
312,071;7,92
312,335;7,94
312,598;7,97
312,861;7,99
313,124;8,03
313,388;8,08
313,651;8,12
313,914;8,14
314,177;8,18
314,44;8,21
314,704;8,26
314,967;8,29
315,23;8,32
315,493;8,36
315,756;8,39
316,019;8,43
316,282;8,46
316,545;8,51
316,808;8,55
317,071;8,59
317,334;8,63
317,597;8,67
317,86;8,71
318,123;8,74
318,386;8,78
318,649;8,81
318,912;8,84
319,175;8,86
319,437;8,91
319,7;8,93
319,963;8,96
320,226;8,99
320,489;9,02
320,751;9,07
321,014;9,09
321,277;9,13
321,54;9,15
321,802;9,18
322,065;9,19
322,328;9,22
322,59;9,25
322,853;9,28
323,116;9,31
323,378;9,35
323,641;9,36
323,903;9,39
324,166;9,43
324,428;9,46
324,691;9,49
324,953;9,53
325,216;9,58
325,478;9,62
325,741;9,64
326,003;9,69
326,266;9,71
326,528;9,75
326,791;9,79
327,053;9,81
327,315;9,85
327,578;9,89
327,84;9,92
328,102;9,95
328,365;9,99
328,627;10,02
328,889;10,06
329,151;10,11
329,414;10,14
329,676;10,18
329,938;10,2
330,2;10,23
330,462;10,25
330,725;10,27
330,987;10,3
331,249;10,33
331,511;10,35
331,773;10,38
332,035;10,39
332,297;10,42
332,559;10,46
332,821;10,5
333,083;10,54
333,345;10,59
333,607;10,62
333,869;10,66
334,131;10,69
334,393;10,73
334,655;10,77
334,917;10,82
335,179;10,86
335,44;10,92
335,702;10,98
335,964;11,02
336,226;11,06
336,488;11,1
336,749;11,17
337,011;11,24
337,273;11,29
337,535;11,35
337,796;11,39
338,058;11,43
338,32;11,48
338,581;11,52
338,843;11,56
339,105;11,61
339,366;11,66
339,628;11,71
339,889;11,75
340,151;11,78
340,412;11,82
340,674;11,86
340,935;11,9
341,197;11,94
341,458;11,97
341,72;12,01
341,981;12,05
342,243;12,07
342,504;12,08
342,766;12,11
343,027;12,14
343,288;12,19
343,55;12,21
343,811;12,23
344,072;12,26
344,334;12,3
344,595;12,32
344,856;12,33
345,117;12,34
345,379;12,37
345,64;12,4
345,901;12,43
346,162;12,45
346,423;12,47
346,684;12,47
346,946;12,5
347,207;12,52
347,468;12,53
347,729;12,55
347,99;12,57
348,251;12,6
348,512;12,63
348,773;12,65
349,034;12,67
349,295;12,7
349,556;12,7
349,817;12,72
350,078;12,75
350,339;12,78
350,6;12,83
350,86;12,83
351,121;12,86
351,382;12,88
351,643;12,9
351,904;12,92
352,165;12,96
352,425;13,01
352,686;13,07
352,947;13,11
353,208;13,14
353,468;13,17
353,729;13,21
353,99;13,24
354,25;13,25
354,511;13,29
354,772;13,34
355,032;13,37
355,293;13,41
355,553;13,45
355,814;13,47
356,074;13,5
356,335;13,55
356,596;13,58
356,856;13,61
357,116;13,67
357,377;13,72
357,637;13,75
357,898;13,77
358,158;13,77
358,419;13,81
358,679;13,85
358,939;13,88
359,2;13,9
359,46;13,96
359,72;14,02
359,981;14,04
360,241;14,09
360,501;14,14
360,761;14,17
361,022;14,2
361,282;14,24
361,542;14,29
361,802;14,33
362,062;14,36
362,323;14,41
362,583;14,42
362,843;14,45
363,103;14,5
363,363;14,52
363,623;14,57
363,883;14,58
364,143;14,62
364,403;14,64
364,663;14,69
364,923;14,71
365,183;14,73
365,443;14,76
365,703;14,78
365,963;14,81
366,223;14,84
366,483;14,89
366,743;14,91
367,002;14,92
367,262;14,95
367,522;14,99
367,782;15,01
368,042;15,04
368,301;15,06
368,561;15,09
368,821;15,13
369,081;15,15
369,34;15,18
369,6;15,2
369,86;15,25
370,119;15,27
370,379;15,28
370,638;15,3
370,898;15,32
371,158;15,36
371,417;15,38
371,677;15,39
371,936;15,42
372,196;15,46
372,455;15,49
372,715;15,5
372,974;15,53
373,234;15,55
