Data from azuriteWhite_Reflection__1__06.txt Node;
"Date: Thu Sep 11 15:26:32 CEST 2025 User: sycur";
186,01;-753,52
186,281;1057,36
186,552;295,38
186,822;158,41
187,093;0
187,364;-384,2
187,635;-115,11
187,905;61,67
188,176;28,99
188,447;23,39
188,717;17,84
188,988;17,84
189,258;19,32
189,529;17,41
189,8;15,92
190,07;14,11
190,341;15,24
190,611;10,9
190,882;11,34
191,152;10,99
191,423;9,09
191,693;8,56
191,964;9,25
192,234;10,01
192,505;8,44
192,775;8,73
193,045;7,65
193,316;7,55
193,586;7,26
193,856;7,17
194,127;7,32
194,397;7,64
194,667;8,2
194,938;8,08
195,208;8,8
195,478;8,49
195,748;8,81
196,019;9,1
196,289;10,26
196,559;10,26
196,829;10,5
197,099;10,84
197,37;10,95
197,64;9,94
197,91;9,64
198,18;9,96
198,45;9,85
198,72;9,96
198,99;10,12
199,26;9,82
199,53;9,64
199,8;9,74
200,07;9,37
200,34;8,94
200,61;8,76
200,88;8,63
201,15;8,7
201,42;8,52
201,69;7,98
201,96;7,69
202,23;7,48
202,499;7,16
202,769;7,39
203,039;7,25
203,309;7,78
203,579;7,62
203,849;7,52
204,118;7,28
204,388;7,27
204,658;7,23
204,927;7,29
205,197;7,32
205,467;6,94
205,736;7,05
206,006;6,85
206,276;6,65
206,545;6,53
206,815;6,48
207,085;6,26
207,354;6,31
207,624;6,25
207,893;6,15
208,163;6,24
208,432;5,95
208,702;5,88
208,971;5,63
209,241;5,63
209,51;5,52
209,78;5,5
210,049;5,33
210,318;5,26
210,588;5,3
210,857;5,25
211,127;5,19
211,396;5,07
211,665;5,1
211,935;5,17
212,204;5,16
212,473;5,06
212,742;5,1
213,012;5,02
213,281;4,92
213,55;4,98
213,819;4,82
214,088;4,84
214,358;4,8
214,627;4,81
214,896;4,63
215,165;4,64
215,434;4,59
215,703;4,62
215,972;4,46
216,241;4,4
216,51;4,43
216,779;4,45
217,048;4,46
217,317;4,41
217,586;4,34
217,855;4,24
218,124;4,26
218,393;4,25
218,662;4,2
218,931;4,2
219,2;4,17
219,469;4,17
219,738;4,12
220,006;4,16
220,275;4,13
220,544;4,18
220,813;4,1
221,082;4,08
221,35;4,05
221,619;4,06
221,888;4,04
222,157;3,99
222,425;3,96
222,694;3,88
222,963;3,83
223,231;3,82
223,5;3,89
223,769;3,83
224,037;3,81
224,306;3,81
224,574;3,79
224,843;3,73
225,111;3,72
225,38;3,69
225,648;3,66
225,917;3,61
226,185;3,6
226,454;3,59
226,722;3,56
226,991;3,56
227,259;3,54
227,528;3,53
227,796;3,49
228,064;3,46
228,333;3,48
228,601;3,5
228,869;3,48
229,138;3,42
229,406;3,42
229,674;3,41
229,942;3,4
230,211;3,42
230,479;3,45
230,747;3,44
231,015;3,44
231,283;3,41
231,552;3,42
231,82;3,39
232,088;3,37
232,356;3,36
232,624;3,34
232,892;3,34
233,16;3,3
233,428;3,29
233,696;3,3
233,964;3,28
234,232;3,26
234,5;3,23
234,768;3,24
235,036;3,23
235,304;3,22
235,572;3,2
235,84;3,17
236,108;3,15
236,376;3,14
236,644;3,13
236,912;3,12
237,179;3,11
237,447;3,11
237,715;3,12
237,983;3,11
238,251;3,11
238,518;3,11
238,786;3,11
239,054;3,1
239,322;3,08
239,589;3,07
239,857;3,07
240,125;3,07
240,392;3,05
240,66;3,04
240,927;3,03
241,195;3,03
241,463;3,03
241,73;3,02
241,998;3,01
242,265;3
242,533;3,01
242,8;3,01
243,068;3,01
243,335;3
243,603;2,99
243,87;2,98
244,138;2,96
244,405;2,97
244,672;2,96
244,94;2,96
245,207;2,95
245,474;2,96
245,742;2,95
246,009;2,94
246,276;2,94
246,544;2,93
246,811;2,93
247,078;2,93
247,345;2,91
247,613;2,92
247,88;2,93
248,147;2,9
248,414;2,91
248,681;2,88
248,948;2,89
249,215;2,9
249,483;2,9
249,75;2,91
250,017;2,89
250,284;2,89
250,551;2,88
250,818;2,88
251,085;2,88
251,352;2,88
251,619;2,88
251,886;2,89
252,153;2,89
252,42;2,89
252,687;2,89
252,953;2,89
253,22;2,87
253,487;2,88
253,754;2,88
254,021;2,86
254,288;2,87
254,555;2,87
254,821;2,86
255,088;2,86
255,355;2,85
255,622;2,85
255,888;2,85
256,155;2,86
256,422;2,84
256,688;2,84
256,955;2,84
257,222;2,83
257,488;2,81
257,755;2,8
258,022;2,81
258,288;2,79
258,555;2,79
258,821;2,8
259,088;2,77
259,354;2,78
259,621;2,78
259,887;2,77
260,154;2,77
260,42;2,76
260,687;2,76
260,953;2,76
261,219;2,75
261,486;2,75
261,752;2,75
262,019;2,75
262,285;2,74
262,551;2,74
262,818;2,74
263,084;2,73
263,35;2,73
263,616;2,73
263,883;2,73
264,149;2,73
264,415;2,72
264,681;2,73
264,947;2,73
265,214;2,73
265,48;2,72
265,746;2,71
266,012;2,71
266,278;2,7
266,544;2,69
266,81;2,69
267,076;2,68
267,342;2,68
267,608;2,69
267,874;2,69
268,14;2,69
268,406;2,69
268,672;2,68
268,938;2,68
269,204;2,68
269,47;2,68
269,736;2,67
270,002;2,67
270,268;2,66
270,533;2,66
270,799;2,65
271,065;2,66
271,331;2,66
271,597;2,66
271,862;2,65
272,128;2,66
272,394;2,66
272,66;2,66
272,925;2,66
273,191;2,65
273,457;2,64
273,722;2,64
273,988;2,63
274,254;2,64
274,519;2,64
274,785;2,64
275,05;2,64
275,316;2,64
275,582;2,63
275,847;2,64
276,113;2,62
276,378;2,62
276,644;2,62
276,909;2,61
277,174;2,61
277,44;2,62
277,705;2,61
277,971;2,61
278,236;2,61
278,501;2,6
278,767;2,61
279,032;2,6
279,297;2,6
279,563;2,61
279,828;2,61
280,093;2,6
280,358;2,6
280,624;2,61
280,889;2,6
281,154;2,61
281,419;2,6
281,684;2,6
281,95;2,6
282,215;2,6
282,48;2,61
282,745;2,6
283,01;2,59
283,275;2,59
283,54;2,58
283,805;2,58
284,07;2,58
284,335;2,58
284,6;2,58
284,865;2,57
285,13;2,56
285,395;2,57
285,66;2,56
285,925;2,55
286,19;2,55
286,455;2,54
286,72;2,53
286,985;2,53
287,249;2,53
287,514;2,54
287,779;2,54
288,044;2,55
288,309;2,55
288,573;2,55
288,838;2,55
289,103;2,55
289,367;2,55
289,632;2,54
289,897;2,54
290,161;2,54
290,426;2,53
290,691;2,54
290,955;2,53
291,22;2,53
291,484;2,54
291,749;2,53
292,014;2,53
292,278;2,53
292,543;2,53
292,807;2,53
293,072;2,53
293,336;2,53
293,6;2,52
293,865;2,51
294,129;2,51
294,394;2,5
294,658;2,5
294,922;2,5
295,187;2,5
295,451;2,5
295,715;2,5
295,98;2,5
296,244;2,49
296,508;2,49
296,773;2,48
297,037;2,47
297,301;2,48
297,565;2,47
297,829;2,45
298,094;2,46
298,358;2,46
298,622;2,44
298,886;2,44
299,15;2,44
299,414;2,45
299,678;2,46
299,942;2,45
300,206;2,45
300,47;2,45
300,734;2,44
300,998;2,44
301,262;2,45
301,526;2,44
301,79;2,44
302,054;2,45
302,318;2,44
302,582;2,44
302,846;2,44
303,11;2,44
303,374;2,44
303,637;2,44
303,901;2,43
304,165;2,43
304,429;2,43
304,693;2,41
304,956;2,4
305,22;2,39
305,484;2,4
305,747;2,4
306,011;2,39
306,275;2,38
306,538;2,39
306,802;2,37
307,066;2,37
307,329;2,37
307,593;2,37
307,856;2,37
308,12;2,36
308,384;2,36
308,647;2,36
308,911;2,36
309,174;2,35
309,438;2,35
309,701;2,36
309,964;2,35
310,228;2,35
310,491;2,35
310,755;2,35
311,018;2,34
311,281;2,33
311,545;2,33
311,808;2,34
312,071;2,33
312,335;2,33
312,598;2,33
312,861;2,32
313,124;2,31
313,388;2,3
313,651;2,31
313,914;2,31
314,177;2,3
314,44;2,3
314,704;2,31
