Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
0;--;--;--;3536,8;65535;3566,1;29,3;0;0;0;
1;--;--;--;3480;65535;3519,6;39,6;0;0;0;
2;--;--;--;3938,7;65535;3950,3;11,6;0;0;0;
3;--;--;--;3519,2;65535;3552,1;32,9;0;0;0;
4;--;--;--;3850,7;65535;3900,5;49,8;0;0;0;
5;--;--;--;3584,1;65535;3619;34,9;0;0;0;
6;--;--;--;3599,9;65535;3668,7;68,8;0;0;0;
7;--;--;--;3525,7;65535;3666,4;140,7;0;0;0;
8;--;--;--;3586,8;65535;3816,8;230;0;0;0;
9;--;--;--;3591,5;65535;4182,4;590,9;0;0;0;
10;--;--;--;3632,2;65535;4467,2;835;0;0;0;
11;--;--;--;4002,6;65535;4356,7;354,1;0;0;0;
12;--;--;--;3594,1;65535;3653,5;59,4;0;0;0;
13;--;--;--;3560,8;65535;3596,6;35,8;0;0;0;
14;--;--;--;3687,4;65535;3707,3;19,9;0;0;0;
15;--;--;--;3597,1;65535;3629,1;32;0;0;0;
16;--;--;--;3678,8;65535;3704,1;25,3;0;0;0;
17;--;--;--;3543,3;65535;3569,4;26,1;0;0;0;
18;--;--;--;4205,8;65535;4213,4;7,6;0;0;0;
19;--;--;--;3545,1;65535;3572,4;27,3;0;0;0;
20;--;--;--;3597,7;65535;3620,4;22,7;0;0;0;
21;--;--;--;3644,8;65535;3675,5;30,7;0;0;0;
22;--;--;--;3579,3;65535;3624,4;45,1;0;0;0;
23;--;--;--;3602,5;65535;3647,4;44,9;0;0;0;
24;--;--;--;3574,1;65535;3598,9;24,8;0;0;0;
25;--;--;--;3603;65535;3630,7;27,7;0;0;0;
26;--;--;--;3752;65535;3772,7;20,7;0;0;0;
27;--;--;--;3553,5;65535;3568,9;15,4;0;0;0;
28;--;--;--;3608,6;65535;3625,1;16,5;0;0;0;
29;--;--;--;3752,7;65535;3793,1;40,4;0;0;0;
30;--;--;--;3639,4;65535;3653,5;14,1;0;0;0;
31;--;--;--;3593,8;65535;3672,3;78,5;0;0;0;
32;--;--;--;3618,7;65535;3701,6;82,9;0;0;0;
33;--;--;--;3634,6;65535;3751,4;116,8;0;0;0;
34;--;--;--;3541,2;65535;3679;137,8;0;0;0;
35;--;--;--;3616;65535;3751,4;135,4;0;0;0;
36;--;--;--;3550,6;65535;3678;127,4;0;0;0;
37;--;--;--;3525,2;65535;3665,7;140,5;0;0;0;
38;--;--;--;3492;65535;3636,5;144,5;0;0;0;
39;--;--;--;3502,3;65535;3631,9;129,6;0;0;0;
40;--;--;--;3588,3;65535;3714,1;125,8;0;0;0;
41;--;--;--;3669,1;65535;3812,6;143,5;0;0;0;
42;--;--;--;3609,3;65535;3739,1;129,8;0;0;0;
43;--;--;--;3891,7;65535;4067,5;175,8;0;0;0;
44;--;--;--;3618,7;65535;3776,6;157,9;0;0;0;
45;--;--;--;3533,4;65535;3704;170,6;0;0;0;
46;--;--;--;3679,6;65535;3858,4;178,8;0;0;0;
47;--;--;--;3788,5;65535;3956,6;168,1;0;0;0;
48;--;--;--;3673,6;65535;3852,7;179,1;0;0;0;
49;--;--;--;3654,4;65535;3821,9;167,5;0;0;0;
50;--;--;--;3640,2;65535;3830;189,8;0;0;0;
51;--;--;--;3767,8;65535;3938,8;171;0;0;0;
52;--;--;--;3614,9;65535;3776,2;161,3;0;0;0;
53;--;--;--;3629;65535;3786,6;157,6;0;0;0;
54;--;--;--;3513,9;65535;3691,9;178;0;0;0;
55;--;--;--;3691,3;65535;3861,2;169,9;0;0;0;
56;--;--;--;3778,6;65535;3956;177,4;0;0;0;
57;--;--;--;3671,9;65535;3850,6;178,7;0;0;0;
58;--;--;--;3545,6;65535;3722,9;177,3;0;0;0;
59;--;--;--;3736,2;65535;3933,8;197,6;0;0;0;
60;--;--;--;3798,6;65535;4013,5;214,9;0;0;0;
