Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
0;--;--;--;3501,7;65535;3544,1;42,4;0;0;0;
1;--;--;--;3450,5;65535;3497,8;47,3;0;0;0;
2;--;--;--;3892;65535;3946,9;54,9;0;0;0;
3;--;--;--;3465,9;65535;3530,1;64,2;0;0;0;
4;--;--;--;3804,1;65535;3854,1;50;0;0;0;
5;--;--;--;3540,9;65535;3606,2;65,3;0;0;0;
6;--;--;--;3550,7;65535;3641,3;90,6;0;0;0;
7;--;--;--;3487,6;65535;3627,4;139,8;0;0;0;
8;--;--;--;3544,1;65535;3786,8;242,7;0;0;0;
9;--;--;--;3555,1;65535;4103,6;548,5;0;0;0;
10;--;--;--;3614,2;65535;4401;786,8;0;0;0;
11;--;--;--;3948,8;65535;4358;409,2;0;0;0;
12;--;--;--;3558;65535;3647,1;89,1;0;0;0;
13;--;--;--;3509,7;65535;3565,2;55,5;0;0;0;
14;--;--;--;3648,8;65535;3674;25,2;0;0;0;
15;--;--;--;3551,1;65535;3605,3;54,2;0;0;0;
16;--;--;--;3629,7;65535;3673,7;44;0;0;0;
17;--;--;--;3505,4;65535;3558,7;53,3;0;0;0;
18;--;--;--;4131,8;65535;4198,1;66,3;0;0;0;
19;--;--;--;3486,9;65535;3558,2;71,3;0;0;0;
20;--;--;--;3568,1;65535;3612,1;44;0;0;0;
21;--;--;--;3615;65535;3657,8;42,8;0;0;0;
22;--;--;--;3558,4;65535;3607,2;48,8;0;0;0;
23;--;--;--;3586;65535;3622,1;36,1;0;0;0;
24;--;--;--;3534,8;65535;3579,7;44,9;0;0;0;
25;--;--;--;3577,7;65535;3622,9;45,2;0;0;0;
26;--;--;--;3711,2;65535;3756,2;45;0;0;0;
27;--;--;--;3520,7;65535;3550,2;29,5;0;0;0;
28;--;--;--;3555,6;65535;3593,2;37,6;0;0;0;
29;--;--;--;3703,4;65535;3758,7;55,3;0;0;0;
30;--;--;--;3590,7;65535;3642,2;51,5;0;0;0;
31;--;--;--;3586,9;65535;3637,1;50,2;0;0;0;
32;--;--;--;3593,2;65535;3683,6;90,4;0;0;0;
33;--;--;--;3610,6;65535;3723;112,4;0;0;0;
34;--;--;--;3525,8;65535;3664,1;138,3;0;0;0;
35;--;--;--;3582,7;65535;3731,6;148,9;0;0;0;
36;--;--;--;3509,5;65535;3677,5;168;0;0;0;
37;--;--;--;3476,1;65535;3641,5;165,4;0;0;0;
38;--;--;--;3460,4;65535;3637,7;177,3;0;0;0;
39;--;--;--;3466;65535;3638;172;0;0;0;
40;--;--;--;3538,7;65535;3723,5;184,8;0;0;0;
41;--;--;--;3618,7;65535;3792;173,3;0;0;0;
42;--;--;--;3548,8;65535;3724,5;175,7;0;0;0;
43;--;--;--;3859,6;65535;4064,4;204,8;0;0;0;
44;--;--;--;3578,4;65535;3774,2;195,8;0;0;0;
45;--;--;--;3510,9;65535;3727,1;216,2;0;0;0;
46;--;--;--;3665,8;65535;3850,6;184,8;0;0;0;
47;--;--;--;3750,4;65535;3951,6;201,2;0;0;0;
48;--;--;--;3647,8;65535;3843,5;195,7;0;0;0;
49;--;--;--;3621,7;65535;3800,1;178,4;0;0;0;
50;--;--;--;3597;65535;3772,7;175,7;0;0;0;
51;--;--;--;3710,3;65535;3903,1;192,8;0;0;0;
52;--;--;--;3573,6;65535;3755,8;182,2;0;0;0;
53;--;--;--;3577,5;65535;3755,1;177,6;0;0;0;
