Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
0;--;--;--;3501,7;65535;3553,5;51,8;0;0;0;
1;--;--;--;3450,5;65535;3514;63,5;0;0;0;
2;--;--;--;3892;65535;3967,1;75,1;0;0;0;
3;--;--;--;3465,9;65535;3539,9;74;0;0;0;
4;--;--;--;3804,1;65535;3855,2;51,1;0;0;0;
5;--;--;--;3540,9;65535;3643,8;102,9;0;0;0;
6;--;--;--;3550,7;65535;3656,2;105,5;0;0;0;
7;--;--;--;3487,6;65535;3656,5;168,9;0;0;0;
8;--;--;--;3544,1;65535;3807,9;263,8;0;0;0;
9;--;--;--;3555,1;65535;4137,9;582,8;0;0;0;
10;--;--;--;3614,2;65535;4442,1;827,9;0;0;0;
11;--;--;--;3948,8;65535;4375,9;427,1;0;0;0;
12;--;--;--;3558;65535;3641,5;83,5;0;0;0;
13;--;--;--;3509,7;65535;3576,2;66,5;0;0;0;
14;--;--;--;3648,8;65535;3697,8;49;0;0;0;
15;--;--;--;3551,1;65535;3621,8;70,7;0;0;0;
16;--;--;--;3629,7;65535;3689,9;60,2;0;0;0;
17;--;--;--;3505,4;65535;3562,3;56,9;0;0;0;
18;--;--;--;4131,8;65535;4211,2;79,4;0;0;0;
19;--;--;--;3486,9;65535;3558,2;71,3;0;0;0;
20;--;--;--;3568,1;65535;3612,3;44,2;0;0;0;
21;--;--;--;3615;65535;3684,9;69,9;0;0;0;
22;--;--;--;3558,4;65535;3604,1;45,7;0;0;0;
23;--;--;--;3586;65535;3631,6;45,6;0;0;0;
24;--;--;--;3534,8;65535;3584,4;49,6;0;0;0;
25;--;--;--;3577,7;65535;3622,1;44,4;0;0;0;
26;--;--;--;3711,2;65535;3748,6;37,4;0;0;0;
27;--;--;--;3520,7;65535;3566,7;46;0;0;0;
28;--;--;--;3555,6;65535;3589,8;34,2;0;0;0;
29;--;--;--;3703,4;65535;3769,3;65,9;0;0;0;
30;--;--;--;3590,7;65535;3658,7;68;0;0;0;
31;--;--;--;3586,9;65535;3662,4;75,5;0;0;0;
32;--;--;--;3593,2;65535;3677;83,8;0;0;0;
33;--;--;--;3610,6;65535;3745,2;134,6;0;0;0;
34;--;--;--;3525,8;65535;3672,7;146,9;0;0;0;
35;--;--;--;3582,7;65535;3754,3;171,6;0;0;0;
36;--;--;--;3509,5;65535;3724,1;214,6;0;0;0;
37;--;--;--;3476,1;65535;3675,7;199,6;0;0;0;
38;--;--;--;3460,4;65535;3665,9;205,5;0;0;0;
39;--;--;--;3466;65535;3683;217;0;0;0;
40;--;--;--;3538,7;65535;3757,2;218,5;0;0;0;
41;--;--;--;3618,7;65535;3825,6;206,9;0;0;0;
42;--;--;--;3548,8;65535;3776;227,2;0;0;0;
43;--;--;--;3859,6;65535;4085;225,4;0;0;0;
44;--;--;--;3578,4;65535;3823,9;245,5;0;0;0;
45;--;--;--;3510,9;65535;3748,2;237,3;0;0;0;
46;--;--;--;3665,8;65535;3893,4;227,6;0;0;0;
47;--;--;--;3750,4;65535;3973,2;222,8;0;0;0;
48;--;--;--;3647,8;65535;3866,1;218,3;0;0;0;
49;--;--;--;3621,7;65535;3836,3;214,6;0;0;0;
50;--;--;--;3597;65535;3822,1;225,1;0;0;0;
51;--;--;--;3710,3;65535;3931,8;221,5;0;0;0;
52;--;--;--;3573,6;65535;3787,1;213,5;0;0;0;
53;--;--;--;3577,5;65535;3800,3;222,8;0;0;0;
54;--;--;--;3497,4;65535;3711,4;214;0;0;0;
55;--;--;--;3649,8;65535;3894,5;244,7;0;0;0;
56;--;--;--;3736,2;65535;3958,2;222;0;0;0;
57;--;--;--;3627,3;65535;3850,3;223;0;0;0;
58;--;--;--;3505,3;65535;3749,9;244,6;0;0;0;
59;--;--;--;3703,4;65535;3940,5;237,1;0;0;0;
60;--;--;--;3767,9;65535;3992,6;224,7;0;0;0;
61;--;--;--;3891,4;65535;4135,4;244;0;0;0;
62;--;--;--;3558,4;65535;3775,5;217,1;0;0;0;
63;--;--;--;3524,3;65535;3763,7;239,4;0;0;0;
64;--;--;--;3700,4;65535;3947,4;247;0;0;0;
65;--;--;--;3496,3;65535;3737;240,7;0;0;0;
66;--;--;--;3819,1;65535;4054,9;235,8;0;0;0;
67;--;--;--;3523,5;65535;3764;240,5;0;0;0;
68;--;--;--;3447;65535;3696,3;249,3;0;0;0;
69;--;--;--;3626,7;65535;3844,6;217,9;0;0;0;
70;--;--;--;4292,8;65535;4521,8;229;0;0;0;
71;--;--;--;3454;65535;3700,1;246,1;0;0;0;
72;--;--;--;3438,1;65535;3672,1;234;0;0;0;
73;794,03;12593,93;148,42;3617,7;65535;3885,7;268;0;0;0;
74;794,18;12591,53;150,81;3432,5;65535;3680,1;247,6;0;0;0;
75;794,34;12589,14;153,2;3444,7;65535;3703;258,3;0;0;0;
76;794,49;12586,75;155,59;3574,4;65535;3799;224,6;0;0;0;
77;794,64;12584,36;157,98;4769,7;65535;5057;287,3;0;0;0;
78;794,79;12581,97;160,37;3722,1;65535;3975,2;253,1;0;0;0;
