Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
0;--;--;--;3494,6;65535;3517,7;23,1;0;0;0;
1;--;--;--;3432,6;65535;3463,5;30,9;0;0;0;
2;--;--;--;3868;65535;3888,1;20,1;0;0;0;
3;--;--;--;3477,1;65535;3494,7;17,6;0;0;0;
4;--;--;--;3787,7;65535;3810,7;23;0;0;0;
5;--;--;--;3539,3;65535;3567,8;28,5;0;0;0;
6;--;--;--;3536;65535;3606,2;70,2;0;0;0;
7;--;--;--;3482,6;65535;3559,5;76,9;0;0;0;
8;--;--;--;3513,6;65535;3681,9;168,3;0;0;0;
9;--;--;--;3541,5;65535;3885,5;344;0;0;0;
10;--;--;--;3593,5;65535;4066,8;473,3;0;0;0;
11;--;--;--;3928,3;65535;4162;233,7;0;0;0;
12;--;--;--;3546,6;65535;3602;55,4;0;0;0;
13;--;--;--;3511;65535;3529,2;18,2;0;0;0;
14;--;--;--;3622,9;65535;3654,6;31,7;0;0;0;
15;--;--;--;3557,2;65535;3588,1;30,9;0;0;0;
16;--;--;--;3618,6;65535;3641,3;22,7;0;0;0;
17;--;--;--;3484,6;65535;3522,5;37,9;0;0;0;
18;--;--;--;4140,4;65535;4151,2;10,8;0;0;0;
19;--;--;--;3478;65535;3513,5;35,5;0;0;0;
20;--;--;--;3534,4;65535;3558,7;24,3;0;0;0;
21;--;--;--;3594,1;65535;3627,9;33,8;0;0;0;
22;--;--;--;3540,3;65535;3557,3;17;0;0;0;
23;--;--;--;3553,7;65535;3570,1;16,4;0;0;0;
24;--;--;--;3518,4;65535;3537;18,6;0;0;0;
25;--;--;--;3548,3;65535;3584;35,7;0;0;0;
26;--;--;--;3673,9;65535;3718,5;44,6;0;0;0;
27;--;--;--;3502,1;65535;3520,8;18,7;0;0;0;
28;--;--;--;3529,4;65535;3576,8;47,4;0;0;0;
29;--;--;--;3692,7;65535;3728;35,3;0;0;0;
30;--;--;--;3564,4;65535;3623,5;59,1;0;0;0;
31;--;--;--;3553,7;65535;3613,3;59,6;0;0;0;
32;--;--;--;3580,2;65535;3663,2;83;0;0;0;
33;--;--;--;3597,7;65535;3699,5;101,8;0;0;0;
34;--;--;--;3501,6;65535;3676,6;175;0;0;0;
35;--;--;--;3565,1;65535;3767,9;202,8;0;0;0;
36;--;--;--;3506,4;65535;3727,2;220,8;0;0;0;
37;--;--;--;3480,4;65535;3712,9;232,5;0;0;0;
38;--;--;--;3465,2;65535;3695,7;230,5;0;0;0;
39;--;--;--;3440,5;65535;3681;240,5;0;0;0;
40;--;--;--;3528,9;65535;3788,3;259,4;0;0;0;
41;--;--;--;3592,2;65535;3856,1;263,9;0;0;0;
42;--;--;--;3532,9;65535;3797;264,1;0;0;0;
43;--;--;--;3835,4;65535;4099,5;264,1;0;0;0;
44;--;--;--;3560,2;65535;3815;254,8;0;0;0;
45;--;--;--;3491,6;65535;3768,7;277,1;0;0;0;
46;--;--;--;3636,8;65535;3902,4;265,6;0;0;0;
47;--;--;--;3740,9;65535;3994,8;253,9;0;0;0;
48;--;--;--;3626,3;65535;3886,9;260,6;0;0;0;
49;--;--;--;3601,8;65535;3870,4;268,6;0;0;0;
50;--;--;--;3589,2;65535;3847,1;257,9;0;0;0;
51;--;--;--;3705,8;65535;3967,2;261,4;0;0;0;
52;--;--;--;3545,3;65535;3822,7;277,4;0;0;0;
53;--;--;--;3564,6;65535;3844,2;279,6;0;0;0;
54;--;--;--;3465,9;65535;3752,6;286,7;0;0;0;
55;--;--;--;3621,2;65535;3908,3;287,1;0;0;0;
56;--;--;--;3708,6;65535;4005,1;296,5;0;0;0;
57;--;--;--;3601,9;65535;3881,5;279,6;0;0;0;
58;--;--;--;3499,7;65535;3756,6;256,9;0;0;0;
59;--;--;--;3698,2;65535;3970,7;272,5;0;0;0;
60;--;--;--;3748,2;65535;4012,4;264,2;0;0;0;
61;--;--;--;3888,7;65535;4145,5;256,8;0;0;0;
62;--;--;--;3538,1;65535;3818,3;280,2;0;0;0;
63;--;--;--;3512,5;65535;3805,2;292,7;0;0;0;
64;--;--;--;3691,1;65535;3979,7;288,6;0;0;0;
65;--;--;--;3482,9;65535;3760;277,1;0;0;0;
66;--;--;--;3811,3;65535;4090,9;279,6;0;0;0;
67;--;--;--;3498,5;65535;3793,8;295,3;0;0;0;
68;--;--;--;3436,5;65535;3738,4;301,9;0;0;0;
69;--;--;--;3622,7;65535;3871,3;248,6;0;0;0;
70;--;--;--;4287,8;65535;4534,9;247,1;0;0;0;
71;--;--;--;3439,9;65535;3723,4;283,5;0;0;0;
72;--;--;--;3441,2;65535;3714,7;273,5;0;0;0;
73;794,03;12593,93;148,42;3605,6;65535;3872,9;267,3;0;0;0;
74;794,18;12591,53;150,81;3434,9;65535;3714,9;280;0;0;0;
75;794,34;12589,14;153,2;3455,7;65535;3738;282,3;0;0;0;
76;794,49;12586,75;155,59;3538,6;65535;3820,7;282,1;0;0;0;
77;794,64;12584,36;157,98;4747,5;65535;5033,8;286,3;0;0;0;
78;794,79;12581,97;160,37;3699;65535;4005,4;306,4;0;0;0;
79;794,94;12579,58;162,76;3608,2;65535;3917;308,8;0;0;0;
80;795,09;12577,2;165,15;3778,7;65535;4068,7;290;0;0;0;
81;795,24;12574,81;167,53;3749,6;65535;4005,8;256,2;0;0;0;
82;795,39;12572,43;169,92;3558,6;65535;3822,2;263,6;0;0;0;
83;795,54;12570,04;172,3;3531;65535;3786,7;255,7;0;0;0;
84;795,69;12567,66;174,68;3695;65535;3951,3;256,3;0;0;0;
85;795,84;12565,28;177,06;3878,1;65535;4156,3;278,2;0;0;0;
86;795,99;12562,9;179,44;4102,8;65535;4401,2;298,4;0;0;0;
87;796,15;12560,52;181,82;3549,6;65535;3820;270,4;0;0;0;
88;796,3;12558,14;184,2;3627;65535;3916,4;289,4;0;0;0;
89;796,45;12555,76;186,58;3551;65535;3844,5;293,5;0;0;0;
90;796,6;12553,39;188,96;3664,4;65535;3940,8;276,4;0;0;0;
91;796,75;12551,01;191,33;3658;65535;3944,4;286,4;0;0;0;
92;796,9;12548,64;193,71;3502,4;65535;3759,5;257,1;0;0;0;
93;797,05;12546,26;196,08;3542,3;65535;3800,9;258,6;0;0;0;
94;797,2;12543,89;198,45;3615,3;65535;3884,2;268,9;0;0;0;
95;797,35;12541,52;200,82;3522,6;65535;3794,2;271,6;0;0;0;
96;797,5;12539,15;203,19;3478,6;65535;3740,7;262,1;0;0;0;
97;797,65;12536,78;205,56;3770,3;65535;4041,3;271;0;0;0;
98;797,8;12534,41;207,93;3661,7;65535;3948,3;286,6;0;0;0;
99;797,95;12532,05;210,3;3538,9;65535;3825,4;286,5;0;0;0;
100;798,1;12529,68;212,66;3539,4;65535;3838;298,6;0;0;0;
101;798,26;12527,32;215,03;3628,5;65535;3920,1;291,6;0;0;0;
102;798,41;12524,95;217,39;3431,8;65535;3730,8;299;0;0;0;
103;798,56;12522,59;219,75;4574;65535;4875,1;301,1;0;0;0;
104;798,71;12520,23;222,12;3478,1;65535;3772;293,9;0;0;0;
105;798,86;12517,87;224,48;3422,5;65535;3744,4;321,9;0;0;0;
106;799,01;12515,51;226,84;3779,5;65535;4060,3;280,8;0;0;0;
107;799,16;12513,15;229,2;3527,9;65535;3825,5;297,6;0;0;0;
108;799,31;12510,79;231,55;3493,6;65535;3775,5;281,9;0;0;0;
