Data from bitumeWhite_Reflection__2__06.txt Node;
"Date: Fri Sep 12 10:26:38 CEST 2025 User: sycur";
186,01;-7156,67
186,281;-27154,41
186,552;512,16
186,822;314,07
187,093;190,91
187,364;-307,23
187,635;51734,04
187,905;345,11
188,176;147,79
188,447;118,38
188,717;99,7
188,988;115,86
189,258;124,8
189,529;140,01
189,8;137,34
190,07;121,85
190,341;112,26
190,611;100
190,882;94,11
191,152;88,32
191,423;82,06
191,693;79,43
191,964;79,69
192,234;75,42
192,505;70
192,775;69,89
193,045;66,04
193,316;63,49
193,586;62,09
193,856;62,96
194,127;61,04
194,397;59,86
194,667;58,17
194,938;57,71
195,208;54,19
195,478;53,38
195,748;51,66
196,019;51,53
196,289;51,16
196,559;50,42
196,829;50,02
197,099;49,13
197,37;47,75
197,64;46,07
197,91;44,92
198,18;44,34
198,45;42,18
198,72;41,6
198,99;40,34
199,26;40
199,53;39,52
199,8;39,68
200,07;39,32
200,34;38,66
200,61;37,51
200,88;37,65
201,15;36,77
201,42;36,75
201,69;36,06
201,96;36
202,23;35,47
202,499;34,26
202,769;34,45
203,039;33,89
203,309;32,93
203,579;32,5
203,849;32,32
204,118;31,91
204,388;31,22
204,658;30,8
204,927;30,37
205,197;29,73
205,467;28,87
205,736;28,67
206,006;28,21
206,276;27,87
206,545;26,85
206,815;26,74
207,085;26,41
207,354;25,96
207,624;25,48
207,893;24,77
208,163;24,65
208,432;24,13
208,702;23,88
208,971;23,68
209,241;23,18
209,51;22,7
209,78;22,52
210,049;22,35
210,318;22,07
210,588;21,88
210,857;21,55
211,127;21,49
211,396;21,06
211,665;20,75
211,935;20,73
212,204;20,95
212,473;20,51
212,742;20,25
213,012;20,23
213,281;19,92
213,55;19,75
213,819;19,52
214,088;19,27
214,358;18,93
214,627;18,77
214,896;18,66
215,165;18,29
215,434;17,94
215,703;17,68
215,972;17,58
216,241;17,16
216,51;16,95
216,779;16,61
217,048;16,51
217,317;16,4
217,586;16,12
217,855;15,82
218,124;15,92
218,393;15,82
218,662;15,5
218,931;15,37
219,2;15,19
219,469;15,07
219,738;15,01
220,006;15,01
220,275;14,91
220,544;14,89
220,813;14,89
221,082;14,84
221,35;14,74
221,619;14,68
221,888;14,73
222,157;14,71
222,425;14,77
222,694;14,61
222,963;14,53
223,231;14,42
223,5;14,4
223,769;14,21
224,037;14,17
224,306;14,16
224,574;14,1
224,843;14,13
225,111;14,13
225,38;14,05
225,648;14,01
225,917;13,92
226,185;14,11
226,454;14,09
226,722;14,07
226,991;14,13
227,259;14,06
227,528;14
227,796;14,02
228,064;13,92
228,333;13,97
228,601;14,01
228,869;14,03
229,138;14
229,406;14,03
229,674;14
229,942;14,02
230,211;14,03
230,479;14,04
230,747;14,02
231,015;14,02
231,283;14,01
231,552;14,05
231,82;13,87
232,088;13,86
232,356;13,89
232,624;13,88
232,892;13,89
233,16;13,88
233,428;13,82
233,696;13,85
233,964;13,81
234,232;13,82
234,5;13,82
234,768;13,84
235,036;13,81
235,304;13,85
235,572;13,8
235,84;13,8
236,108;13,79
236,376;13,85
236,644;13,88
236,912;13,86
237,179;13,84
237,447;13,84
237,715;13,85
237,983;13,86
238,251;13,82
238,518;13,82
238,786;13,82
239,054;13,82
239,322;13,79
239,589;13,86
239,857;13,84
240,125;13,87
240,392;13,83
240,66;13,83
240,927;13,8
241,195;13,81
241,463;13,81
241,73;13,84
241,998;13,78
242,265;13,74
242,533;13,72
242,8;13,74
243,068;13,74
243,335;13,75
243,603;13,72
243,87;13,75
244,138;13,72
244,405;13,73
244,672;13,73
244,94;13,74
245,207;13,69
245,474;13,67
245,742;13,63
246,009;13,63
246,276;13,62
246,544;13,61
246,811;13,64
247,078;13,64
247,345;13,6
247,613;13,58
247,88;13,55
248,147;13,56
248,414;13,5
248,681;13,49
248,948;13,48
249,215;13,46
249,483;13,42
249,75;13,39
250,017;13,37
250,284;13,38
250,551;13,35
250,818;13,32
251,085;13,29
251,352;13,28
251,619;13,28
251,886;13,26
252,153;13,25
252,42;13,2
252,687;13,17
252,953;13,17
253,22;13,15
253,487;13,18
253,754;13,15
254,021;13,15
254,288;13,11
254,555;13,09
254,821;13,09
255,088;13,1
255,355;13,1
255,622;13,08
255,888;13,04
256,155;13,03
256,422;13,01
256,688;13,01
256,955;12,98
257,222;12,96
257,488;12,93
257,755;12,91
258,022;12,89
258,288;12,87
258,555;12,82
258,821;12,81
259,088;12,78
259,354;12,76
259,621;12,77
259,887;12,76
260,154;12,71
260,42;12,68
260,687;12,64
260,953;12,61
261,219;12,59
261,486;12,56
261,752;12,54
262,019;12,56
262,285;12,52
262,551;12,5
262,818;12,51
263,084;12,49
263,35;12,48
263,616;12,47
263,883;12,46
264,149;12,46
264,415;12,42
264,681;12,46
264,947;12,45
265,214;12,43
265,48;12,44
265,746;12,46
266,012;12,46
266,278;12,44
266,544;12,43
266,81;12,46
267,076;12,44
267,342;12,45
267,608;12,42
267,874;12,44
268,14;12,45
268,406;12,41
268,672;12,42
268,938;12,41
269,204;12,38
269,47;12,37
269,736;12,36
270,002;12,36
270,268;12,33
270,533;12,31
270,799;12,29
271,065;12,27
271,331;12,24
271,597;12,22
271,862;12,22
272,128;12,23
272,394;12,19
272,66;12,2
272,925;12,19
273,191;12,18
273,457;12,16
273,722;12,15
273,988;12,17
274,254;12,16
274,519;12,17
274,785;12,18
275,05;12,17
275,316;12,18
275,582;12,2
275,847;12,17
276,113;12,16
276,378;12,16
276,644;12,17
276,909;12,17
277,174;12,18
277,44;12,2
277,705;12,2
277,971;12,21
278,236;12,22
278,501;12,22
278,767;12,2
279,032;12,2
279,297;12,18
279,563;12,16
279,828;12,18
280,093;12,17
280,358;12,15
280,624;12,17
280,889;12,15
281,154;12,14
281,419;12,13
281,684;12,11
281,95;12,14
282,215;12,13
282,48;12,14
282,745;12,14
283,01;12,1
283,275;12,1
283,54;12,08
283,805;12,06
284,07;12,06
284,335;12,06
284,6;12,03
284,865;12,04
285,13;12,05
285,395;12,02
285,66;12,01
285,925;12,03
286,19;12,02
286,455;12,02
286,72;12,03
286,985;12,05
287,249;12,06
287,514;12,05
287,779;12,04
288,044;12,01
288,309;12,01
288,573;12
288,838;11,99
289,103;12,01
289,367;12,01
289,632;11,99
289,897;12
290,161;12,01
290,426;11,99
290,691;12,02
290,955;12
291,22;11,99
291,484;11,97
291,749;11,97
292,014;11,96
292,278;11,93
292,543;11,91
292,807;11,9
293,072;11,91
293,336;11,9
293,6;11,9
293,865;11,89
294,129;11,88
294,394;11,88
294,658;11,88
294,922;11,86
295,187;11,85
295,451;11,84
295,715;11,84
295,98;11,87
296,244;11,83
296,508;11,84
296,773;11,84
297,037;11,82
297,301;11,81
297,565;11,82
297,829;11,8
298,094;11,82
298,358;11,81
298,622;11,79
298,886;11,76
299,15;11,75
299,414;11,75
299,678;11,78
299,942;11,77
300,206;11,74
300,47;11,75
300,734;11,74
300,998;11,73
301,262;11,72
301,526;11,7
301,79;11,68
302,054;11,66
302,318;11,66
302,582;11,65
302,846;11,63
303,11;11,62
303,374;11,62
303,637;11,61
303,901;11,62
304,165;11,61
304,429;11,64
304,693;11,61
304,956;11,61
305,22;11,58
305,484;11,57
305,747;11,56
306,011;11,55
306,275;11,53
306,538;11,53
306,802;11,52
307,066;11,51
307,329;11,5
307,593;11,5
307,856;11,48
308,12;11,47
308,384;11,47
308,647;11,44
308,911;11,43
309,174;11,4
309,438;11,36
309,701;11,34
309,964;11,31
310,228;11,31
310,491;11,29
310,755;11,28
311,018;11,31
311,281;11,31
311,545;11,29
311,808;11,29
312,071;11,26
312,335;11,22
312,598;11,21
312,861;11,2
313,124;11,16
313,388;11,16
313,651;11,18
313,914;11,14
314,177;11,12
314,44;11,11
314,704;11,14
314,967;11,13
315,23;11,12
315,493;11,1
315,756;11,09
316,019;11,09
316,282;11,09
316,545;11,03
316,808;11,03
317,071;11,05
317,334;11,04
317,597;11,03
317,86;11,03
318,123;11,02
318,386;11,04
318,649;11,05
318,912;11,03
319,175;10,98
319,437;10,98
319,7;11
319,963;10,98
320,226;10,94
320,489;10,94
320,751;10,92
321,014;10,9
321,277;10,9
321,54;10,88
321,802;10,86
322,065;10,85
322,328;10,8
322,59;10,75
322,853;10,75
323,116;10,73
323,378;10,73
323,641;10,73
323,903;10,69
324,166;10,67
324,428;10,64
324,691;10,64
324,953;10,63
325,216;10,6
325,478;10,61
325,741;10,6
326,003;10,58
326,266;10,55
326,528;10,55
326,791;10,56
327,053;10,55
327,315;10,52
327,578;10,52
327,84;10,51
328,102;10,52
328,365;10,51
328,627;10,52
328,889;10,48
329,151;10,47
329,414;10,48
329,676;10,47
329,938;10,44
330,2;10,42
330,462;10,4
330,725;10,38
330,987;10,33
331,249;10,3
331,511;10,29
331,773;10,28
332,035;10,29
332,297;10,28
332,559;10,26
332,821;10,24
333,083;10,19
333,345;10,19
333,607;10,18
333,869;10,15
334,131;10,11
334,393;10,12
334,655;10,1
334,917;10,06
335,179;10,05
335,44;10,06
335,702;10,06
335,964;10,07
336,226;10,06
336,488;10,07
336,749;10,1
337,011;10,1
337,273;10,1
337,535;10,09
337,796;10,04
338,058;10,05
338,32;10,08
338,581;10,06
338,843;10,06
339,105;10,06
339,366;10,05
339,628;10,07
339,889;10,07
340,151;10,07
340,412;10,07
340,674;10,07
340,935;10,07
341,197;10,09
341,458;10,08
341,72;10,08
341,981;10,1
342,243;10,09
342,504;10,09
342,766;10,1
343,027;10,1
343,288;10,1
343,55;10,06
343,811;10,04
344,072;10,05
344,334;10,05
344,595;10,04
344,856;10,02
345,117;10
345,379;10,02
345,64;10
345,901;9,98
346,162;9,96
346,423;9,94
346,684;9,9
346,946;9,88
347,207;9,86
347,468;9,82
347,729;9,76
347,99;9,74
348,251;9,69
348,512;9,64
348,773;9,64
349,034;9,64
349,295;9,64
349,556;9,62
349,817;9,59
350,078;9,57
350,339;9,59
350,6;9,57
350,86;9,51
351,121;9,51
351,382;9,49
351,643;9,49
351,904;9,46
352,165;9,48
352,425;9,48
352,686;9,46
352,947;9,45
353,208;9,49
353,468;9,54
353,729;9,55
353,99;9,55
354,25;9,54
354,511;9,52
354,772;9,5
355,032;9,53
355,293;9,52
355,553;9,54
355,814;9,48
356,074;9,48
356,335;9,45
356,596;9,44
356,856;9,49
357,116;9,48
357,377;9,51
357,637;9,49
357,898;9,5
358,158;9,5
358,419;9,47
358,679;9,44
358,939;9,39
359,2;9,38
359,46;9,43
359,72;9,4
359,981;9,43
360,241;9,39
360,501;9,35
360,761;9,39
361,022;9,34
361,282;9,39
361,542;9,39
361,802;9,4
362,062;9,41
362,323;9,35
362,583;9,37
362,843;9,35
363,103;9,35
363,363;9,3
363,623;9,3
363,883;9,35
364,143;9,35
364,403;9,34
364,663;9,35
364,923;9,3
365,183;9,32
365,443;9,34
365,703;9,36
365,963;9,35
366,223;9,3
366,483;9,32
366,743;9,29
367,002;9,29
367,262;9,32
367,522;9,29
367,782;9,29
368,042;9,26
368,301;9,27
368,561;9,26
368,821;9,27
369,081;9,23
369,34;9,17
369,6;9,14
369,86;9,18
370,119;9,12
370,379;9,11
370,638;9,1
370,898;9,04
371,158;9,02
371,417;9,01
371,677;9,01
371,936;9
372,196;9,01
372,455;8,99
372,715;8,99
372,974;8,99
373,234;8,98
373,493;8,99
373,753;8,96
374,012;8,96
374,271;8,97
374,531;9,01
374,79;9,05
375,049;9,07
375,309;9,06
375,568;9,06
375,827;9,06
376,086;9,07
376,346;9,08
376,605;9,13
376,864;9,15
377,123;9,15
377,383;9,15
377,642;9,14
377,901;9,15
378,16;9,12
378,419;9,08
378,678;9,07
378,937;9,04
379,196;9,02
379,455;9,02
379,714;9
379,973;8,95
380,232;8,93
380,491;8,93
380,75;8,9
381,009;8,89
381,268;8,91
381,527;8,88
381,786;8,87
382,045;8,82
382,304;8,83
382,563;8,81
382,821;8,82
383,08;8,81
383,339;8,82
383,598;8,82
383,857;8,83
384,115;8,84
384,374;8,88
384,633;8,89
384,891;8,91
385,15;8,9
385,409;8,93
385,667;8,96
385,926;8,92
386,185;8,88
386,443;8,89
386,702;8,85
386,96;8,9
387,219;8,88
387,477;8,89
387,736;8,87
387,994;8,89
388,253;8,88
388,511;8,88
388,77;8,85
389,028;8,84
389,287;8,88
389,545;8,86
389,803;8,8
390,062;8,79
390,32;8,79
390,578;8,76
390,837;8,77
391,095;8,75
391,353;8,8
391,612;8,8
391,87;8,81
392,128;8,84
392,386;8,79
392,644;8,82
392,903;8,81
393,161;8,78
393,419;8,75
393,677;8,75
393,935;8,73
394,193;8,73
394,451;8,76
394,709;8,7
394,967;8,76
395,225;8,77
395,483;8,75
395,741;8,76
395,999;8,81
396,257;8,81
396,515;8,8
396,773;8,81
397,031;8,82
397,289;8,83
397,547;8,81
397,805;8,81
398,062;8,8
398,32;8,81
398,578;8,83
398,836;8,82
399,094;8,81
399,351;8,82
399,609;8,81
399,867;8,75
400,124;8,77
400,382;8,75
400,64;8,79
400,897;8,86
401,155;8,79
401,413;8,81
401,67;8,8
401,928;8,83
402,185;8,77
402,443;8,77
402,701;8,76
402,958;8,75
403,216;8,77
403,473;8,75
403,73;8,75
403,988;8,74
404,245;8,8
404,503;8,83
404,76;8,86
405,018;8,88
405,275;8,9
405,532;8,89
405,79;8,85
406,047;8,81
406,304;8,77
406,561;8,81
406,819;8,79
407,076;8,81
407,333;8,76
407,59;8,79
407,848;8,78
408,105;8,8
408,362;8,79
408,619;8,8
408,876;8,8
409,133;8,79
409,39;8,81
409,647;8,75
409,904;8,73
410,161;8,7
410,418;8,73
410,675;8,73
410,932;8,74
