Data from bitumeWhite_Reflection__5__09.txt Node;
"Date: Fri Sep 12 10:29:11 CEST 2025 User: sycur";
186,01;-4274,42
186,281;-19269,12
186,552;341,2
186,822;235,11
187,093;-36,36
187,364;-226,5
187,635;42575,53
187,905;300,61
188,176;126,52
188,447;96,22
188,717;79,15
188,988;87,13
189,258;92,71
189,529;104,02
189,8;102,44
190,07;92,07
190,341;86,4
190,611;78,43
190,882;73,29
191,152;70,37
191,423;65,57
191,693;62,28
191,964;61,9
192,234;58,91
192,505;54,62
192,775;53,81
193,045;51,3
193,316;48,71
193,586;47,49
193,856;47,55
194,127;46,86
194,397;46,39
194,667;45,55
194,938;45,32
195,208;42,42
195,478;41,52
195,748;39,85
196,019;39,34
196,289;38,73
196,559;37,96
196,829;37,24
197,099;36,63
197,37;35,79
197,64;35,56
197,91;35,02
198,18;34,97
198,45;33,45
198,72;32,89
198,99;31,68
199,26;31,17
199,53;31,05
199,8;30,89
200,07;30,35
200,34;30,08
200,61;29,14
200,88;29,43
201,15;29,01
201,42;29,31
201,69;28,78
201,96;28,63
202,23;28,48
202,499;27,57
202,769;27,41
203,039;27
203,309;26,03
203,579;25,54
203,849;25,5
204,118;25,27
204,388;24,74
204,658;24,79
204,927;24,43
205,197;23,89
205,467;23,21
205,736;23,19
206,006;22,43
206,276;22,17
206,545;21,49
206,815;21,34
207,085;21,03
207,354;20,89
207,624;20,74
207,893;20,15
208,163;20,05
208,432;19,78
208,702;19,63
208,971;19,49
209,241;19,23
209,51;18,87
209,78;18,83
210,049;18,73
210,318;18,47
210,588;18,49
210,857;18,35
211,127;18,4
211,396;18,14
211,665;18,08
211,935;18,1
212,204;18,22
212,473;18,08
212,742;17,88
213,012;17,89
213,281;17,61
213,55;17,62
213,819;17,52
214,088;17,4
214,358;17,16
214,627;17,1
214,896;17
215,165;16,78
215,434;16,53
215,703;16,35
215,972;16,32
216,241;16,04
216,51;15,91
216,779;15,67
217,048;15,64
217,317;15,57
217,586;15,4
217,855;15,24
218,124;15,23
218,393;15,23
218,662;15,01
218,931;14,96
219,2;14,76
219,469;14,68
219,738;14,67
220,006;14,72
220,275;14,74
220,544;14,69
220,813;14,74
221,082;14,73
221,35;14,75
221,619;14,71
221,888;14,76
222,157;14,75
222,425;14,82
