Data from bitumeWhite_Reflection__7__11.txt Node;
"Date: Fri Sep 12 10:39:11 CEST 2025 User: sycur";
186,01;-7513,46
186,281;-28014,71
186,552;504,92
186,822;268,87
187,093;54,55
187,364;-456,99
187,635;72904,26
187,905;463,95
188,176;193,75
188,447;149,55
188,717;113,71
188,988;129,87
189,258;140,55
189,529;157,32
189,8;150,84
190,07;134,94
190,341;126,67
190,611;113,94
190,882;108,32
191,152;101,84
191,423;96,77
191,693;93,53
191,964;93,84
192,234;88,78
192,505;82,7
192,775;82,47
193,045;77,17
193,316;74,24
193,586;72,59
193,856;73,5
194,127;71,95
194,397;72,29
194,667;69,77
194,938;69,27
195,208;66,06
195,478;65,75
195,748;64,36
196,019;63,74
196,289;63,49
196,559;62,37
196,829;61,86
197,099;60,75
197,37;58,7
197,64;57,17
197,91;56,05
198,18;55,89
198,45;53,82
198,72;53,47
198,99;51,82
199,26;51,7
199,53;51,3
199,8;51,34
200,07;50,69
200,34;50,47
200,61;49,07
200,88;49,19
201,15;48,47
201,42;48,28
201,69;47,5
201,96;47,28
202,23;46,63
202,499;45,6
202,769;45,56
203,039;45,21
203,309;44,05
203,579;43,79
203,849;43,47
204,118;43,17
204,388;42,19
204,658;41,73
204,927;40,99
205,197;40,36
205,467;39,25
205,736;38,9
206,006;38,13
206,276;37,6
206,545;36,34
206,815;36,06
207,085;35,56
207,354;35,25
207,624;34,81
207,893;34,01
208,163;33,62
208,432;33,08
208,702;32,75
208,971;32,52
209,241;31,91
209,51;31,26
209,78;30,97
210,049;30,81
210,318;30,43
210,588;30,3
210,857;29,81
211,127;29,77
211,396;29,41
211,665;29,17
211,935;29,1
212,204;29,28
212,473;28,79
212,742;28,55
213,012;28,38
213,281;27,97
213,55;27,88
213,819;27,63
214,088;27,41
214,358;27,05
214,627;26,82
214,896;26,7
215,165;26,36
215,434;25,92
215,703;25,7
215,972;25,64
216,241;25,29
216,51;25,06
216,779;24,65
217,048;24,6
217,317;24,47
217,586;24,27
217,855;23,99
218,124;24,06
218,393;23,94
218,662;23,59
218,931;23,47
219,2;23,25
219,469;23,19
219,738;23,08
220,006;23,04
220,275;22,98
220,544;22,94
220,813;22,98
221,082;22,99
221,35;22,92
221,619;22,84
221,888;22,85
222,157;22,84
222,425;22,86
222,694;22,69
222,963;22,63
223,231;22,52
223,5;22,5
223,769;22,34
224,037;22,36
224,306;22,37
224,574;22,36
224,843;22,38
225,111;22,44
225,38;22,4
225,648;22,4
225,917;22,29
226,185;22,54
226,454;22,51
226,722;22,5
226,991;22,55
227,259;22,52
227,528;22,49
227,796;22,56
228,064;22,54
228,333;22,64
228,601;22,69
228,869;22,72
229,138;22,68
229,406;22,72
229,674;22,67
229,942;22,75
230,211;22,75
230,479;22,8
230,747;22,75
231,015;22,77
231,283;22,82
231,552;22,9
231,82;22,7
232,088;22,71
232,356;22,73
232,624;22,74
232,892;22,77
233,16;22,77
233,428;22,71
233,696;22,76
233,964;22,71
234,232;22,73
234,5;22,73
234,768;22,77
235,036;22,74
235,304;22,78
235,572;22,72
235,84;22,74
236,108;22,72
236,376;22,77
236,644;22,81
236,912;22,76
237,179;22,73
237,447;22,73
237,715;22,76
237,983;22,78
238,251;22,72
238,518;22,72
238,786;22,7
239,054;22,69
239,322;22,64
239,589;22,68
239,857;22,65
240,125;22,68
240,392;22,61
240,66;22,63
240,927;22,59
241,195;22,6
241,463;22,58
241,73;22,59
241,998;22,52
242,265;22,45
242,533;22,43
242,8;22,43
243,068;22,41
243,335;22,36
243,603;22,3
243,87;22,31
244,138;22,26
244,405;22,25
244,672;22,24
244,94;22,25
245,207;22,17
245,474;22,14
245,742;22,06
246,009;22,07
246,276;22,02
246,544;21,99
246,811;21,99
247,078;21,97
247,345;21,92
247,613;21,88
247,88;21,81
248,147;21,77
248,414;21,71
248,681;21,68
248,948;21,68
249,215;21,66
249,483;21,57
249,75;21,51
250,017;21,47
250,284;21,43
250,551;21,36
250,818;21,32
251,085;21,25
251,352;21,23
251,619;21,18
251,886;21,15
252,153;21,12
252,42;21,03
252,687;20,97
252,953;20,93
253,22;20,91
253,487;20,94
253,754;20,9
254,021;20,86
254,288;20,77
254,555;20,75
254,821;20,71
255,088;20,71
255,355;20,69
255,622;20,66
255,888;20,61
256,155;20,59
256,422;20,56
256,688;20,52
256,955;20,48
257,222;20,45
257,488;20,39
257,755;20,35
258,022;20,31
258,288;20,28
258,555;20,22
258,821;20,2
259,088;20,13
259,354;20,09
259,621;20,09
259,887;20,07
260,154;19,99
260,42;19,92
260,687;19,88
260,953;19,82
261,219;19,76
261,486;19,72
261,752;19,67
262,019;19,67
262,285;19,62
262,551;19,58
262,818;19,55
263,084;19,52
263,35;19,48
263,616;19,46
263,883;19,42
264,149;19,4
264,415;19,33
264,681;19,33
264,947;19,31
265,214;19,25
265,48;19,25
265,746;19,23
266,012;19,21
266,278;19,17
266,544;19,16
266,81;19,16
267,076;19,14
267,342;19,1
267,608;19,04
267,874;19,03
268,14;19,01
268,406;18,97
268,672;18,95
268,938;18,94
269,204;18,88
269,47;18,85
269,736;18,81
270,002;18,8
270,268;18,73
270,533;18,69
270,799;18,66
271,065;18,62
271,331;18,59
271,597;18,56
271,862;18,53
272,128;18,51
272,394;18,47
272,66;18,45
272,925;18,42
273,191;18,41
273,457;18,36
273,722;18,36
273,988;18,34
274,254;18,31
274,519;18,28
274,785;18,28
275,05;18,26
275,316;18,24
275,582;18,24
275,847;18,22
276,113;18,19
276,378;18,17
276,644;18,16
276,909;18,13
277,174;18,12
277,44;18,13
277,705;18,1
277,971;18,09
278,236;18,09
278,501;18,07
278,767;18,05
279,032;18,03
279,297;17,98
279,563;17,96
279,828;17,98
280,093;17,96
280,358;17,93
280,624;17,94
280,889;17,92
281,154;17,91
281,419;17,88
281,684;17,86
281,95;17,88
282,215;17,87
282,48;17,86
282,745;17,86
283,01;17,82
283,275;17,82
283,54;17,78
283,805;17,75
284,07;17,75
284,335;17,74
284,6;17,71
284,865;17,73
285,13;17,72
285,395;17,69
285,66;17,69
285,925;17,71
286,19;17,7
286,455;17,7
286,72;17,71
286,985;17,73
287,249;17,75
287,514;17,75
287,779;17,74
288,044;17,74
288,309;17,73
288,573;17,73
288,838;17,73
289,103;17,74
289,367;17,74
289,632;17,72
289,897;17,75
290,161;17,77
290,426;17,75
290,691;17,77
290,955;17,74
291,22;17,75
291,484;17,73
291,749;17,71
292,014;17,7
292,278;17,67
292,543;17,65
292,807;17,63
293,072;17,64
293,336;17,62
293,6;17,62
293,865;17,61
294,129;17,6
294,394;17,61
294,658;17,62
294,922;17,6
295,187;17,6
295,451;17,59
295,715;17,6
295,98;17,63
296,244;17,59
296,508;17,6
296,773;17,59
297,037;17,57
297,301;17,56
297,565;17,57
297,829;17,56
298,094;17,58
298,358;17,59
298,622;17,56
298,886;17,54
299,15;17,54
299,414;17,52
299,678;17,54
299,942;17,53
300,206;17,48
300,47;17,48
300,734;17,47
300,998;17,45
301,262;17,44
301,526;17,4
301,79;17,39
302,054;17,36
302,318;17,35
302,582;17,34
302,846;17,33
303,11;17,32
303,374;17,32
303,637;17,29
303,901;17,29
304,165;17,27
304,429;17,28
304,693;17,23
304,956;17,23
305,22;17,2
305,484;17,18
305,747;17,17
306,011;17,15
306,275;17,12
306,538;17,1
306,802;17,08
307,066;17,08
307,329;17,07
307,593;17,07
307,856;17,04
308,12;17,02
308,384;16,99
308,647;16,95
308,911;16,93
309,174;16,89
309,438;16,83
309,701;16,82
309,964;16,8
310,228;16,79
310,491;16,76
310,755;16,74
311,018;16,77
311,281;16,77
311,545;16,74
