Data from bitumeWhite_Reflection__0__04.txt Node;
"Date: Fri Sep 12 10:24:23 CEST 2025 User: sycur";
186,01;-1391,68
186,281;-8948,53
186,552;194,46
186,822;195,99
187,093;172,73
187,364;48,42
187,635;1164,89
187,905;45,63
188,176;37,07
188,447;37,64
188,717;36,45
188,988;41,88
189,258;42,47
189,529;45,6
189,8;44,74
190,07;42,81
190,341;44,12
190,611;45,09
190,882;42,84
191,152;42,07
191,423;42,23
191,693;42,1
191,964;42,18
192,234;41,01
192,505;39,53
192,775;38,55
193,045;38,2
193,316;37,64
193,586;38,2
193,856;38,26
194,127;38,05
194,397;38,06
194,667;37,77
194,938;37,63
195,208;37,3
195,478;37,42
195,748;37,5
196,019;37,18
196,289;36,84
196,559;37,17
196,829;37
197,099;37,24
197,37;37,57
197,64;37,84
197,91;38,44
198,18;39,01
198,45;38,99
198,72;39,49
198,99;39,7
199,26;39,54
199,53;39,9
199,8;40,09
200,07;40,3
200,34;40,58
200,61;40,91
200,88;41,13
201,15;41,1
201,42;40,97
201,69;41,17
201,96;41,29
202,23;41,27
202,499;41,28
202,769;41,66
203,039;41,59
203,309;41,74
203,579;41,64
203,849;41,71
204,118;41,88
204,388;41,72
204,658;41,8
204,927;41,71
205,197;41,66
205,467;41,71
205,736;41,61
206,006;41,43
206,276;41,39
206,545;41,25
206,815;41,26
207,085;41,3
207,354;41,15
207,624;41,18
207,893;41,21
208,163;41,06
208,432;40,95
208,702;40,89
208,971;40,96
209,241;40,84
209,51;40,8
209,78;40,82
210,049;40,82
210,318;40,75
210,588;40,82
210,857;40,81
211,127;40,74
211,396;40,86
211,665;40,78
211,935;40,89
212,204;40,94
212,473;40,9
212,742;41,08
213,012;41,25
213,281;41,28
213,55;41,31
213,819;41,53
214,088;41,6
214,358;41,71
214,627;41,7
214,896;41,83
215,165;41,96
215,434;42,02
215,703;42,17
215,972;42,3
216,241;42,42
216,51;42,51
216,779;42,61
217,048;42,79
217,317;42,98
217,586;43,17
217,855;43,37
218,124;43,62
218,393;43,76
218,662;43,91
218,931;44,1
219,2;44,27
219,469;44,43
219,738;44,63
220,006;44,82
220,275;45,05
220,544;45,29
220,813;45,47
221,082;45,68
221,35;45,92
221,619;46,18
221,888;46,41
222,157;46,66
222,425;46,91
222,694;47,17
222,963;47,46
223,231;47,68
223,5;48
223,769;48,23
224,037;48,51
224,306;48,82
224,574;49,09
224,843;49,4
225,111;49,71
225,38;49,94
225,648;50,16
225,917;50,39
226,185;50,64
226,454;50,85
226,722;51,12
226,991;51,34
227,259;51,55
227,528;51,76
227,796;51,97
228,064;52,22
228,333;52,39
228,601;52,55
228,869;52,73
229,138;52,88
229,406;53,09
229,674;53,24
229,942;53,36
230,211;53,51
230,479;53,63
230,747;53,74
231,015;53,89
231,283;54,02
231,552;54,15
231,82;54,26
232,088;54,41
232,356;54,5
232,624;54,62
232,892;54,73
233,16;54,84
233,428;54,92
233,696;55,01
233,964;55,09
234,232;55,19
234,5;55,25
234,768;55,32
235,036;55,34
235,304;55,39
235,572;55,46
235,84;55,51
236,108;55,53
236,376;55,57
236,644;55,62
236,912;55,69
237,179;55,7
237,447;55,74
237,715;55,76
237,983;55,82
238,251;55,81
238,518;55,82
238,786;55,85
239,054;55,88
239,322;55,87
239,589;55,88
239,857;55,86
240,125;55,9
240,392;55,9
240,66;55,92
240,927;55,93
241,195;55,93
241,463;55,92
241,73;55,91
241,998;55,9
242,265;55,86
242,533;55,84
242,8;55,83
243,068;55,81
243,335;55,78
243,603;55,73
243,87;55,71
244,138;55,7
244,405;55,66
244,672;55,64
244,94;55,63
245,207;55,59
245,474;55,59
245,742;55,54
246,009;55,51
246,276;55,47
246,544;55,43
246,811;55,38
247,078;55,33
247,345;55,34
247,613;55,29
247,88;55,24
248,147;55,2
248,414;55,18
248,681;55,14
248,948;55,12
249,215;55,08
249,483;55,03
249,75;54,99
250,017;54,93
250,284;54,88
250,551;54,82
250,818;54,78
251,085;54,74
251,352;54,68
251,619;54,64
251,886;54,59
252,153;54,54
252,42;54,5
252,687;54,45
252,953;54,39
253,22;54,37
253,487;54,34
253,754;54,32
254,021;54,27
254,288;54,21
254,555;54,16
254,821;54,12
255,088;54,08
255,355;54,05
255,622;54,04
255,888;53,99
