Data from bitumeWhite_Reflection__1__05.txt Node;
"Date: Fri Sep 12 10:25:39 CEST 2025 User: sycur";
186,01;-6378,46
186,281;-24489,71
186,552;466,18
186,822;204,61
187,093;9,09
187,364;-388,96
187,635;54862,77
187,905;362,26
188,176;143,29
188,447;109,41
188,717;92,36
188,988;114,37
189,258;119,57
189,529;132,55
189,8;128,87
190,07;113,38
190,341;107,86
190,611;94,62
190,882;89,11
191,152;83,42
191,423;78,27
191,693;75,26
191,964;75,63
192,234;71,4
192,505;64,59
192,775;65,06
193,045;60,86
193,316;57,78
193,586;56,52
193,856;57,64
194,127;56,72
194,397;55,35
194,667;52,89
194,938;52,97
195,208;50,21
195,478;49,85
195,748;48,13
196,019;47,94
196,289;47,64
196,559;46,45
196,829;45,86
197,099;45,44
197,37;44,35
197,64;42,82
197,91;41,8
198,18;41,7
198,45;39,98
198,72;39,3
198,99;38,13
199,26;37,87
199,53;37,57
199,8;37,72
200,07;37,46
200,34;37,35
200,61;36,52
200,88;36,65
201,15;35,91
201,42;35,98
201,69;35,17
201,96;35,11
202,23;34,69
202,499;33,7
202,769;33,51
203,039;32,94
203,309;31,94
203,579;31,85
203,849;31,81
204,118;31,43
204,388;30,85
204,658;30,62
204,927;30,18
205,197;29,59
205,467;28,59
205,736;28,26
206,006;27,72
206,276;27,17
206,545;26,2
206,815;26,09
207,085;25,87
207,354;25,46
207,624;25,08
207,893;24,35
208,163;24,1
208,432;23,69
208,702;23,54
208,971;23,42
209,241;23,02
209,51;22,63
209,78;22,45
210,049;22,32
210,318;22,2
210,588;22,1
210,857;21,85
211,127;21,95
211,396;21,72
211,665;21,58
211,935;21,63
212,204;21,79
212,473;21,36
212,742;21,08
213,012;21,11
213,281;20,76
213,55;20,77
213,819;20,61
214,088;20,42
214,358;20,16
214,627;19,94
214,896;19,8
215,165;19,49
215,434;19,14
215,703;18,98
215,972;18,97
216,241;18,57
216,51;18,35
216,779;18,04
217,048;17,99
217,317;17,84
217,586;17,61
217,855;17,4
218,124;17,51
218,393;17,43
218,662;17,14
218,931;17,07
219,2;16,87
219,469;16,78
219,738;16,72
220,006;16,71
220,275;16,77
220,544;16,69
220,813;16,71
221,082;16,69
221,35;16,63
221,619;16,52
221,888;16,56
222,157;16,58
222,425;16,59
222,694;16,46
222,963;16,44
223,231;16,37
223,5;16,36
223,769;16,24
224,037;16,23
224,306;16,24
224,574;16,21
224,843;16,22
225,111;16,26
225,38;16,2
225,648;16,17
225,917;16,04
226,185;16,31
226,454;16,3
226,722;16,3
226,991;16,32
227,259;16,27
227,528;16,24
227,796;16,27
228,064;16,24
228,333;16,31
228,601;16,33
228,869;16,32
229,138;16,3
229,406;16,33
229,674;16,28
229,942;16,3
230,211;16,35
230,479;16,41
230,747;16,36
231,015;16,38
231,283;16,43
231,552;16,49
231,82;16,31
232,088;16,31
232,356;16,33
232,624;16,34
232,892;16,38
233,16;16,39
233,428;16,33
233,696;16,35
233,964;16,32
234,232;16,34
234,5;16,36
234,768;16,4
235,036;16,36
235,304;16,41
235,572;16,37
235,84;16,36
236,108;16,35
236,376;16,44
236,644;16,48
236,912;16,45
237,179;16,44
237,447;16,44
237,715;16,47
237,983;16,49
238,251;16,44
238,518;16,45
238,786;16,42
239,054;16,44
239,322;16,42
239,589;16,45
239,857;16,44
240,125;16,48
240,392;16,43
240,66;16,46
240,927;16,42
241,195;16,44
241,463;16,44
241,73;16,45
241,998;16,4
242,265;16,36
242,533;16,35
242,8;16,38
243,068;16,37
243,335;16,36
243,603;16,31
243,87;16,35
244,138;16,34
244,405;16,36
244,672;16,34
244,94;16,36
245,207;16,34
245,474;16,32
245,742;16,27
246,009;16,28
246,276;16,27
246,544;16,26
246,811;16,29
247,078;16,3
247,345;16,27
247,613;16,26
247,88;16,22
248,147;16,21
248,414;16,15
248,681;16,15
248,948;16,15
249,215;16,15
249,483;16,09
249,75;16,05
250,017;16,02
250,284;16,02
250,551;15,98
250,818;15,95
251,085;15,91
251,352;15,92
251,619;15,9
251,886;15,89
252,153;15,88
252,42;15,83
252,687;15,8
252,953;15,78
253,22;15,76
253,487;15,79
253,754;15,77
254,021;15,74
254,288;15,7
254,555;15,69
254,821;15,69
255,088;15,71
255,355;15,71
255,622;15,7
255,888;15,66
256,155;15,68
256,422;15,66
256,688;15,66
256,955;15,61
257,222;15,6
257,488;15,57
257,755;15,57
258,022;15,55
258,288;15,52
258,555;15,48
258,821;15,47
259,088;15,45
259,354;15,43
259,621;15,44
259,887;15,44
260,154;15,38
260,42;15,34
260,687;15,31
260,953;15,28
261,219;15,27
261,486;15,26
261,752;15,22
262,019;15,23
262,285;15,2
262,551;15,18
262,818;15,17
263,084;15,16
263,35;15,12
263,616;15,11
263,883;15,11
264,149;15,11
264,415;15,09
264,681;15,1
264,947;15,09
265,214;15,07
265,48;15,07
265,746;15,08
266,012;15,08
266,278;15,05
266,544;15,05
266,81;15,07
267,076;15,04
267,342;15,03
267,608;15
267,874;15,01
268,14;15,01
268,406;14,98
268,672;14,99
268,938;14,98
269,204;14,94
269,47;14,95
269,736;14,92
270,002;14,91
270,268;14,88
270,533;14,87
270,799;14,86
271,065;14,85
