Data from sienaBrucWhite_Reflection__2__56.txt Node;
"Date: Thu Sep 11 17:16:20 CEST 2025 User: sycur";
186,01;-1750,62
186,281;1059,62
186,552;299,05
186,822;88,41
187,093;0
187,364;-232,41
187,635;-80,31
187,905;38,17
188,176;24,46
188,447;26,4
188,717;20,88
188,988;25
189,258;30,3
189,529;34
189,8;30,17
190,07;25,56
190,341;24,7
190,611;20,33
190,882;22,07
191,152;20,64
191,423;18,74
191,693;18,77
191,964;18,09
192,234;17,67
192,505;15,97
192,775;15,82
193,045;14,62
193,316;14,19
193,586;14,05
193,856;13,39
194,127;13,31
194,397;14
194,667;14,6
194,938;13,95
195,208;13,67
195,478;12,98
195,748;13,56
196,019;13,12
196,289;13,85
196,559;13,02
196,829;13,03
197,099;12,94
197,37;12,32
197,64;11,5
197,91;11,62
198,18;11,79
198,45;11,62
198,72;12,18
198,99;12,05
199,26;11,94
199,53;12,4
199,8;12,11
200,07;11,36
200,34;10,69
200,61;10,74
200,88;10,38
201,15;10,68
201,42;10,25
201,69;9,66
201,96;9,57
202,23;9,4
202,499;9,29
202,769;9,3
203,039;9,31
203,309;9,33
203,579;9,36
203,849;9,05
204,118;8,87
204,388;8,72
204,658;8,67
204,927;8,7
205,197;8,35
205,467;8,1
205,736;7,97
206,006;7,77
206,276;7,41
206,545;7,31
206,815;7,11
207,085;7,12
207,354;7,3
207,624;7,02
207,893;6,91
208,163;6,72
208,432;6,52
208,702;6,44
208,971;6,36
209,241;6,11
209,51;6,12
209,78;6,02
210,049;5,85
210,318;5,74
210,588;5,6
210,857;5,54
211,127;5,49
211,396;5,6
211,665;5,72
211,935;5,72
212,204;5,67
212,473;5,5
212,742;5,43
213,012;5,27
213,281;5,17
213,55;5,12
213,819;5
214,088;4,94
214,358;4,91
214,627;4,91
214,896;4,8
215,165;4,74
215,434;4,68
215,703;4,6
215,972;4,49
216,241;4,37
216,51;4,41
216,779;4,37
217,048;4,24
217,317;4,11
217,586;4,06
217,855;4
218,124;4,06
218,393;4,06
218,662;4,06
218,931;4,06
219,2;4,06
219,469;4,08
219,738;4,07
220,006;4,02
220,275;3,98
220,544;4,02
220,813;3,98
221,082;3,94
221,35;3,92
221,619;3,93
221,888;3,97
222,157;3,93
222,425;3,86
222,694;3,81
222,963;3,76
223,231;3,77
223,5;3,77
223,769;3,73
224,037;3,66
224,306;3,67
224,574;3,64
224,843;3,6
225,111;3,58
225,38;3,57
225,648;3,56
225,917;3,53
226,185;3,55
226,454;3,53
226,722;3,5
226,991;3,51
227,259;3,47
227,528;3,46
227,796;3,41
228,064;3,42
228,333;3,43
228,601;3,43
228,869;3,4
229,138;3,36
229,406;3,34
229,674;3,36
229,942;3,34
230,211;3,33
230,479;3,34
230,747;3,32
231,015;3,3
231,283;3,29
231,552;3,29
231,82;3,21
232,088;3,2
232,356;3,2
232,624;3,18
232,892;3,19
233,16;3,16
233,428;3,15
233,696;3,15
233,964;3,13
234,232;3,12
234,5;3,11
234,768;3,1
235,036;3,12
235,304;3,09
235,572;3,06
235,84;3,05
236,108;3,06
236,376;3,07
236,644;3,08
236,912;3,07
237,179;3,05
237,447;3,05
237,715;3,06
237,983;3,05
238,251;3,06
238,518;3,07
238,786;3,07
239,054;3,07
239,322;3,05
239,589;3,06
239,857;3,04
240,125;3,04
240,392;3,06
240,66;3,05
240,927;3,05
241,195;3,07
241,463;3,06
241,73;3,05
241,998;3,04
242,265;3,02
