Data from sienaBrucWhite_Reflection__3__57.txt Node;
"Date: Thu Sep 11 17:17:03 CEST 2025 User: sycur";
186,01;-2757,79
186,281;2121,13
186,552;338,1
186,822;351,34
187,093;0
187,364;-509,22
187,635;-143,94
187,905;100,17
188,176;37,48
188,447;32,24
188,717;28,83
188,988;28,63
189,258;31,24
189,529;36,51
189,8;37,73
190,07;37
190,341;34,08
190,611;29,41
190,882;27,65
191,152;27,46
191,423;25,33
191,693;25,44
191,964;24,34
192,234;23,05
192,505;21,24
192,775;20,72
193,045;19,93
193,316;20,12
193,586;19,44
193,856;19,8
194,127;20,15
194,397;19,93
194,667;20,22
194,938;19,24
195,208;18,63
195,478;17,37
195,748;17,02
196,019;17,32
196,289;17,28
196,559;17,03
196,829;16,82
197,099;17,07
197,37;16,35
197,64;15,69
197,91;15,82
198,18;16,01
198,45;15,72
198,72;15,55
198,99;15,11
199,26;14,96
199,53;14,91
199,8;14,2
200,07;13,87
200,34;13,45
200,61;13,55
200,88;13,56
201,15;13,62
201,42;13,54
201,69;13,02
201,96;13,08
202,23;12,67
202,499;12,28
202,769;12,43
203,039;12,33
203,309;12,59
203,579;12,11
203,849;11,97
204,118;11,67
204,388;11,47
204,658;11,19
204,927;11,03
205,197;10,74
205,467;10,48
205,736;10,43
206,006;10,26
206,276;9,99
206,545;9,88
206,815;9,81
207,085;9,51
207,354;9,58
207,624;9,36
207,893;9,14
208,163;9,15
208,432;8,75
208,702;8,64
208,971;8,43
209,241;8,36
209,51;8,2
209,78;8,1
210,049;7,99
210,318;7,93
210,588;7,86
210,857;7,88
211,127;7,89
211,396;7,76
211,665;7,79
211,935;7,81
212,204;7,75
212,473;7,59
212,742;7,61
213,012;7,45
213,281;7,34
213,55;7,4
213,819;7,18
214,088;7,16
214,358;7,09
214,627;6,95
214,896;6,85
215,165;6,8
215,434;6,76
215,703;6,75
215,972;6,61
216,241;6,47
216,51;6,43
216,779;6,39
217,048;6,37
217,317;6,24
217,586;6,15
217,855;6,05
218,124;6,07
218,393;6,04
218,662;6,01
218,931;6,02
219,2;6,07
219,469;6,09
219,738;6,03
220,006;5,95
220,275;5,94
220,544;5,98
220,813;5,91
221,082;5,89
221,35;5,83
221,619;5,79
221,888;5,76
222,157;5,76
222,425;5,69
222,694;5,61
222,963;5,61
223,231;5,58
223,5;5,55
223,769;5,53
224,037;5,47
224,306;5,44
224,574;5,42
224,843;5,32
225,111;5,32
225,38;5,29
225,648;5,27
225,917;5,26
226,185;5,24
226,454;5,25
226,722;5,22
226,991;5,21
227,259;5,22
227,528;5,22
227,796;5,15
228,064;5,15
228,333;5,15
228,601;5,14
228,869;5,1
229,138;5,06
229,406;5,02
229,674;5,04
229,942;5,04
230,211;5,04
230,479;5,04
230,747;5,02
231,015;5,01
231,283;5,02
231,552;5,01
231,82;4,97
232,088;4,93
232,356;4,93
232,624;4,89
232,892;4,88
233,16;4,86
233,428;4,84
233,696;4,82
233,964;4,81
234,232;4,77
234,5;4,77
234,768;4,77
235,036;4,78
235,304;4,74
235,572;4,71
235,84;4,67
236,108;4,66
236,376;4,66
236,644;4,67
236,912;4,62
237,179;4,6
237,447;4,59
237,715;4,59
237,983;4,59
238,251;4,58
238,518;4,57
238,786;4,57
239,054;4,56
239,322;4,55
239,589;4,53
239,857;4,52
240,125;4,51
240,392;4,49
240,66;4,48
240,927;4,48
241,195;4,48
241,463;4,47
241,73;4,47
241,998;4,44
242,265;4,41
242,533;4,41
242,8;4,42
243,068;4,41
243,335;4,39
243,603;4,38
243,87;4,38
244,138;4,36
244,405;4,36
244,672;4,35
244,94;4,36
245,207;4,35
245,474;4,35
245,742;4,34
246,009;4,35
246,276;4,34
246,544;4,33
246,811;4,33
247,078;4,33
247,345;4,31
247,613;4,32
247,88;4,32
248,147;4,32
248,414;4,31
248,681;4,3
248,948;4,31
249,215;4,3
249,483;4,28
249,75;4,29
250,017;4,28
250,284;4,29
250,551;4,27
250,818;4,28
251,085;4,27
251,352;4,26
251,619;4,26
251,886;4,25
252,153;4,25
252,42;4,25
252,687;4,24
252,953;4,25
253,22;4,24
253,487;4,25
253,754;4,24
254,021;4,22
254,288;4,21
254,555;4,21
254,821;4,22
255,088;4,23
255,355;4,21
255,622;4,2
255,888;4,2
256,155;4,21
256,422;4,19
256,688;4,19
256,955;4,2
257,222;4,19
257,488;4,18
257,755;4,18
258,022;4,17
258,288;4,17
258,555;4,15
258,821;4,16
259,088;4,15
259,354;4,15
259,621;4,15
259,887;4,15
260,154;4,14
260,42;4,14
260,687;4,13
260,953;4,13
261,219;4,14
261,486;4,12
261,752;4,12
262,019;4,11
262,285;4,11
262,551;4,11
262,818;4,11
263,084;4,1
263,35;4,09
263,616;4,09
263,883;4,09
264,149;4,11
264,415;4,1
264,681;4,1
264,947;4,1
265,214;4,09
265,48;4,08
265,746;4,08
266,012;4,09
266,278;4,08
266,544;4,07
266,81;4,07
