Data from sienaBrucWhite_Reflection__4__58.txt Node;
"Date: Thu Sep 11 17:17:42 CEST 2025 User: sycur";
186,01;-1739,31
186,281;1539,62
186,552;339,51
186,822;245,22
187,093;0
187,364;-63,73
187,635;-96,33
187,905;58,52
188,176;32,55
188,447;29,65
188,717;25,11
188,988;26,97
189,258;29,09
189,529;31,71
189,8;31,16
190,07;30,37
190,341;31,16
190,611;26,69
190,882;24,74
191,152;23,1
191,423;22,75
191,693;22,25
191,964;22,27
192,234;22,05
192,505;20,92
192,775;21,13
193,045;20,47
193,316;19,71
193,586;19,9
193,856;19,11
194,127;18,81
194,397;18,81
194,667;18,54
194,938;18,47
195,208;17,97
195,478;17,23
195,748;17,24
196,019;16,77
196,289;17,6
196,559;17,56
196,829;17,16
197,099;16,46
197,37;15,99
197,64;15,26
197,91;14,99
198,18;14,68
198,45;14,29
198,72;14,31
198,99;14,2
199,26;13,7
199,53;13,84
199,8;13,42
200,07;12,94
200,34;13,12
200,61;12,7
200,88;12,36
201,15;12,53
201,42;12,17
201,69;11,72
201,96;11,57
202,23;11,22
202,499;10,88
202,769;11,1
203,039;10,81
203,309;10,78
203,579;10,35
203,849;10,09
204,118;9,79
204,388;9,51
204,658;9,18
204,927;9,12
205,197;8,97
205,467;8,81
205,736;8,69
206,006;8,22
206,276;8,03
206,545;7,88
206,815;7,77
207,085;7,65
207,354;7,62
207,624;7,44
207,893;7,33
208,163;7,28
208,432;7,09
208,702;6,97
208,971;6,83
209,241;6,85
209,51;6,85
209,78;6,7
210,049;6,61
210,318;6,52
210,588;6,39
210,857;6,26
211,127;6,22
211,396;6,18
211,665;6,19
211,935;6,11
212,204;6,15
212,473;5,89
212,742;5,89
213,012;5,73
213,281;5,69
213,55;5,64
213,819;5,5
214,088;5,37
214,358;5,38
214,627;5,32
214,896;5,14
215,165;5,07
215,434;5,03
215,703;5,02
215,972;4,89
216,241;4,79
216,51;4,76
216,779;4,7
217,048;4,65
217,317;4,53
217,586;4,5
217,855;4,35
218,124;4,42
218,393;4,35
218,662;4,36
218,931;4,26
219,2;4,23
219,469;4,22
219,738;4,19
220,006;4,15
220,275;4,06
220,544;4,1
220,813;4,04
221,082;3,98
221,35;3,92
221,619;3,94
221,888;3,93
222,157;3,9
222,425;3,87
222,694;3,8
222,963;3,78
223,231;3,74
223,5;3,73
223,769;3,7
224,037;3,7
224,306;3,67
224,574;3,66
224,843;3,61
225,111;3,61
225,38;3,57
225,648;3,56
225,917;3,55
226,185;3,52
226,454;3,48
226,722;3,44
226,991;3,42
227,259;3,39
227,528;3,37
227,796;3,36
228,064;3,33
228,333;3,33
228,601;3,34
228,869;3,32
229,138;3,3
229,406;3,26
229,674;3,24
229,942;3,24
230,211;3,23
230,479;3,23
230,747;3,22
231,015;3,22
231,283;3,21
231,552;3,21
231,82;3,17
232,088;3,17
232,356;3,17
232,624;3,15
232,892;3,16
233,16;3,14
233,428;3,11
233,696;3,12
233,964;3,11
234,232;3,08
234,5;3,05
234,768;3,03
235,036;3,04
235,304;3,04
235,572;3
235,84;2,98
236,108;2,98
236,376;2,98
236,644;2,98
236,912;2,96
237,179;2,94
237,447;2,95
237,715;2,95
237,983;2,96
238,251;2,95
238,518;2,94
238,786;2,94
239,054;2,94
239,322;2,92
239,589;2,9
239,857;2,91
240,125;2,93
240,392;2,94
240,66;2,94
240,927;2,92
241,195;2,92
241,463;2,92
241,73;2,91
241,998;2,89
242,265;2,87
242,533;2,87
242,8;2,89
243,068;2,88
243,335;2,87
243,603;2,86
243,87;2,86
244,138;2,85
244,405;2,85
244,672;2,85
244,94;2,85
245,207;2,84
245,474;2,85
245,742;2,83
246,009;2,83
246,276;2,82
246,544;2,81
246,811;2,83
247,078;2,82
247,345;2,8
247,613;2,81
247,88;2,8
248,147;2,79
248,414;2,77
248,681;2,77
248,948;2,77
249,215;2,76
249,483;2,76
249,75;2,75
250,017;2,73
250,284;2,73
250,551;2,72
250,818;2,72
251,085;2,69
251,352;2,69
251,619;2,69
251,886;2,69
252,153;2,69
252,42;2,67
252,687;2,67
252,953;2,67
253,22;2,66
253,487;2,67
253,754;2,66
254,021;2,66
254,288;2,66
254,555;2,66
254,821;2,66
255,088;2,66
255,355;2,65
255,622;2,66
255,888;2,65
256,155;2,65
256,422;2,63
256,688;2,64
256,955;2,64
257,222;2,63
257,488;2,62
257,755;2,61
258,022;2,62
258,288;2,61
258,555;2,6
258,821;2,61
259,088;2,6
259,354;2,59
259,621;2,59
259,887;2,58
260,154;2,57
260,42;2,56
260,687;2,55
260,953;2,56
261,219;2,55
261,486;2,55
261,752;2,55
262,019;2,55
262,285;2,54
262,551;2,52
262,818;2,53
263,084;2,52
263,35;2,52
263,616;2,52
263,883;2,52
264,149;2,52
264,415;2,51
264,681;2,52
264,947;2,51
265,214;2,49
265,48;2,5
265,746;2,49
266,012;2,5
266,278;2,49
266,544;2,48
266,81;2,48
267,076;2,48
267,342;2,48
267,608;2,49
267,874;2,49
268,14;2,49
268,406;2,48
268,672;2,47
268,938;2,47
269,204;2,46
269,47;2,45
269,736;2,44
270,002;2,44
270,268;2,43
270,533;2,43
270,799;2,44
271,065;2,43
271,331;2,43
271,597;2,43
271,862;2,42
272,128;2,42
272,394;2,42
272,66;2,42
272,925;2,41
273,191;2,4
273,457;2,4
273,722;2,39
273,988;2,39
274,254;2,4
274,519;2,4
274,785;2,4
275,05;2,4
275,316;2,41
275,582;2,41
