Data from sienaBrucWhite_Reflection__0__54.txt Node;
"Date: Thu Sep 11 17:14:45 CEST 2025 User: sycur";
186,01;-1943,86
186,281;2183,77
186,552;351,77
186,822;314,46
187,093;0
187,364;-419,12
187,635;-155,99
187,905;104,02
188,176;48,13
188,447;44,81
188,717;32,13
188,988;32,37
189,258;33,32
189,529;36,21
189,8;38,02
190,07;35,9
190,341;35,22
190,611;31,85
190,882;32,22
191,152;32,51
191,423;31,04
191,693;30,8
191,964;32,29
192,234;31,68
192,505;30,59
192,775;30,86
193,045;30,22
193,316;29,62
193,586;30,38
193,856;30,48
194,127;31,32
194,397;32,56
194,667;33,32
194,938;33,09
195,208;33,23
195,478;33,12
195,748;33,8
196,019;33,32
196,289;34,03
196,559;33,89
196,829;33,98
197,099;34,15
197,37;34,18
197,64;33,15
197,91;32,88
198,18;33,25
198,45;33,02
198,72;32,97
198,99;32,77
199,26;31,9
199,53;32,27
199,8;31,83
200,07;31,38
200,34;31,19
200,61;31,1
200,88;30,91
201,15;30,68
201,42;30,04
201,69;29,94
201,96;29,94
202,23;29,55
202,499;29,1
202,769;29,34
203,039;29,09
203,309;29,24
203,579;29,08
203,849;28,74
204,118;28,47
204,388;28,25
204,658;28,04
204,927;27,95
205,197;27,76
205,467;27,32
205,736;27,29
206,006;26,99
206,276;26,81
206,545;26,6
206,815;26,52
207,085;26,54
207,354;26,56
207,624;26,27
207,893;26,08
208,163;26,17
208,432;25,93
208,702;25,84
208,971;25,55
209,241;25,39
209,51;25,27
209,78;25,06
210,049;24,88
210,318;24,96
210,588;24,83
210,857;24,59
211,127;24,5
211,396;24,47
211,665;24,52
211,935;24,53
212,204;24,52
212,473;24,37
212,742;24,3
213,012;24,14
213,281;24,16
213,55;24,16
213,819;23,92
214,088;23,78
214,358;23,69
214,627;23,71
214,896;23,61
215,165;23,52
215,434;23,45
215,703;23,43
215,972;23,26
216,241;23,26
216,51;23,27
216,779;23,28
217,048;23,16
217,317;23,04
217,586;22,99
217,855;22,93
218,124;22,93
218,393;22,94
218,662;22,92
218,931;22,83
219,2;22,85
219,469;22,84
219,738;22,85
220,006;22,84
220,275;22,81
220,544;22,87
220,813;22,88
221,082;22,92
221,35;22,95
221,619;23,01
221,888;23
222,157;23,04
222,425;23,06
222,694;23,06
222,963;23,06
223,231;23,07
223,5;23,12
223,769;23,15
224,037;23,15
224,306;23,17
224,574;23,2
224,843;23,16
225,111;23,21
225,38;23,21
225,648;23,24
225,917;23,23
226,185;23,26
226,454;23,23
226,722;23,24
226,991;23,25
227,259;23,25
227,528;23,27
227,796;23,25
228,064;23,26
228,333;23,29
228,601;23,33
228,869;23,32
229,138;23,3
229,406;23,29
229,674;23,29
229,942;23,31
230,211;23,33
230,479;23,35
230,747;23,3
231,015;23,31
231,283;23,29
231,552;23,33
231,82;23,29
232,088;23,27
232,356;23,27
232,624;23,24
232,892;23,21
233,16;23,19
233,428;23,17
233,696;23,18
233,964;23,17
234,232;23,12
234,5;23,09
234,768;23,08
235,036;23,06
235,304;23,04
235,572;23,01
235,84;22,97
236,108;22,97
236,376;23,01
236,644;22,98
236,912;22,96
237,179;22,92
237,447;22,93
237,715;22,93
237,983;22,93
238,251;22,93
238,518;22,93
238,786;22,91
239,054;22,89
239,322;22,85
239,589;22,84
239,857;22,84
240,125;22,87
240,392;22,86
240,66;22,87
240,927;22,85
241,195;22,85
241,463;22,85
241,73;22,85
241,998;22,81
242,265;22,81
242,533;22,8
242,8;22,8
243,068;22,78
243,335;22,77
243,603;22,74
243,87;22,74
244,138;22,72
244,405;22,73
244,672;22,72
244,94;22,7
245,207;22,68
245,474;22,67
245,742;22,63
246,009;22,61
246,276;22,57
246,544;22,56
246,811;22,53
247,078;22,52
247,345;22,48
247,613;22,45
247,88;22,42
248,147;22,39
248,414;22,36
248,681;22,34
248,948;22,33
249,215;22,31
249,483;22,27
249,75;22,24
250,017;22,19
250,284;22,16
250,551;22,15
250,818;22,13
251,085;22,08
251,352;22,05
251,619;22,03
251,886;22,01
252,153;21,99
252,42;21,98
252,687;21,95
252,953;21,94
253,22;21,9
253,487;21,9
253,754;21,88
254,021;21,86
254,288;21,82
254,555;21,81
254,821;21,78
255,088;21,76
255,355;21,74
255,622;21,74
255,888;21,71
256,155;21,68
256,422;21,65
256,688;21,64
256,955;21,63
257,222;21,62
257,488;21,59
257,755;21,58
258,022;21,54
258,288;21,52
258,555;21,48
258,821;21,48
259,088;21,45
259,354;21,44
259,621;21,42
259,887;21,42
260,154;21,38
260,42;21,37
260,687;21,36
260,953;21,35
261,219;21,31
261,486;21,31
261,752;21,29
262,019;21,27
262,285;21,25
262,551;21,23
262,818;21,21
263,084;21,21
263,35;21,19
263,616;21,18
263,883;21,18
264,149;21,16
264,415;21,13
264,681;21,13
264,947;21,12
265,214;21,11
265,48;21,1
265,746;21,09
266,012;21,07
266,278;21,07
266,544;21,06
266,81;21,06
267,076;21,06
267,342;21,05
267,608;21,04
267,874;21,05
268,14;21,05
268,406;21,04
268,672;21,04
268,938;21,02
269,204;21,02
269,47;21,02
269,736;21,01
270,002;21,01
270,268;20,97
270,533;20,97
270,799;20,98
271,065;20,96
271,331;20,96
271,597;20,95
271,862;20,93
272,128;20,94
272,394;20,95
272,66;20,95
272,925;20,95
273,191;20,96
273,457;20,96
273,722;20,96
273,988;20,94
274,254;20,93
274,519;20,93
274,785;20,92
275,05;20,9
275,316;20,92
275,582;20,92
275,847;20,93
276,113;20,93
276,378;20,91
276,644;20,9
276,909;20,9
277,174;20,91
277,44;20,93
277,705;20,93
277,971;20,92
278,236;20,9
278,501;20,89
278,767;20,87
279,032;20,87
279,297;20,85
279,563;20,87
279,828;20,87
280,093;20,86
280,358;20,85
280,624;20,87
280,889;20,85
281,154;20,86
281,419;20,84
281,684;20,83
281,95;20,84
282,215;20,85
282,48;20,84
282,745;20,82
283,01;20,78
283,275;20,75
283,54;20,73
283,805;20,72
284,07;20,72
284,335;20,72
284,6;20,7
284,865;20,7
285,13;20,68
285,395;20,66
285,66;20,64
285,925;20,63
286,19;20,61
286,455;20,6
286,72;20,58
286,985;20,58
287,249;20,57
287,514;20,56
287,779;20,55
288,044;20,55
288,309;20,52
288,573;20,53
288,838;20,52
289,103;20,52
289,367;20,52
289,632;20,51
289,897;20,5
290,161;20,5
290,426;20,47
290,691;20,48
290,955;20,47
291,22;20,48
291,484;20,47
291,749;20,45
292,014;20,45
292,278;20,44
292,543;20,43
292,807;20,43
293,072;20,43
293,336;20,41
293,6;20,38
293,865;20,38
294,129;20,37
294,394;20,36
294,658;20,34
294,922;20,33
295,187;20,32
295,451;20,31
295,715;20,28
295,98;20,28
296,244;20,25
296,508;20,23
296,773;20,2
297,037;20,2
297,301;20,17
297,565;20,16
297,829;20,14
298,094;20,14
298,358;20,12
298,622;20,09
298,886;20,08
299,15;20,07
299,414;20,07
299,678;20,06
299,942;20,05
300,206;20,02
300,47;20,01
300,734;19,98
300,998;19,96
301,262;19,96
301,526;19,94
301,79;19,93
302,054;19,92
302,318;19,91
302,582;19,87
302,846;19,86
303,11;19,84
303,374;19,82
303,637;19,8
303,901;19,78
304,165;19,77
304,429;19,75
304,693;19,72
304,956;19,69
305,22;19,67
305,484;19,64
305,747;19,63
306,011;19,61
306,275;19,59
306,538;19,57
306,802;19,55
307,066;19,54
307,329;19,52
307,593;19,51
307,856;19,49
308,12;19,47
308,384;19,45
308,647;19,41
308,911;19,41
309,174;19,39
309,438;19,36
309,701;19,33
309,964;19,31
310,228;19,3
310,491;19,29
310,755;19,27
311,018;19,25
311,281;19,23
311,545;19,21
311,808;19,2
312,071;19,16
312,335;19,15
312,598;19,14
312,861;19,1
313,124;19,08
313,388;19,07
313,651;19,05
313,914;19,03
314,177;19,02
314,44;18,99
314,704;18,97
314,967;18,96
315,23;18,95
315,493;18,92
315,756;18,89
316,019;18,86
316,282;18,84
316,545;18,82
316,808;18,8
317,071;18,78
317,334;18,75
317,597;18,74
317,86;18,71
318,123;18,67
318,386;18,65
318,649;18,62
318,912;18,59
319,175;18,57
319,437;18,55
319,7;18,53
319,963;18,49
320,226;18,46
320,489;18,42
320,751;18,4
321,014;18,37
321,277;18,36
321,54;18,33
321,802;18,31
322,065;18,27
322,328;18,25
322,59;18,22
322,853;18,19
323,116;18,17
323,378;18,15
323,641;18,11
323,903;18,08
324,166;18,06
324,428;18,02
324,691;18
324,953;17,98
325,216;17,95
325,478;17,93
325,741;17,9
326,003;17,89
326,266;17,84
326,528;17,82
326,791;17,8
327,053;17,78
327,315;17,74
327,578;17,73
327,84;17,69
328,102;17,67
328,365;17,65
328,627;17,62
328,889;17,6
329,151;17,6
329,414;17,57
329,676;17,54
329,938;17,52
330,2;17,49
330,462;17,47
330,725;17,44
330,987;17,41
331,249;17,38
331,511;17,35
331,773;17,32
332,035;17,29
332,297;17,27
332,559;17,25
332,821;17,23
333,083;17,19
333,345;17,17
333,607;17,15
333,869;17,12
334,131;17,09
334,393;17,07
334,655;17,04
334,917;17,03
335,179;17,01
335,44;17
335,702;16,99
335,964;16,98
336,226;16,97
336,488;16,97
336,749;16,97
337,011;16,97
337,273;16,97
337,535;16,96
337,796;16,94
338,058;16,94
338,32;16,93
338,581;16,93
338,843;16,92
339,105;16,92
339,366;16,92
339,628;16,93
339,889;16,92
340,151;16,92
340,412;16,9
340,674;16,89
340,935;16,87
341,197;16,88
341,458;16,86
341,72;16,85
341,981;16,84
342,243;16,8
342,504;16,77
342,766;16,76
343,027;16,74
343,288;16,73
343,55;16,69
343,811;16,66
344,072;16,62
344,334;16,61
344,595;16,57
344,856;16,52
345,117;16,47
345,379;16,43
345,64;16,38
345,901;16,35
346,162;16,31
346,423;16,26
346,684;16,21
346,946;16,17
347,207;16,13
347,468;16,08
347,729;16,04
347,99;16,02
348,251;15,97
348,512;15,93
348,773;15,89
349,034;15,83
349,295;15,8
349,556;15,77
349,817;15,73
350,078;15,7
350,339;15,68
350,6;15,68
350,86;15,63
351,121;15,63
351,382;15,6
351,643;15,58
351,904;15,55
352,165;15,54
352,425;15,51
352,686;15,51
352,947;15,5
353,208;15,48
353,468;15,45
353,729;15,44
353,99;15,42
354,25;15,41
354,511;15,41
354,772;15,4
355,032;15,38
355,293;15,38
355,553;15,35
355,814;15,32
356,074;15,3
356,335;15,31
356,596;15,27
356,856;15,26
357,116;15,25
357,377;15,26
357,637;15,24
357,898;15,23
358,158;15,19
358,419;15,19
358,679;15,18
358,939;15,17
359,2;15,13
359,46;15,12
359,72;15,13
359,981;15,13
360,241;15,11
360,501;15,11
360,761;15,08
361,022;15,07
361,282;15,08
361,542;15,09
361,802;15,06
362,062;15,05
362,323;15,05
362,583;15,05
362,843;15,01
363,103;15
363,363;14,98
363,623;14,98
363,883;14,95
364,143;14,93
364,403;14,93
364,663;14,95
364,923;14,93
365,183;14,91
365,443;14,9
365,703;14,89
365,963;14,87
366,223;14,85
366,483;14,85
366,743;14,83
367,002;14,81
367,262;14,83
367,522;14,82
367,782;14,8
368,042;14,77
368,301;14,77
368,561;14,75
368,821;14,74
369,081;14,7
369,34;14,72
369,6;14,7
369,86;14,67
370,119;14,64
370,379;14,61
370,638;14,59
370,898;14,57
371,158;14,56
371,417;14,55
371,677;14,56
371,936;14,56
372,196;14,55
372,455;14,54
372,715;14,49
372,974;14,48
373,234;14,47
373,493;14,46
373,753;14,47
374,012;14,46
374,271;14,44
374,531;14,45
374,79;14,42
375,049;14,43
375,309;14,44
375,568;14,45
375,827;14,45
376,086;14,45
376,346;14,46
376,605;14,45
376,864;14,45
377,123;14,45
377,383;14,43
377,642;14,43
377,901;14,41
378,16;14,41
378,419;14,4
378,678;14,4
378,937;14,38
379,196;14,39
379,455;14,39
379,714;14,39
379,973;14,37
380,232;14,39
380,491;14,38
380,75;14,37
381,009;14,35
381,268;14,35
381,527;14,36
381,786;14,35
382,045;14,33
382,304;14,32
382,563;14,3
382,821;14,28
383,08;14,27
383,339;14,27
383,598;14,25
383,857;14,24
384,115;14,22
384,374;14,21
384,633;14,19
384,891;14,19
385,15;14,18
385,409;14,2
385,667;14,19
385,926;14,18
386,185;14,18
386,443;14,18
386,702;14,17
386,96;14,14
387,219;14,12
387,477;14,12
387,736;14,11
387,994;14,14
388,253;14,13
388,511;14,14
388,77;14,14
389,028;14,14
389,287;14,15
389,545;14,18
389,803;14,2
390,062;14,19
390,32;14,19
390,578;14,19
390,837;14,17
391,095;14,16
391,353;14,16
391,612;14,16
391,87;14,17
392,128;14,17
392,386;14,17
392,644;14,18
392,903;14,17
393,161;14,17
393,419;14,13
393,677;14,13
393,935;14,11
394,193;14,12
394,451;14,12
394,709;14,12
394,967;14,1
395,225;14,1
395,483;14,11
395,741;14,1
395,999;14,11
396,257;14,12
396,515;14,11
396,773;14,09
397,031;14,09
397,289;14,08
397,547;14,08
397,805;14,09
398,062;14,09
398,32;14,09
398,578;14,07
398,836;14,09
399,094;14,09
399,351;14,09
399,609;14,07
399,867;14,06
400,124;14,05
400,382;14,04
400,64;14,04
400,897;14,03
401,155;14,01
401,413;14
401,67;13,99
401,928;14
402,185;13,99
402,443;13,99
402,701;13,97
402,958;13,99
403,216;14
403,473;13,99
403,73;13,99
403,988;14
404,245;13,95
404,503;13,94
404,76;13,94
405,018;13,93
405,275;13,93
405,532;13,92
405,79;13,9
406,047;13,87
406,304;13,86
406,561;13,88
406,819;13,85
407,076;13,84
407,333;13,81
407,59;13,81
407,848;13,79
408,105;13,81
408,362;13,8
408,619;13,78
408,876;13,78
409,133;13,78
409,39;13,78
409,647;13,81
409,904;13,81
410,161;13,82
410,418;13,85
410,675;13,87
410,932;13,88
411,189;13,89
411,446;13,9
411,703;13,94
411,96;13,93
412,217;13,94
412,474;13,94
412,731;13,95
412,988;13,95
413,245;13,98
413,501;13,96
413,758;13,95
414,015;13,94
414,272;13,94
414,529;13,94
414,785;13,92
415,042;13,93
415,299;13,93
415,555;13,92
415,812;13,9
416,069;13,9
416,325;13,89
416,582;13,87
416,838;13,88
417,095;13,85
417,352;13,84
417,608;13,85
417,865;13,86
418,121;13,89
418,378;13,91
418,634;13,91
418,891;13,94
419,147;13,95
419,403;13,96
419,66;13,99
419,916;14,03
420,173;14,04
420,429;14,05
420,685;14,06
420,942;14,08
421,198;14,09
421,454;14,1
421,711;14,11
421,967;14,14
422,223;14,14
422,479;14,17
422,735;14,2
422,992;14,21
423,248;14,21
423,504;14,2
423,76;14,21
424,016;14,22
424,272;14,21
424,528;14,21
424,784;14,21
425,041;14,2
425,297;14,17
425,553;14,18
425,809;14,2
426,065;14,21
426,32;14,23
426,576;14,25
426,832;14,25
427,088;14,28
427,344;14,3
427,6;14,33
427,856;14,33
428,112;14,37
428,368;14,39
428,623;14,41
428,879;14,43
429,135;14,42
429,391;14,43
429,646;14,45
429,902;14,46
430,158;14,47
430,414;14,49
430,669;14,52
430,925;14,54
431,181;14,57
431,436;14,58
431,692;14,58
431,947;14,59
432,203;14,61
432,458;14,59
432,714;14,59
432,97;14,58
433,225;14,57
433,481;14,56
433,736;14,57
433,991;14,57
434,247;14,57
434,502;14,58
434,758;14,59
435,013;14,6
435,268;14,62
435,524;14,64
435,779;14,66
436,034;14,67
436,29;14,7
436,545;14,72
436,8;14,72
437,056;14,71
437,311;14,72
437,566;14,74
437,821;14,78
438,076;14,79
438,331;14,81
438,587;14,83
438,842;14,85
439,097;14,88
439,352;14,91
439,607;14,95
439,862;15
440,117;15,02
440,372;15,06
440,627;15,07
440,882;15,08
441,137;15,11
441,392;15,14
441,647;15,15
441,902;15,17
442,157;15,19
442,412;15,24
442,667;15,24
442,921;15,26
443,176;15,29
443,431;15,32
443,686;15,34
443,941;15,35
444,195;15,38
444,45;15,4
444,705;15,41
444,96;15,43
445,214;15,42
445,469;15,45
445,724;15,47
445,978;15,49
446,233;15,49
446,487;15,49
446,742;15,49
446,997;15,5
447,251;15,5
447,506;15,52
447,76;15,51
448,015;15,54
448,269;15,53
448,524;15,54
448,778;15,53
449,033;15,54
449,287;15,54
449,541;15,53
449,796;15,52
450,05;15,53
450,305;15,53
450,559;15,54
450,813;15,53
451,067;15,53
451,322;15,54
451,576;15,55
451,83;15,54
452,084;15,55
452,339;15,56
452,593;15,55
452,847;15,55
453,101;15,56
453,355;15,56
453,609;15,57
453,864;15,56
454,118;15,57
454,372;15,56
454,626;15,6
454,88;15,63
455,134;15,63
455,388;15,63
455,642;15,65
