Data from sienaBrucWhite_Reflection__1__55.txt Node;
"Date: Thu Sep 11 17:15:43 CEST 2025 User: sycur";
186,01;-1504,14
186,281;1198,11
186,552;353,11
186,822;371,66
187,093;0
187,364;-105,76
187,635;-85,24
187,905;77,66
188,176;35,54
188,447;30,4
188,717;26,39
188,988;26,05
189,258;25,87
189,529;27,03
189,8;27,25
190,07;27,05
190,341;25,25
190,611;21,29
190,882;22,72
191,152;21,92
191,423;19,37
191,693;19,28
191,964;18,91
192,234;19,06
192,505;17,33
192,775;16,98
193,045;16,45
193,316;15,86
193,586;14,99
193,856;14,97
194,127;14,68
194,397;14,2
194,667;14,8
194,938;13,98
195,208;13,6
195,478;12,88
195,748;12,7
196,019;13,01
196,289;13,37
196,559;12,96
196,829;12,77
197,099;12,89
197,37;12,08
197,64;11,18
197,91;11,05
198,18;10,94
198,45;10,76
198,72;10,9
198,99;11,1
199,26;10,55
199,53;10,55
199,8;10,51
200,07;10,44
200,34;9,85
200,61;9,96
200,88;9,99
201,15;10,24
201,42;9,9
201,69;9,12
201,96;9,21
202,23;9,03
202,499;8,88
202,769;9,07
203,039;9,23
203,309;9,52
203,579;9,24
203,849;9,39
204,118;9,01
204,388;8,75
204,658;8,33
204,927;8,61
205,197;8,44
205,467;8,05
205,736;7,97
206,006;7,95
206,276;7,7
206,545;7,4
206,815;7,12
207,085;7,07
207,354;7,12
207,624;6,98
207,893;6,88
208,163;6,81
208,432;6,55
208,702;6,41
208,971;6,26
209,241;6,28
209,51;6,11
209,78;6,12
210,049;6,07
210,318;6,18
210,588;6,01
210,857;5,98
211,127;5,97
211,396;5,87
211,665;5,87
211,935;5,92
212,204;6,01
212,473;5,91
212,742;5,88
213,012;5,86
213,281;5,71
213,55;5,7
213,819;5,59
214,088;5,54
214,358;5,6
214,627;5,54
214,896;5,41
215,165;5,36
215,434;5,21
215,703;5,2
215,972;5,03
216,241;5,01
216,51;4,98
216,779;4,91
217,048;4,87
217,317;4,78
217,586;4,7
217,855;4,53
218,124;4,58
218,393;4,55
218,662;4,46
218,931;4,47
219,2;4,41
219,469;4,41
219,738;4,38
220,006;4,35
220,275;4,35
220,544;4,31
220,813;4,24
221,082;4,23
221,35;4,17
221,619;4,19
221,888;4,17
222,157;4,17
222,425;4,14
222,694;4,08
222,963;4,06
223,231;4,07
223,5;4,1
223,769;4,03
224,037;4,01
224,306;4
224,574;3,95
224,843;3,95
225,111;3,92
225,38;3,9
225,648;3,85
225,917;3,79
226,185;3,84
226,454;3,85
226,722;3,83
226,991;3,83
227,259;3,79
227,528;3,77
227,796;3,71
228,064;3,71
228,333;3,71
228,601;3,71
228,869;3,65
229,138;3,61
229,406;3,62
229,674;3,59
229,942;3,58
230,211;3,59
230,479;3,57
230,747;3,56
231,015;3,55
231,283;3,56
231,552;3,59
231,82;3,52
232,088;3,5
232,356;3,51
232,624;3,49
232,892;3,48
233,16;3,45
233,428;3,43
233,696;3,42
233,964;3,41
234,232;3,38
234,5;3,36
234,768;3,37
235,036;3,35
235,304;3,35
235,572;3,34
235,84;3,32
236,108;3,31
236,376;3,33
236,644;3,33
236,912;3,3
237,179;3,27
237,447;3,28
237,715;3,28
237,983;3,26
238,251;3,25
238,518;3,25
238,786;3,27
239,054;3,26
239,322;3,26
239,589;3,26
239,857;3,26
240,125;3,26
240,392;3,25
240,66;3,25
240,927;3,23
241,195;3,23
241,463;3,23
241,73;3,22
241,998;3,18
242,265;3,16
242,533;3,16
242,8;3,17
243,068;3,16
243,335;3,14
243,603;3,14
243,87;3,13
244,138;3,11
244,405;3,1
244,672;3,1
244,94;3,08
245,207;3,07
245,474;3,06
245,742;3,05
246,009;3,04
246,276;3,03
246,544;3,03
246,811;3,02
247,078;3,02
247,345;3
247,613;3,01
247,88;3
248,147;2,99
248,414;2,96
248,681;2,97
248,948;2,98
249,215;2,96
249,483;2,96
249,75;2,95
250,017;2,94
250,284;2,94
250,551;2,93
250,818;2,93
251,085;2,93
251,352;2,93
251,619;2,92
251,886;2,93
252,153;2,93
252,42;2,93
252,687;2,92
252,953;2,93
253,22;2,91
253,487;2,92
253,754;2,93
254,021;2,93
254,288;2,92
254,555;2,91
254,821;2,91
255,088;2,91
255,355;2,92
255,622;2,92
255,888;2,91
256,155;2,92
256,422;2,9
256,688;2,9
256,955;2,89
257,222;2,88
257,488;2,87
257,755;2,87
258,022;2,86
258,288;2,86
258,555;2,85
258,821;2,86
259,088;2,84
259,354;2,83
259,621;2,82
259,887;2,82
260,154;2,82
260,42;2,81
260,687;2,8
260,953;2,79
261,219;2,77
261,486;2,77
261,752;2,76
262,019;2,77
262,285;2,77
262,551;2,78
262,818;2,79
263,084;2,79
263,35;2,79
263,616;2,78
263,883;2,77
264,149;2,78
264,415;2,77
264,681;2,77
264,947;2,78
265,214;2,77
265,48;2,78
265,746;2,77
266,012;2,78
266,278;2,79
266,544;2,79
266,81;2,8
267,076;2,79
267,342;2,78
267,608;2,78
267,874;2,78
268,14;2,77
268,406;2,76
268,672;2,76
268,938;2,75
269,204;2,75
269,47;2,75
269,736;2,75
270,002;2,75
270,268;2,74
270,533;2,73
270,799;2,73
271,065;2,73
271,331;2,72
271,597;2,71
271,862;2,7
272,128;2,69
272,394;2,69
272,66;2,7
272,925;2,69
273,191;2,68
273,457;2,68
273,722;2,67
273,988;2,67
274,254;2,67
274,519;2,67
