Data from ombraBrucWhite_Reflection__2__66.txt Node;
"Date: Thu Sep 11 17:28:17 CEST 2025 User: sycur";
186,01;-9967,59
186,281;7828,3
186,552;1410,66
186,822;869,11
187,093;0
187,364;-1832,2
187,635;-1165,72
187,905;515
188,176;213,75
188,447;159,7
188,717;128,47
188,988;155,12
189,258;161,04
189,529;174,65
189,8;173,3
190,07;151,44
190,341;136,47
190,611;122,37
190,882;118,22
191,152;111,57
191,423;105,56
191,693;102,77
191,964;102,3
192,234;97,55
192,505;90,39
192,775;89,68
193,045;84,63
193,316;79,81
193,586;77,17
193,856;77,87
194,127;76,64
194,397;76,69
194,667;73,33
194,938;72,31
195,208;69,2
195,478;67,74
195,748;66,65
196,019;67,28
196,289;67,56
196,559;66,23
196,829;66,2
197,099;64,62
197,37;62,44
197,64;60
197,91;58,42
198,18;57,67
198,45;55,43
198,72;54,59
198,99;53,05
199,26;52,99
199,53;52,22
199,8;52
200,07;50,48
200,34;49,97
200,61;48,97
200,88;48,76
201,15;48,02
201,42;47,9
201,69;46,41
201,96;46,07
202,23;45,83
202,499;44
202,769;44,37
203,039;43,89
203,309;42,91
203,579;42,4
203,849;42,07
204,118;41,6
204,388;40,82
204,658;40,18
204,927;39,38
205,197;38,61
205,467;37,3
205,736;37,35
206,006;36,69
206,276;35,85
206,545;34,61
206,815;34,43
207,085;33,85
207,354;33,43
207,624;32,89
207,893;31,72
208,163;31,68
208,432;30,89
208,702;30,57
208,971;29,99
209,241;29,43
209,51;28,89
209,78;28,55
210,049;28,3
210,318;28,13
210,588;27,96
210,857;27,42
211,127;27,49
211,396;26,89
211,665;26,66
211,935;26,65
212,204;26,89
212,473;26,34
212,742;26
213,012;25,91
213,281;25,47
213,55;25,37
213,819;24,98
214,088;24,8
214,358;24,45
214,627;24,43
214,896;24,27
215,165;23,9
215,434;23,45
215,703;23,37
215,972;23,16
216,241;22,73
216,51;22,72
216,779;22,37
217,048;22,38
217,317;22,18
217,586;21,91
217,855;21,54
218,124;21,67
218,393;21,64
218,662;21,29
218,931;21,21
219,2;21,06
219,469;20,96
219,738;20,89
220,006;20,9
220,275;20,86
220,544;20,83
220,813;20,87
221,082;20,85
221,35;20,71
221,619;20,65
221,888;20,74
222,157;20,76
222,425;20,73
222,694;20,49
222,963;20,46
223,231;20,43
223,5;20,4
223,769;20,25
224,037;20,24
224,306;20,3
224,574;20,28
224,843;20,26
225,111;20,38
225,38;20,31
225,648;20,31
225,917;20,2
226,185;20,53
226,454;20,48
226,722;20,5
226,991;20,58
227,259;20,56
227,528;20,55
227,796;20,55
228,064;20,59
228,333;20,77
228,601;20,88
228,869;20,92
229,138;20,97
229,406;21,02
229,674;20,99
229,942;21,06
230,211;21,1
230,479;21,18
230,747;21,14
231,015;21,19
231,283;21,28
231,552;21,37
231,82;21,19
232,088;21,26
232,356;21,34
232,624;21,38
232,892;21,46
233,16;21,49
233,428;21,49
233,696;21,57
233,964;21,57
234,232;21,64
234,5;21,69
234,768;21,78
235,036;21,82
235,304;21,94
235,572;21,94
235,84;22
236,108;22,06
236,376;22,22
236,644;22,36
236,912;22,37
237,179;22,39
237,447;22,49
237,715;22,56
237,983;22,66
238,251;22,69
238,518;22,74
238,786;22,79
239,054;22,83
239,322;22,82
239,589;22,93
239,857;22,94
240,125;23,02
240,392;23,01
240,66;23,1
240,927;23,08
241,195;23,18
241,463;23,22
241,73;23,28
241,998;23,24
242,265;23,18
242,533;23,21
242,8;23,31
243,068;23,31
243,335;23,33
243,603;23,3
243,87;23,35
244,138;23,36
244,405;23,39
244,672;23,41
244,94;23,46
245,207;23,43
245,474;23,45
245,742;23,41
246,009;23,44
246,276;23,43
