Data from ombraBrucWhite_Reflection__3__67.txt Node;
"Date: Thu Sep 11 17:28:59 CEST 2025 User: sycur";
186,01;-9448,83
186,281;7694,72
186,552;1395,48
186,822;1028,73
187,093;0
187,364;-1710,24
187,635;-1157,51
187,905;489,39
188,176;204,18
188,447;156,15
188,717;132,02
188,988;159,11
189,258;158,51
189,529;171,46
189,8;172,88
190,07;153,29
190,341;142,55
190,611;128,96
190,882;123,82
191,152;116,52
191,423;110,63
191,693;107,28
191,964;106,31
192,234;101,28
192,505;94,05
192,775;93,25
193,045;88,18
193,316;83,62
193,586;82,09
193,856;82,67
194,127;81,15
194,397;80,24
194,667;76,52
194,938;76,19
195,208;73,34
195,478;72,07
195,748;70,38
196,019;70,01
196,289;69,49
196,559;67,99
196,829;68,24
197,099;67,14
197,37;65,17
197,64;63,19
197,91;62,04
198,18;61,57
198,45;59,56
198,72;58,89
198,99;57,21
199,26;56,58
199,53;56,07
199,8;55,72
200,07;54,76
200,34;54,27
200,61;53,49
200,88;53,02
201,15;52,36
201,42;52,26
201,69;50,97
201,96;50,83
202,23;50,37
202,499;48,58
202,769;48,56
203,039;47,84
203,309;46,91
203,579;46,3
203,849;46,09
204,118;45,19
204,388;44,14
204,658;43,39
204,927;42,85
205,197;41,95
205,467;40,97
205,736;40,72
206,006;40,04
206,276;39,34
206,545;38,3
206,815;37,95
207,085;37,35
207,354;37,05
207,624;36,54
207,893;35,55
208,163;35,42
208,432;34,79
208,702;34,54
208,971;34,04
209,241;33,47
209,51;32,85
209,78;32,56
210,049;32,34
210,318;32,16
210,588;31,8
210,857;31,48
211,127;31,47
211,396;30,84
211,665;30,62
211,935;30,44
212,204;30,72
212,473;30,18
212,742;29,85
213,012;29,64
213,281;29,24
213,55;29,21
213,819;28,82
214,088;28,53
214,358;28,17
214,627;28,05
214,896;27,93
215,165;27,6
215,434;27,21
215,703;27,16
215,972;26,99
216,241;26,61
216,51;26,44
216,779;26,12
217,048;26,11
217,317;25,9
217,586;25,68
217,855;25,27
218,124;25,43
218,393;25,4
218,662;25,14
218,931;24,98
219,2;24,79
219,469;24,74
219,738;24,71
220,006;24,68
220,275;24,62
220,544;24,55
220,813;24,54
221,082;24,55
221,35;24,45
221,619;24,36
221,888;24,4
222,157;24,39
222,425;24,35
222,694;24,11
222,963;24,12
223,231;24,01
223,5;23,92
223,769;23,73
224,037;23,7
224,306;23,66
224,574;23,6
224,843;23,52
225,111;23,55
225,38;23,45
225,648;23,42
225,917;23,28
226,185;23,61
226,454;23,55
226,722;23,49
226,991;23,5
227,259;23,46
227,528;23,46
227,796;23,43
228,064;23,4
228,333;23,5
228,601;23,48
228,869;23,46
229,138;23,42
229,406;23,43
229,674;23,35
229,942;23,35
230,211;23,33
230,479;23,36
230,747;23,26
231,015;23,22
231,283;23,22
231,552;23,25
231,82;22,96
232,088;22,93
232,356;22,89
232,624;22,84
232,892;22,82
233,16;22,73
233,428;22,62
233,696;22,59
233,964;22,52
234,232;22,49
234,5;22,47
234,768;22,49
235,036;22,44
235,304;22,45
235,572;22,36
235,84;22,34
236,108;22,3
236,376;22,37
236,644;22,41
236,912;22,33
237,179;22,28
237,447;22,28
237,715;22,28
237,983;22,3
238,251;22,24
238,518;22,25
238,786;22,24
239,054;22,24
239,322;22,18
239,589;22,22
239,857;22,19
240,125;22,22
240,392;22,15
240,66;22,15
240,927;22,11
241,195;22,14
241,463;22,12
241,73;22,17
241,998;22,07
242,265;21,99
242,533;21,98
242,8;22,02
243,068;21,99
243,335;21,97
243,603;21,92
243,87;21,94
244,138;21,88
244,405;21,89
244,672;21,87
244,94;21,9
245,207;21,84
245,474;21,84
245,742;21,77
246,009;21,77
246,276;21,76
246,544;21,74
