Data from ombraBrucWhite_Reflection__4__68.txt Node;
"Date: Thu Sep 11 17:29:53 CEST 2025 User: sycur";
186,01;-9969,93
186,281;8187,92
186,552;1445,11
186,822;867,71
187,093;0
187,364;-1471,73
187,635;-1107,44
187,905;455,36
188,176;184,15
188,447;142,18
188,717;115,3
188,988;137,01
189,258;140,67
189,529;154,75
189,8;153,46
190,07;132,95
190,341;119,49
190,611;105,42
190,882;99,74
191,152;95,4
191,423;89,55
191,693;87,34
191,964;85,8
192,234;80,53
192,505;72,66
192,775;72
193,045;67,07
193,316;62,71
193,586;61,08
193,856;61,63
194,127;60,36
194,397;59,56
194,667;56,61
194,938;56,18
195,208;52,79
195,478;52,03
195,748;51,05
196,019;51,51
196,289;51,7
196,559;50,62
196,829;49,94
197,099;49,04
197,37;47,16
197,64;45,43
197,91;44,54
198,18;44,3
198,45;42,03
198,72;41,73
198,99;40,25
199,26;40,04
199,53;39,63
199,8;39,16
200,07;38,45
200,34;37,96
200,61;37,06
200,88;37,03
201,15;36,44
201,42;35,77
201,69;34,5
201,96;34,16
202,23;33,82
202,499;32,35
202,769;32,44
203,039;31,94
203,309;31,02
203,579;30,47
203,849;30,23
204,118;29,71
204,388;28,92
204,658;28,34
204,927;27,72
205,197;27,02
205,467;25,98
205,736;26,01
206,006;25,43
206,276;24,94
206,545;24,06
206,815;23,91
207,085;23,6
207,354;23,45
207,624;23,03
207,893;22,01
208,163;21,99
208,432;21,31
208,702;20,94
208,971;20,49
209,241;19,98
209,51;19,59
209,78;19,48
210,049;19,25
210,318;19,08
210,588;18,86
210,857;18,44
211,127;18,49
211,396;17,81
211,665;17,62
211,935;17,57
212,204;17,87
212,473;17,4
212,742;17,18
213,012;17,02
213,281;16,67
213,55;16,69
213,819;16,3
214,088;16,06
214,358;15,82
214,627;15,81
214,896;15,77
215,165;15,34
215,434;14,91
215,703;14,8
215,972;14,67
216,241;14,28
216,51;14,13
216,779;13,73
217,048;13,7
217,317;13,51
217,586;13,24
217,855;12,79
218,124;12,91
218,393;12,84
218,662;12,53
218,931;12,35
219,2;12,18
219,469;12,11
219,738;12,03
220,006;12
220,275;11,96
220,544;11,83
220,813;11,82
221,082;11,77
221,35;11,62
221,619;11,52
221,888;11,58
222,157;11,59
222,425;11,62
222,694;11,41
222,963;11,32
223,231;11,18
223,5;11,12
223,769;10,9
224,037;10,84
224,306;10,79
224,574;10,7
224,843;10,63
225,111;10,65
225,38;10,56
225,648;10,5
225,917;10,34
226,185;10,61
226,454;10,57
226,722;10,53
226,991;10,54
227,259;10,45
227,528;10,39
227,796;10,36
228,064;10,29
228,333;10,38
228,601;10,41
228,869;10,38
229,138;10,35
229,406;10,33
229,674;10,25
229,942;10,28
230,211;10,26
230,479;10,29
230,747;10,21
231,015;10,17
231,283;10,17
231,552;10,18
231,82;9,91
232,088;9,86
232,356;9,85
232,624;9,8
232,892;9,79
233,16;9,72
233,428;9,63
233,696;9,61
233,964;9,52
234,232;9,48
234,5;9,46
234,768;9,43
235,036;9,38
235,304;9,39
235,572;9,29
235,84;9,27
236,108;9,23
236,376;9,29
236,644;9,32
236,912;9,23
237,179;9,16
237,447;9,16
237,715;9,17
237,983;9,17
238,251;9,11
238,518;9,11
238,786;9,08
239,054;9,05
239,322;9
239,589;9,04
239,857;9
240,125;9,02
240,392;8,95
240,66;8,96
240,927;8,89
241,195;8,9
241,463;8,9
241,73;8,91
241,998;8,81
242,265;8,75
242,533;8,75
242,8;8,79
243,068;8,77
243,335;8,73
243,603;8,68
243,87;8,73
244,138;8,69
244,405;8,69
244,672;8,68
244,94;8,68
245,207;8,62
245,474;8,61
245,742;8,56
246,009;8,57
246,276;8,56
246,544;8,54
246,811;8,58
247,078;8,58
247,345;8,53
247,613;8,52
247,88;8,5
248,147;8,49
248,414;8,43
248,681;8,42
248,948;8,42
249,215;8,41
249,483;8,35
249,75;8,32
250,017;8,3
250,284;8,28
250,551;8,26
250,818;8,24
251,085;8,2
251,352;8,2
251,619;8,19
251,886;8,17
252,153;8,19
252,42;8,12
252,687;8,09
252,953;8,09
253,22;8,08
253,487;8,11
253,754;8,1
254,021;8,09
254,288;8,06
254,555;8,06
254,821;8,07
255,088;8,09
255,355;8,1
255,622;8,08
255,888;8,07
256,155;8,1
256,422;8,07
256,688;8,09
256,955;8,07
257,222;8,06
257,488;8,04
257,755;8,03
258,022;8,02
258,288;8,01
258,555;7,97
258,821;7,97
259,088;7,94
259,354;7,92
259,621;7,95
259,887;7,95
260,154;7,9
260,42;7,85
260,687;7,84
260,953;7,82
261,219;7,81
261,486;7,79
261,752;7,75
262,019;7,78
262,285;7,76
262,551;7,74
262,818;7,75
263,084;7,75
263,35;7,74
263,616;7,75
263,883;7,74
264,149;7,76
264,415;7,72
264,681;7,75
264,947;7,76
265,214;7,72
265,48;7,74
265,746;7,74
266,012;7,76
266,278;7,75
266,544;7,73
266,81;7,77
267,076;7,76
267,342;7,76
267,608;7,73
267,874;7,74
268,14;7,74
268,406;7,71
268,672;7,7
268,938;7,69
269,204;7,65
269,47;7,65
269,736;7,63
270,002;7,64
270,268;7,6
270,533;7,59
270,799;7,57
271,065;7,54
271,331;7,52
271,597;7,51
271,862;7,51
272,128;7,51
272,394;7,48
272,66;7,5
272,925;7,48
273,191;7,47
273,457;7,45
273,722;7,43
273,988;7,44
274,254;7,45
274,519;7,47
274,785;7,48
275,05;7,47
275,316;7,49
275,582;7,5
275,847;7,48
276,113;7,47
276,378;7,47
276,644;7,49
276,909;7,5
277,174;7,49
277,44;7,52
277,705;7,51
277,971;7,52
278,236;7,54
278,501;7,54
278,767;7,53
279,032;7,52
279,297;7,5
279,563;7,49
279,828;7,54
280,093;7,52
280,358;7,5
280,624;7,51
280,889;7,49
281,154;7,49
281,419;7,49
281,684;7,47
281,95;7,52
282,215;7,49
282,48;7,49
282,745;7,49
283,01;7,46
283,275;7,46
283,54;7,44
283,805;7,41
284,07;7,42
284,335;7,42
284,6;7,43
284,865;7,45
285,13;7,45
285,395;7,41
285,66;7,4
285,925;7,42
286,19;7,42
286,455;7,4
286,72;7,41
286,985;7,42
287,249;7,43
287,514;7,42
287,779;7,42
288,044;7,43
288,309;7,43
288,573;7,42
288,838;7,42
289,103;7,42
289,367;7,41
289,632;7,39
289,897;7,39
290,161;7,41
290,426;7,39
290,691;7,4
290,955;7,38
291,22;7,38
291,484;7,36
291,749;7,34
292,014;7,34
292,278;7,31
292,543;7,29
292,807;7,3
293,072;7,3
293,336;7,29
293,6;7,28
293,865;7,26
294,129;7,25
294,394;7,25
294,658;7,26
294,922;7,25
295,187;7,26
295,451;7,25
295,715;7,24
295,98;7,26
296,244;7,23
296,508;7,24
296,773;7,23
297,037;7,22
297,301;7,22
297,565;7,24
297,829;7,22
298,094;7,24
298,358;7,23
298,622;7,2
298,886;7,17
299,15;7,19
299,414;7,19
299,678;7,23
299,942;7,22
300,206;7,19
300,47;7,2
300,734;7,19
300,998;7,17
301,262;7,17
301,526;7,15
301,79;7,15
302,054;7,13
302,318;7,14
302,582;7,13
302,846;7,12
303,11;7,11
303,374;7,13
303,637;7,11
303,901;7,13
304,165;7,13
304,429;7,15
304,693;7,11
304,956;7,09
305,22;7,08
305,484;7,06
305,747;7,06
306,011;7,05
306,275;7,04
306,538;7,04
306,802;7,03
307,066;7,05
307,329;7,05
307,593;7,06
307,856;7,05
308,12;7,03
308,384;7,03
308,647;7,01
308,911;7,02
309,174;6,99
309,438;6,94
309,701;6,94
309,964;6,94
310,228;6,95
310,491;6,94
310,755;6,92
311,018;6,96
311,281;6,96
311,545;6,95
311,808;6,95
312,071;6,94
312,335;6,91
312,598;6,89
312,861;6,89
313,124;6,86
313,388;6,86
313,651;6,88
313,914;6,85
314,177;6,84
314,44;6,82
314,704;6,86
314,967;6,87
315,23;6,85
315,493;6,83
315,756;6,84
316,019;6,85
316,282;6,87
316,545;6,85
316,808;6,85
317,071;6,87
317,334;6,88
317,597;6,88
317,86;6,89
318,123;6,87
318,386;6,91
318,649;6,92
318,912;6,92
319,175;6,89
319,437;6,89
319,7;6,91
319,963;6,89
320,226;6,87
320,489;6,86
320,751;6,86
321,014;6,85
321,277;6,84
321,54;6,83
321,802;6,78
322,065;6,78
322,328;6,75
322,59;6,72
322,853;6,71
323,116;6,69
323,378;6,7
323,641;6,71
323,903;6,67
324,166;6,65
324,428;6,62
324,691;6,63
324,953;6,62
325,216;6,6
325,478;6,6
325,741;6,58
326,003;6,58
326,266;6,54
326,528;6,53
326,791;6,55
327,053;6,53
327,315;6,53
327,578;6,53
327,84;6,51
328,102;6,49
328,365;6,5
328,627;6,51
328,889;6,48
329,151;6,48
329,414;6,48
329,676;6,47
329,938;6,46
330,2;6,44
330,462;6,42
330,725;6,43
330,987;6,44
331,249;6,42
331,511;6,41
331,773;6,42
332,035;6,44
332,297;6,46
332,559;6,46
332,821;6,43
333,083;6,4
333,345;6,42
333,607;6,41
333,869;6,4
334,131;6,37
334,393;6,4
334,655;6,38
334,917;6,34
335,179;6,34
335,44;6,35
335,702;6,37
335,964;6,39
336,226;6,36
336,488;6,36
336,749;6,37
337,011;6,38
337,273;6,38
337,535;6,36
337,796;6,31
338,058;6,31
338,32;6,32
338,581;6,29
338,843;6,28
339,105;6,28
339,366;6,27
339,628;6,29
339,889;6,28
340,151;6,27
340,412;6,27
340,674;6,28
340,935;6,26
341,197;6,27
341,458;6,26
341,72;6,29
341,981;6,31
342,243;6,31
342,504;6,3
342,766;6,33
343,027;6,34
343,288;6,34
343,55;6,32
343,811;6,32
344,072;6,34
344,334;6,36
344,595;6,37
344,856;6,35
345,117;6,33
345,379;6,36
345,64;6,37
345,901;6,37
346,162;6,35
346,423;6,35
346,684;6,31
346,946;6,31
347,207;6,28
347,468;6,25
347,729;6,21
347,99;6,19
348,251;6,13
348,512;6,09
348,773;6,1
349,034;6,09
349,295;6,11
349,556;6,09
349,817;6,05
350,078;6,04
350,339;6,08
350,6;6,09
350,86;6,02
351,121;6,04
351,382;6,02
351,643;6,02
351,904;6,01
352,165;6,04
352,425;6,04
352,686;6,05
352,947;6,03
353,208;6,06
353,468;6,13
353,729;6,15
353,99;6,14
354,25;6,14
354,511;6,14
354,772;6,1
355,032;6,13
355,293;6,14
355,553;6,15
355,814;6,1
356,074;6,08
356,335;6,06
356,596;6,05
356,856;6,06
357,116;6,07
357,377;6,11
357,637;6,1
357,898;6,1
358,158;6,08
358,419;6,07
358,679;6,05
358,939;6
359,2;5,98
359,46;6,04
359,72;6,03
359,981;6,02
360,241;6,01
360,501;6
360,761;6,03
361,022;6
361,282;6,06
361,542;6,07
361,802;6,08
362,062;6,08
362,323;6,05
362,583;6,07
362,843;6,04
363,103;6,05
363,363;6
363,623;6,01
363,883;6,04
364,143;6,02
364,403;6,03
364,663;6,06
364,923;6,01
365,183;6,04
365,443;6,07
365,703;6,07
