Data from ombraBrucWhite_Reflection__0__64.txt Node;
"Date: Thu Sep 11 17:26:38 CEST 2025 User: sycur";
186,01;-9797,66
186,281;8340,38
186,552;1573,9
186,822;1327,2
187,093;0
187,364;-1912
187,635;-1228,95
187,905;524,02
188,176;233,44
188,447;179,61
188,717;154,11
188,988;177,22
189,258;183,64
189,529;198,4
189,8;194,9
190,07;173,09
190,341;159,68
190,611;144,86
190,882;139,53
191,152;133,99
191,423;129,04
191,693;126,54
191,964;126,39
192,234;121,42
192,505;114,46
192,775;112,96
193,045;108,1
193,316;102,89
193,586;100,89
193,856;101,85
194,127;100,58
194,397;99,88
194,667;96,73
194,938;95,7
195,208;92,61
195,478;92,28
195,748;91,71
196,019;92,12
196,289;92,27
196,559;91,56
196,829;91,94
197,099;90,82
197,37;89,19
197,64;87,38
197,91;86,42
198,18;86,4
198,45;84,72
198,72;84,5
198,99;83,71
199,26;83,62
199,53;83,37
199,8;83,16
200,07;82,33
200,34;82,24
200,61;81,55
200,88;81,61
201,15;81,09
201,42;80,79
201,69;79,78
201,96;79,65
202,23;79,31
202,499;77,59
202,769;77,66
203,039;77,18
203,309;76,3
203,579;75,8
203,849;75,31
204,118;74,41
204,388;73,3
204,658;72,36
204,927;72
205,197;71,23
205,467;70,21
205,736;69,95
206,006;69,17
206,276;68,35
206,545;67
206,815;66,82
207,085;66,2
207,354;65,78
207,624;65,26
207,893;64,26
208,163;64,27
208,432;63,55
208,702;63,24
208,971;62,61
209,241;62,1
209,51;61,57
209,78;61,55
210,049;61,35
210,318;61,28
210,588;60,97
210,857;60,37
211,127;60,49
211,396;60,01
211,665;59,76
211,935;59,77
212,204;60,22
212,473;59,6
212,742;59,42
213,012;59,42
213,281;59,17
213,55;59,21
213,819;58,81
214,088;58,63
214,358;58,32
214,627;58,49
214,896;58,51
215,165;58,25
215,434;57,87
215,703;57,93
215,972;57,92
216,241;57,67
216,51;57,84
216,779;57,64
217,048;57,78
217,317;57,88
217,586;57,84
217,855;57,61
218,124;58,02
218,393;58,19
218,662;57,99
218,931;57,98
219,2;57,95
219,469;58,11
219,738;58,29
220,006;58,53
220,275;58,61
220,544;58,74
220,813;59,03
221,082;59,17
221,35;59,27
221,619;59,36
221,888;59,63
222,157;59,8
222,425;59,95
222,694;59,92
222,963;60,07
223,231;60,15
223,5;60,27
223,769;60,21
224,037;60,32
224,306;60,49
224,574;60,56
224,843;60,67
225,111;60,86
225,38;60,86
225,648;60,94
225,917;60,96
226,185;61,37
226,454;61,38
226,722;61,51
226,991;61,66
227,259;61,72
227,528;61,78
227,796;61,83
228,064;61,9
228,333;62,11
228,601;62,18
228,869;62,19
229,138;62,2
229,406;62,24
229,674;62,22
229,942;62,25
230,211;62,28
230,479;62,31
230,747;62,19
231,015;62,22
231,283;62,2
231,552;62,21
231,82;61,94
232,088;61,91
232,356;61,84
232,624;61,71
232,892;61,65
233,16;61,54
233,428;61,39
233,696;61,34
233,964;61,21
234,232;61,14
234,5;61,08
234,768;61,06
235,036;61
235,304;60,97
235,572;60,86
235,84;60,82
236,108;60,76
236,376;60,82
236,644;60,81
236,912;60,72
237,179;60,61
237,447;60,57
237,715;60,55
237,983;60,54
238,251;60,46
238,518;60,44
238,786;60,4
239,054;60,35
239,322;60,25
239,589;60,25
239,857;60,19
240,125;60,19
240,392;60,06
240,66;60,02
240,927;59,92
241,195;59,91
241,463;59,83
241,73;59,83
241,998;59,67
242,265;59,55
242,533;59,49
242,8;59,49
243,068;59,42
243,335;59,36
243,603;59,27
243,87;59,27
