Data from CoccinigliaWhite_Reflection__1__47.txt Node;
"Date: Fri Sep 12 11:37:40 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;815,3
186,281;1197,06
186,552;12,32
186,822;-39,04
187,093;54,55
187,364;-80,55
187,635;7571,28
187,905;98,82
188,176;38,07
188,447;29,72
188,717;23,13
188,988;25,75
189,258;24,49
189,529;25,13
189,8;22,66
190,07;19,16
190,341;19,23
190,611;16,34
190,882;14,7
191,152;14,79
191,423;14,39
191,693;13,54
191,964;12,81
192,234;13,55
192,505;12,69
192,775;12,85
193,045;11,97
193,316;11,47
193,586;10,21
193,856;10,44
194,127;9,67
194,397;9,18
194,667;8,88
194,938;9,21
195,208;8,67
195,478;8,4
195,748;7,8
196,019;6,95
196,289;7,08
196,559;7,11
196,829;6,6
197,099;6,7
197,37;6,59
197,64;6,63
197,91;6,2
198,18;6,2
198,45;5,86
198,72;6,06
198,99;5,64
199,26;5,24
199,53;5,19
199,8;5,53
200,07;5,49
200,34;5,36
200,61;5,07
200,88;5,3
201,15;5,3
201,42;5,44
201,69;5,59
201,96;5,45
202,23;5,19
202,499;4,99
202,769;5,04
203,039;4,91
203,309;4,84
203,579;4,68
203,849;4,66
204,118;4,61
204,388;4,23
204,658;4,2
204,927;4,11
205,197;3,96
205,467;3,8
205,736;3,73
206,006;3,52
206,276;3,41
206,545;3,07
206,815;2,95
207,085;3,03
207,354;2,93
207,624;2,87
207,893;2,77
208,163;2,8
208,432;2,68
208,702;2,65
208,971;2,65
209,241;2,71
209,51;2,7
209,78;2,69
210,049;2,69
210,318;2,61
210,588;2,78
210,857;2,71
211,127;2,7
211,396;2,74
211,665;2,64
211,935;2,69
212,204;2,75
212,473;2,75
212,742;2,72
213,012;2,71
213,281;2,7
213,55;2,66
213,819;2,65
214,088;2,63
214,358;2,58
214,627;2,54
214,896;2,47
215,165;2,35
215,434;2,32
215,703;2,27
215,972;2,33
216,241;2,25
216,51;2,25
216,779;2,15
217,048;2,12
217,317;2,18
217,586;2,17
217,855;2,14
218,124;2,13
218,393;2,05
218,662;2,01
218,931;1,98
219,2;1,94
219,469;1,88
219,738;1,9
220,006;1,88
220,275;1,9
220,544;1,88
220,813;1,85
221,082;1,85
221,35;1,88
221,619;1,88
221,888;1,89
222,157;1,86
222,425;1,88
222,694;1,86
222,963;1,86
223,231;1,82
223,5;1,88
223,769;1,86
224,037;1,84
224,306;1,86
224,574;1,85
224,843;1,86
225,111;1,88
225,38;1,83
225,648;1,82
225,917;1,77
226,185;1,77
226,454;1,76
226,722;1,74
226,991;1,71
227,259;1,68
227,528;1,63
227,796;1,64
228,064;1,61
228,333;1,59
228,601;1,57
228,869;1,54
229,138;1,49
229,406;1,49
229,674;1,5
229,942;1,5
230,211;1,49
230,479;1,5
230,747;1,48
231,015;1,48
231,283;1,48
231,552;1,48
231,82;1,46
232,088;1,47
232,356;1,47
232,624;1,49
232,892;1,49
233,16;1,5
233,428;1,5
233,696;1,5
233,964;1,5
234,232;1,49
234,5;1,5
234,768;1,49
235,036;1,47
235,304;1,46
235,572;1,43
235,84;1,43
236,108;1,42
236,376;1,41
236,644;1,41
236,912;1,4
237,179;1,4
