Data from CoccinigliaWhite_Reflection__2__48.txt Node;
"Date: Fri Sep 12 11:38:17 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;28,89
186,281;-2295,59
186,552;117,05
186,822;192,39
187,093;-72,73
187,364;-34,92
187,635;11667,02
187,905;106,35
188,176;37,51
188,447;30,12
188,717;26,3
188,988;23,18
189,258;24,72
189,529;22,79
189,8;22,48
190,07;21,1
190,341;20,5
190,611;17,93
190,882;17,64
191,152;18,02
191,423;18,06
191,693;15,92
191,964;16,07
192,234;15,91
192,505;15,23
192,775;14,45
193,045;14,25
193,316;13
193,586;12,5
193,856;12,55
194,127;12,59
194,397;11,9
194,667;12,43
194,938;12,29
195,208;12,23
195,478;12,46
195,748;12,35
196,019;11,47
196,289;11,41
196,559;10,95
196,829;10,6
197,099;10,91
197,37;11,3
197,64;11,49
197,91;11,51
198,18;11,58
198,45;11,12
198,72;10,96
198,99;10,68
199,26;10,1
199,53;10,35
199,8;10,25
200,07;10,09
200,34;9,77
200,61;9,59
200,88;9,8
201,15;9,32
201,42;9,15
201,69;9,14
201,96;9,19
202,23;9,22
202,499;8,87
202,769;8,44
203,039;8,16
203,309;7,84
203,579;7,84
203,849;7,95
204,118;7,86
204,388;7,7
204,658;7,64
204,927;7,69
205,197;7,42
205,467;7,36
205,736;7,52
206,006;7,42
206,276;7,36
206,545;6,98
206,815;6,98
207,085;6,98
207,354;6,8
207,624;6,8
207,893;6,67
208,163;6,76
208,432;6,81
208,702;6,81
208,971;6,81
209,241;6,72
209,51;6,53
209,78;6,51
210,049;6,52
210,318;6,56
210,588;6,53
210,857;6,49
211,127;6,42
211,396;6,3
211,665;6,14
211,935;6,17
212,204;6,21
212,473;6,19
212,742;6,2
213,012;6,27
213,281;6,17
213,55;6,14
213,819;6,07
214,088;6,04
214,358;5,93
214,627;5,85
214,896;5,77
215,165;5,73
215,434;5,71
215,703;5,55
215,972;5,56
216,241;5,55
216,51;5,5
216,779;5,38
217,048;5,35
217,317;5,34
217,586;5,31
217,855;5,3
218,124;5,24
218,393;5,19
218,662;5,17
218,931;5,13
219,2;5,06
219,469;5,05
219,738;5,02
220,006;5,05
220,275;5,12
220,544;5,11
220,813;5,08
221,082;5,04
221,35;5,07
221,619;4,99
221,888;4,99
222,157;4,97
222,425;5,01
222,694;5,01
222,963;5,04
223,231;5
223,5;5,01
223,769;4,99
224,037;4,97
224,306;4,96
224,574;4,98
224,843;4,98
225,111;4,98
225,38;4,93
225,648;4,92
225,917;4,87
226,185;4,86
226,454;4,85
226,722;4,84
226,991;4,82
227,259;4,82
227,528;4,78
227,796;4,8
228,064;4,76
228,333;4,74
228,601;4,71
228,869;4,71
229,138;4,69
229,406;4,7
229,674;4,7
229,942;4,71
230,211;4,7
230,479;4,7
230,747;4,69
231,015;4,71
231,283;4,7
231,552;4,68
231,82;4,68
232,088;4,69
232,356;4,71
232,624;4,7
232,892;4,7
233,16;4,7
233,428;4,68
233,696;4,68
233,964;4,69
234,232;4,69
234,5;4,68
234,768;4,67
235,036;4,65
235,304;4,65
235,572;4,61
235,84;4,62
236,108;4,63
236,376;4,64
236,644;4,64
236,912;4,64
237,179;4,65
237,447;4,65
237,715;4,64
237,983;4,64
238,251;4,63
238,518;4,62
238,786;4,63
239,054;4,64
239,322;4,64
239,589;4,64
239,857;4,65
240,125;4,66
240,392;4,65
240,66;4,66
240,927;4,64
241,195;4,65
241,463;4,64
241,73;4,63
241,998;4,62
242,265;4,62
242,533;4,61
242,8;4,61
243,068;4,62
243,335;4,61
243,603;4,61
243,87;4,62
244,138;4,64
244,405;4,63
244,672;4,62
244,94;4,61
245,207;4,6
245,474;4,6
245,742;4,6
246,009;4,6
246,276;4,59
246,544;4,59
246,811;4,6
247,078;4,59
247,345;4,59
247,613;4,58
247,88;4,57
248,147;4,57
248,414;4,57
248,681;4,56
248,948;4,56
249,215;4,56
249,483;4,55
249,75;4,54
250,017;4,55
250,284;4,55
250,551;4,55
250,818;4,55
251,085;4,54
251,352;4,54
251,619;4,54
251,886;4,54
252,153;4,54
252,42;4,53
252,687;4,53
252,953;4,53
253,22;4,54
253,487;4,54
253,754;4,54
254,021;4,54
254,288;4,54
254,555;4,54
254,821;4,54
255,088;4,54
255,355;4,54
255,622;4,54
255,888;4,54
256,155;4,54
256,422;4,54
256,688;4,53
256,955;4,51
257,222;4,51
257,488;4,52
257,755;4,52
258,022;4,51
258,288;4,51
258,555;4,5
258,821;4,49
259,088;4,49
259,354;4,49
259,621;4,48
259,887;4,49
260,154;4,47
260,42;4,47
260,687;4,46
260,953;4,46
261,219;4,44
261,486;4,43
261,752;4,43
262,019;4,43
262,285;4,43
262,551;4,42
262,818;4,42
263,084;4,41
263,35;4,4
263,616;4,4
263,883;4,4
264,149;4,39
264,415;4,39
264,681;4,39
264,947;4,38
265,214;4,37
265,48;4,37
265,746;4,37
266,012;4,36
266,278;4,35
266,544;4,34
266,81;4,35
267,076;4,35
267,342;4,33
267,608;4,33
267,874;4,33
268,14;4,33
268,406;4,32
268,672;4,32
268,938;4,32
269,204;4,32
269,47;4,31
269,736;4,3
270,002;4,3
270,268;4,28
270,533;4,27
270,799;4,27
271,065;4,25
271,331;4,24
271,597;4,23
271,862;4,23
272,128;4,24
272,394;4,24
272,66;4,23
272,925;4,24
273,191;4,23
273,457;4,23
273,722;4,23
273,988;4,22
274,254;4,21
274,519;4,21
274,785;4,21
275,05;4,21
275,316;4,21
275,582;4,22
275,847;4,21
276,113;4,22
276,378;4,21
276,644;4,2
276,909;4,2
277,174;4,21
277,44;4,21
277,705;4,2
277,971;4,2
278,236;4,2
278,501;4,18
278,767;4,18
279,032;4,18
279,297;4,17
279,563;4,18
279,828;4,18
280,093;4,17
280,358;4,17
280,624;4,17
280,889;4,16
281,154;4,16
281,419;4,15
281,684;4,14
281,95;4,15
282,215;4,15
282,48;4,16
282,745;4,15
283,01;4,13
283,275;4,13
283,54;4,11
283,805;4,11
284,07;4,12
284,335;4,13
284,6;4,12
284,865;4,12
285,13;4,12
285,395;4,11
285,66;4,11
285,925;4,11
286,19;4,11
286,455;4,13
286,72;4,12
286,985;4,12
287,249;4,12
287,514;4,11
287,779;4,12
288,044;4,11
288,309;4,11
288,573;4,11
288,838;4,12
289,103;4,12
289,367;4,12
289,632;4,11
289,897;4,1
290,161;4,1
290,426;4,09
290,691;4,08
290,955;4,08
291,22;4,08
291,484;4,08
291,749;4,08
292,014;4,07
292,278;4,06
292,543;4,06
292,807;4,06
293,072;4,06
293,336;4,05
293,6;4,05
293,865;4,05
294,129;4,04
294,394;4,04
294,658;4,05
294,922;4,05
295,187;4,05
295,451;4,05
295,715;4,06
295,98;4,07
296,244;4,07
296,508;4,07
296,773;4,07
297,037;4,07
297,301;4,06
297,565;4,06
297,829;4,05
298,094;4,06
298,358;4,06
298,622;4,05
298,886;4,05
299,15;4,05
299,414;4,05
299,678;4,06
299,942;4,05
300,206;4,04
300,47;4,04
300,734;4,04
300,998;4,04
301,262;4,04
301,526;4,03
301,79;4,02
302,054;4,01
302,318;4
302,582;4,01
302,846;4
303,11;4
303,374;4,01
303,637;4
303,901;4,01
304,165;4,01
304,429;4,01
304,693;4
304,956;4
305,22;3,99
305,484;4
305,747;4
306,011;3,99
306,275;3,99
306,538;3,99
306,802;4
307,066;4
307,329;3,99
307,593;4
307,856;3,99
308,12;3,99
308,384;3,99
308,647;3,98
308,911;3,97
309,174;3,97
309,438;3,96
309,701;3,95
309,964;3,94
310,228;3,94
310,491;3,93
310,755;3,93
311,018;3,94
311,281;3,93
311,545;3,92
311,808;3,91
312,071;3,9
312,335;3,88
312,598;3,88
312,861;3,87
313,124;3,86
313,388;3,87
313,651;3,86
313,914;3,85
314,177;3,85
314,44;3,85
314,704;3,84
314,967;3,84
315,23;3,84
315,493;3,84
315,756;3,83
316,019;3,82
316,282;3,83
316,545;3,81
316,808;3,81
317,071;3,81
317,334;3,81
317,597;3,8
317,86;3,79
318,123;3,78
318,386;3,77
318,649;3,77
318,912;3,76
319,175;3,75
319,437;3,76
319,7;3,76
319,963;3,75
320,226;3,73
320,489;3,72
320,751;3,7
321,014;3,7
321,277;3,69
321,54;3,69
321,802;3,68
322,065;3,68
322,328;3,66
322,59;3,64
322,853;3,64
323,116;3,64
323,378;3,64
323,641;3,65
323,903;3,65
324,166;3,65
324,428;3,64
324,691;3,63
324,953;3,62
325,216;3,61
