Data from CoccinigliaWhite_Reflection__3__49.txt Node;
"Date: Fri Sep 12 11:39:08 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;35,99
186,281;-4072,06
186,552;111,63
186,822;44,88
187,093;118,18
187,364;-135,57
187,635;15258,51
187,905;119,41
188,176;54,9
188,447;39,82
188,717;32,43
188,988;31,66
189,258;25,78
189,529;28,48
189,8;29,36
190,07;26,98
190,341;29,64
190,611;26,43
190,882;23,67
191,152;23,99
191,423;22,01
191,693;21,29
191,964;21,75
192,234;21,92
192,505;20,04
192,775;20,31
193,045;18,95
193,316;17,94
193,586;17,05
193,856;16,48
194,127;16,22
194,397;15,98
194,667;16,36
194,938;16,39
195,208;15,39
195,478;14,78
195,748;14,41
196,019;13,16
196,289;13,65
196,559;13,39
196,829;12,93
197,099;13,18
197,37;13,1
197,64;13,03
197,91;12,74
198,18;12,83
198,45;12,25
198,72;12,49
198,99;12,27
199,26;11,98
199,53;11,85
199,8;12,11
200,07;12,06
200,34;11,89
200,61;11,89
200,88;12,11
201,15;11,81
201,42;11,8
201,69;11,85
201,96;11,72
202,23;11,5
202,499;11,41
202,769;11,23
203,039;10,98
203,309;10,59
203,579;10,4
203,849;10,38
204,118;10,12
204,388;9,68
204,658;9,63
204,927;9,44
205,197;9,29
205,467;8,93
205,736;8,69
206,006;8,38
206,276;8,14
206,545;7,91
206,815;8,01
207,085;7,88
207,354;7,73
207,624;7,67
207,893;7,63
208,163;7,55
208,432;7,4
208,702;7,33
208,971;7,46
209,241;7,34
209,51;7,3
209,78;7,34
210,049;7,4
210,318;7,29
210,588;7,33
210,857;7,28
211,127;7,25
211,396;7,29
211,665;7,18
211,935;7,23
212,204;7,13
212,473;7,02
212,742;7,04
213,012;7,07
213,281;6,96
213,55;6,92
213,819;6,88
214,088;6,84
214,358;6,74
214,627;6,58
214,896;6,52
215,165;6,39
215,434;6,32
215,703;6,17
215,972;6,16
216,241;6,08
216,51;6,05
216,779;5,95
217,048;5,91
217,317;5,89
217,586;5,78
217,855;5,77
218,124;5,68
218,393;5,57
218,662;5,51
218,931;5,47
219,2;5,37
219,469;5,3
219,738;5,25
220,006;5,25
220,275;5,27
220,544;5,25
220,813;5,23
221,082;5,19
221,35;5,18
221,619;5,13
221,888;5,12
222,157;5,09
222,425;5,09
222,694;5,02
222,963;5,03
223,231;5,02
223,5;5,02
223,769;5,01
224,037;4,98
224,306;4,94
224,574;4,94
224,843;4,94
225,111;4,94
225,38;4,9
225,648;4,88
225,917;4,84
226,185;4,83
226,454;4,81
226,722;4,79
226,991;4,78
227,259;4,76
227,528;4,73
227,796;4,72
228,064;4,71
228,333;4,72
228,601;4,7
228,869;4,69
229,138;4,65
229,406;4,65
229,674;4,66
229,942;4,67
230,211;4,66
230,479;4,65
230,747;4,62
231,015;4,64
231,283;4,63
231,552;4,63
231,82;4,61
232,088;4,6
232,356;4,62
232,624;4,6
232,892;4,6
233,16;4,59
233,428;4,58
233,696;4,58
233,964;4,58
234,232;4,57
234,5;4,57
234,768;4,56
235,036;4,55
235,304;4,53
235,572;4,5
235,84;4,51
236,108;4,52
236,376;4,52
236,644;4,51
236,912;4,5
237,179;4,49
237,447;4,49
237,715;4,46
237,983;4,45
238,251;4,43
238,518;4,41
238,786;4,41
239,054;4,4
239,322;4,39
239,589;4,38
239,857;4,38
240,125;4,37
240,392;4,37
240,66;4,36
240,927;4,35
241,195;4,34
241,463;4,32
241,73;4,3
241,998;4,28
242,265;4,27
242,533;4,26
242,8;4,26
243,068;4,25
243,335;4,25
243,603;4,24
243,87;4,24
244,138;4,23
244,405;4,22
244,672;4,2
244,94;4,18
245,207;4,16
245,474;4,14
245,742;4,13
246,009;4,11
246,276;4,1
246,544;4,1
246,811;4,1
247,078;4,09
247,345;4,09
247,613;4,08
247,88;4,07
248,147;4,06
248,414;4,05
248,681;4,04
248,948;4,04
249,215;4,04
249,483;4,03
249,75;4,01
250,017;4
250,284;4
250,551;4
250,818;4
251,085;3,99
251,352;3,99
251,619;3,98
251,886;3,97
252,153;3,96
252,42;3,96
252,687;3,94
252,953;3,93
253,22;3,94
253,487;3,93
253,754;3,93
254,021;3,92
254,288;3,91
254,555;3,9
254,821;3,88
255,088;3,89
255,355;3,89
255,622;3,9
255,888;3,88
256,155;3,88
256,422;3,88
256,688;3,88
256,955;3,86
257,222;3,85
257,488;3,85
257,755;3,84
258,022;3,84
258,288;3,84
258,555;3,82
258,821;3,81
259,088;3,81
259,354;3,8
259,621;3,79
259,887;3,79
260,154;3,78
260,42;3,77
260,687;3,76
260,953;3,77
261,219;3,74
261,486;3,74
261,752;3,73
262,019;3,73
262,285;3,72
262,551;3,71
262,818;3,71
263,084;3,7
263,35;3,7
263,616;3,69
263,883;3,68
264,149;3,68
264,415;3,66
264,681;3,66
264,947;3,66
265,214;3,65
265,48;3,64
265,746;3,65
266,012;3,64
266,278;3,63
266,544;3,62
266,81;3,63
267,076;3,61
267,342;3,61
267,608;3,6
267,874;3,6
268,14;3,6
268,406;3,59
268,672;3,6
268,938;3,6
269,204;3,59
