Data from CoccinigliaWhite_Reflection__0__46.txt Node;
"Date: Fri Sep 12 11:36:39 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;382,99
186,281;60,29
186,552;91,06
186,822;90,18
187,093;18,18
187,364;-23,25
187,635;8253,19
187,905;96,67
188,176;53,97
188,447;46,52
188,717;36,17
188,988;37,84
189,258;37,21
189,529;38,79
189,8;35,91
190,07;33,65
190,341;30,15
190,611;27,78
190,882;26
191,152;26,18
191,423;26
191,693;25,31
191,964;24,59
192,234;25,66
192,505;24,75
192,775;24,54
193,045;24,07
193,316;23,02
193,586;22,14
193,856;21,3
194,127;21,12
194,397;21,5
194,667;21,43
194,938;21,35
195,208;20,48
195,478;20,58
195,748;19,67
196,019;19,58
196,289;19,43
196,559;19,52
196,829;19,18
197,099;19,02
197,37;18,93
197,64;18,97
197,91;18,81
198,18;18,52
198,45;17,99
198,72;17,97
198,99;17,75
199,26;17,49
199,53;17,44
199,8;17,49
200,07;17,03
200,34;16,68
200,61;16,51
200,88;16,4
201,15;16,02
201,42;16,06
201,69;16,05
201,96;16,02
202,23;15,53
202,499;15,1
202,769;15,16
203,039;15,06
203,309;14,83
203,579;14,53
203,849;14,54
204,118;14,35
204,388;14,08
204,658;13,99
204,927;13,92
205,197;13,7
205,467;13,29
205,736;13,12
206,006;12,87
206,276;12,67
206,545;12,43
206,815;12,34
207,085;12,27
207,354;11,98
207,624;11,84
207,893;11,79
208,163;11,75
208,432;11,59
208,702;11,49
208,971;11,43
209,241;11,31
209,51;11,2
209,78;11,21
210,049;11,08
210,318;10,91
210,588;10,84
210,857;10,8
211,127;10,76
211,396;10,7
211,665;10,61
211,935;10,63
212,204;10,54
212,473;10,43
212,742;10,37
213,012;10,37
213,281;10,32
213,55;10,2
213,819;10,12
214,088;9,93
214,358;9,88
214,627;9,81
214,896;9,69
215,165;9,57
215,434;9,43
215,703;9,29
215,972;9,3
216,241;9,19
216,51;9,1
216,779;8,95
217,048;8,89
217,317;8,87
217,586;8,81
217,855;8,82
