Data from crisocollaWhite_Reflection__1__59.txt Node;
"Date: Fri Sep 12 11:59:01 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;389,72
186,281;177,94
186,552;56,45
186,822;61,59
187,093;145,45
187,364;50,4
187,635;1577,66
187,905;70,92
188,176;40,71
188,447;36,51
188,717;34,71
188,988;34,54
189,258;33,58
189,529;33,14
189,8;31,2
190,07;27,44
190,341;28,38
190,611;25,15
190,882;22,87
191,152;23,52
191,423;23,08
191,693;22,27
191,964;22,18
192,234;21,85
192,505;20,93
192,775;20,71
193,045;20,54
193,316;19,63
193,586;18,87
193,856;18,25
194,127;17,81
194,397;17,73
194,667;18,22
194,938;18,32
195,208;17,96
195,478;17,67
195,748;17,32
196,019;16,11
196,289;15,52
196,559;15,37
196,829;14,6
197,099;14,47
197,37;14,24
197,64;14,1
197,91;14,19
198,18;13,81
198,45;12,81
198,72;12,69
198,99;12,45
199,26;11,94
199,53;11,83
199,8;11,87
200,07;11,26
200,34;10,82
200,61;10,33
200,88;10,47
201,15;10,23
201,42;10,16
201,69;10,06
201,96;10,33
202,23;9,97
202,499;9,88
202,769;9,75
203,039;9,62
203,309;9,25
203,579;9,07
203,849;9,15
204,118;9,32
204,388;9,06
204,658;8,89
204,927;8,76
205,197;8,65
205,467;8,3
205,736;8,23
206,006;7,99
206,276;7,85
206,545;7,44
206,815;7,34
207,085;7,36
207,354;7,21
207,624;7,11
207,893;6,88
208,163;6,67
208,432;6,7
208,702;6,56
208,971;6,61
209,241;6,53
209,51;6,51
209,78;6,46
210,049;6,36
210,318;6,3
210,588;6,31
210,857;6,22
211,127;6,17
211,396;6,15
211,665;6
211,935;6,07
212,204;6,08
212,473;6
212,742;5,89
213,012;5,93
213,281;5,91
213,55;5,9
213,819;5,88
214,088;5,76
214,358;5,69
214,627;5,55
214,896;5,48
215,165;5,28
215,434;5,16
215,703;5,09
215,972;5,11
216,241;5,09
216,51;5,03
216,779;4,95
217,048;4,91
217,317;4,95
217,586;4,91
217,855;4,87
218,124;4,87
218,393;4,78
218,662;4,72
218,931;4,62
219,2;4,62
219,469;4,61
219,738;4,56
220,006;4,54
220,275;4,59
220,544;4,57
220,813;4,53
221,082;4,55
221,35;4,55
221,619;4,52
221,888;4,46
222,157;4,43
222,425;4,45
222,694;4,39
222,963;4,4
223,231;4,33
223,5;4,34
223,769;4,3
224,037;4,31
224,306;4,3
224,574;4,3
224,843;4,29
225,111;4,26
225,38;4,25
225,648;4,26
225,917;4,22
226,185;4,22
226,454;4,26
226,722;4,26
226,991;4,26
227,259;4,24
227,528;4,21
227,796;4,24
228,064;4,22
228,333;4,21
228,601;4,2
228,869;4,21
229,138;4,2
229,406;4,24
229,674;4,26
229,942;4,28
230,211;4,3
230,479;4,32
230,747;4,34
231,015;4,36
231,283;4,37
231,552;4,4
231,82;4,4
232,088;4,43
232,356;4,44
232,624;4,46
232,892;4,49
233,16;4,53
233,428;4,55
233,696;4,58
233,964;4,61
234,232;4,65
234,5;4,68
234,768;4,69
235,036;4,7
235,304;4,71
235,572;4,73
235,84;4,75
236,108;4,77
236,376;4,8
236,644;4,81
236,912;4,82
237,179;4,85
237,447;4,89
237,715;4,91
237,983;4,95
238,251;4,97
238,518;4,98
238,786;5
239,054;5,03
239,322;5,06
239,589;5,11
239,857;5,12
240,125;5,16
240,392;5,2
240,66;5,23
240,927;5,27
241,195;5,28
241,463;5,3
241,73;5,32
241,998;5,34
242,265;5,37
242,533;5,4
242,8;5,42
243,068;5,44
243,335;5,44
243,603;5,45
243,87;5,46
244,138;5,49
244,405;5,51
244,672;5,52
244,94;5,53
245,207;5,53
245,474;5,55
245,742;5,54
246,009;5,55
246,276;5,55
246,544;5,56
246,811;5,57
247,078;5,58
247,345;5,59
247,613;5,59
247,88;5,58
248,147;5,6
248,414;5,59
248,681;5,59
248,948;5,6
249,215;5,62
249,483;5,62
249,75;5,62
250,017;5,62
250,284;5,63
250,551;5,62
250,818;5,62
251,085;5,61
251,352;5,61
251,619;5,62
251,886;5,62
252,153;5,62
252,42;5,63
252,687;5,64
252,953;5,63
253,22;5,65
253,487;5,66
253,754;5,65
254,021;5,66
254,288;5,65
254,555;5,66
254,821;5,65
255,088;5,66
255,355;5,66
255,622;5,67
255,888;5,64
256,155;5,65
256,422;5,66
256,688;5,66
256,955;5,65
257,222;5,65
257,488;5,66
257,755;5,65
258,022;5,65
258,288;5,64
258,555;5,64
258,821;5,62
259,088;5,62
259,354;5,63
259,621;5,62
259,887;5,63
260,154;5,62
260,42;5,62
260,687;5,62
260,953;5,62
261,219;5,6
261,486;5,63
261,752;5,62
262,019;5,62
262,285;5,62
262,551;5,62
262,818;5,63
263,084;5,62
263,35;5,62
263,616;5,62
263,883;5,63
264,149;5,63
264,415;5,64
264,681;5,65
264,947;5,64
265,214;5,65
265,48;5,67
265,746;5,68
266,012;5,68
266,278;5,68
266,544;5,68
266,81;5,69
267,076;5,69
267,342;5,7
267,608;5,71
267,874;5,73
268,14;5,74
268,406;5,74
268,672;5,76
268,938;5,78
269,204;5,78
269,47;5,78
269,736;5,79
270,002;5,79
270,268;5,79
