Data from crisocollaWhite_Reflection__2__60.txt Node;
"Date: Fri Sep 12 11:59:42 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;-632,44
186,281;-2136,76
186,552;105,91
186,822;72,44
187,093;209,09
187,364;65,41
187,635;-1025,53
187,905;72,01
188,176;33,79
188,447;30,55
188,717;23,75
188,988;22,66
189,258;22,17
189,529;24,78
189,8;24,86
190,07;25,46
190,341;24,95
190,611;23,66
190,882;22,3
191,152;22,98
191,423;22,92
191,693;22,54
191,964;21,07
192,234;20,59
192,505;19,97
192,775;20,07
193,045;19,85
193,316;19,32
193,586;18,23
193,856;18,14
194,127;17,64
194,397;17,94
194,667;17,64
194,938;17,52
195,208;16,83
195,478;16,61
195,748;15,85
196,019;15,26
196,289;15,13
196,559;15,08
196,829;14,56
197,099;14,23
197,37;13,9
197,64;13,87
197,91;13,7
198,18;13,18
198,45;12,53
198,72;12,62
198,99;12,16
199,26;11,76
199,53;11,65
199,8;11,79
200,07;11,8
200,34;11,96
200,61;11,96
200,88;11,81
201,15;11,49
201,42;11,59
201,69;11,95
201,96;11,85
202,23;11,38
202,499;11,08
202,769;11,04
203,039;10,89
203,309;10,78
203,579;10,67
203,849;10,78
204,118;10,75
204,388;10,58
204,658;10,69
204,927;10,69
205,197;10,57
205,467;10,21
205,736;9,95
206,006;9,59
206,276;9,37
206,545;9,08
206,815;9
207,085;8,84
207,354;8,57
207,624;8,54
207,893;8,53
208,163;8,5
208,432;8,41
208,702;8,27
208,971;8,29
209,241;8,29
209,51;8,17
209,78;8,12
210,049;8,05
210,318;7,84
210,588;7,79
210,857;7,72
211,127;7,76
211,396;7,74
211,665;7,67
211,935;7,64
212,204;7,67
212,473;7,64
212,742;7,6
213,012;7,59
213,281;7,47
213,55;7,41
213,819;7,37
214,088;7,28
214,358;7,21
214,627;7,13
214,896;7,06
215,165;7
215,434;6,94
215,703;6,83
