Data from crisocollaWhite_Reflection__3__61.txt Node;
"Date: Fri Sep 12 12:00:30 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;-233,66
186,281;-2185,29
186,552;107,93
186,822;78,84
187,093;190,91
187,364;79,86
187,635;6225,53
187,905;63,13
188,176;25,71
188,447;24,21
188,717;19,14
188,988;18,88
189,258;18,19
189,529;18,82
189,8;20,09
190,07;17,79
190,341;17,66
190,611;16,49
190,882;14,9
191,152;15,08
191,423;14,55
191,693;13,12
191,964;12,11
192,234;12,18
192,505;11,98
192,775;11,28
193,045;11,55
193,316;10,21
193,586;9,74
193,856;9,5
194,127;8,91
194,397;8,69
194,667;8,46
194,938;9,03
195,208;8,37
195,478;8,05
195,748;7,62
196,019;7,01
196,289;6,97
196,559;7,03
196,829;6,53
197,099;6,6
197,37;6,6
197,64;7,19
197,91;7,09
198,18;6,65
198,45;6,55
198,72;6,66
198,99;6,22
199,26;5,85
199,53;5,94
199,8;6,34
200,07;6,3
200,34;6,27
200,61;5,79
200,88;6
201,15;5,64
201,42;5,68
201,69;5,73
201,96;5,74
202,23;5,36
202,499;5,04
202,769;5,19
203,039;5,06
203,309;4,61
203,579;4,48
203,849;4,73
204,118;4,74
204,388;4,36
204,658;4,51
204,927;4,45
205,197;4,31
205,467;3,95
205,736;4,02
206,006;3,9
206,276;3,85
206,545;3,5
206,815;3,5
207,085;3,6
207,354;3,48
207,624;3,45
207,893;3,43
208,163;3,53
208,432;3,39
208,702;3,37
208,971;3,43
209,241;3,42
209,51;3,27
209,78;3,23
210,049;3,31
210,318;3,25
210,588;3,26
210,857;3,35
211,127;3,35
211,396;3,3
211,665;3,19
211,935;3,33
212,204;3,42
212,473;3,4
212,742;3,34
213,012;3,39
213,281;3,26
213,55;3,28
213,819;3,18
214,088;3,14
214,358;3,06
214,627;3,04
214,896;3,05
215,165;2,97
215,434;2,87
215,703;2,8
215,972;2,81
216,241;2,78
216,51;2,69
216,779;2,63
217,048;2,62
217,317;2,61
217,586;2,54
217,855;2,52
218,124;2,54
218,393;2,51
218,662;2,45
218,931;2,41
219,2;2,35
219,469;2,32
219,738;2,29
220,006;2,3
220,275;2,31
220,544;2,28
220,813;2,29
221,082;2,32
221,35;2,31
221,619;2,29
221,888;2,28
222,157;2,26
222,425;2,3
222,694;2,26
222,963;2,26
223,231;2,22
223,5;2,27
223,769;2,23
224,037;2,23
224,306;2,26
224,574;2,29
224,843;2,29
225,111;2,31
225,38;2,31
225,648;2,3
225,917;2,24
226,185;2,22
226,454;2,2
226,722;2,19
226,991;2,22
227,259;2,22
227,528;2,21
227,796;2,21
228,064;2,16
228,333;2,13
228,601;2,15
228,869;2,12
229,138;2,08
229,406;2,08
229,674;2,08
229,942;2,07
230,211;2,05
230,479;2,05
230,747;2,04
231,015;2,03
231,283;2,03
231,552;2,04
231,82;2,03
232,088;2,04
232,356;2,05
232,624;2,01
232,892;2
233,16;1,99
233,428;1,99
233,696;1,99
233,964;2
234,232;1,98
234,5;1,99
234,768;1,98
235,036;1,96
235,304;1,94
235,572;1,92
235,84;1,92
236,108;1,91
236,376;1,92
236,644;1,91
236,912;1,9
237,179;1,9
237,447;1,9
237,715;1,88
237,983;1,87
238,251;1,86
238,518;1,85
238,786;1,84
239,054;1,82
239,322;1,82
239,589;1,83
239,857;1,83
240,125;1,83
240,392;1,83
240,66;1,83
240,927;1,82
241,195;1,82
241,463;1,81
241,73;1,82
241,998;1,81
242,265;1,8
242,533;1,79
242,8;1,8
243,068;1,78
243,335;1,78
243,603;1,78
243,87;1,78
244,138;1,78
244,405;1,77
244,672;1,77
244,94;1,76
245,207;1,74
245,474;1,73
245,742;1,72
246,009;1,72
246,276;1,72
246,544;1,71
246,811;1,71
247,078;1,7
247,345;1,7
247,613;1,68
247,88;1,67
248,147;1,68
248,414;1,66
248,681;1,66
248,948;1,66
249,215;1,66
249,483;1,66
249,75;1,66
250,017;1,66
250,284;1,66
250,551;1,66
250,818;1,66
251,085;1,65
251,352;1,66
251,619;1,66
251,886;1,66
252,153;1,66
252,42;1,65
252,687;1,66
252,953;1,66
253,22;1,67
253,487;1,67
253,754;1,66
254,021;1,66
254,288;1,66
254,555;1,65
254,821;1,65
255,088;1,66
255,355;1,65
255,622;1,66
255,888;1,65
256,155;1,65
256,422;1,65
256,688;1,64
256,955;1,64
257,222;1,63
257,488;1,64
257,755;1,63
258,022;1,63
258,288;1,62
258,555;1,62
258,821;1,61
259,088;1,61
259,354;1,61
259,621;1,61
259,887;1,61
260,154;1,6
260,42;1,6
260,687;1,59
260,953;1,6
261,219;1,58
261,486;1,59
261,752;1,59
262,019;1,6
262,285;1,6
262,551;1,59
262,818;1,58
263,084;1,58
