Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
0;--;--;--;3579,1;65535;3600,3;21,2;0;0;0;
1;--;--;--;3529,3;65535;3540,1;10,8;0;0;0;
2;--;--;--;3989,6;65535;4016,1;26,5;0;0;0;
3;--;--;--;3585,4;65535;3589,6;4,2;0;0;0;
4;--;--;--;3900,1;65535;3939,8;39,7;0;0;0;
5;--;--;--;3628,6;65535;3729,9;101,3;0;0;0;
6;--;--;--;3642;65535;3813,8;171,8;0;0;0;
7;--;--;--;3585,5;65535;3870,1;284,6;0;0;0;
8;--;--;--;3643,1;65535;4232,4;589,3;0;0;0;
9;--;--;--;3642,4;65535;5223,6;1581,2;0;0;0;
10;--;--;--;3691,1;65535;6023;2331,9;0;0;0;
11;--;--;--;4065,6;65535;5149,4;1083,8;0;0;0;
12;--;--;--;3642,8;65535;3757,3;114,5;0;0;0;
13;--;--;--;3616,5;65535;3638,5;22;0;0;0;
14;--;--;--;3742,3;65535;3771,5;29,2;0;0;0;
15;--;--;--;3668,4;65535;3675,4;7;0;0;0;
16;--;--;--;3724;65535;3737,9;13,9;0;0;0;
17;--;--;--;3590,8;65535;3603,2;12,4;0;0;0;
18;--;--;--;4256,1;65535;4274,3;18,2;0;0;0;
19;--;--;--;3574,9;65535;3610,9;36;0;0;0;
20;--;--;--;3640,6;65535;3651;10,4;0;0;0;
21;--;--;--;3705;65535;3702,6;-2,4;0;0;0;
22;--;--;--;3640,5;65535;3623,4;-17,1;0;0;0;
23;--;--;--;3667,7;65535;3668,8;1,1;0;0;0;
24;--;--;--;3626,6;65535;3640,8;14,2;0;0;0;
25;--;--;--;3645,9;65535;3669,9;24;0;0;0;
26;--;--;--;3807,7;65535;3820,8;13,1;0;0;0;
27;--;--;--;3614,7;65535;3604,1;-10,6;0;0;0;
28;--;--;--;3637,7;65535;3662,2;24,5;0;0;0;
29;--;--;--;3815,9;65535;3823,9;8;0;0;0;
30;--;--;--;3681;65535;3686,5;5,5;0;0;0;
31;--;--;--;3670,5;65535;3708,6;38,1;0;0;0;
32;--;--;--;3694,7;65535;3750,7;56;0;0;0;
33;--;--;--;3696,4;65535;3826,9;130,5;0;0;0;
34;--;--;--;3618,7;65535;3769,7;151;0;0;0;
35;--;--;--;3674,7;65535;3858,1;183,4;0;0;0;
36;--;--;--;3608,1;65535;3813,6;205,5;0;0;0;
37;--;--;--;3586,4;65535;3786,2;199,8;0;0;0;
38;--;--;--;3548,1;65535;3768,6;220,5;0;0;0;
39;--;--;--;3549;65535;3770,5;221,5;0;0;0;
40;--;--;--;3638,7;65535;3849,2;210,5;0;0;0;
41;--;--;--;3707,4;65535;3916;208,6;0;0;0;
42;--;--;--;3650,8;65535;3868,9;218,1;0;0;0;
43;--;--;--;3966,5;65535;4192,2;225,7;0;0;0;
44;--;--;--;3682,5;65535;3893,1;210,6;0;0;0;
45;--;--;--;3610,8;65535;3827;216,2;0;0;0;
46;--;--;--;3760;65535;3978,3;218,3;0;0;0;
47;--;--;--;3843,9;65535;4088,6;244,7;0;0;0;
48;--;--;--;3737,5;65535;3984,1;246,6;0;0;0;
49;--;--;--;3715,9;65535;3946,6;230,7;0;0;0;
50;--;--;--;3701,2;65535;3930,8;229,6;0;0;0;
51;--;--;--;3837,3;65535;4033,5;196,2;0;0;0;
52;--;--;--;3653,6;65535;3879,5;225,9;0;0;0;
53;--;--;--;3662,5;65535;3900,5;238;0;0;0;
54;--;--;--;3571,7;65535;3795;223,3;0;0;0;
55;--;--;--;3747,8;65535;3950;202,2;0;0;0;
56;--;--;--;3840,7;65535;4049,4;208,7;0;0;0;
57;--;--;--;3732,4;65535;3933,5;201,1;0;0;0;
58;--;--;--;3616,7;65535;3812,8;196,1;0;0;0;
59;--;--;--;3819,3;65535;4015,8;196,5;0;0;0;
60;--;--;--;3883,8;65535;4081,4;197,6;0;0;0;
61;--;--;--;4014,2;65535;4216;201,8;0;0;0;
62;--;--;--;3662;65535;3859,5;197,5;0;0;0;
63;--;--;--;3631,6;65535;3858,7;227,1;0;0;0;
64;--;--;--;3791,3;65535;4018,4;227,1;0;0;0;
65;--;--;--;3594,7;65535;3822,8;228,1;0;0;0;
66;--;--;--;3946,1;65535;4162;215,9;0;0;0;
67;--;--;--;3617,5;65535;3879,4;261,9;0;0;0;
68;--;--;--;3557,7;65535;3827,6;269,9;0;0;0;
69;--;--;--;3726,5;65535;4052,3;325,8;0;0;0;
70;--;--;--;4422,5;65535;4792;369,5;0;0;0;
71;--;--;--;3555,2;65535;4001,9;446,7;0;0;0;
72;--;--;--;3548;65535;4090,3;542,3;0;0;0;
73;794,03;12593,93;148,42;3724;65535;4370,5;646,5;0;0;0;
74;794,18;12591,53;150,81;3550,4;65535;4247,7;697,3;0;0;0;
75;794,34;12589,14;153,2;3552,5;65535;4175;622,5;0;0;0;
76;794,49;12586,75;155,59;3653,9;65535;4158,7;504,8;0;0;0;
77;794,64;12584,36;157,98;4928,3;65535;5304,9;376,6;0;0;0;
78;794,79;12581,97;160,37;3829,4;65535;4130,2;300,8;0;0;0;
