Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
0;--;--;--;3579;65535;3599;20;0;0;0;
1;--;--;--;3536,6;65535;3560,9;24,3;0;0;0;
2;--;--;--;4002,6;65535;4013,1;10,5;0;0;0;
3;--;--;--;3589,6;65535;3610,9;21,3;0;0;0;
4;--;--;--;3911,3;65535;3952,9;41,6;0;0;0;
5;--;--;--;3645,1;65535;3726;80,9;0;0;0;
6;--;--;--;3641,8;65535;3837,1;195,3;0;0;0;
7;--;--;--;3584,6;65535;3907,2;322,6;0;0;0;
8;--;--;--;3639,3;65535;4290,3;651;0;0;0;
9;--;--;--;3643,9;65535;5345,3;1701,4;0;0;0;
10;--;--;--;3698,9;65535;6271;2572,1;0;0;0;
11;--;--;--;4075,3;65535;5296,7;1221,4;0;0;0;
12;--;--;--;3651,5;65535;3795,8;144,3;0;0;0;
13;--;--;--;3611,9;65535;3654,4;42,5;0;0;0;
14;--;--;--;3742,2;65535;3750,4;8,2;0;0;0;
15;--;--;--;3669,3;65535;3666,8;-2,5;0;0;0;
16;--;--;--;3744,1;65535;3752,9;8,8;0;0;0;
17;--;--;--;3599,1;65535;3623,7;24,6;0;0;0;
18;--;--;--;4267,6;65535;4286,8;19,2;0;0;0;
19;--;--;--;3584,1;65535;3615,4;31,3;0;0;0;
20;--;--;--;3656,2;65535;3676;19,8;0;0;0;
21;--;--;--;3699,9;65535;3726,9;27;0;0;0;
22;--;--;--;3639,4;65535;3668,4;29;0;0;0;
23;--;--;--;3669,7;65535;3705,9;36,2;0;0;0;
24;--;--;--;3626,7;65535;3646,4;19,7;0;0;0;
25;--;--;--;3665,6;65535;3702,4;36,8;0;0;0;
26;--;--;--;3821,2;65535;3842,7;21,5;0;0;0;
27;--;--;--;3600,5;65535;3647,7;47,2;0;0;0;
28;--;--;--;3639,9;65535;3733,1;93,2;0;0;0;
29;--;--;--;3813,7;65535;3952,1;138,4;0;0;0;
30;--;--;--;3688,3;65535;3959,3;271;0;0;0;
31;--;--;--;3676,9;65535;4211,5;534,6;0;0;0;
32;--;--;--;3685,3;65535;4674,9;989,6;0;0;0;
33;--;--;--;3699,7;65535;5338,3;1638,6;0;0;0;
34;--;--;--;3607,6;65535;5929,4;2321,8;0;0;0;
35;--;--;--;3670,7;65535;6509,9;2839,2;0;0;0;
36;--;--;--;3599,7;65535;6771,9;3172,2;0;0;0;
