Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
0;--;--;--;3589;65535;3604,1;15,1;0;0;0;
1;--;--;--;3531,9;65535;3554;22,1;0;0;0;
2;--;--;--;3982;65535;4020,9;38,9;0;0;0;
3;--;--;--;3562,6;65535;3598,9;36,3;0;0;0;
4;--;--;--;3908,3;65535;3945,5;37,2;0;0;0;
5;--;--;--;3621,5;65535;3722,9;101,4;0;0;0;
6;--;--;--;3639,3;65535;3768,8;129,5;0;0;0;
7;--;--;--;3563,3;65535;3825,8;262,5;0;0;0;
8;--;--;--;3603,6;65535;4116,6;513;0;0;0;
9;--;--;--;3617,5;65535;4919;1301,5;0;0;0;
10;--;--;--;3696,5;65535;5532,5;1836;0;0;0;
11;--;--;--;4047,9;65535;4918,6;870,7;0;0;0;
12;--;--;--;3643,6;65535;3752,3;108,7;0;0;0;
13;--;--;--;3592,6;65535;3651,2;58,6;0;0;0;
14;--;--;--;3738,5;65535;3767;28,5;0;0;0;
15;--;--;--;3656,1;65535;3683;26,9;0;0;0;
16;--;--;--;3718;65535;3741,6;23,6;0;0;0;
17;--;--;--;3581;65535;3602;21;0;0;0;
18;--;--;--;4264,4;65535;4290,1;25,7;0;0;0;
19;--;--;--;3584,9;65535;3608;23,1;0;0;0;
20;--;--;--;3633,1;65535;3678;44,9;0;0;0;
21;--;--;--;3700,5;65535;3737,2;36,7;0;0;0;
22;--;--;--;3625;65535;3667,4;42,4;0;0;0;
23;--;--;--;3660,6;65535;3690,1;29,5;0;0;0;
24;--;--;--;3615,9;65535;3661;45,1;0;0;0;
25;--;--;--;3653,8;65535;3697,6;43,8;0;0;0;
26;--;--;--;3793,4;65535;3846,8;53,4;0;0;0;
27;--;--;--;3592,3;65535;3658,2;65,9;0;0;0;
28;--;--;--;3625,5;65535;3738,7;113,2;0;0;0;
29;--;--;--;3802;65535;3953,7;151,7;0;0;0;
30;--;--;--;3669,2;65535;3937,4;268,2;0;0;0;
31;--;--;--;3660,9;65535;4152,8;491,9;0;0;0;
32;--;--;--;3674,8;65535;4552,2;877,4;0;0;0;
33;--;--;--;3681,1;65535;5166,2;1485,1;0;0;0;
34;--;--;--;3584,4;65535;5716,7;2132,3;0;0;0;
35;--;--;--;3677,5;65535;6275,9;2598,4;0;0;0;
36;--;--;--;3594,5;65535;6541,9;2947,4;0;0;0;
37;--;--;--;3576,4;65535;6677,3;3100,9;0;0;0;
38;--;--;--;3543,2;65535;6711,9;3168,7;0;0;0;
39;--;--;--;3536;65535;6748,6;3212,6;0;0;0;
40;--;--;--;3631,1;65535;6863,7;3232,6;0;0;0;
41;--;--;--;3703;65535;6965,8;3262,8;0;0;0;
42;--;--;--;3622;65535;6983,4;3361,4;0;0;0;
43;--;--;--;3944,1;65535;7332,4;3388,3;0;0;0;
44;--;--;--;3668,8;65535;7079,2;3410,4;0;0;0;
45;--;--;--;3593,4;65535;7048,4;3455;0;0;0;
46;--;--;--;3743,2;65535;7205;3461,8;0;0;0;
47;--;--;--;3845,2;65535;7349,9;3504,7;0;0;0;
48;--;--;--;3728,8;65535;7243,1;3514,3;0;0;0;
49;--;--;--;3693,3;65535;7208,9;3515,6;0;0;0;
50;--;--;--;3698,9;65535;7214,1;3515,2;0;0;0;
51;--;--;--;3805,7;65535;7350,2;3544,5;0;0;0;
52;--;--;--;3658,1;65535;7179,3;3521,2;0;0;0;
53;--;--;--;3659,7;65535;7218,5;3558,8;0;0;0;
54;--;--;--;3559,5;65535;7119,3;3559,8;0;0;0;
55;--;--;--;3727,4;65535;7301,3;3573,9;0;0;0;
56;--;--;--;3835,5;65535;7399,7;3564,2;0;0;0;
57;--;--;--;3723,6;65535;7273,5;3549,9;0;0;0;
58;--;--;--;3589,6;65535;7138,7;3549,1;0;0;0;
59;--;--;--;3805,9;65535;7341,2;3535,3;0;0;0;
60;--;--;--;3857,6;65535;7371,4;3513,8;0;0;0;
61;--;--;--;4003,6;65535;7536,1;3532,5;0;0;0;
62;--;--;--;3643,4;65535;7176,6;3533,2;0;0;0;
63;--;--;--;3607,4;65535;7153,9;3546,5;0;0;0;
64;--;--;--;3789,3;65535;7314,6;3525,3;0;0;0;
65;--;--;--;3571;65535;7114,3;3543,3;0;0;0;
66;--;--;--;3932,7;65535;7449,9;3517,2;0;0;0;
67;--;--;--;3594,9;65535;7128,2;3533,3;0;0;0;
68;--;--;--;3548,7;65535;7056,7;3508;0;0;0;
69;--;--;--;3715,7;65535;7252,1;3536,4;0;0;0;
70;--;--;--;4412,5;65535;7921,5;3509;0;0;0;
71;--;--;--;3539,4;65535;7095,9;3556,5;0;0;0;
72;--;--;--;3539,2;65535;7090,9;3551,7;0;0;0;
73;794,03;12593,93;148,42;3712,7;65535;7304;3591,3;0;0;0;
74;794,18;12591,53;150,81;3514,5;65535;7128,9;3614,4;0;0;0;
75;794,34;12589,14;153,2;3533,7;65535;7113,5;3579,8;0;0;0;
76;794,49;12586,75;155,59;3634,3;65535;7208,4;3574,1;0;0;0;
77;794,64;12584,36;157,98;4932,1;65535;8448,7;3516,6;0;0;0;
78;794,79;12581,97;160,37;3820,5;65535;7351,5;3531;0;0;0;
79;794,94;12579,58;162,76;3715,8;65535;7312,3;3596,5;0;0;0;
80;795,09;12577,2;165,15;3872;65535;7423,5;3551,5;0;0;0;
81;795,24;12574,81;167,53;3838,6;65535;7359,9;3521,3;0;0;0;
82;795,39;12572,43;169,92;3661,4;65535;7172,4;3511;0;0;0;
83;795,54;12570,04;172,3;3631,6;65535;7127,3;3495,7;0;0;0;
84;795,69;12567,66;174,68;3788,3;65535;7289,6;3501,3;0;0;0;
85;795,84;12565,28;177,06;3999,5;65535;7467,5;3468;0;0;0;
86;795,99;12562,9;179,44;4266,9;65535;7730;3463,1;0;0;0;
87;796,15;12560,52;181,82;3641,9;65535;7089,1;3447,2;0;0;0;
88;796,3;12558,14;184,2;3729,6;65535;7197,5;3467,9;0;0;0;
89;796,45;12555,76;186,58;3648,2;65535;7087,4;3439,2;0;0;0;
90;796,6;12553,39;188,96;3758,3;65535;7176,7;3418,4;0;0;0;
91;796,75;12551,01;191,33;3782,8;65535;7249,6;3466,8;0;0;0;
92;796,9;12548,64;193,71;3583,2;65535;7045,7;3462,5;0;0;0;
93;797,05;12546,26;196,08;3629,1;65535;7089,8;3460,7;0;0;0;
94;797,2;12543,89;198,45;3704,8;65535;7217,1;3512,3;0;0;0;
95;797,35;12541,52;200,82;3612;65535;7127,5;3515,5;0;0;0;
96;797,5;12539,15;203,19;3567;65535;7075,8;3508,8;0;0;0;
97;797,65;12536,78;205,56;3867;65535;7403,6;3536,6;0;0;0;
98;797,8;12534,41;207,93;3763,6;65535;7301,5;3537,9;0;0;0;
99;797,95;12532,05;210,3;3632,9;65535;7188,3;3555,4;0;0;0;
100;798,1;12529,68;212,66;3646,5;65535;7219,9;3573,4;0;0;0;
101;798,26;12527,32;215,03;3736,6;65535;7335,6;3599;0;0;0;
102;798,41;12524,95;217,39;3513,8;65535;7158,6;3644,8;0;0;0;
103;798,56;12522,59;219,75;4711,3;65535;8380,8;3669,5;0;0;0;
104;798,71;12520,23;222,12;3585,6;65535;7267,5;3681,9;0;0;0;
105;798,86;12517,87;224,48;3522,9;65535;7234,9;3712;0;0;0;
106;799,01;12515,51;226,84;3891,4;65535;7550,6;3659,2;0;0;0;
107;799,16;12513,15;229,2;3626;65535;7281,9;3655,9;0;0;0;
108;799,31;12510,79;231,55;3584,6;65535;7262,8;3678,2;0;0;0;
109;799,46;12508,43;233,91;3655,9;65535;7335,4;3679,5;0;0;0;
110;799,61;12506,08;236,27;3630,4;65535;7330,1;3699,7;0;0;0;
111;799,76;12503,72;238,62;3577,7;65535;7247,1;3669,4;0;0;0;
112;799,91;12501,37;240,98;3615,9;65535;7255;3639,1;0;0;0;
113;800,06;12499,01;243,33;3625,2;65535;7295,6;3670,4;0;0;0;
114;800,21;12496,66;245,68;3694,9;65535;7343;3648,1;0;0;0;
115;800,36;12494,31;248,03;3521,9;65535;7171,2;3649,3;0;0;0;
116;800,51;12491,96;250,38;3649;65535;7265,3;3616,3;0;0;0;
117;800,67;12489,61;252,73;3547,1;65535;7147;3599,9;0;0;0;
118;800,82;12487,26;255,08;3594,5;65535;7202,7;3608,2;0;0;0;
119;800,97;12484,92;257,43;3681;65535;7299,7;3618,7;0;0;0;
120;801,12;12482,57;259,77;3659,9;65535;7278,6;3618,7;0;0;0;
121;801,27;12480,23;262,12;3527,7;65535;7187,7;3660;0;0;0;
122;801,42;12477,88;264,46;3679,6;65535;7338;3658,4;0;0;0;
123;801,57;12475,54;266,8;3643,1;65535;7367,9;3724,8;0;0;0;
