Data from cinnabarWhite_Reflection__2__17.txt Node;
"Date: Wed Sep 10 11:49:56 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;99,56
186,281;94,25
186,552;69,1
186,822;47,78
187,093;533,33
187,364;434,2
187,635;148,56
187,905;91,45
188,176;64,4
188,447;48,74
188,717;32,59
188,988;17,05
189,258;20,3
189,529;25,69
189,8;17,07
190,07;19,09
190,341;15,58
190,611;12,89
190,882;11,38
191,152;16,33
191,423;15,7
191,693;14,69
191,964;11,86
192,234;15,12
192,505;16,9
192,775;18,29
193,045;16,83
193,316;13,46
193,586;13,93
193,856;13,61
194,127;15,04
194,397;16,96
194,667;18,18
194,938;17,68
195,208;17,02
195,478;19,32
195,748;20,63
196,019;20,93
196,289;21,69
196,559;20,5
196,829;18,14
197,099;19,27
197,37;19,88
197,64;20,89
197,91;19,52
198,18;19,39
198,45;18,75
198,72;17,48
198,99;18,16
199,26;17,36
199,53;17,53
199,8;17,54
200,07;17,55
200,34;17,29
200,61;16,46
200,88;16,52
201,15;15,61
201,42;14,24
201,69;14,19
201,96;14,06
202,23;14,64
202,499;15,18
202,769;14,68
203,039;13,76
203,309;12,31
203,579;12,99
203,849;12,8
204,118;12,27
204,388;12,51
204,658;12,38
204,927;12,5
205,197;11,86
205,467;11,14
205,736;10,82
206,006;10,54
206,276;10,97
206,545;10,82
206,815;10,88
207,085;11,39
207,354;11,34
207,624;10,66
207,893;10,38
208,163;10,14
208,432;10,16
208,702;10,13
208,971;10,57
209,241;10,77
209,51;10,98
209,78;11,02
210,049;11,06
210,318;11,12
210,588;10,97
210,857;11,13
211,127;11,39
211,396;11,2
211,665;11,32
211,935;11,33
212,204;11,26
212,473;11,28
212,742;11,1
213,012;11,16
213,281;11,54
213,55;11,65
213,819;11,81
214,088;11,74
214,358;11,94
214,627;11,95
214,896;11,51
215,165;11,33
215,434;11,15
215,703;11,06
215,972;10,95
216,241;11
216,51;11,01
216,779;10,88
217,048;10,9
217,317;10,56
217,586;10,41
217,855;10,57
218,124;10,56
218,393;10,59
218,662;10,52
218,931;10,48
219,2;10,26
219,469;10,25
219,738;10,16
220,006;10,07
220,275;10,07
220,544;10,26
220,813;10,18
221,082;10,42
221,35;10,42
221,619;10,51
221,888;10,56
222,157;10,52
222,425;10,6
222,694;10,55
222,963;10,75
223,231;10,71
223,5;10,66
223,769;10,52
224,037;10,48
224,306;10,46
224,574;10,45
224,843;10,48
225,111;10,37
225,38;10,38
225,648;10,27
225,917;10,18
226,185;10,13
226,454;10,14
226,722;10,17
226,991;10,14
227,259;10,13
