Data from cinnabarWhite_Reflection__3__18.txt Node;
"Date: Wed Sep 10 11:51:16 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;69,24
186,281;70,7
186,552;72,86
186,822;66,83
187,093;-266,67
187,364;220,04
187,635;129,61
187,905;82,65
188,176;67,82
188,447;51,92
188,717;39,31
188,988;31,07
189,258;29,2
189,529;41,89
189,8;45,61
190,07;36,41
190,341;33,07
190,611;31,59
190,882;26,7
191,152;27,23
191,423;27,15
191,693;33,37
191,964;31,33
192,234;32,01
192,505;31,24
192,775;31,92
193,045;30,28
193,316;27,55
193,586;27,15
193,856;26,79
194,127;25,5
194,397;27,29
194,667;28,92
194,938;27,48
195,208;23,51
195,478;24,21
195,748;25,72
196,019;26,15
196,289;25,1
196,559;24,69
196,829;23,31
197,099;23,81
197,37;22,16
197,64;23,34
197,91;22,23
198,18;21,28
198,45;21,68
198,72;20,97
198,99;21,14
199,26;20,17
199,53;20,21
199,8;21,3
200,07;19,67
200,34;17,96
200,61;18,13
200,88;19,03
201,15;18,02
201,42;16,7
201,69;15,67
201,96;15,13
202,23;15,4
202,499;16
202,769;15,93
203,039;14,93
203,309;13,41
203,579;13,33
203,849;13,79
204,118;13,08
204,388;13,52
204,658;13
204,927;13,41
205,197;12,94
205,467;12,77
205,736;13,44
206,006;14,09
206,276;14,34
206,545;14,17
206,815;14,3
207,085;14,53
207,354;14,7
207,624;14,57
207,893;14,6
208,163;14,52
208,432;14,2
208,702;14,37
208,971;14,52
209,241;14,5
209,51;14,47
209,78;14,25
210,049;14,03
210,318;14,17
210,588;13,96
210,857;14,16
211,127;14,18
211,396;13,47
211,665;13,29
211,935;13,01
212,204;12,93
212,473;12,96
212,742;12,75
213,012;12,91
213,281;13,01
213,55;13,04
213,819;12,73
214,088;12,58
214,358;12,61
214,627;12,58
214,896;12,34
215,165;12,11
215,434;11,98
215,703;12,07
215,972;11,92
216,241;11,97
216,51;11,78
216,779;11,62
217,048;11,81
217,317;11,67
217,586;11,59
217,855;11,64
218,124;11,55
218,393;11,47
218,662;11,4
218,931;11,22
219,2;10,85
219,469;10,9
219,738;10,85
220,006;10,73
220,275;10,65
220,544;10,86
220,813;10,9
221,082;10,94
221,35;10,81
221,619;10,82
221,888;10,76
222,157;10,7
222,425;10,73
222,694;10,62
222,963;10,64
223,231;10,51
223,5;10,38
223,769;10,34
224,037;10,28
224,306;10,15
224,574;10,2
224,843;10,29
225,111;10,22
225,38;10,07
225,648;10,07
225,917;10,07
226,185;9,95
226,454;9,85
226,722;9,91
226,991;9,84
227,259;9,81
227,528;9,66
227,796;9,63
228,064;9,46
228,333;9,47
228,601;9,37
228,869;9,37
229,138;9,35
229,406;9,31
229,674;9,31
