Data from cinnabarWhite_Reflection__4__19.txt Node;
"Date: Wed Sep 10 11:52:27 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;82,77
186,281;87,39
186,552;94,36
186,822;127,76
187,093;-266,67
187,364;394,72
187,635;70,57
187,905;57,3
188,176;61,72
188,447;63,74
188,717;49
188,988;28,01
189,258;28,63
189,529;32,91
189,8;34,23
190,07;27,83
190,341;25,02
190,611;25,27
190,882;24,29
191,152;19,59
191,423;15,05
191,693;14,83
191,964;14,07
192,234;16,64
192,505;16,29
192,775;20,21
193,045;19,46
193,316;18,96
193,586;18,23
193,856;17,72
194,127;15,86
194,397;15,79
194,667;17,23
194,938;17,03
195,208;16,41
195,478;16,09
195,748;15,49
196,019;14,75
196,289;14,25
196,559;13,63
196,829;14,29
197,099;14,07
197,37;14,85
197,64;13,67
197,91;12,4
198,18;12,17
198,45;11,71
198,72;10,96
198,99;11,25
199,26;10,69
199,53;10,52
199,8;10,62
200,07;10,28
200,34;9,24
200,61;9,07
200,88;9,42
201,15;10,1
201,42;10,32
201,69;10,38
201,96;10,01
202,23;10,51
202,499;10,1
202,769;10,19
203,039;9,56
203,309;9,01
203,579;9,15
203,849;9,43
204,118;8,74
204,388;8,8
204,658;8,41
204,927;7,93
205,197;7,54
205,467;7,4
205,736;7,84
206,006;8,17
206,276;8,33
206,545;8,17
206,815;7,47
207,085;7,55
207,354;7,46
207,624;7,26
207,893;6,89
208,163;7,05
208,432;7,13
208,702;6,89
208,971;7,1
209,241;7
209,51;7
209,78;7,01
210,049;6,75
210,318;6,8
210,588;6,9
210,857;7,02
211,127;7,12
211,396;6,86
211,665;6,92
211,935;6,88
212,204;6,63
212,473;6,75
212,742;6,77
213,012;7,01
213,281;7,27
213,55;7,55
213,819;7,2
214,088;7,02
214,358;7,22
214,627;7,23
214,896;7,27
215,165;6,9
215,434;6,82
215,703;6,82
215,972;6,74
216,241;6,74
216,51;6,51
216,779;6,26
217,048;6,17
217,317;5,88
217,586;6,02
217,855;6,12
218,124;6,04
218,393;6,06
218,662;6,03
218,931;5,95
219,2;5,71
219,469;5,77
219,738;5,73
220,006;5,67
220,275;5,64
220,544;5,57
220,813;5,72
221,082;5,79
221,35;5,88
221,619;5,95
221,888;6
222,157;6,12
222,425;6,29
222,694;6,21
222,963;6,3
223,231;6,2
223,5;6,18
223,769;6,15
224,037;6,13
224,306;6
224,574;6,09
224,843;6,11
225,111;6,04
225,38;5,94
225,648;5,9
225,917;5,88
226,185;5,88
226,454;5,84
226,722;5,91
226,991;5,75
227,259;5,73
227,528;5,66
227,796;5,63
228,064;5,48
228,333;5,54
228,601;5,46
228,869;5,39
229,138;5,29
229,406;5,33
229,674;5,27
229,942;5,3
230,211;5,24
230,479;5,22
230,747;5,22
231,015;5,25
231,283;5,23
231,552;5,25
231,82;5,21
232,088;5,21
232,356;5,16
232,624;5,22
232,892;5,2
233,16;5,25
233,428;5,22
233,696;5,3
233,964;5,3
234,232;5,32
234,5;5,35
234,768;5,37
235,036;5,35
235,304;5,36
235,572;5,39
235,84;5,33
236,108;5,32
236,376;5,33
236,644;5,33
236,912;5,32
237,179;5,31
237,447;5,32
237,715;5,31
237,983;5,29
238,251;5,27
238,518;5,26
238,786;5,23
239,054;5,22
239,322;5,16
239,589;5,16
239,857;5,12
240,125;5,11
240,392;5,11
240,66;5,13
240,927;5,09
241,195;5,06
241,463;5,11
241,73;5,14
241,998;5,13
242,265;5,12
242,533;5,16
242,8;5,17
243,068;5,21
243,335;5,17
243,603;5,17
243,87;5,18
244,138;5,21
244,405;5,23
244,672;5,26
244,94;5,27
245,207;5,24
245,474;5,27
245,742;5,27
246,009;5,25
246,276;5,24
246,544;5,25
246,811;5,23
247,078;5,21
247,345;5,2
247,613;5,21
247,88;5,21
248,147;5,15
248,414;5,13
248,681;5,1
248,948;5,12
249,215;5,1
249,483;5,07
249,75;5,05
250,017;5,02
250,284;5
250,551;5,04
250,818;5,06
251,085;5,01
251,352;5,02
251,619;5,04
251,886;5,03
252,153;5
252,42;5,01
252,687;5
252,953;4,99
253,22;4,98
253,487;4,97
253,754;5,01
254,021;5,01
254,288;4,98
254,555;4,98
254,821;5,01
255,088;5,01
255,355;4,97
255,622;4,96
255,888;4,93
256,155;4,85
256,422;4,82
256,688;4,83
256,955;4,8
257,222;4,79
257,488;4,78
257,755;4,81
258,022;4,77
258,288;4,74
258,555;4,72
258,821;4,72
259,088;4,73
259,354;4,68
259,621;4,68
259,887;4,72
260,154;4,72
260,42;4,68
260,687;4,68
260,953;4,68
261,219;4,7
261,486;4,68
261,752;4,73
262,019;4,73
262,285;4,73
262,551;4,74
262,818;4,73
263,084;4,71
263,35;4,71
263,616;4,72
263,883;4,74
264,149;4,74
264,415;4,75
264,681;4,72
264,947;4,75
265,214;4,74
265,48;4,69
265,746;4,69
266,012;4,71
266,278;4,68
266,544;4,72
266,81;4,7
267,076;4,73
267,342;4,7
267,608;4,68
267,874;4,66
268,14;4,67
268,406;4,67
268,672;4,68
268,938;4,66
269,204;4,64
269,47;4,65
269,736;4,64
270,002;4,6
270,268;4,62
270,533;4,59
270,799;4,56
271,065;4,54
271,331;4,55
271,597;4,52
271,862;4,54
272,128;4,52
272,394;4,55
272,66;4,52
272,925;4,52
273,191;4,53
273,457;4,56
273,722;4,52
273,988;4,51
274,254;4,5
274,519;4,51
274,785;4,51
275,05;4,49
275,316;4,49
275,582;4,51
275,847;4,49
276,113;4,48
276,378;4,5
276,644;4,52
276,909;4,47
277,174;4,49
277,44;4,5
277,705;4,48
277,971;4,46
278,236;4,46
278,501;4,46
278,767;4,47
279,032;4,46
279,297;4,47
279,563;4,44
279,828;4,43
280,093;4,4
280,358;4,38
280,624;4,36
280,889;4,35
281,154;4,35
281,419;4,35
281,684;4,37
281,95;4,35
282,215;4,34
282,48;4,34
282,745;4,33
283,01;4,34
283,275;4,31
283,54;4,29
283,805;4,29
284,07;4,3
284,335;4,29
284,6;4,28
284,865;4,28
285,13;4,27
285,395;4,29
285,66;4,31
285,925;4,34
286,19;4,38
286,455;4,38
286,72;4,39
286,985;4,4
287,249;4,37
287,514;4,39
287,779;4,39
288,044;4,42
288,309;4,4
288,573;4,36
288,838;4,41
289,103;4,45
289,367;4,45
289,632;4,45
289,897;4,45
290,161;4,46
290,426;4,46
290,691;4,49
290,955;4,46
291,22;4,44
291,484;4,41
291,749;4,38
292,014;4,37
292,278;4,36
292,543;4,37
292,807;4,4
293,072;4,4
293,336;4,41
293,6;4,4
293,865;4,4
294,129;4,4
294,394;4,38
294,658;4,34
294,922;4,34
295,187;4,34
295,451;4,34
295,715;4,34
295,98;4,33
296,244;4,31
296,508;4,33
296,773;4,34
297,037;4,39
297,301;4,39
297,565;4,43
297,829;4,41
298,094;4,42
298,358;4,37
298,622;4,38
298,886;4,38
299,15;4,39
299,414;4,4
299,678;4,43
299,942;4,42
300,206;4,42
300,47;4,44
300,734;4,43
300,998;4,43
301,262;4,44
301,526;4,44
301,79;4,44
302,054;4,44
302,318;4,44
302,582;4,42
302,846;4,41
303,11;4,4
303,374;4,4
303,637;4,4
303,901;4,42
304,165;4,39
304,429;4,4
304,693;4,38
304,956;4,38
305,22;4,39
305,484;4,4
305,747;4,41
306,011;4,4
306,275;4,37
306,538;4,37
306,802;4,38
307,066;4,39
307,329;4,4
307,593;4,38
307,856;4,37
308,12;4,35
308,384;4,4
308,647;4,4
308,911;4,41
309,174;4,41
309,438;4,4
309,701;4,41
309,964;4,42
310,228;4,42
310,491;4,4
310,755;4,38
311,018;4,38
311,281;4,37
311,545;4,36
311,808;4,35
312,071;4,35
312,335;4,31
312,598;4,31
312,861;4,33
313,124;4,37
313,388;4,41
313,651;4,4
313,914;4,37
314,177;4,34
314,44;4,31
314,704;4,29
314,967;4,28
315,23;4,27
315,493;4,25
315,756;4,24
316,019;4,25
316,282;4,27
316,545;4,26
316,808;4,25
317,071;4,26
317,334;4,28
317,597;4,31
317,86;4,32
318,123;4,36
318,386;4,3
318,649;4,27
318,912;4,24
319,175;4,24
319,437;4,23
319,7;4,25
319,963;4,28
320,226;4,29
320,489;4,28
320,751;4,26
321,014;4,24
321,277;4,25
321,54;4,25
321,802;4,23
322,065;4,25
322,328;4,25
322,59;4,25
322,853;4,23
323,116;4,2
323,378;4,2
323,641;4,14
323,903;4,17
324,166;4,16
324,428;4,14
324,691;4,14
324,953;4,13
325,216;4,13
325,478;4,13
325,741;4,1
326,003;4,11
326,266;4,11
326,528;4,11
326,791;4,11
327,053;4,08
327,315;4,06
327,578;4,05
327,84;4,03
328,102;4,02
328,365;4,04
328,627;4,02
328,889;4,01
329,151;4,02
329,414;4
329,676;3,99
329,938;4,02
330,2;4,01
330,462;4,02
330,725;3,97
330,987;3,96
331,249;3,97
331,511;3,94
331,773;3,95
332,035;3,99
332,297;4
332,559;4,03
332,821;3,99
333,083;3,96
333,345;3,99
333,607;3,98
333,869;3,99
334,131;4
334,393;4,06
334,655;4,02
334,917;4,02
335,179;4
335,44;3,99
335,702;3,99
335,964;4,01
336,226;4,05
336,488;4,03
336,749;4,01
337,011;4,02
337,273;4,03
337,535;4
337,796;3,96
338,058;3,96
338,32;3,97
338,581;3,96
338,843;3,97
339,105;3,98
339,366;3,97
339,628;3,97
339,889;3,93
340,151;3,95
340,412;3,94
340,674;3,93
340,935;3,94
341,197;3,95
341,458;3,91
341,72;3,89
341,981;3,86
342,243;3,89
342,504;3,95
342,766;3,92
343,027;3,9
343,288;3,91
343,55;3,89
343,811;3,92
344,072;3,87
344,334;3,86
344,595;3,85
344,856;3,83
345,117;3,84
345,379;3,81
345,64;3,84
345,901;3,86
346,162;3,9
346,423;3,9
346,684;3,88
346,946;3,92
347,207;3,87
347,468;3,93
347,729;3,9
347,99;3,87
348,251;3,86
348,512;3,86
348,773;3,86
349,034;3,88
349,295;3,89
349,556;3,95
349,817;3,94
350,078;3,97
350,339;3,96
350,6;3,94
350,86;3,96
351,121;3,94
351,382;3,95
351,643;3,9
351,904;3,85
352,165;3,86
352,425;3,87
352,686;3,93
352,947;3,89
353,208;3,89
353,468;3,89
353,729;3,91
353,99;3,91
354,25;3,93
354,511;3,9
354,772;3,9
355,032;3,9
355,293;3,9
355,553;3,86
355,814;3,87
356,074;3,87
356,335;3,87
356,596;3,9
356,856;3,88
357,116;3,91
357,377;3,97
357,637;3,95
357,898;3,91
358,158;3,87
358,419;3,87
358,679;3,88
358,939;3,84
359,2;3,8
359,46;3,83
359,72;3,8
359,981;3,83
360,241;3,8
360,501;3,79
360,761;3,78
361,022;3,79
361,282;3,81
361,542;3,81
361,802;3,78
362,062;3,73
362,323;3,66
362,583;3,64
362,843;3,59
363,103;3,57
363,363;3,55
363,623;3,54
363,883;3,56
364,143;3,54
364,403;3,57
364,663;3,63
364,923;3,62
365,183;3,65
365,443;3,63
365,703;3,61
365,963;3,61
366,223;3,64
366,483;3,58
366,743;3,56
367,002;3,57
367,262;3,57
367,522;3,58
367,782;3,61
368,042;3,64
368,301;3,64
368,561;3,68
368,821;3,67
369,081;3,66
369,34;3,63
369,6;3,62
369,86;3,63
370,119;3,59
370,379;3,62
370,638;3,61
370,898;3,62
371,158;3,64
371,417;3,58
371,677;3,54
371,936;3,59
372,196;3,59
372,455;3,57
372,715;3,58
372,974;3,59
373,234;3,55
373,493;3,56
373,753;3,58
374,012;3,54
374,271;3,56
374,531;3,58
374,79;3,6
375,049;3,65
375,309;3,62
375,568;3,6
375,827;3,52
376,086;3,49
376,346;3,46
376,605;3,5
376,864;3,5
377,123;3,53
377,383;3,48
377,642;3,53
377,901;3,52
378,16;3,48
378,419;3,48
378,678;3,48
378,937;3,46
379,196;3,43
379,455;3,47
379,714;3,48
379,973;3,53
380,232;3,5
380,491;3,43
380,75;3,41
381,009;3,4
381,268;3,45
381,527;3,46
381,786;3,44
382,045;3,42
382,304;3,43
382,563;3,43
382,821;3,48
383,08;3,4
383,339;3,41
383,598;3,46
383,857;3,46
384,115;3,52
384,374;3,55
384,633;3,56
384,891;3,5
385,15;3,45
385,409;3,44
385,667;3,41
385,926;3,46
386,185;3,45
386,443;3,51
386,702;3,43
386,96;3,44
387,219;3,45
387,477;3,45
387,736;3,44
387,994;3,42
388,253;3,39
388,511;3,42
388,77;3,43
389,028;3,41
389,287;3,4
389,545;3,36
389,803;3,3
390,062;3,3
390,32;3,32
390,578;3,38
390,837;3,36
391,095;3,41
391,353;3,39
391,612;3,41
391,87;3,38
392,128;3,43
392,386;3,37
392,644;3,38
392,903;3,36
393,161;3,36
393,419;3,34
393,677;3,34
393,935;3,35
394,193;3,3
394,451;3,31
394,709;3,25
394,967;3,28
395,225;3,3
395,483;3,3
395,741;3,29
395,999;3,27
396,257;3,28
396,515;3,26
396,773;3,27
397,031;3,29
397,289;3,31
397,547;3,3
397,805;3,31
398,062;3,3
398,32;3,31
398,578;3,34
398,836;3,31
399,094;3,29
399,351;3,24
399,609;3,25
399,867;3,22
400,124;3,26
400,382;3,29
400,64;3,35
400,897;3,33
401,155;3,33
401,413;3,3
401,67;3,28
401,928;3,3
402,185;3,26
402,443;3,26
402,701;3,19
402,958;3,2
403,216;3,21
403,473;3,22
403,73;3,17
403,988;3,14
404,245;3,18
404,503;3,18
404,76;3,21
405,018;3,22
405,275;3,28
405,532;3,32
405,79;3,24
406,047;3,16
406,304;3,15
406,561;3,2
406,819;3,26
407,076;3,26
407,333;3,28
407,59;3,32
407,848;3,28
408,105;3,3
408,362;3,36
408,619;3,4
408,876;3,4
409,133;3,38
409,39;3,44
409,647;3,46
409,904;3,46
410,161;3,48
410,418;3,48
410,675;3,43
410,932;3,34
411,189;3,4
411,446;3,37
411,703;3,38
411,96;3,31
412,217;3,25
412,474;3,22
412,731;3,17
412,988;3,15
413,245;3,21
413,501;3,22
413,758;3,2
414,015;3,19
414,272;3,17
414,529;3,21
414,785;3,16
415,042;3,19
415,299;3,23
415,555;3,24
415,812;3,23
416,069;3,24
416,325;3,3
416,582;3,27
416,838;3,35
417,095;3,33
417,352;3,31
417,608;3,37
417,865;3,43
418,121;3,46
418,378;3,47
418,634;3,43
418,891;3,47
419,147;3,47
419,403;3,43
419,66;3,44
419,916;3,46
420,173;3,5
420,429;3,44
420,685;3,41
420,942;3,4
421,198;3,38
421,454;3,39
421,711;3,39
421,967;3,39
422,223;3,34
422,479;3,36
422,735;3,46
422,992;3,39
423,248;3,33
423,504;3,41
423,76;3,42
424,016;3,4
424,272;3,38
424,528;3,35
424,784;3,37
425,041;3,38
425,297;3,35
425,553;3,33
425,809;3,35
426,065;3,35
426,32;3,33
426,576;3,34
426,832;3,31
427,088;3,31
427,344;3,29
427,6;3,37
427,856;3,38
428,112;3,31
428,368;3,33
428,623;3,34
428,879;3,26
429,135;3,23
429,391;3,26
429,646;3,28
429,902;3,31
430,158;3,33
430,414;3,35
430,669;3,36
430,925;3,37
431,181;3,37
431,436;3,39
431,692;3,39
431,947;3,41
432,203;3,37
432,458;3,33
432,714;3,38
432,97;3,34
433,225;3,36
433,481;3,35
433,736;3,36
433,991;3,4
434,247;3,35
434,502;3,37
434,758;3,37
435,013;3,3
435,268;3,26
435,524;3,23
435,779;3,2
436,034;3,21
436,29;3,2
436,545;3,17
436,8;3,15
437,056;3,17
437,311;3,15
437,566;3,16
437,821;3,19
438,076;3,15
438,331;3,15
438,587;3,15
438,842;3,17
439,097;3,2
439,352;3,18
439,607;3,22
439,862;3,16
440,117;3,18
440,372;3,2
440,627;3,25
440,882;3,25
441,137;3,29
441,392;3,26
441,647;3,25
441,902;3,26
442,157;3,27
442,412;3,24
442,667;3,27
442,921;3,27
443,176;3,26
443,431;3,31
443,686;3,33
443,941;3,34
444,195;3,33
444,45;3,26
444,705;3,29
444,96;3,32
445,214;3,35
445,469;3,31
445,724;3,33
445,978;3,34
446,233;3,34
446,487;3,33
446,742;3,32
446,997;3,31
447,251;3,31
447,506;3,32
447,76;3,31
448,015;3,29
448,269;3,36
448,524;3,4
448,778;3,36
449,033;3,3
449,287;3,24
449,541;3,24
449,796;3,3
450,05;3,28
450,305;3,27
450,559;3,3
450,813;3,3
451,067;3,28
451,322;3,23
451,576;3,27
451,83;3,27
452,084;3,33
452,339;3,39
452,593;3,41
452,847;3,39
453,101;3,45
453,355;3,47
453,609;3,45
453,864;3,42
454,118;3,41
454,372;3,47
454,626;3,48
454,88;3,54
455,134;3,52
455,388;3,49
455,642;3,51
455,896;3,48
456,15;3,46
456,404;3,51
456,658;3,49
456,912;3,42
457,165;3,4
457,419;3,37
457,673;3,29
457,927;3,23
458,181;3,25
458,435;3,19
458,688;3,16
458,942;3,11
459,196;3,15
459,45;3,18
459,703;3,17
459,957;3,16
460,211;3,09
460,464;3,1
460,718;3,11
460,972;3,09
461,225;3,09
461,479;3,11
461,732;3,1
461,986;3,12
462,239;3,15
462,493;3,15
462,746;3,16
463;3,15
463,253;3,2
463,507;3,13
463,76;3,15
464,014;3,16
464,267;3,19
464,52;3,17
464,774;3,15
465,027;3,11
465,28;3,16
465,534;3,16
465,787;3,15
466,04;3,15
466,294;3,14
466,547;3,13
466,8;3,15
467,053;3,11
467,306;3,13
467,56;3,15
467,813;3,16
468,066;3,14
468,319;3,16
468,572;3,13
468,825;3,21
469,078;3,2
469,331;3,19
469,584;3,22
469,837;3,18
470,09;3,18
470,343;3,15
470,596;3,12
470,849;3,14
471,102;3,14
471,355;3,17
471,608;3,18
471,861;3,21
472,114;3,22
472,367;3,24
472,619;3,23
472,872;3,23
473,125;3,22
473,378;3,23
473,631;3,26
473,883;3,25
474,136;3,22
474,389;3,26
474,641;3,28
474,894;3,23
475,147;3,24
475,399;3,24
475,652;3,27
475,905;3,28
476,157;3,3
476,41;3,3
476,662;3,27
476,915;3,27
477,167;3,26
477,42;3,28
477,672;3,28
477,925;3,27
478,177;3,25
478,43;3,26
478,682;3,23
478,934;3,18
479,187;3,21
479,439;3,25
479,691;3,26
479,944;3,26
480,196;3,3
480,448;3,34
480,701;3,34
480,953;3,34
481,205;3,34
481,457;3,32
481,709;3,31
481,962;3,31
482,214;3,3
482,466;3,3
482,718;3,29
482,97;3,3
483,222;3,31
483,474;3,32
483,726;3,33
483,978;3,34
484,23;3,37
484,482;3,36
484,734;3,36
484,986;3,33
485,238;3,34
485,49;3,33
485,742;3,31
485,994;3,32
486,246;3,34
486,498;3,34
486,75;3,35
487,001;3,37
487,253;3,39
487,505;3,38
487,757;3,38
488,009;3,36
488,26;3,36
488,512;3,38
488,764;3,35
489,015;3,34
489,267;3,36
489,519;3,37
489,77;3,39
490,022;3,38
490,274;3,39
490,525;3,4
490,777;3,4
491,028;3,4
491,28;3,4
491,531;3,4
491,783;3,4
492,034;3,42
492,286;3,41
492,537;3,43
492,789;3,44
