Data from cinnabarWhite_Reflection__0__15.txt Node;
"Date: Wed Sep 10 11:46:58 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;84,74
186,281;69,97
186,552;88,47
186,822;74,37
187,093;-333,33
187,364;192,72
187,635;39,48
187,905;23,66
188,176;55,51
188,447;52,23
188,717;33
188,988;33,78
189,258;33,32
189,529;31,69
189,8;29,52
190,07;33,32
190,341;33,01
190,611;28,97
190,882;28,79
191,152;30,9
191,423;29,84
191,693;28,56
191,964;27,55
192,234;29,63
192,505;30,13
192,775;29,92
193,045;30,3
193,316;28,97
193,586;29,02
193,856;28,15
194,127;28,02
194,397;30,29
194,667;30,91
194,938;31,11
195,208;31,36
195,478;32,4
195,748;31,73
196,019;30,92
196,289;32,67
196,559;32,43
196,829;30,29
197,099;30,8
197,37;30,29
197,64;31,7
197,91;30,89
198,18;30,41
198,45;31,62
198,72;30,78
198,99;31,31
199,26;31,14
199,53;30,61
199,8;30,55
200,07;30,56
200,34;30,94
200,61;30,21
200,88;30,04
201,15;29,82
201,42;29,35
201,69;29,22
201,96;28,62
202,23;28,94
202,499;30,18
202,769;29,49
203,039;28,49
203,309;27,21
203,579;26,86
203,849;27,32
204,118;26,72
204,388;26,77
204,658;26,69
204,927;26,41
205,197;26,14
205,467;25,95
205,736;25,82
206,006;24,92
206,276;24,76
206,545;24,74
206,815;24,43
207,085;24,44
207,354;24,34
207,624;23,92
207,893;23,53
208,163;23,03
208,432;23,08
208,702;23,32
208,971;23,35
209,241;23,39
209,51;23,28
209,78;22,99
210,049;22,79
210,318;22,5
210,588;22,87
210,857;22,79
211,127;22,89
211,396;22,38
211,665;22,37
211,935;22,41
212,204;22,32
212,473;22,37
212,742;22,34
213,012;22,33
213,281;22,39
213,55;22,46
213,819;22,55
214,088;22,48
214,358;22,41
214,627;22,57
