Data from cinnabarWhite_Reflection__1__16.txt Node;
"Date: Wed Sep 10 11:48:22 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;-14,13
186,281;18,49
186,552;16,69
186,822;34,59
187,093;33,33
187,364;596,81
187,635;91,35
187,905;61,52
188,176;53,1
188,447;31,87
188,717;30,56
188,988;36,79
189,258;30,73
189,529;36,08
189,8;32,85
190,07;36,07
190,341;29,82
190,611;28,18
190,882;27,02
191,152;25,46
191,423;22,99
191,693;22,72
191,964;22,97
192,234;22,64
192,505;19,82
192,775;20,23
193,045;18,74
193,316;18,45
193,586;18,59
193,856;18,94
194,127;20,2
194,397;20,07
194,667;19,72
194,938;19,6
195,208;18,01
195,478;19,84
195,748;19,44
196,019;19,46
196,289;18,05
196,559;16,76
196,829;15,61
197,099;15,87
197,37;16,5
197,64;15,6
197,91;14,54
198,18;14,9
198,45;14,8
198,72;14,44
198,99;14,82
199,26;14,32
199,53;13,94
199,8;12,72
200,07;12,15
200,34;11,41
200,61;10,68
200,88;11,35
201,15;10,5
201,42;9,86
201,69;9,59
201,96;10,34
202,23;11,24
202,499;12,06
202,769;11,89
203,039;11,34
203,309;10,72
203,579;11,07
203,849;11,5
204,118;11,14
204,388;10,92
204,658;10,64
204,927;10,59
205,197;10,06
205,467;10,21
205,736;10,24
206,006;9,87
206,276;10,15
206,545;9,94
206,815;9,97
207,085;10,18
207,354;10,44
207,624;10,14
207,893;9,63
208,163;9,12
208,432;9,21
208,702;8,52
208,971;8,84
209,241;9,03
209,51;9,07
209,78;8,57
210,049;8,39
210,318;8,43
210,588;8,03
210,857;8,23
211,127;8,62
211,396;8,48
211,665;8,83
211,935;8,64
212,204;8,61
212,473;8,58
212,742;8,49
213,012;8,38
213,281;8,17
213,55;8,53
213,819;8,6
