Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
0;--;--;--;3554,8;65535;3666,5;111,7;0;0;0;
1;--;--;--;3493,8;65535;3630,3;136,5;0;0;0;
2;--;--;--;3945,2;65535;4096,6;151,4;0;0;0;
3;--;--;--;3536,8;65535;3692,2;155,4;0;0;0;
4;--;--;--;3864,2;65535;4045;180,8;0;0;0;
5;--;--;--;3597,1;65535;3848,9;251,8;0;0;0;
6;--;--;--;3598,4;65535;3981,9;383,5;0;0;0;
7;--;--;--;3550,8;65535;4103;552,2;0;0;0;
8;--;--;--;3592;65535;4613,7;1021,7;0;0;0;
9;--;--;--;3602;65535;6016,7;2414,7;0;0;0;
10;--;--;--;3665;65535;7115,8;3450,8;0;0;0;
11;--;--;--;4009,9;65535;5619,4;1609,5;0;0;0;
12;--;--;--;3608,3;65535;3898,1;289,8;0;0;0;
13;--;--;--;3573;65535;3754,4;181,4;0;0;0;
14;--;--;--;3681;65535;3870,7;189,7;0;0;0;
15;--;--;--;3615,3;65535;3770,9;155,6;0;0;0;
16;--;--;--;3690,4;65535;3859,9;169,5;0;0;0;
17;--;--;--;3563,1;65535;3729,8;166,7;0;0;0;
18;--;--;--;4230,2;65535;4411,7;181,5;0;0;0;
19;--;--;--;3557,6;65535;3737,9;180,3;0;0;0;
20;--;--;--;3626,6;65535;3793,1;166,5;0;0;0;
21;--;--;--;3658,2;65535;3863;204,8;0;0;0;
22;--;--;--;3604,1;65535;3782,2;178,1;0;0;0;
23;--;--;--;3635,7;65535;3828,3;192,6;0;0;0;
24;--;--;--;3586,4;65535;3796;209,6;0;0;0;
25;--;--;--;3618,3;65535;3862,3;244;0;0;0;
26;--;--;--;3767,3;65535;4039,3;272;0;0;0;
27;--;--;--;3567,8;65535;3892,5;324,7;0;0;0;
28;--;--;--;3609,4;65535;4078;468,6;0;0;0;
29;--;--;--;3783,2;65535;4530,8;747,6;0;0;0;
30;--;--;--;3649,9;65535;5002,9;1353;0;0;0;
31;--;--;--;3635;65535;6198,2;2563,2;0;0;0;
32;--;--;--;3657,9;65535;8280,2;4622,3;0;0;0;
33;--;--;--;3657,8;65535;11235,5;7577,7;0;0;0;
34;--;--;--;3578;65535;15143,6;11565,6;0;0;0;
35;--;--;--;3640,4;65535;17600,8;13960,4;0;0;0;
36;--;--;--;3573,4;65535;16617,4;13044;0;0;0;
37;--;--;--;3552,3;65535;15795,2;12242,9;0;0;0;
38;--;--;--;3529,5;65535;16364,2;12834,7;0;0;0;
39;--;--;--;3524,3;65535;17132,6;13608,3;0;0;0;
40;--;--;--;3609,1;65535;17771,7;14162,6;0;0;0;
