Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
0;--;--;--;3554,8;65535;3661,7;106,9;0;0;0;
1;--;--;--;3493,8;65535;3614,7;120,9;0;0;0;
2;--;--;--;3945,2;65535;4090,3;145,1;0;0;0;
3;--;--;--;3536,8;65535;3663;126,2;0;0;0;
4;--;--;--;3864,2;65535;4045,7;181,5;0;0;0;
5;--;--;--;3597,1;65535;3829,3;232,2;0;0;0;
6;--;--;--;3598,4;65535;3958,7;360,3;0;0;0;
7;--;--;--;3550,8;65535;4091,8;541;0;0;0;
8;--;--;--;3592;65535;4582;990;0;0;0;
9;--;--;--;3602;65535;5965,7;2363,7;0;0;0;
10;--;--;--;3665;65535;7059,9;3394,9;0;0;0;
11;--;--;--;4009,9;65535;5595,9;1586;0;0;0;
12;--;--;--;3608,3;65535;3875,6;267,3;0;0;0;
13;--;--;--;3573;65535;3738,5;165,5;0;0;0;
14;--;--;--;3681;65535;3841,4;160,4;0;0;0;
15;--;--;--;3615,3;65535;3758;142,7;0;0;0;
16;--;--;--;3690,4;65535;3823,8;133,4;0;0;0;
17;--;--;--;3563,1;65535;3689,3;126,2;0;0;0;
18;--;--;--;4230,2;65535;4380,7;150,5;0;0;0;
19;--;--;--;3557,6;65535;3693,6;136;0;0;0;
20;--;--;--;3626,6;65535;3754,5;127,9;0;0;0;
21;--;--;--;3658,2;65535;3824,4;166,2;0;0;0;
22;--;--;--;3604,1;65535;3764,5;160,4;0;0;0;
23;--;--;--;3635,7;65535;3790,5;154,8;0;0;0;
24;--;--;--;3586,4;65535;3751;164,6;0;0;0;
25;--;--;--;3618,3;65535;3817,4;199,1;0;0;0;
26;--;--;--;3767,3;65535;3979,3;212;0;0;0;
27;--;--;--;3567,8;65535;3817,7;249,9;0;0;0;
28;--;--;--;3609,4;65535;3951,8;342,4;0;0;0;
29;--;--;--;3783,2;65535;4326,8;543,6;0;0;0;
30;--;--;--;3649,9;65535;4659,4;1009,5;0;0;0;
31;--;--;--;3635;65535;5502,2;1867,2;0;0;0;
32;--;--;--;3657,9;65535;7037,1;3379,2;0;0;0;
33;--;--;--;3657,8;65535;9215,6;5557,8;0;0;0;
34;--;--;--;3578;65535;12097,7;8519,7;0;0;0;
35;--;--;--;3640,4;65535;13923,2;10282,8;0;0;0;
36;--;--;--;3573,4;65535;13231,3;9657,9;0;0;0;
37;--;--;--;3552,3;65535;12591,8;9039,5;0;0;0;
38;--;--;--;3529,5;65535;12941,9;9412,4;0;0;0;
39;--;--;--;3524,3;65535;13413,4;9889,1;0;0;0;
40;--;--;--;3609,1;65535;13799,5;10190,4;0;0;0;
41;--;--;--;3699,4;65535;14057,4;10358;0;0;0;
42;--;--;--;3625,4;65535;14413,6;10788,2;0;0;0;
43;--;--;--;3948,8;65535;15213,9;11265,1;0;0;0;
44;--;--;--;3656,3;65535;15691,3;12035;0;0;0;
45;--;--;--;3590,9;65535;16600,2;13009,3;0;0;0;
46;--;--;--;3732,5;65535;17259,8;13527,3;0;0;0;
47;--;--;--;3823,9;65535;17301,2;13477,3;0;0;0;
48;--;--;--;3713,3;65535;16921,6;13208,3;0;0;0;
49;--;--;--;3702,9;65535;16837;13134,1;0;0;0;
50;--;--;--;3682,1;65535;17266,8;13584,7;0;0;0;
51;--;--;--;3802,5;65535;18112,1;14309,6;0;0;0;
52;--;--;--;3651,4;65535;18449,6;14798,2;0;0;0;
53;--;--;--;3654,6;65535;18286,1;14631,5;0;0;0;
54;--;--;--;3566,9;65535;17569,5;14002,6;0;0;0;
55;--;--;--;3723;65535;16965,3;13242,3;0;0;0;
56;--;--;--;3826,2;65535;16439;12612,8;0;0;0;
57;--;--;--;3713,5;65535;15678,3;11964,8;0;0;0;
58;--;--;--;3588,2;65535;15039,6;11451,4;0;0;0;
59;--;--;--;3800,2;65535;14786,1;10985,9;0;0;0;
60;--;--;--;3851;65535;14561,5;10710,5;0;0;0;
61;--;--;--;3994,7;65535;14534;10539,3;0;0;0;
62;--;--;--;3641,3;65535;14081,9;10440,6;0;0;0;
63;--;--;--;3608,4;65535;13989;10380,6;0;0;0;
64;--;--;--;3793,1;65535;13758,7;9965,6;0;0;0;
65;--;--;--;3580,4;65535;13205,9;9625,5;0;0;0;
66;--;--;--;3913,9;65535;13381,8;9467,9;0;0;0;
67;--;--;--;3589,9;65535;13058,8;9468,9;0;0;0;
68;--;--;--;3530,6;65535;13101;9570,4;0;0;0;
69;--;--;--;3708,6;65535;13318,5;9609,9;0;0;0;
70;--;--;--;4400,5;65535;14094,6;9694,1;0;0;0;
71;--;--;--;3516,6;65535;13191,5;9674,9;0;0;0;
72;--;--;--;3514,2;65535;13263,2;9749;0;0;0;
73;794,03;12593,93;148,42;3708,7;65535;13770,6;10061,9;0;0;0;
74;794,18;12591,53;150,81;3535,5;65535;13831,6;10296,1;0;0;0;
75;794,34;12589,14;153,2;3529,9;65535;13721,5;10191,6;0;0;0;
76;794,49;12586,75;155,59;3618,7;65535;13467,3;9848,6;0;0;0;
77;794,64;12584,36;157,98;4898,8;65535;14384,7;9485,9;0;0;0;
78;794,79;12581,97;160,37;3810,7;65535;13086,2;9275,5;0;0;0;
79;794,94;12579,58;162,76;3700,4;65535;12994,1;9293,7;0;0;0;
80;795,09;12577,2;165,15;3873;65535;13165,5;9292,5;0;0;0;
81;795,24;12574,81;167,53;3830,9;65535;13223,5;9392,6;0;0;0;
82;795,39;12572,43;169,92;3638,6;65535;13118,7;9480,1;0;0;0;
83;795,54;12570,04;172,3;3615,7;65535;13248,2;9632,5;0;0;0;
84;795,69;12567,66;174,68;3775,8;65535;13610,5;9834,7;0;0;0;
85;795,84;12565,28;177,06;3981,6;65535;14108;10126,4;0;0;0;
86;795,99;12562,9;179,44;4207;65535;14777,9;10570,9;0;0;0;
87;796,15;12560,52;181,82;3642;65535;14608,5;10966,5;0;0;0;
88;796,3;12558,14;184,2;3713,5;65535;15129,6;11416,1;0;0;0;
89;796,45;12555,76;186,58;3645,1;65535;15362,7;11717,6;0;0;0;
90;796,6;12553,39;188,96;3738,7;65535;15579,3;11840,6;0;0;0;
91;796,75;12551,01;191,33;3763,5;65535;15518,4;11754,9;0;0;0;
92;796,9;12548,64;193,71;3566,9;65535;15317,3;11750,4;0;0;0;
93;797,05;12546,26;196,08;3631,4;65535;15272,1;11640,7;0;0;0;
94;797,2;12543,89;198,45;3702,8;65535;15312,5;11609,7;0;0;0;
95;797,35;12541,52;200,82;3606,1;65535;15018,3;11412,2;0;0;0;
96;797,5;12539,15;203,19;3559,5;65535;14891,3;11331,8;0;0;0;
97;797,65;12536,78;205,56;3859,8;65535;15192;11332,2;0;0;0;
98;797,8;12534,41;207,93;3752,2;65535;15134,7;11382,5;0;0;0;
99;797,95;12532,05;210,3;3628,6;65535;15084,2;11455,6;0;0;0;
100;798,1;12529,68;212,66;3649,8;65535;15321,9;11672,1;0;0;0;
101;798,26;12527,32;215,03;3725,5;65535;15791,6;12066,1;0;0;0;
102;798,41;12524,95;217,39;3532,3;65535;16178,9;12646,6;0;0;0;
103;798,56;12522,59;219,75;4715;65535;18254,8;13539,8;0;0;0;
104;798,71;12520,23;222,12;3567,8;65535;18099,8;14532;0;0;0;
105;798,86;12517,87;224,48;3516,6;65535;19401,3;15884,7;0;0;0;
106;799,01;12515,51;226,84;3877,6;65535;21429,9;17552,3;0;0;0;
107;799,16;12513,15;229,2;3619,9;65535;23289,9;19670;0;0;0;
108;799,31;12510,79;231,55;3573,6;65535;26415,3;22841,7;0;0;0;
109;799,46;12508,43;233,91;3645,5;65535;29880,5;26235;0;0;0;
110;799,61;12506,08;236,27;3620,8;65535;35267,6;31646,8;0;0;0;
111;799,76;12503,72;238,62;3569,7;65535;43385,5;39815,8;0;0;0;
112;799,91;12501,37;240,98;3607;65535;54045,1;50438,1;0;0;0;
113;800,06;12499,01;243,33;3638,7;65535;65535;61896,3;0;0;0;
114;800,21;12496,66;245,68;3692,8;65535;65535;61842,2;0;0;0;
115;800,36;12494,31;248,03;3522,6;65535;65535;62012,4;0;0;0;
116;800,51;12491,96;250,38;3638,6;65535;65535;61896,4;0;0;0;
117;800,67;12489,61;252,73;3536;65535;65535;61999;0;0;0;
118;800,82;12487,26;255,08;3594,3;65535;61656,7;58062,4;0;0;0;
119;800,97;12484,92;257,43;3677,3;65535;43197,2;39519,9;0;0;0;
