Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
0;--;--;--;3554,8;65535;3669,3;114,5;0;0;0;
1;--;--;--;3493,8;65535;3629,9;136,1;0;0;0;
2;--;--;--;3945,2;65535;4103;157,8;0;0;0;
3;--;--;--;3536,8;65535;3688,9;152,1;0;0;0;
4;--;--;--;3864,2;65535;4050,3;186,1;0;0;0;
5;--;--;--;3597,1;65535;3855;257,9;0;0;0;
6;--;--;--;3598,4;65535;3967,1;368,7;0;0;0;
7;--;--;--;3550,8;65535;4086,1;535,3;0;0;0;
8;--;--;--;3592;65535;4623,5;1031,5;0;0;0;
9;--;--;--;3602;65535;6053,8;2451,8;0;0;0;
10;--;--;--;3665;65535;7129,1;3464,1;0;0;0;
11;--;--;--;4009,9;65535;5655,4;1645,5;0;0;0;
12;--;--;--;3608,3;65535;3911,7;303,4;0;0;0;
13;--;--;--;3573;65535;3745,1;172,1;0;0;0;
14;--;--;--;3681;65535;3874,8;193,8;0;0;0;
15;--;--;--;3615,3;65535;3780,6;165,3;0;0;0;
16;--;--;--;3690,4;65535;3860;169,6;0;0;0;
17;--;--;--;3563,1;65535;3732,9;169,8;0;0;0;
18;--;--;--;4230,2;65535;4410,1;179,9;0;0;0;
19;--;--;--;3557,6;65535;3733,1;175,5;0;0;0;
20;--;--;--;3626,6;65535;3792,2;165,6;0;0;0;
21;--;--;--;3658,2;65535;3853,7;195,5;0;0;0;
22;--;--;--;3604,1;65535;3801,5;197,4;0;0;0;
23;--;--;--;3635,7;65535;3845,4;209,7;0;0;0;
24;--;--;--;3586,4;65535;3831,2;244,8;0;0;0;
25;--;--;--;3618,3;65535;3878,9;260,6;0;0;0;
26;--;--;--;3767,3;65535;4087;319,7;0;0;0;
27;--;--;--;3567,8;65535;3951,9;384,1;0;0;0;
28;--;--;--;3609,4;65535;4207,6;598,2;0;0;0;
29;--;--;--;3783,2;65535;4789,7;1006,5;0;0;0;
30;--;--;--;3649,9;65535;5569,3;1919,4;0;0;0;
31;--;--;--;3635;65535;7255;3620;0;0;0;
32;--;--;--;3657,9;65535;10193,9;6536;0;0;0;
33;--;--;--;3657,8;65535;14278,3;10620,5;0;0;0;
34;--;--;--;3578;65535;20048,2;16470,2;0;0;0;
35;--;--;--;3640,4;65535;23268,7;19628,3;0;0;0;
36;--;--;--;3573,4;65535;20563,6;16990,2;0;0;0;
37;--;--;--;3552,3;65535;18465,6;14913,3;0;0;0;
38;--;--;--;3529,5;65535;18787,8;15258,3;0;0;0;
39;--;--;--;3524,3;65535;19513,3;15989;0;0;0;
40;--;--;--;3609,1;65535;20038,5;16429,4;0;0;0;
41;--;--;--;3699,4;65535;20248,7;16549,3;0;0;0;
42;--;--;--;3625,4;65535;20723,9;17098,5;0;0;0;
43;--;--;--;3948,8;65535;21893,6;17944,8;0;0;0;
44;--;--;--;3656,3;65535;22915;19258,7;0;0;0;
45;--;--;--;3590,9;65535;24670,7;21079,8;0;0;0;
46;--;--;--;3732,5;65535;25834,5;22102;0;0;0;
47;--;--;--;3823,9;65535;26143,2;22319,3;0;0;0;
48;--;--;--;3713,3;65535;25625,4;21912,1;0;0;0;
49;--;--;--;3702,9;65535;25071,2;21368,3;0;0;0;
50;--;--;--;3682,1;65535;25500,3;21818,2;0;0;0;
51;--;--;--;3802,5;65535;26744,6;22942,1;0;0;0;
52;--;--;--;3651,4;65535;27265,1;23613,7;0;0;0;
53;--;--;--;3654,6;65535;26797,4;23142,8;0;0;0;
54;--;--;--;3566,9;65535;25624,6;22057,7;0;0;0;
55;--;--;--;3723;65535;24589,8;20866,8;0;0;0;
56;--;--;--;3826,2;65535;23731,1;19904,9;0;0;0;
57;--;--;--;3713,5;65535;22614,7;18901,2;0;0;0;
58;--;--;--;3588,2;65535;21626,1;18037,9;0;0;0;
59;--;--;--;3800,2;65535;21248,4;17448,2;0;0;0;
60;--;--;--;3851;65535;20900,4;17049,4;0;0;0;
61;--;--;--;3994,7;65535;20872,4;16877,7;0;0;0;
62;--;--;--;3641,3;65535;20533,5;16892,2;0;0;0;
63;--;--;--;3608,4;65535;20317,1;16708,7;0;0;0;
64;--;--;--;3793,1;65535;19747,3;15954,2;0;0;0;
65;--;--;--;3580,4;65535;18742,5;15162,1;0;0;0;
66;--;--;--;3913,9;65535;18678,5;14764,6;0;0;0;
67;--;--;--;3589,9;65535;18242,2;14652,3;0;0;0;
68;--;--;--;3530,6;65535;18366,6;14836;0;0;0;
69;--;--;--;3708,6;65535;18679,3;14970,7;0;0;0;
70;--;--;--;4400,5;65535;19483,4;15082,9;0;0;0;
71;--;--;--;3516,6;65535;18720,2;15203,6;0;0;0;
72;--;--;--;3514,2;65535;19054,4;15540,2;0;0;0;
73;794,03;12593,93;148,42;3708,7;65535;19887,6;16178,9;0;0;0;
74;794,18;12591,53;150,81;3535,5;65535;20295,8;16760,3;0;0;0;
75;794,34;12589,14;153,2;3529,9;65535;20120,5;16590,6;0;0;0;
76;794,49;12586,75;155,59;3618,7;65535;19492;15873,3;0;0;0;
77;794,64;12584,36;157,98;4898,8;65535;19994,3;15095,5;0;0;0;
78;794,79;12581,97;160,37;3810,7;65535;18615,8;14805,1;0;0;0;
79;794,94;12579,58;162,76;3700,4;65535;18533,8;14833,4;0;0;0;
80;795,09;12577,2;165,15;3873;65535;18784,6;14911,6;0;0;0;
81;795,24;12574,81;167,53;3830,9;65535;18959,6;15128,7;0;0;0;
82;795,39;12572,43;169,92;3638,6;65535;18987,3;15348,7;0;0;0;
83;795,54;12570,04;172,3;3615,7;65535;19438,7;15823;0;0;0;
84;795,69;12567,66;174,68;3775,8;65535;20163,5;16387,7;0;0;0;
85;795,84;12565,28;177,06;3981,6;65535;21063,7;17082,1;0;0;0;
86;795,99;12562,9;179,44;4207;65535;22267,9;18060,9;0;0;0;
87;796,15;12560,52;181,82;3642;65535;22594,9;18952,9;0;0;0;
88;796,3;12558,14;184,2;3713,5;65535;23793,7;20080,2;0;0;0;
89;796,45;12555,76;186,58;3645,1;65535;24414,4;20769,3;0;0;0;
90;796,6;12553,39;188,96;3738,7;65535;24645;20906,3;0;0;0;
91;796,75;12551,01;191,33;3763,5;65535;24518,6;20755,1;0;0;0;
92;796,9;12548,64;193,71;3566,9;65535;24053,4;20486,5;0;0;0;
93;797,05;12546,26;196,08;3631,4;65535;23744,3;20112,9;0;0;0;
94;797,2;12543,89;198,45;3702,8;65535;23595,2;19892,4;0;0;0;
