Pixel;Wavelength;Wavenumber;Raman Shift;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Irradiance (W/cm^2/nm) #1;
0;--;--;--;3554,8;65535;3665;110,2;0;0;0;
1;--;--;--;3493,8;65535;3632,6;138,8;0;0;0;
2;--;--;--;3945,2;65535;4109,4;164,2;0;0;0;
3;--;--;--;3536,8;65535;3691,9;155,1;0;0;0;
4;--;--;--;3864,2;65535;4056,6;192,4;0;0;0;
5;--;--;--;3597,1;65535;3838,4;241,3;0;0;0;
6;--;--;--;3598,4;65535;3962,2;363,8;0;0;0;
7;--;--;--;3550,8;65535;4094,4;543,6;0;0;0;
8;--;--;--;3592;65535;4597,6;1005,6;0;0;0;
9;--;--;--;3602;65535;5955,7;2353,7;0;0;0;
10;--;--;--;3665;65535;7099,4;3434,4;0;0;0;
11;--;--;--;4009,9;65535;5660,5;1650,6;0;0;0;
12;--;--;--;3608,3;65535;3896,9;288,6;0;0;0;
13;--;--;--;3573;65535;3743;170;0;0;0;
14;--;--;--;3681;65535;3859,9;178,9;0;0;0;
15;--;--;--;3615,3;65535;3756,4;141,1;0;0;0;
16;--;--;--;3690,4;65535;3845,2;154,8;0;0;0;
17;--;--;--;3563,1;65535;3710,6;147,5;0;0;0;
18;--;--;--;4230,2;65535;4389,5;159,3;0;0;0;
19;--;--;--;3557,6;65535;3704,1;146,5;0;0;0;
20;--;--;--;3626,6;65535;3768,8;142,2;0;0;0;
21;--;--;--;3658,2;65535;3829,3;171,1;0;0;0;
22;--;--;--;3604,1;65535;3788,1;184;0;0;0;
23;--;--;--;3635,7;65535;3823,1;187,4;0;0;0;
24;--;--;--;3586,4;65535;3790,6;204,2;0;0;0;
25;--;--;--;3618,3;65535;3843,6;225,3;0;0;0;
26;--;--;--;3767,3;65535;4019,1;251,8;0;0;0;
27;--;--;--;3567,8;65535;3872,9;305,1;0;0;0;
28;--;--;--;3609,4;65535;3999,7;390,3;0;0;0;
29;--;--;--;3783,2;65535;4404,1;620,9;0;0;0;
30;--;--;--;3649,9;65535;4744;1094,1;0;0;0;
31;--;--;--;3635;65535;5663,3;2028,3;0;0;0;
32;--;--;--;3657,9;65535;7392,8;3734,9;0;0;0;
33;--;--;--;3657,8;65535;9811,9;6154,1;0;0;0;
34;--;--;--;3578;65535;12892,8;9314,8;0;0;0;
35;--;--;--;3640,4;65535;15136,4;11496;0;0;0;
36;--;--;--;3573,4;65535;15202,7;11629,3;0;0;0;
37;--;--;--;3552,3;65535;15236,7;11684,4;0;0;0;
38;--;--;--;3529,5;65535;15990,8;12461,3;0;0;0;
39;--;--;--;3524,3;65535;16761,5;13237,2;0;0;0;
40;--;--;--;3609,1;65535;17415,9;13806,8;0;0;0;
41;--;--;--;3699,4;65535;18122,3;14422,9;0;0;0;
42;--;--;--;3625,4;65535;18793,1;15167,7;0;0;0;
43;--;--;--;3948,8;65535;20088,5;16139,7;0;0;0;
44;--;--;--;3656,3;65535;21049,3;17393;0;0;0;
