Data from bluEgizioWhite_Reflection__6__29.txt Node;
Date: Fri Sep 12 11:05:33 CEST 2025;
186,01;-48,84
186,281;-3280,88
186,552;124,36
186,822;146,89
187,093;-118,18
187,364;12,19
187,635;-3051,06
187,905;17,57
188,176;21,36
188,447;22,88
188,717;19,47
188,988;21,8
189,258;21,72
189,529;25,36
189,8;24,63
190,07;23,08
190,341;21,2
190,611;19,41
190,882;18,83
191,152;18,29
191,423;18,22
191,693;17,93
191,964;17,8
192,234;18,77
192,505;17,98
192,775;16,99
193,045;17,43
193,316;17,48
193,586;16,98
193,856;16,88
194,127;16,5
194,397;15,98
194,667;15,79
194,938;15,51
195,208;15,3
195,478;15,06
195,748;14,49
196,019;13,94
196,289;13,73
196,559;13,52
196,829;13,48
197,099;13,75
197,37;13,5
197,64;13,54
197,91;12,91
198,18;12,71
198,45;12,6
198,72;12,31
198,99;11,7
199,26;11,38
199,53;11,13
199,8;11,27
200,07;11,17
200,34;10,58
200,61;10,39
200,88;10,3
201,15;10
201,42;9,69
201,69;9,72
201,96;9,7
202,23;9,34
202,499;9,02
202,769;8,61
203,039;8,22
203,309;7,96
203,579;7,83
203,849;7,83
204,118;7,62
204,388;7,31
204,658;7,32
204,927;7,07
205,197;6,74
205,467;6,41
205,736;6,35
206,006;6,22
206,276;6,12
206,545;5,76
206,815;5,62
207,085;5,65
207,354;5,59
207,624;5,53
207,893;5,39
208,163;5,28
208,432;5,27
208,702;5,23
208,971;5,28
209,241;5,23
209,51;5,19
209,78;5,17
210,049;5,13
210,318;5,07
210,588;5,19
210,857;5,27
211,127;5,18
211,396;5,15
211,665;5,12
211,935;5,18
212,204;5,19
212,473;5,17
212,742;5,18
213,012;5,11
213,281;5,04
213,55;5,06
213,819;5,06
214,088;4,97
214,358;4,92
214,627;4,85
214,896;4,8
215,165;4,71
215,434;4,67
215,703;4,59
215,972;4,56
216,241;4,48
216,51;4,4
216,779;4,34
217,048;4,33
217,317;4,31
217,586;4,26
