Data from bluEgizioWhite_Reflection__0__23.txt Node;
Date: Fri Sep 12 11:01:59 CEST 2025;
186,01;-1180,66
186,281;-6491,18
186,552;269,28
186,822;180,07
187,093;127,27
187,364;57,94
187,635;3519,15
187,905;101,71
188,176;61,09
188,447;59,56
188,717;56,41
188,988;61,22
189,258;61,02
189,529;62,03
189,8;62
190,07;60,97
190,341;61,19
190,611;59,73
190,882;58,4
191,152;57,38
191,423;56,21
191,693;54,41
191,964;53,98
192,234;54,35
192,505;52,48
192,775;52,65
193,045;52,35
193,316;51,65
193,586;51,23
193,856;51,56
194,127;50,73
194,397;50,83
194,667;50,55
194,938;50,35
195,208;50,32
195,478;50,37
195,748;49,77
196,019;49,37
196,289;49,38
196,559;49,72
196,829;49,78
197,099;49,9
197,37;50,17
197,64;50,41
197,91;50,65
198,18;50,69
198,45;49,84
198,72;49,88
198,99;49,75
199,26;49,1
199,53;48,85
199,8;49,25
200,07;48,85
200,34;48,64
200,61;48,49
200,88;48,17
201,15;47,36
201,42;47,24
201,69;47,31
201,96;47,37
202,23;46,85
202,499;46,62
202,769;46,6
203,039;46,21
203,309;45,82
203,579;45,38
203,849;45,19
204,118;45,18
204,388;44,95
204,658;44,8
204,927;44,62
205,197;44,65
205,467;44,25
205,736;44,07
206,006;43,89
206,276;43,7
206,545;43,53
206,815;43,55
207,085;43,35
207,354;43,03
207,624;42,79
207,893;42,57
208,163;42,32
208,432;42,05
208,702;41,88
208,971;41,81
209,241;41,73
209,51;41,59
209,78;41,43
210,049;41,26
210,318;41,03
210,588;41,03
210,857;40,79
211,127;40,59
211,396;40,44
211,665;40,21
211,935;40,14
212,204;39,98
212,473;39,87
212,742;39,74
213,012;39,64
213,281;39,49
213,55;39,39
213,819;39,34
214,088;39,26
214,358;39,23
214,627;39,14
214,896;39,05
215,165;38,92
215,434;38,85
215,703;38,73
215,972;38,7
216,241;38,61
216,51;38,58
216,779;38,53
217,048;38,55
217,317;38,54
217,586;38,49
217,855;38,48
218,124;38,5
218,393;38,52
218,662;38,57
218,931;38,61
219,2;38,62
219,469;38,6
219,738;38,68
220,006;38,68
220,275;38,69
220,544;38,74
220,813;38,81
221,082;38,88
221,35;38,91
221,619;39,02
221,888;39,11
222,157;39,13
222,425;39,25
222,694;39,34
222,963;39,45
223,231;39,52
223,5;39,65
223,769;39,7
224,037;39,78
224,306;39,86
224,574;39,98
224,843;40,12
225,111;40,25
225,38;40,27
225,648;40,36
225,917;40,41
226,185;40,52
226,454;40,6
226,722;40,68
226,991;40,75
227,259;40,79
227,528;40,86
227,796;40,93
228,064;40,97
228,333;41,03
228,601;41,1
228,869;41,18
229,138;41,19
229,406;41,27
229,674;41,33
229,942;41,38
230,211;41,41
230,479;41,43
230,747;41,43
231,015;41,48
231,283;41,54
231,552;41,61
231,82;41,64
232,088;41,68
232,356;41,7
232,624;41,77
232,892;41,81
233,16;41,84
233,428;41,89
233,696;41,95
233,964;41,97
234,232;41,99
234,5;41,99
234,768;42,07
235,036;42,06
235,304;42,09
235,572;42,08
235,84;42,1
236,108;42,13
236,376;42,17
236,644;42,19
236,912;42,21
237,179;42,24
237,447;42,25
237,715;42,26
237,983;42,26
238,251;42,28
238,518;42,31
238,786;42,32
239,054;42,32
239,322;42,31
239,589;42,36
239,857;42,36
240,125;42,41
240,392;42,41
240,66;42,45
240,927;42,47
241,195;42,5
241,463;42,51
241,73;42,51
241,998;42,52
242,265;42,56
242,533;42,57
242,8;42,59
243,068;42,61
243,335;42,65
243,603;42,68
243,87;42,7
244,138;42,69
244,405;42,75
244,672;42,79
244,94;42,83
245,207;42,83
245,474;42,85
245,742;42,87
246,009;42,89
246,276;42,91
246,544;42,95
246,811;42,97
247,078;43,01
247,345;43,08
247,613;43,13
247,88;43,15
248,147;43,19
248,414;43,21
248,681;43,26
248,948;43,29
249,215;43,34
249,483;43,37
249,75;43,4
250,017;43,43
250,284;43,48
250,551;43,52
250,818;43,57
251,085;43,63
251,352;43,69
251,619;43,73
251,886;43,8
252,153;43,85
252,42;43,93
252,687;43,99
252,953;44,02
253,22;44,09
253,487;44,17
253,754;44,24
254,021;44,32
254,288;44,37
254,555;44,45
254,821;44,53
255,088;44,62
255,355;44,74
255,622;44,83
255,888;44,91
256,155;45,02
256,422;45,11
256,688;45,19
256,955;45,3
257,222;45,4
257,488;45,5
257,755;45,6
258,022;45,7
258,288;45,8
258,555;45,91
258,821;46,02
259,088;46,11
259,354;46,23
259,621;46,36
259,887;46,5
260,154;46,6
260,42;46,73
260,687;46,85
260,953;46,96
261,219;47,08
261,486;47,19
261,752;47,3
262,019;47,45
262,285;47,57
262,551;47,69
262,818;47,83
263,084;47,96
263,35;48,1
263,616;48,22
263,883;48,37
264,149;48,5
264,415;48,63
264,681;48,79
264,947;48,94
265,214;49,07
265,48;49,2
265,746;49,34
266,012;49,48
266,278;49,63
266,544;49,76
266,81;49,91
267,076;50,06
267,342;50,2
267,608;50,32
267,874;50,47
268,14;50,63
268,406;50,78
268,672;50,91
268,938;51,06
269,204;51,2
269,47;51,33
269,736;51,47
270,002;51,61
270,268;51,75
270,533;51,87
270,799;51,99
271,065;52,12
271,331;52,27
271,597;52,42
271,862;52,54
272,128;52,67
272,394;52,79
272,66;52,92
272,925;53,05
273,191;53,15
273,457;53,26
273,722;53,38
