Data from bluEgizioWhite_Reflection__1__24.txt Node;
Date: Fri Sep 12 11:03:01 CEST 2025;
186,01;-62,79
186,281;-2245,59
186,552;100,26
186,822;46,75
187,093;-36,36
187,364;7,18
187,635;-325,53
187,905;43,54
188,176;24,34
188,447;26,33
188,717;20,37
188,988;17,36
189,258;17,68
189,529;22,94
189,8;21,46
190,07;18,19
190,341;18,98
190,611;18,75
190,882;17,5
191,152;18
191,423;18,95
191,693;17,86
191,964;17,92
192,234;18,43
192,505;17,15
192,775;17,38
193,045;17,48
193,316;17,4
193,586;16,74
193,856;16,18
194,127;15,46
194,397;15,26
194,667;15,29
194,938;15,16
195,208;14,29
195,478;14,15
195,748;13,58
196,019;12,93
196,289;12,86
196,559;12,2
196,829;11,46
197,099;11,32
197,37;11,21
197,64;10,87
197,91;10,14
198,18;9,61
198,45;8,74
198,72;8,6
198,99;8
199,26;7,8
199,53;7,63
199,8;7,83
200,07;7,78
200,34;7,54
200,61;7,51
200,88;7,44
201,15;7,1
201,42;7,06
201,69;6,9
201,96;6,81
202,23;6,75
202,499;6,59
202,769;6,67
203,039;6,51
203,309;6,44
203,579;6,56
203,849;6,94
204,118;6,99
204,388;6,5
204,658;6,48
204,927;6,38
205,197;6,15
205,467;5,73
205,736;5,63
206,006;5,43
206,276;5,4
206,545;5,12
206,815;5,11
207,085;5,14
207,354;4,96
207,624;4,89
207,893;4,78
208,163;4,7
208,432;4,55
208,702;4,59
208,971;4,64
209,241;4,52
209,51;4,37
209,78;4,28
210,049;4,35
210,318;4,28
210,588;4,2
210,857;4,29
211,127;4,39
211,396;4,43
211,665;4,33
211,935;4,38
212,204;4,35
212,473;4,29
212,742;4,26
213,012;4,36
213,281;4,38
213,55;4,35
213,819;4,36
214,088;4,29
214,358;4,16
214,627;4,02
214,896;3,95
215,165;3,87
215,434;3,83
215,703;3,73
215,972;3,76
216,241;3,71
216,51;3,67
216,779;3,53
217,048;3,45
217,317;3,44
217,586;3,37
217,855;3,36
218,124;3,3
218,393;3,23
218,662;3,2
218,931;3,13
219,2;3,11
219,469;3,06
219,738;3,04
220,006;3,04
220,275;3,1
220,544;3,11
220,813;3,07
221,082;3,04
221,35;3,04
221,619;2,99
221,888;2,96
222,157;2,94
222,425;2,95
222,694;2,93
222,963;2,92
223,231;2,87
223,5;2,9
223,769;2,89
224,037;2,89
224,306;2,87
224,574;2,87
224,843;2,88
225,111;2,88
225,38;2,85
225,648;2,83
225,917;2,74
226,185;2,73
226,454;2,73
226,722;2,73
226,991;2,73
227,259;2,74
227,528;2,74
227,796;2,73
228,064;2,7
228,333;2,69
228,601;2,69
228,869;2,67
229,138;2,63
229,406;2,64
229,674;2,64
229,942;2,63
230,211;2,62
230,479;2,61
230,747;2,58
231,015;2,58
231,283;2,58
231,552;2,6
231,82;2,59
232,088;2,59
232,356;2,59
232,624;2,57
232,892;2,56
233,16;2,54
233,428;2,54
233,696;2,54
233,964;2,54
234,232;2,52
234,5;2,53
234,768;2,51
235,036;2,49
235,304;2,48
235,572;2,46
235,84;2,45
236,108;2,44
236,376;2,45
236,644;2,44
236,912;2,44
237,179;2,44
237,447;2,44
237,715;2,44
237,983;2,43
238,251;2,42
238,518;2,4
238,786;2,41
239,054;2,4
239,322;2,42
239,589;2,42
239,857;2,42
240,125;2,42
240,392;2,43
240,66;2,43
240,927;2,43
241,195;2,43
241,463;2,43
241,73;2,43
241,998;2,43
242,265;2,42
242,533;2,42
242,8;2,41
243,068;2,4
243,335;2,39
243,603;2,39
243,87;2,39
244,138;2,39
244,405;2,38
244,672;2,39
244,94;2,37
245,207;2,36
245,474;2,36
245,742;2,36
246,009;2,36
246,276;2,36
246,544;2,35
246,811;2,36
247,078;2,36
247,345;2,35
247,613;2,34
247,88;2,34
248,147;2,34
248,414;2,34
248,681;2,33
248,948;2,34
249,215;2,34
249,483;2,35
249,75;2,35
250,017;2,35
250,284;2,35
250,551;2,34
250,818;2,34
251,085;2,34
251,352;2,34
251,619;2,33
251,886;2,33
252,153;2,33
252,42;2,33
252,687;2,33
252,953;2,33
253,22;2,34
253,487;2,34
253,754;2,33
254,021;2,33
254,288;2,33
254,555;2,32
254,821;2,32
255,088;2,33
255,355;2,33
255,622;2,34
255,888;2,32
256,155;2,33
256,422;2,33
256,688;2,34
256,955;2,33
257,222;2,34
257,488;2,34
257,755;2,34
258,022;2,33
258,288;2,32
258,555;2,31
258,821;2,31
259,088;2,32
259,354;2,33
259,621;2,33
259,887;2,33
260,154;2,33
260,42;2,33
260,687;2,32
260,953;2,32
261,219;2,3
261,486;2,3
261,752;2,3
262,019;2,3
262,285;2,29
262,551;2,29
262,818;2,28
263,084;2,27
263,35;2,28
263,616;2,28
263,883;2,29
264,149;2,28
264,415;2,28
264,681;2,28
264,947;2,29
265,214;2,29
265,48;2,3
265,746;2,3
266,012;2,3
266,278;2,31
266,544;2,32
266,81;2,33
267,076;2,33
267,342;2,33
267,608;2,33
267,874;2,34
268,14;2,34
268,406;2,35
268,672;2,36
268,938;2,36
269,204;2,36
269,47;2,35
269,736;2,36
270,002;2,36
270,268;2,37
270,533;2,36
270,799;2,36
271,065;2,36
271,331;2,35
271,597;2,35
271,862;2,35
272,128;2,34
272,394;2,35
272,66;2,35
272,925;2,35
273,191;2,35
273,457;2,35
273,722;2,35
273,988;2,35
274,254;2,33
274,519;2,32
274,785;2,32
275,05;2,33
275,316;2,34
275,582;2,33
275,847;2,32
276,113;2,32
276,378;2,33
276,644;2,33
276,909;2,33
277,174;2,33
277,44;2,33
277,705;2,34
277,971;2,34
278,236;2,34
278,501;2,34
278,767;2,35
279,032;2,35
279,297;2,34
279,563;2,36
279,828;2,37
280,093;2,37
280,358;2,37
280,624;2,36
280,889;2,36
281,154;2,37
281,419;2,37
281,684;2,37
281,95;2,37
282,215;2,37
282,48;2,37
282,745;2,39
283,01;2,37
283,275;2,38
283,54;2,37
283,805;2,38
284,07;2,39
284,335;2,39
284,6;2,38
284,865;2,39
285,13;2,38
285,395;2,39
285,66;2,39
285,925;2,39
286,19;2,4
286,455;2,41
286,72;2,41
