Data from terraverdeCiproWhite_Reflection__2__42.txt Node;
"Date: Wed Sep 10 12:39:39 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;130,57
186,281;93,14
186,552;59,5
186,822;31,02
187,093;166,67
187,364;620,34
187,635;183,84
187,905;103,88
188,176;74,14
188,447;53,68
188,717;39,57
188,988;30,08
189,258;33,8
189,529;36,67
189,8;27,2
190,07;31,51
190,341;23,36
190,611;25,42
190,882;23,76
191,152;25,4
191,423;20,32
191,693;22,53
191,964;22,14
192,234;25,88
192,505;25,31
192,775;23,96
193,045;19,98
193,316;17,37
193,586;16,8
193,856;15,53
194,127;16,83
194,397;17,49
194,667;18,76
194,938;15,65
195,208;14,47
195,478;14,65
195,748;13,55
196,019;14,73
196,289;13,68
196,559;13,16
196,829;11,63
197,099;12,4
197,37;12,05
197,64;11,26
197,91;9,82
198,18;9,14
198,45;9,28
198,72;10,06
198,99;10,73
199,26;10,8
199,53;11,47
199,8;11,08
200,07;10,34
200,34;9,34
200,61;8,65
200,88;8,43
201,15;8,88
201,42;9,12
201,69;8,18
201,96;7,89
202,23;8,63
202,499;9,75
202,769;9,55
203,039;8,45
203,309;7,98
203,579;8,78
203,849;9,52
204,118;9,04
204,388;9,51
204,658;9,05
204,927;8,46
205,197;7,83
205,467;7,27
205,736;7,47
206,006;7,5
206,276;7,95
206,545;8,24
206,815;8,12
207,085;8,11
207,354;8,4
207,624;8,13
207,893;7,46
208,163;7,04
208,432;7,18
208,702;7,11
208,971;7,03
209,241;6,64
209,51;6,36
209,78;6,27
210,049;5,79
210,318;6
210,588;6,01
210,857;6,33
211,127;6,45
211,396;6,17
211,665;6,03
211,935;6,24
212,204;6,19
212,473;5,97
212,742;5,78
213,012;5,66
213,281;5,86
213,55;5,96
213,819;5,96
214,088;5,79
214,358;5,73
214,627;6,01
214,896;5,73
215,165;5,55
215,434;5,44
215,703;5,32
215,972;5,17
216,241;5,32
216,51;5,06
216,779;4,89
217,048;4,96
217,317;4,75
217,586;4,56
217,855;4,47
218,124;4,38
218,393;4,33
218,662;4,35
218,931;4,18
219,2;4,02
219,469;3,94
219,738;3,82
220,006;3,84
220,275;3,74
220,544;3,81
220,813;3,92
221,082;4,02
221,35;3,95
221,619;4,03
221,888;3,94
222,157;4,07
222,425;4,15
222,694;4
222,963;4,16
223,231;4,12
223,5;4,03
223,769;4,05
224,037;4,14
224,306;4,08
224,574;4,15
224,843;4,18
225,111;4,09
225,38;4,13
225,648;4,05
225,917;3,95
226,185;3,97
226,454;3,91
226,722;3,95
226,991;3,95
227,259;3,81
227,528;3,77
227,796;3,73
228,064;3,59
228,333;3,66
228,601;3,58
228,869;3,57
229,138;3,54
229,406;3,51
229,674;3,43
229,942;3,39
230,211;3,42
230,479;3,39
230,747;3,43
231,015;3,37
231,283;3,44
231,552;3,46
