Data from terraverdeCiproWhite_Reflection__3__43.txt Node;
"Date: Wed Sep 10 12:40:36 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;126,38
186,281;81,96
186,552;62,93
186,822;73,65
187,093;366,67
187,364;348,75
187,635;184,85
187,905;121,76
188,176;99,87
188,447;84,49
188,717;74,88
188,988;64,41
189,258;64,25
189,529;66,54
189,8;57,6
190,07;57,37
190,341;49,45
190,611;53,08
190,882;53,06
191,152;51,55
191,423;46,64
191,693;46,05
191,964;46,21
192,234;46,57
192,505;45,58
192,775;45,31
193,045;41,87
193,316;37,01
193,586;36,74
193,856;34,72
194,127;33,72
194,397;33,16
194,667;33,3
194,938;32,45
195,208;30,66
195,478;31,4
195,748;28,87
196,019;29,49
196,289;27,03
196,559;23,82
196,829;21,81
197,099;22,43
197,37;21,08
197,64;21,38
197,91;20
198,18;18,71
198,45;18,56
198,72;18,65
198,99;19,41
199,26;18,32
199,53;19,05
199,8;19,32
200,07;18,95
200,34;18,63
200,61;18,27
200,88;17,83
201,15;17,43
201,42;17,2
201,69;16,83
201,96;16,22
202,23;17,14
202,499;17,34
202,769;16,23
203,039;15,68
203,309;13,95
203,579;14,25
203,849;14,47
204,118;13,59
204,388;13,37
204,658;13,02
204,927;13,05
205,197;12,09
205,467;11,36
205,736;10,78
206,006;10,25
206,276;9,78
206,545;9,9
206,815;9,35
207,085;9,53
207,354;9,86
207,624;9,75
207,893;9,22
208,163;9,1
208,432;9,32
208,702;8,94
208,971;8,91
209,241;8,96
209,51;9,1
209,78;9,04
210,049;8,97
210,318;9,05
210,588;8,97
210,857;9,08
211,127;9,2
211,396;8,99
211,665;9,07
211,935;9,15
212,204;8,76
212,473;8,67
212,742;8,29
213,012;7,96
213,281;8,04
213,55;8,1
213,819;7,95
214,088;7,62
214,358;7,62
214,627;7,62
214,896;7,4
215,165;6,97
215,434;7,07
215,703;6,94
215,972;6,68
216,241;6,61
216,51;6,64
216,779;6,45
217,048;6,4
217,317;6,28
217,586;6,28
217,855;6,47
218,124;6,38
218,393;6,26
218,662;6,28
218,931;6,28
219,2;6,11
219,469;5,94
