Data from terraverdeCiproWhite_Reflection__4__44.txt Node;
"Date: Wed Sep 10 12:41:31 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;112,44
186,281;101,71
186,552;87,67
186,822;130,29
187,093;-100
187,364;400,9
187,635;59,76
187,905;34,42
188,176;23,77
188,447;7,35
188,717;-0,95
188,988;4,85
189,258;9,76
189,529;14,81
189,8;4,79
190,07;9,2
190,341;4,37
190,611;0,75
190,882;-3,17
191,152;0,85
191,423;0,44
191,693;-0,43
191,964;-2,3
192,234;2,21
192,505;1,32
192,775;5,84
193,045;6,56
193,316;6,67
193,586;7,9
193,856;9,54
194,127;11,64
194,397;12,69
194,667;13,97
194,938;12,97
195,208;12,3
195,478;13,6
195,748;13,02
196,019;14,02
196,289;13,83
196,559;13,47
196,829;11,82
197,099;12,97
197,37;12,66
197,64;14,01
197,91;13
198,18;13,49
198,45;14
198,72;12,6
198,99;12,45
199,26;12,06
199,53;12,21
199,8;11,72
200,07;11,42
200,34;10,08
200,61;9,34
200,88;9,56
201,15;9,57
201,42;8,68
201,69;8,2
201,96;8,31
202,23;9,23
202,499;9,87
202,769;9,57
203,039;8,86
203,309;7,42
203,579;7
203,849;7,15
204,118;6,19
204,388;6,4
204,658;6,02
204,927;5,6
205,197;4,24
205,467;4,01
205,736;4,32
206,006;4,5
206,276;4,8
206,545;4,54
206,815;3,99
207,085;4,25
207,354;4,45
207,624;4,05
207,893;3,79
208,163;3,48
208,432;3,74
208,702;3,62
208,971;3,71
209,241;3,98
209,51;4,01
209,78;3,97
210,049;3,88
210,318;4,35
210,588;4,41
210,857;4,82
211,127;5,1
211,396;4,91
211,665;5,16
211,935;5,06
212,204;5,03
212,473;5,27
212,742;5,16
213,012;5,13
213,281;5,3
213,55;5,32
213,819;5,26
214,088;4,87
214,358;4,94
214,627;4,94
214,896;4,77
215,165;4,54
215,434;4,61
215,703;4,5
215,972;4,29
216,241;4,36
216,51;4,21
216,779;3,87
217,048;3,93
217,317;3,76
217,586;3,92
217,855;3,98
218,124;3,89
218,393;3,81
218,662;3,9
218,931;3,9
219,2;3,63
219,469;3,67
219,738;3,81
220,006;3,94
220,275;3,92
220,544;3,97
220,813;4,03
221,082;4
221,35;3,99
221,619;3,91
221,888;3,79
222,157;3,89
222,425;3,94
222,694;3,74
222,963;3,75
223,231;3,63
223,5;3,49
223,769;3,42
224,037;3,5
224,306;3,33
224,574;3,33
224,843;3,39
225,111;3,28
225,38;3,12
225,648;2,95
225,917;2,92
226,185;2,94
226,454;2,9
226,722;2,96
226,991;2,93
227,259;2,88
227,528;2,83
227,796;2,81
228,064;2,72
228,333;2,79
228,601;2,71
228,869;2,71
229,138;2,67
229,406;2,71
229,674;2,61
229,942;2,7
230,211;2,71
230,479;2,69
230,747;2,74
231,015;2,79
231,283;2,85
231,552;2,82
231,82;2,72
232,088;2,7
232,356;2,64
232,624;2,65
232,892;2,62
233,16;2,64
233,428;2,64
233,696;2,65
233,964;2,62
234,232;2,67
234,5;2,68
234,768;2,66
235,036;2,67
235,304;2,69
235,572;2,66
235,84;2,61
236,108;2,56
236,376;2,5
236,644;2,46
236,912;2,41
237,179;2,42
237,447;2,44
237,715;2,42
237,983;2,38
238,251;2,36
238,518;2,38
238,786;2,39
239,054;2,33
239,322;2,35
239,589;2,34
239,857;2,31
240,125;2,27
240,392;2,26
240,66;2,29
240,927;2,25
241,195;2,22
241,463;2,23
241,73;2,28
241,998;2,29
242,265;2,31
242,533;2,34
242,8;2,31
243,068;2,32
243,335;2,28
243,603;2,3
243,87;2,29
244,138;2,28
244,405;2,27
244,672;2,28
244,94;2,23
245,207;2,24
245,474;2,23
245,742;2,22
246,009;2,19
246,276;2,15
246,544;2,14
246,811;2,14
247,078;2,13
247,345;2,16
247,613;2,15
247,88;2,12
248,147;2,09
248,414;2,12
248,681;2,1
248,948;2,11
249,215;2,1
249,483;2,09
249,75;2,08
250,017;2,04
250,284;2,03
250,551;2,04
250,818;2,05
251,085;2,05
251,352;2,06
251,619;2,09
251,886;2,09
252,153;2,12
252,42;2,11
252,687;2,1
252,953;2,06
253,22;2,06
253,487;2,05
253,754;2,05
254,021;2,03
254,288;2,03
254,555;2,05
254,821;2,1
255,088;2,11
255,355;2,12
255,622;2,13
255,888;2,14
256,155;2,13
256,422;2,09
256,688;2,1
256,955;2,08
257,222;2,07
257,488;2,08
257,755;2,04
258,022;2,04
258,288;2,02
258,555;2
258,821;2
259,088;2,01
259,354;1,97
259,621;1,96
259,887;1,96
260,154;1,95
260,42;1,89
260,687;1,88
260,953;1,88
261,219;1,91
261,486;1,86
261,752;1,89
262,019;1,91
262,285;1,9
262,551;1,9
262,818;1,93
263,084;1,9
263,35;1,91
263,616;1,89
263,883;1,9
264,149;1,93
264,415;1,95
264,681;1,97
264,947;2,02
265,214;2,03
265,48;2,04
265,746;2,06
266,012;2,1
266,278;2,07
266,544;2,09
266,81;2,1
267,076;2,13
267,342;2,09
267,608;2,09
267,874;2,08
268,14;2,09
268,406;2,08
268,672;2,11
268,938;2,11
269,204;2,13
269,47;2,12
269,736;2,12
270,002;2,07
270,268;2,06
270,533;2,06
270,799;2,06
271,065;2,03
271,331;2,03
271,597;2,02
271,862;2,05
272,128;2,05
272,394;2,04
272,66;2,03
272,925;2,07
273,191;2,07
273,457;2,09
273,722;2,08
273,988;2,09
274,254;2,07
274,519;2,1
