Data from terraverdeCiproWhite_Reflection__0__40.txt Node;
"Date: Wed Sep 10 12:37:34 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;62,78
186,281;59,21
186,552;84,17
186,822;114,63
187,093;766,67
187,364;410,37
187,635;164,52
187,905;119,62
188,176;126,63
188,447;101,4
188,717;80,87
188,988;65,61
189,258;61,28
189,529;63,51
189,8;66,56
190,07;62,38
190,341;60,51
190,611;59,18
190,882;56,42
191,152;56,58
191,423;53,41
191,693;50,5
191,964;50,8
192,234;50,83
192,505;48,59
192,775;51,58
193,045;50,59
193,316;47,09
193,586;46,15
193,856;44,27
194,127;44,75
194,397;44,82
194,667;45,12
194,938;45,62
195,208;45,01
195,478;43,65
195,748;44,85
196,019;45,42
196,289;44,18
196,559;43,47
196,829;43,31
197,099;44,66
197,37;44,6
197,64;43,66
197,91;42,98
198,18;44,21
198,45;43,68
198,72;42,98
198,99;44,32
199,26;44,51
199,53;44,54
199,8;44,54
200,07;43,63
200,34;44,07
200,61;43,5
200,88;44,05
201,15;43,97
201,42;43,86
201,69;43,85
201,96;43,96
202,23;44,49
202,499;44,68
202,769;43,64
203,039;43,01
203,309;42,41
203,579;42,14
203,849;41,59
204,118;41,16
204,388;41,31
204,658;41,1
204,927;40,37
205,197;39,68
205,467;39,61
205,736;40,12
206,006;40
206,276;40,33
206,545;40,2
206,815;40,15
207,085;40,06
207,354;40,03
207,624;39,83
207,893;39,35
208,163;39,21
208,432;39,2
208,702;39,21
208,971;39,36
209,241;39,45
209,51;39,68
209,78;39,7
210,049;39,59
210,318;39,43
210,588;39,97
210,857;40,08
211,127;39,86
211,396;39,76
211,665;39,64
211,935;39,44
212,204;39,24
212,473;39,36
212,742;39,19
213,012;39,18
213,281;38,99
213,55;39,18
213,819;39,12
214,088;39,16
214,358;39,19
214,627;39,25
214,896;38,82
215,165;38,69
215,434;38,57
215,703;38,44
215,972;38,44
216,241;38,2
216,51;38,23
216,779;38,11
217,048;38,13
217,317;37,99
217,586;38
217,855;37,89
218,124;37,81
218,393;37,69
218,662;37,65
218,931;37,85
219,2;37,73
219,469;37,7
219,738;37,79
220,006;37,68
220,275;37,66
220,544;37,88
220,813;37,82
221,082;37,89
221,35;37,92
221,619;37,96
221,888;37,98
222,157;37,94
222,425;38,02
222,694;37,75
222,963;37,77
223,231;37,65
223,5;37,73
223,769;37,68
224,037;37,64
224,306;37,56
224,574;37,45
224,843;37,41
225,111;37,35
225,38;37,15
225,648;37,18
225,917;37,09
226,185;36,95
226,454;36,92
226,722;36,91
226,991;36,86
227,259;36,74
227,528;36,7
227,796;36,69
228,064;36,64
228,333;36,77
228,601;36,7
228,869;36,7
229,138;36,6
229,406;36,62
229,674;36,67
229,942;36,66
230,211;36,76
230,479;36,78
230,747;36,8
231,015;36,8
231,283;36,78
231,552;36,85
231,82;36,98
232,088;36,95
232,356;36,82
232,624;36,84
232,892;36,86
233,16;36,8
233,428;36,77
233,696;36,78
233,964;36,76
234,232;36,77
234,5;36,75
234,768;36,78
235,036;36,75
235,304;36,79
235,572;36,77
235,84;36,72
236,108;36,75
236,376;36,75
236,644;36,79
236,912;36,82
237,179;36,8
237,447;36,75
237,715;36,73
237,983;36,76
238,251;36,73
238,518;36,69
238,786;36,72
239,054;36,65
239,322;36,63
239,589;36,61
239,857;36,62
240,125;36,69
240,392;36,68
240,66;36,74
