Data from terraverdeCiproWhite_Reflection__1__41.txt Node;
"Date: Wed Sep 10 12:38:50 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;85,83
186,281;76,42
186,552;79,19
186,822;121,6
187,093;533,33
187,364;360,02
187,635;122,23
187,905;39,89
188,176;51,52
188,447;44,69
188,717;24,91
188,988;17,88
189,258;23,89
189,529;26,32
189,8;24,39
190,07;27,52
190,341;23,25
190,611;18,99
190,882;15,88
191,152;16,89
191,423;14,15
191,693;12,63
191,964;11,39
192,234;12,14
192,505;10,99
192,775;16,21
193,045;15,5
193,316;14,22
193,586;16,41
193,856;15,15
194,127;14,64
194,397;15,91
194,667;17,72
194,938;16,83
195,208;16,85
195,478;16,99
195,748;16,57
196,019;16,38
196,289;15,57
196,559;14,85
196,829;13,66
197,099;13,52
197,37;14,11
197,64;14,93
197,91;13,88
198,18;13,56
198,45;12,41
198,72;11,58
198,99;11,62
199,26;10,62
199,53;10,13
199,8;9,82
200,07;9,58
200,34;8,84
200,61;8,54
200,88;8,01
201,15;7,86
201,42;7,05
201,69;6,67
201,96;7,17
202,23;8,57
202,499;9,04
202,769;8,78
203,039;7,73
203,309;6,23
203,579;6,89
203,849;7,37
204,118;6,91
204,388;6,87
204,658;6,47
204,927;6,09
205,197;5,49
205,467;5,49
205,736;5,34
206,006;5,15
206,276;5,01
206,545;5,39
206,815;5,24
207,085;5,75
207,354;6,05
207,624;5,52
207,893;4,98
208,163;4,69
208,432;4,93
208,702;5,08
208,971;5,14
209,241;4,86
209,51;4,66
209,78;4,65
210,049;4,69
210,318;4,83
210,588;4,8
210,857;5,22
211,127;5,14
211,396;4,92
211,665;4,98
211,935;5,07
212,204;4,78
212,473;4,56
212,742;4,41
213,012;4,41
213,281;4,62
213,55;4,72
213,819;4,76
214,088;4,75
214,358;4,92
214,627;5,19
214,896;5,2
215,165;5
215,434;4,68
215,703;4,56
215,972;4,46
216,241;4,49
216,51;4,27
216,779;4,18
217,048;4,36
217,317;4,2
217,586;4,25
217,855;4,23
218,124;4,43
218,393;4,26
218,662;4,19
218,931;4,22
219,2;3,94
219,469;3,93
219,738;3,84
220,006;3,72
220,275;3,56
220,544;3,51
220,813;3,53
221,082;3,59
221,35;3,62
221,619;3,6
221,888;3,66
222,157;3,83
222,425;3,92
222,694;3,77
222,963;3,77
223,231;3,76
223,5;3,74
223,769;3,47
224,037;3,53
224,306;3,44
224,574;3,34
224,843;3,43
225,111;3,32
225,38;3,26
225,648;3,16
225,917;3,17
226,185;3,13
226,454;3,15
226,722;3,25
226,991;3,22
227,259;3,21
227,528;3,13
227,796;3,01
228,064;2,99
228,333;3,07
228,601;3,08
228,869;2,99
229,138;2,92
229,406;3,04
229,674;3
229,942;3,05
230,211;3,16
230,479;3,16
230,747;3,17
231,015;3,15
231,283;3,19
231,552;3,2
231,82;3,19
232,088;3,2
232,356;3,17
232,624;3,17
232,892;3,17
233,16;3,2
233,428;3,18
233,696;3,1
233,964;3,07
234,232;3,06
234,5;3,06
234,768;3,1
235,036;3,08
235,304;3,15
235,572;3,11
235,84;2,98
236,108;2,94
236,376;2,9
236,644;2,86
236,912;2,85
237,179;2,82
237,447;2,8
237,715;2,77
237,983;2,78
238,251;2,75
238,518;2,71
238,786;2,67
239,054;2,64
239,322;2,67
239,589;2,65
239,857;2,64
240,125;2,62
240,392;2,6
240,66;2,61
240,927;2,58
241,195;2,55
241,463;2,61
241,73;2,62
241,998;2,63
242,265;2,63
242,533;2,61
242,8;2,61
243,068;2,6
243,335;2,57
243,603;2,55
243,87;2,56
244,138;2,56
244,405;2,59
244,672;2,6
244,94;2,55
245,207;2,55
245,474;2,56
245,742;2,55
246,009;2,52
