Data from TV_VeronaWhite_Reflection__2__15.txt Node;
"Date: Thu Sep 11 15:49:26 CEST 2025 User: sycur";
186,01;-743,72
186,281;972,83
186,552;372,66
186,822;252,1
187,093;0
187,364;-730,03
187,635;-129,99
187,905;58,95
188,176;35,52
188,447;25,62
188,717;24,58
188,988;27,04
189,258;26,12
189,529;26,19
189,8;22,8
190,07;21,71
190,341;20,19
190,611;17,06
190,882;16,19
191,152;15,85
191,423;14,9
191,693;13,68
191,964;13,58
192,234;13,11
192,505;11,88
192,775;12,22
193,045;10,02
193,316;10,21
193,586;9,79
193,856;8,51
194,127;9,33
194,397;8,71
194,667;9,57
194,938;8,86
195,208;8,78
195,478;8,64
195,748;8,58
196,019;8,84
196,289;9,61
196,559;9,46
196,829;8,69
197,099;8,87
197,37;8,43
197,64;7,95
197,91;8,31
198,18;8,02
198,45;7,6
198,72;7,99
198,99;7,92
199,26;8,06
199,53;8,61
199,8;8,35
200,07;8,26
200,34;7,81
200,61;8,01
200,88;7,97
201,15;8,2
201,42;7,92
201,69;7,32
201,96;6,83
202,23;6,57
202,499;6,4
202,769;6,42
203,039;6,65
203,309;6,79
203,579;6,6
203,849;6,74
204,118;6,33
204,388;6,06
204,658;5,98
204,927;5,98
205,197;5,81
205,467;5,39
205,736;5,27
206,006;5,05
206,276;4,92
206,545;4,65
206,815;4,55
207,085;4,47
207,354;4,64
207,624;4,67
207,893;4,5
208,163;4,59
208,432;4,38
208,702;4,12
208,971;4,14
209,241;4,04
209,51;3,95
209,78;4,07
210,049;4,16
210,318;4,19
210,588;4,06
210,857;4
211,127;4,1
211,396;4,07
211,665;4,11
211,935;4,08
212,204;4,21
212,473;4,05
212,742;4,11
213,012;3,98
213,281;3,95
213,55;4,05
213,819;3,88
214,088;3,87
214,358;3,89
214,627;3,78
214,896;3,75
215,165;3,71
215,434;3,65
215,703;3,62
215,972;3,49
216,241;3,47
216,51;3,49
216,779;3,4
217,048;3,33
217,317;3,33
217,586;3,3
217,855;3,21
218,124;3,29
218,393;3,26
218,662;3,26
218,931;3,19
219,2;3,19
219,469;3,24
219,738;3,23
220,006;3,21
220,275;3,18
220,544;3,22
220,813;3,18
221,082;3,15
221,35;3,11
