Data from TV_VeronaWhite_Reflection__3__16.txt Node;
"Date: Thu Sep 11 15:50:24 CEST 2025 User: sycur";
186,01;-2457,24
186,281;2141,51
186,552;305,08
186,822;224,2
187,093;0
187,364;-317,97
187,635;-92,48
187,905;36,88
188,176;20,65
188,447;20,99
188,717;17,5
188,988;17,95
189,258;20,97
189,529;21,62
189,8;24,73
190,07;23,44
190,341;20,95
190,611;19,06
190,882;19,28
191,152;17,99
191,423;17,78
191,693;17,77
191,964;17,46
192,234;16,43
192,505;15,37
192,775;15,41
193,045;14,6
193,316;14,22
193,586;14,64
193,856;14,72
194,127;14,97
194,397;15,32
194,667;15,67
194,938;14,9
195,208;15,08
195,478;13,67
195,748;13,95
196,019;14,48
196,289;14,82
196,559;14,26
196,829;14,02
197,099;13,52
197,37;13,53
197,64;12,76
197,91;12,96
198,18;13,23
198,45;12,81
198,72;12,6
198,99;12,21
199,26;11,77
199,53;11,52
199,8;11,34
200,07;11,2
200,34;11,1
200,61;11,16
200,88;10,92
201,15;10,92
201,42;10,56
201,69;10,11
201,96;9,94
202,23;9,83
202,499;9,59
202,769;9,99
203,039;10,03
203,309;10,28
203,579;9,71
203,849;9,44
204,118;9,19
204,388;9,16
204,658;9,17
204,927;9,08
205,197;8,86
205,467;8,48
205,736;8,18
206,006;7,91
206,276;7,63
206,545;7,42
206,815;7,39
207,085;7,28
207,354;7,13
207,624;7,06
207,893;7,02
208,163;7,01
208,432;6,72
208,702;6,54
208,971;6,28
209,241;6,37
209,51;6,29
209,78;6,26
210,049;6,12
210,318;6
210,588;6,09
210,857;6,05
211,127;5,96
211,396;5,87
211,665;5,94
211,935;6,04
212,204;6,02
212,473;5,94
212,742;5,92
213,012;5,84
213,281;5,76
213,55;5,72
213,819;5,57
214,088;5,57
214,358;5,54
214,627;5,57
214,896;5,4
215,165;5,35
215,434;5,32
215,703;5,36
215,972;5,34
216,241;5,23
216,51;5,26
216,779;5,3
217,048;5,28
217,317;5,17
217,586;5,11
217,855;5,07
218,124;5,12
218,393;5,12
218,662;5,12
218,931;5,08
219,2;5,06
219,469;5,1
219,738;5,06
220,006;5,06
220,275;4,98
220,544;4,98
220,813;4,9
221,082;4,87
221,35;4,79
221,619;4,77
221,888;4,73
222,157;4,69
222,425;4,63
222,694;4,58
222,963;4,55
223,231;4,51
223,5;4,51
223,769;4,46
224,037;4,4
224,306;4,42
224,574;4,39
224,843;4,36
225,111;4,33
225,38;4,3
225,648;4,27
225,917;4,28
226,185;4,31
226,454;4,29
226,722;4,27
226,991;4,27
227,259;4,23
227,528;4,23
227,796;4,2
228,064;4,2
228,333;4,21
228,601;4,21
228,869;4,19
229,138;4,16
229,406;4,14
229,674;4,14
229,942;4,1
230,211;4,1
230,479;4,11
230,747;4,09
231,015;4,08
231,283;4,08
231,552;4,07
231,82;4,04
232,088;4,03
232,356;4,02
232,624;4,01
232,892;4,03
233,16;4,01
233,428;4
233,696;3,99
233,964;3,97
234,232;3,96
234,5;3,93
234,768;3,91
235,036;3,9
235,304;3,88
235,572;3,87
235,84;3,86
236,108;3,84
236,376;3,83
236,644;3,83
236,912;3,81
237,179;3,79
237,447;3,78
237,715;3,78
237,983;3,77
238,251;3,76
238,518;3,76
238,786;3,76
239,054;3,75
239,322;3,74
239,589;3,73
239,857;3,72
240,125;3,73
240,392;3,74
240,66;3,74
240,927;3,73
241,195;3,72
241,463;3,71
241,73;3,71
241,998;3,7
242,265;3,67
242,533;3,67
242,8;3,69
243,068;3,67
243,335;3,66
243,603;3,66
243,87;3,65
244,138;3,62
244,405;3,61
244,672;3,6
244,94;3,59
245,207;3,59
245,474;3,59
245,742;3,58
246,009;3,58
246,276;3,58
246,544;3,57
246,811;3,57
247,078;3,57
247,345;3,55
247,613;3,55
247,88;3,56
248,147;3,54
248,414;3,52
248,681;3,53
248,948;3,53
249,215;3,53
249,483;3,53
249,75;3,53
250,017;3,53
250,284;3,52
250,551;3,54
250,818;3,54
251,085;3,52
251,352;3,51
251,619;3,5
251,886;3,49
252,153;3,5
252,42;3,5
252,687;3,5
252,953;3,5
253,22;3,5
253,487;3,51
253,754;3,52
254,021;3,52
254,288;3,51
254,555;3,51
254,821;3,51
255,088;3,51
255,355;3,5
255,622;3,5
255,888;3,5
256,155;3,49
256,422;3,49
256,688;3,49
256,955;3,49
257,222;3,49
257,488;3,49
257,755;3,49
258,022;3,47
258,288;3,46
258,555;3,46
258,821;3,47
259,088;3,45
259,354;3,43
259,621;3,43
259,887;3,43
260,154;3,42
260,42;3,41
260,687;3,41
260,953;3,41
261,219;3,4
261,486;3,4
261,752;3,39
262,019;3,4
262,285;3,4
262,551;3,4
262,818;3,41
263,084;3,41
263,35;3,41
263,616;3,42
263,883;3,42
264,149;3,42
264,415;3,41
264,681;3,4
264,947;3,41
265,214;3,41
265,48;3,42
265,746;3,42
266,012;3,42
266,278;3,42
266,544;3,43
266,81;3,43
267,076;3,43
267,342;3,42
267,608;3,43
267,874;3,42
268,14;3,41
268,406;3,4
268,672;3,4
268,938;3,4
269,204;3,39
269,47;3,39
269,736;3,39
270,002;3,4
270,268;3,41
270,533;3,41
270,799;3,4
271,065;3,41
271,331;3,4
271,597;3,4
271,862;3,4
272,128;3,4
272,394;3,4
272,66;3,4
272,925;3,4
273,191;3,4
273,457;3,4
273,722;3,41
273,988;3,41
274,254;3,41
274,519;3,41
274,785;3,4
275,05;3,41
275,316;3,42
275,582;3,42
275,847;3,41
276,113;3,4
276,378;3,4
276,644;3,39
276,909;3,39
277,174;3,39
277,44;3,4
