Data from TV_VeronaWhite_Reflection__4__17.txt Node;
"Date: Thu Sep 11 15:51:20 CEST 2025 User: sycur";
186,01;-1575,86
186,281;1726,42
186,552;390,66
186,822;184,08
187,093;0
187,364;-286,44
187,635;-73,79
187,905;44,45
188,176;19,25
188,447;21,9
188,717;19,76
188,988;15,22
189,258;20,19
189,529;23,93
189,8;23,67
190,07;21,4
190,341;18,88
190,611;15,48
190,882;14,87
191,152;14,14
191,423;14,92
191,693;14,72
191,964;15,29
192,234;15,11
192,505;13,61
192,775;13,45
193,045;12,43
193,316;12,4
193,586;12,37
193,856;12,37
194,127;12,53
194,397;12,39
194,667;13,23
194,938;12,37
195,208;12,07
195,478;11,51
195,748;11,65
196,019;12,19
196,289;12,96
196,559;13,39
196,829;13,73
197,099;13,35
197,37;13,33
197,64;12,46
197,91;11,97
198,18;12,16
198,45;11,57
198,72;11,7
198,99;11,47
199,26;11,09
199,53;11,02
199,8;10,78
200,07;10,34
200,34;9,99
200,61;9,96
200,88;9,95
201,15;9,97
201,42;9,66
201,69;9,14
201,96;8,85
202,23;8,32
202,499;7,97
202,769;8,21
203,039;8,04
203,309;8,3
203,579;8,31
203,849;8,07
204,118;8,14
204,388;7,95
204,658;8,02
204,927;8,15
205,197;8,06
205,467;7,74
205,736;7,53
206,006;7,33
206,276;7,16
206,545;6,99
206,815;6,82
207,085;6,65
207,354;6,7
207,624;6,67
207,893;6,5
208,163;6,48
208,432;6,11
208,702;5,92
208,971;5,75
209,241;5,61
209,51;5,53
209,78;5,43
210,049;5,32
210,318;5,11
210,588;4,95
210,857;4,84
211,127;4,72
211,396;4,71
211,665;4,74
211,935;4,72
212,204;4,7
212,473;4,6
212,742;4,63
213,012;4,52
213,281;4,38
213,55;4,46
213,819;4,29
214,088;4,26
214,358;4,14
214,627;4,06
214,896;4
215,165;4
215,434;3,97
215,703;3,94
215,972;3,78
216,241;3,74
216,51;3,72
216,779;3,77
217,048;3,73
217,317;3,64
217,586;3,57
217,855;3,44
218,124;3,47
218,393;3,47
218,662;3,4
218,931;3,38
219,2;3,35
219,469;3,33
219,738;3,29
220,006;3,32
220,275;3,33
220,544;3,35
220,813;3,26
221,082;3,2
221,35;3,17
221,619;3,21
221,888;3,16
222,157;3,17
222,425;3,09
222,694;3,05
222,963;3,02
223,231;2,99
223,5;3,01
223,769;2,96
224,037;2,91
224,306;2,92
224,574;2,88
224,843;2,81
225,111;2,82
225,38;2,83
225,648;2,81
225,917;2,76
226,185;2,76
226,454;2,73
226,722;2,72
226,991;2,69
227,259;2,67
227,528;2,66
227,796;2,6
228,064;2,59
228,333;2,6
228,601;2,62
228,869;2,57
229,138;2,54
229,406;2,52
229,674;2,53
229,942;2,52
230,211;2,51
