Data from TV_VeronaWhite_Reflection__0__13.txt Node;
"Date: Thu Sep 11 15:40:28 CEST 2025 User: sycur";
186,01;-1377,1
186,281;1115,47
186,552;319,57
186,822;517,26
187,093;0
187,364;-82,78
187,635;-54,67
187,905;80,72
188,176;54,6
188,447;58,13
188,717;50,5
188,988;54,44
189,258;54,03
189,529;53,44
189,8;53,23
190,07;51,31
190,341;49,87
190,611;46,57
190,882;45,3
191,152;46,02
191,423;45,52
191,693;44,34
191,964;43,56
192,234;43,54
192,505;42,91
192,775;41,93
193,045;40,97
193,316;40,32
193,586;40,13
193,856;39,8
194,127;39,21
194,397;39,62
194,667;39,39
194,938;38,8
195,208;39,2
195,478;38,65
195,748;38,48
196,019;38,53
196,289;39,11
196,559;38,99
196,829;38,76
197,099;38,63
197,37;38,14
197,64;37,78
197,91;37,64
198,18;37,46
198,45;37,29
198,72;37,4
198,99;37,2
199,26;36,74
199,53;36,55
199,8;36,47
200,07;36,24
200,34;35,97
200,61;35,72
200,88;35,34
201,15;35,37
201,42;35,44
201,69;35,11
201,96;34,69
202,23;34,7
202,499;34,15
202,769;34,23
203,039;33,87
203,309;33,79
203,579;33,55
203,849;33,48
204,118;33,2
204,388;33,02
204,658;32,86
204,927;32,82
205,197;32,7
205,467;32,19
205,736;31,8
206,006;31,42
206,276;31,26
206,545;31,09
206,815;31
207,085;30,7
207,354;30,57
207,624;30,41
207,893;30,27
208,163;30,32
208,432;30,12
208,702;30,02
208,971;29,87
209,241;29,79
209,51;29,68
209,78;29,54
210,049;29,49
210,318;29,32
210,588;29,19
210,857;29,05
211,127;29,04
211,396;29,05
211,665;29
211,935;28,98
212,204;29,01
212,473;28,81
212,742;28,79
213,012;28,75
213,281;28,85
213,55;28,75
213,819;28,57
214,088;28,62
214,358;28,7
214,627;28,77
214,896;28,66
215,165;28,66
215,434;28,76
215,703;28,78
215,972;28,78
216,241;28,83
216,51;28,93
216,779;29,03
217,048;29,08
217,317;29,17
217,586;29,2
217,855;29,17
218,124;29,32
218,393;29,32
218,662;29,33
218,931;29,33
219,2;29,43
219,469;29,55
219,738;29,54
220,006;29,52
220,275;29,52
220,544;29,58
220,813;29,58
221,082;29,59
221,35;29,64
221,619;29,69
221,888;29,77
222,157;29,84
222,425;29,86
222,694;29,93
222,963;30,01
223,231;30,08
223,5;30,16
223,769;30,21
224,037;30,32
224,306;30,48
224,574;30,52
224,843;30,57
225,111;30,68
225,38;30,82
225,648;30,92
225,917;30,97
226,185;31,11
226,454;31,2
226,722;31,29
226,991;31,38
227,259;31,49
227,528;31,58
227,796;31,64
228,064;31,77
228,333;31,87
228,601;31,97
228,869;32
229,138;32,07
229,406;32,14
229,674;32,19
229,942;32,22
230,211;32,3
230,479;32,35
230,747;32,34
231,015;32,38
231,283;32,42
231,552;32,51
231,82;32,51
232,088;32,53
232,356;32,55
232,624;32,55
232,892;32,58
233,16;32,57
233,428;32,56
233,696;32,58
233,964;32,56
234,232;32,56
234,5;32,57
234,768;32,58
235,036;32,6
235,304;32,6
235,572;32,61
235,84;32,6
236,108;32,61
236,376;32,66
236,644;32,66
236,912;32,65
237,179;32,6
237,447;32,64
237,715;32,63
237,983;32,66
238,251;32,67
238,518;32,66
238,786;32,67
239,054;32,67
239,322;32,66
239,589;32,66
239,857;32,63
240,125;32,65
240,392;32,65
240,66;32,64
240,927;32,65
241,195;32,65
241,463;32,65
241,73;32,67
241,998;32,64
242,265;32,61
242,533;32,62
242,8;32,64
243,068;32,63
243,335;32,63
243,603;32,61
243,87;32,6
244,138;32,57
244,405;32,57
244,672;32,59
244,94;32,56
245,207;32,56
245,474;32,55
245,742;32,53
246,009;32,52
246,276;32,49
246,544;32,48
246,811;32,46
247,078;32,42
247,345;32,36
247,613;32,34
247,88;32,3
248,147;32,26
248,414;32,21
248,681;32,16
248,948;32,13
249,215;32,09
249,483;32,05
249,75;32,03
250,017;31,98
250,284;31,93
250,551;31,91
250,818;31,87
251,085;31,83
251,352;31,79
251,619;31,74
251,886;31,72
252,153;31,67
252,42;31,66
252,687;31,62
252,953;31,62
253,22;31,57
253,487;31,57
253,754;31,55
254,021;31,54
254,288;31,51
254,555;31,48
254,821;31,45
255,088;31,42
255,355;31,4
255,622;31,38
255,888;31,35
256,155;31,32
256,422;31,3
256,688;31,3
256,955;31,28
257,222;31,28
257,488;31,26
257,755;31,25
258,022;31,23
258,288;31,21
258,555;31,2
258,821;31,21
259,088;31,19
259,354;31,19
259,621;31,18
259,887;31,19
260,154;31,19
260,42;31,18
260,687;31,19
260,953;31,19
261,219;31,17
261,486;31,19
261,752;31,19
262,019;31,19
262,285;31,19
262,551;31,2
262,818;31,21
263,084;31,22
263,35;31,23
263,616;31,25
263,883;31,27
264,149;31,28
264,415;31,29
264,681;31,31
264,947;31,34
265,214;31,36
265,48;31,38
265,746;31,4
266,012;31,43
266,278;31,45
266,544;31,48
266,81;31,53
267,076;31,56
267,342;31,61
267,608;31,64
267,874;31,67
268,14;31,7
268,406;31,73
268,672;31,74
268,938;31,75
269,204;31,78
269,47;31,81
269,736;31,83
270,002;31,87
270,268;31,88
270,533;31,91
270,799;31,94
271,065;31,98
271,331;32,01
271,597;32,04
271,862;32,08
272,128;32,11
272,394;32,14
272,66;32,17
272,925;32,19
273,191;32,23
273,457;32,26
273,722;32,29
273,988;32,32
274,254;32,36
274,519;32,42
274,785;32,46
275,05;32,48
275,316;32,52
275,582;32,55
275,847;32,6
276,113;32,63
276,378;32,66
276,644;32,7
276,909;32,75
277,174;32,8
277,44;32,84
277,705;32,89
277,971;32,93
278,236;32,97
278,501;33,01
278,767;33,03
279,032;33,08
279,297;33,13
279,563;33,18
279,828;33,23
280,093;33,27
280,358;33,31
280,624;33,37
280,889;33,39
281,154;33,45
281,419;33,49
281,684;33,52
281,95;33,56
282,215;33,6
282,48;33,65
282,745;33,68
283,01;33,7
283,275;33,73
283,54;33,76
283,805;33,8
284,07;33,83
284,335;33,87
284,6;33,91
284,865;33,94
285,13;33,95
285,395;33,97
285,66;34,01
285,925;34,04
286,19;34,07
286,455;34,13
286,72;34,15
286,985;34,19
287,249;34,23
287,514;34,25
287,779;34,29
288,044;34,32
288,309;34,34
288,573;34,37
288,838;34,4
289,103;34,44
289,367;34,48
289,632;34,53
289,897;34,56
290,161;34,59
290,426;34,63
290,691;34,67
290,955;34,7
291,22;34,73
291,484;34,77
291,749;34,8
292,014;34,82
292,278;34,85
292,543;34,9
292,807;34,94
293,072;34,99
293,336;35,01
293,6;35,03
293,865;35,07
294,129;35,11
294,394;35,16
294,658;35,18
294,922;35,2
295,187;35,22
295,451;35,26
295,715;35,27
295,98;35,3
296,244;35,31
296,508;35,34
296,773;35,37
297,037;35,39
297,301;35,41
297,565;35,43
297,829;35,45
298,094;35,47
298,358;35,48
298,622;35,49
298,886;35,5
299,15;35,54
299,414;35,58
299,678;35,61
299,942;35,61
300,206;35,63
300,47;35,66
300,734;35,68
300,998;35,71
301,262;35,74
301,526;35,77
301,79;35,81
302,054;35,84
302,318;35,85
302,582;35,88
302,846;35,91
303,11;35,92
303,374;35,95
303,637;35,97
303,901;36,01
304,165;36,03
304,429;36,07
304,693;36,08
304,956;36,09
305,22;36,11
305,484;36,14
305,747;36,18
306,011;36,18
306,275;36,18
306,538;36,21
306,802;36,23
307,066;36,26
307,329;36,29
307,593;36,31
307,856;36,33
308,12;36,34
308,384;36,35
308,647;36,37
308,911;36,4
309,174;36,42
309,438;36,43
309,701;36,47
309,964;36,49
310,228;36,51
310,491;36,54
310,755;36,55
311,018;36,58
311,281;36,59
311,545;36,62
311,808;36,65
312,071;36,65
312,335;36,67
312,598;36,68
312,861;36,68
313,124;36,7
313,388;36,72
313,651;36,74
313,914;36,74
314,177;36,78
314,44;36,81
314,704;36,84
314,967;36,85
315,23;36,86
315,493;36,88
315,756;36,9
316,019;36,89
316,282;36,92
