Data from TV_VeronaWhite_Reflection__1__14.txt Node;
"Date: Thu Sep 11 15:41:41 CEST 2025 User: sycur";
186,01;416,69
186,281;-182,64
186,552;4,82
186,822;-102,8
187,093;0
187,364;-477,36
187,635;-150,08
187,905;71,73
188,176;31
188,447;26,92
188,717;26,97
188,988;23,46
189,258;21,05
189,529;19,38
189,8;21,35
190,07;18,69
190,341;18,02
190,611;15,1
190,882;15,45
191,152;14,48
191,423;13,64
191,693;13,05
191,964;12,75
192,234;12,81
192,505;11,99
192,775;13,14
193,045;11,84
193,316;11,5
193,586;10,97
193,856;11,16
194,127;11,11
194,397;10,71
194,667;10,75
194,938;10,37
195,208;10,61
195,478;9,48
195,748;9,73
196,019;10,04
196,289;10,55
196,559;10,68
196,829;10,46
197,099;10,83
197,37;10,36
197,64;10,23
197,91;10,49
198,18;10,74
198,45;10,16
198,72;10,4
198,99;10,35
199,26;10,39
199,53;10,18
199,8;9,84
200,07;9,56
200,34;9,15
200,61;9,16
200,88;9,02
201,15;9,47
201,42;9,2
201,69;8,85
201,96;8,64
202,23;8,35
202,499;8,33
202,769;8,4
203,039;8,57
203,309;8,56
203,579;8,43
203,849;8,27
204,118;8,09
204,388;7,66
204,658;7,59
204,927;7,61
205,197;7,5
205,467;7,4
205,736;7,34
206,006;7,26
206,276;7,13
206,545;7,06
206,815;6,8
207,085;6,66
207,354;6,76
207,624;6,74
207,893;6,66
208,163;6,63
208,432;6,31
208,702;6,13
208,971;6,04
209,241;5,88
209,51;5,74
209,78;5,77
210,049;5,81
210,318;5,81
210,588;5,77
210,857;5,68
211,127;5,56
211,396;5,47
211,665;5,53
211,935;5,5
212,204;5,45
212,473;5,31
212,742;5,39
213,012;5,25
213,281;5,14
213,55;5,18
213,819;5,03
214,088;4,96
214,358;4,94
214,627;4,89
214,896;4,78
215,165;4,8
215,434;4,73
215,703;4,74
215,972;4,64
216,241;4,55
216,51;4,54
216,779;4,6
217,048;4,63
217,317;4,59
217,586;4,52
217,855;4,44
218,124;4,51
218,393;4,44
218,662;4,4
218,931;4,36
219,2;4,27
219,469;4,28
219,738;4,29
220,006;4,23
220,275;4,2
220,544;4,2
220,813;4,1
221,082;4,04
221,35;3,98
221,619;3,91
221,888;3,84
222,157;3,84
222,425;3,76
222,694;3,68
222,963;3,63
223,231;3,63
223,5;3,61
223,769;3,57
224,037;3,57
224,306;3,57
224,574;3,56
224,843;3,53
225,111;3,51
225,38;3,49
225,648;3,48
225,917;3,47
226,185;3,49
226,454;3,48
226,722;3,45
226,991;3,44
227,259;3,43
227,528;3,44
227,796;3,39
228,064;3,37
228,333;3,36
228,601;3,35
228,869;3,32
229,138;3,3
229,406;3,26
229,674;3,24
229,942;3,21
230,211;3,2
230,479;3,2
230,747;3,18
231,015;3,15
231,283;3,15
231,552;3,16
231,82;3,12
232,088;3,11
232,356;3,1
232,624;3,1
232,892;3,09
233,16;3,07
233,428;3,06
233,696;3,06
233,964;3,04
234,232;3,02
234,5;3,01
234,768;2,99
235,036;3
235,304;2,98
235,572;2,96
235,84;2,93
236,108;2,92
236,376;2,9
236,644;2,91
236,912;2,88
237,179;2,83
237,447;2,83
237,715;2,83
237,983;2,81
238,251;2,8
238,518;2,8
238,786;2,8
239,054;2,79
239,322;2,76
239,589;2,77
239,857;2,77
240,125;2,78
240,392;2,78
240,66;2,78
240,927;2,76
241,195;2,77
241,463;2,78
241,73;2,79
241,998;2,79
242,265;2,77
242,533;2,77
242,8;2,79
243,068;2,78
243,335;2,76
243,603;2,76
243,87;2,75
244,138;2,73
244,405;2,73
244,672;2,72
244,94;2,73
245,207;2,71
245,474;2,7
245,742;2,67
246,009;2,68
246,276;2,66
246,544;2,66
246,811;2,66
247,078;2,65
247,345;2,62
247,613;2,62
247,88;2,61
248,147;2,61
248,414;2,6
248,681;2,59
248,948;2,59
249,215;2,59
249,483;2,59
249,75;2,6
250,017;2,59
250,284;2,58
250,551;2,58
250,818;2,59
251,085;2,59
251,352;2,6
251,619;2,58
251,886;2,59
252,153;2,59
252,42;2,59
252,687;2,59
252,953;2,59
253,22;2,58
253,487;2,59
253,754;2,59
254,021;2,58
254,288;2,58
254,555;2,57
254,821;2,57
255,088;2,57
255,355;2,56
255,622;2,57
255,888;2,56
256,155;2,56
256,422;2,55
256,688;2,55
256,955;2,55
257,222;2,55
257,488;2,55
257,755;2,54
258,022;2,53
258,288;2,52
258,555;2,51
258,821;2,53
259,088;2,51
259,354;2,5
259,621;2,51
259,887;2,51
260,154;2,51
260,42;2,49
260,687;2,49
260,953;2,49
261,219;2,48
261,486;2,48
261,752;2,46
262,019;2,47
262,285;2,46
262,551;2,45
262,818;2,45
263,084;2,44
263,35;2,45
263,616;2,46
263,883;2,46
264,149;2,47
264,415;2,45
264,681;2,45
264,947;2,46
265,214;2,45
265,48;2,45
265,746;2,43
266,012;2,44
266,278;2,43
266,544;2,42
266,81;2,42
267,076;2,41
267,342;2,41
267,608;2,41
267,874;2,41
268,14;2,41
268,406;2,4
268,672;2,41
268,938;2,4
269,204;2,39
269,47;2,39
269,736;2,38
270,002;2,37
270,268;2,37
270,533;2,37
270,799;2,37
271,065;2,37
271,331;2,36
271,597;2,36
271,862;2,35
272,128;2,36
272,394;2,37
272,66;2,38
272,925;2,37
273,191;2,36
273,457;2,37
273,722;2,35
273,988;2,36
274,254;2,37
274,519;2,37
274,785;2,37
275,05;2,37
275,316;2,37
275,582;2,37
