Data from IndigoWhite_Reflection__1__53.txt Node;
"Date: Fri Sep 12 11:52:01 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;666,83
186,281;-695,59
186,552;116,72
186,822;121,16
187,093;-163,64
187,364;42,23
187,635;3357,45
187,905;60,38
188,176;25,11
188,447;18,25
188,717;14,69
188,988;15,09
189,258;15,73
189,529;18,54
189,8;17,53
190,07;15,62
190,341;14,47
190,611;13,13
190,882;11,96
191,152;11,82
191,423;12,04
191,693;12,14
191,964;11,68
192,234;12,65
192,505;11,57
192,775;10,96
193,045;10,76
193,316;10,12
193,586;9,11
193,856;9,22
194,127;8,72
194,397;8,47
194,667;8,83
194,938;8,86
195,208;8,19
195,478;8,23
195,748;7,93
196,019;7,09
196,289;6,93
196,559;6,48
196,829;5,83
197,099;6,02
197,37;5,87
197,64;6,09
197,91;6,04
198,18;5,78
198,45;5,57
198,72;5,72
198,99;5,52
199,26;5,24
199,53;5,15
199,8;5,65
200,07;5,52
200,34;5,13
200,61;4,9
200,88;5,18
201,15;4,84
201,42;4,89
201,69;5,04
201,96;5,14
202,23;5,22
202,499;5,37
202,769;5,08
203,039;4,86
203,309;4,83
203,579;4,55
203,849;4,84
204,118;4,64
204,388;4,24
204,658;4,24
204,927;4,3
205,197;4,08
205,467;3,84
205,736;3,88
206,006;3,68
206,276;3,59
206,545;3,25
206,815;3,3
207,085;3,26
207,354;3,25
207,624;3,27
207,893;3,17
208,163;3,04
208,432;3,02
208,702;2,97
208,971;3
209,241;2,93
209,51;2,96
209,78;3,02
210,049;3,14
210,318;2,99
210,588;3
210,857;3,01
211,127;2,97
211,396;2,97
211,665;2,92
211,935;3,06
212,204;3,12
212,473;3,05
212,742;3,01
213,012;2,99
213,281;2,82
213,55;2,79
213,819;2,84
214,088;2,76
214,358;2,73
214,627;2,61
214,896;2,62
215,165;2,47
215,434;2,37
215,703;2,28
215,972;2,37
216,241;2,34
216,51;2,37
216,779;2,28
217,048;2,25
217,317;2,27
217,586;2,2
217,855;2,15
218,124;2,13
218,393;2,07
218,662;2,02
218,931;2,1
219,2;2,05
219,469;2,01
219,738;2,03
220,006;2,06
220,275;2,09
220,544;2,07
220,813;2,08
221,082;2,09
221,35;2,12
221,619;2,06
221,888;2,03
222,157;1,99
222,425;2,03
222,694;1,98
222,963;1,98
223,231;1,92
223,5;1,99
223,769;2
224,037;2
224,306;2,02
224,574;1,99
224,843;1,97
225,111;1,95
225,38;1,92
225,648;1,9
225,917;1,87
226,185;1,88
226,454;1,85
226,722;1,85
226,991;1,82
227,259;1,81
227,528;1,79
227,796;1,79
228,064;1,77
228,333;1,76
228,601;1,75
228,869;1,75
229,138;1,71
229,406;1,7
229,674;1,7
229,942;1,7
230,211;1,68
230,479;1,7
230,747;1,71
231,015;1,68
231,283;1,67
231,552;1,65
231,82;1,63
232,088;1,64
232,356;1,65
232,624;1,64
232,892;1,64
233,16;1,64
233,428;1,63
233,696;1,64
233,964;1,64
234,232;1,64
234,5;1,64
234,768;1,63
235,036;1,61
235,304;1,61
235,572;1,58
235,84;1,59
236,108;1,58
236,376;1,58
236,644;1,6
236,912;1,6
237,179;1,62
237,447;1,62
237,715;1,61
237,983;1,6
238,251;1,58
238,518;1,57
238,786;1,58
239,054;1,58
239,322;1,58
239,589;1,58
239,857;1,58
240,125;1,59
240,392;1,59
240,66;1,6
240,927;1,6
241,195;1,61
241,463;1,6
241,73;1,6
241,998;1,6
242,265;1,6
242,533;1,6
242,8;1,6
243,068;1,6
243,335;1,61
243,603;1,61
243,87;1,63
244,138;1,64
244,405;1,63
244,672;1,64
244,94;1,63
245,207;1,63
245,474;1,64
245,742;1,63
246,009;1,63
246,276;1,63
246,544;1,63
246,811;1,62
247,078;1,62
247,345;1,63
247,613;1,63
247,88;1,63
248,147;1,62
248,414;1,62
248,681;1,62
248,948;1,61
249,215;1,62
249,483;1,61
249,75;1,61
250,017;1,62
250,284;1,62
250,551;1,63
250,818;1,63
251,085;1,62
251,352;1,62
251,619;1,63
251,886;1,63
252,153;1,64
252,42;1,64
252,687;1,66
252,953;1,65
253,22;1,66
253,487;1,66
253,754;1,66
254,021;1,66
254,288;1,65
254,555;1,65
254,821;1,65
255,088;1,65
255,355;1,66
255,622;1,66
255,888;1,65
256,155;1,65
256,422;1,65
256,688;1,65
256,955;1,65
257,222;1,63
257,488;1,65
257,755;1,64
258,022;1,64
258,288;1,62
258,555;1,61
258,821;1,61
259,088;1,61
259,354;1,6
259,621;1,59
259,887;1,6
260,154;1,6
260,42;1,59
260,687;1,58
260,953;1,57
