Data from IndigoWhite_Reflection__2__54.txt Node;
"Date: Fri Sep 12 11:52:37 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;-95,23
186,281;-2069,12
186,552;106,92
186,822;94,97
187,093;-145,45
187,364;-31,57
187,635;11903,19
187,905;127,13
188,176;51,33
188,447;46,33
188,717;41,71
188,988;41,54
189,258;38,95
189,529;39,15
189,8;37,72
190,07;36,06
190,341;34,13
190,611;33,15
190,882;30,64
191,152;31,21
191,423;31,68
191,693;30,47
191,964;30,09
192,234;30,57
192,505;29,57
192,775;28,81
193,045;28
193,316;27,09
193,586;25,83
193,856;26,35
194,127;25,52
194,397;24,82
194,667;25,21
194,938;25,42
195,208;25,02
195,478;24,77
195,748;24,56
196,019;24,62
196,289;24,23
196,559;24,43
196,829;23,86
197,099;23,66
197,37;23,84
197,64;23,82
197,91;23,34
198,18;23,12
198,45;22,57
198,72;22,42
198,99;22,14
199,26;22,1
199,53;21,96
199,8;22,38
200,07;22,44
200,34;22,16
200,61;21,76
200,88;21,62
201,15;21,52
201,42;21,25
201,69;20,99
201,96;20,8
202,23;20,26
202,499;20,06
202,769;19,81
203,039;19,51
203,309;19,33
203,579;19
203,849;18,9
204,118;18,96
204,388;18,7
204,658;18,47
204,927;18,23
205,197;18,04
205,467;17,56
205,736;17,41
206,006;17,15
206,276;16,93
206,545;16,6
206,815;16,38
207,085;16,23
207,354;16,16
207,624;16,13
207,893;16,07
208,163;15,88
208,432;15,84
208,702;15,73
208,971;15,63
209,241;15,61
209,51;15,49
209,78;15,44
210,049;15,44
210,318;15,35
210,588;15,3
210,857;15,16
211,127;15,12
211,396;15,06
211,665;14,84
211,935;14,86
212,204;14,82
212,473;14,72
212,742;14,66
213,012;14,58
213,281;14,47
213,55;14,33
213,819;14,32
214,088;14,19
214,358;14,08
214,627;13,99
214,896;13,86
215,165;13,71
215,434;13,57
215,703;13,42
215,972;13,33
216,241;13,21
216,51;13,14
216,779;13,01
217,048;12,93
217,317;12,93
217,586;12,88
217,855;12,82
218,124;12,76
218,393;12,7
218,662;12,59
218,931;12,5
219,2;12,46
219,469;12,36
219,738;12,31
220,006;12,31
220,275;12,29
220,544;12,26
220,813;12,27
221,082;12,23
221,35;12,25
221,619;12,25
221,888;12,28
222,157;12,23
222,425;12,25
222,694;12,21
222,963;12,22
223,231;12,19
223,5;12,2
223,769;12,2
224,037;12,18
224,306;12,17
224,574;12,18
224,843;12,19
225,111;12,23
225,38;12,22
225,648;12,2
225,917;12,16
226,185;12,18
226,454;12,17
226,722;12,19
226,991;12,18
227,259;12,18
227,528;12,16
227,796;12,2
228,064;12,18
228,333;12,18
228,601;12,19
228,869;12,18
229,138;12,17
229,406;12,19
229,674;12,21
229,942;12,24
230,211;12,25
230,479;12,24
230,747;12,23
231,015;12,22
231,283;12,25
231,552;12,28
231,82;12,26
232,088;12,27
232,356;12,28
232,624;12,27
232,892;12,26
233,16;12,28
233,428;12,28
233,696;12,29
233,964;12,28
234,232;12,28
234,5;12,29
234,768;12,29
235,036;12,27
235,304;12,28
235,572;12,26
235,84;12,28
236,108;12,27
236,376;12,28
236,644;12,3
236,912;12,3
237,179;12,29
237,447;12,3
237,715;12,3
237,983;12,31
238,251;12,3
238,518;12,29
238,786;12,28
