Data from IndigoWhite_Reflection__3__55.txt Node;
"Date: Fri Sep 12 11:53:23 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;-834,64
186,281;-5751,47
186,552;135,43
186,822;95,25
187,093;18,18
187,364;16,61
187,635;7800
187,905;44,55
188,176;26,28
188,447;22,21
188,717;16,41
188,988;14,34
189,258;15,1
189,529;16,78
189,8;16,64
190,07;14,63
190,341;14,51
190,611;13,93
190,882;13
191,152;13,04
191,423;13,86
191,693;12,77
191,964;12,49
192,234;12,09
192,505;11,27
192,775;11,16
193,045;10,82
193,316;9,91
193,586;9,96
193,856;9,65
194,127;8,87
194,397;9,02
194,667;9,23
194,938;9,29
195,208;9,09
195,478;9,25
195,748;8,76
196,019;8,55
196,289;8,13
196,559;7,91
196,829;7,2
197,099;7,41
197,37;7,12
197,64;7,35
197,91;7,24
198,18;6,94
198,45;6,77
198,72;6,84
198,99;6,68
199,26;6,16
199,53;6,09
199,8;6,7
200,07;6,49
200,34;6,37
200,61;6,29
200,88;6,4
201,15;6,04
201,42;6,24
201,69;6,22
201,96;6,1
202,23;5,94
202,499;5,98
202,769;5,78
203,039;5,74
203,309;5,54
203,579;5,51
203,849;5,66
204,118;5,5
204,388;5,36
204,658;5,4
204,927;5,38
205,197;5,12
205,467;4,77
205,736;4,8
206,006;4,63
206,276;4,55
206,545;4,34
206,815;4,33
207,085;4,36
207,354;4,27
207,624;4,34
207,893;4,3
208,163;4,34
208,432;4,18
208,702;4,28
208,971;4,4
209,241;4,38
209,51;4,31
209,78;4,31
210,049;4,28
210,318;4,22
210,588;4,24
210,857;4,2
211,127;4,2
211,396;4,23
211,665;4,15
211,935;4,26
212,204;4,26
212,473;4,16
212,742;4,11
213,012;4,11
213,281;4,04
213,55;3,98
213,819;3,94
214,088;3,96
214,358;3,81
214,627;3,73
214,896;3,62
215,165;3,54
215,434;3,49
215,703;3,39
215,972;3,38
216,241;3,38
216,51;3,39
216,779;3,28
217,048;3,21
217,317;3,26
217,586;3,21
217,855;3,21
218,124;3,18
218,393;3,12
218,662;3,08
218,931;3,05
219,2;3,02
219,469;2,97
219,738;2,95
220,006;2,97
220,275;2,95
220,544;2,94
220,813;2,94
221,082;2,91
221,35;2,93
221,619;2,91
221,888;2,87
222,157;2,86
222,425;2,91
222,694;2,89
222,963;2,87
223,231;2,83
223,5;2,85
223,769;2,85
224,037;2,85
224,306;2,84
224,574;2,86
224,843;2,86
225,111;2,86
225,38;2,86
225,648;2,86
225,917;2,82
226,185;2,84
226,454;2,81
226,722;2,8
226,991;2,81
227,259;2,77
227,528;2,75
227,796;2,74
228,064;2,7
228,333;2,69
228,601;2,67
228,869;2,65
229,138;2,62
229,406;2,6
229,674;2,61
229,942;2,6
230,211;2,59
230,479;2,59
230,747;2,58
231,015;2,55
231,283;2,54
231,552;2,55
231,82;2,52
232,088;2,52
232,356;2,51
232,624;2,49
232,892;2,5
233,16;2,52
233,428;2,51
233,696;2,51
233,964;2,51
234,232;2,5
234,5;2,5
234,768;2,49
235,036;2,48
235,304;2,47
235,572;2,45
235,84;2,44
236,108;2,41
236,376;2,41
236,644;2,41
236,912;2,41
237,179;2,39
237,447;2,39
237,715;2,4
237,983;2,4
238,251;2,36
238,518;2,36
238,786;2,34
239,054;2,33
239,322;2,33
239,589;2,33
239,857;2,33
240,125;2,33
240,392;2,33
240,66;2,32
240,927;2,31
241,195;2,3
241,463;2,3
241,73;2,29
241,998;2,28
242,265;2,27
242,533;2,25
242,8;2,25
243,068;2,24
243,335;2,23
243,603;2,22
243,87;2,24
244,138;2,23
244,405;2,22
244,672;2,21
244,94;2,19
245,207;2,17
245,474;2,17
245,742;2,17
246,009;2,15
246,276;2,15
246,544;2,14
246,811;2,15
247,078;2,14
247,345;2,14
247,613;2,13
247,88;2,13
248,147;2,13
248,414;2,12
248,681;2,12
248,948;2,12
249,215;2,12
249,483;2,12
249,75;2,12
250,017;2,11
250,284;2,12
250,551;2,12
250,818;2,12
251,085;2,11
251,352;2,1
251,619;2,11
251,886;2,1
252,153;2,1
252,42;2,09
252,687;2,09
252,953;2,08
253,22;2,1
253,487;2,09
253,754;2,08
254,021;2,08
254,288;2,08
254,555;2,08
254,821;2,08
255,088;2,08
255,355;2,08
255,622;2,08
255,888;2,06
256,155;2,06
256,422;2,05
256,688;2,05
256,955;2,04
257,222;2,03
257,488;2,03
257,755;2,03
258,022;2,03
258,288;2,03
258,555;2,03
258,821;2,02
259,088;2,03
259,354;2,03
259,621;2,03
259,887;2,02
260,154;2,01
260,42;2
260,687;1,99
260,953;1,99
261,219;1,98
261,486;1,99
261,752;1,98
262,019;1,99
262,285;1,98
262,551;1,97
262,818;1,98
263,084;1,97
263,35;1,97
263,616;1,95
263,883;1,95
264,149;1,94
264,415;1,92
264,681;1,93
264,947;1,93
265,214;1,92
265,48;1,92
265,746;1,93
266,012;1,92
266,278;1,92
266,544;1,91
266,81;1,92
267,076;1,91
267,342;1,92
267,608;1,91
267,874;1,92
268,14;1,92
268,406;1,91
268,672;1,92
268,938;1,91
269,204;1,92
269,47;1,92
269,736;1,91
270,002;1,92
270,268;1,91
270,533;1,9
270,799;1,9
271,065;1,9
271,331;1,88
271,597;1,87
271,862;1,87
272,128;1,88
272,394;1,87
272,66;1,86
272,925;1,87
273,191;1,86
273,457;1,87
273,722;1,87
273,988;1,86
274,254;1,85
274,519;1,86
274,785;1,85
275,05;1,85
275,316;1,85
275,582;1,85
275,847;1,85
276,113;1,85
276,378;1,85
276,644;1,85
276,909;1,85
277,174;1,86
277,44;1,86
277,705;1,86
277,971;1,87
278,236;1,87
278,501;1,87
278,767;1,87
279,032;1,86
279,297;1,86
279,563;1,87
279,828;1,87
280,093;1,87
280,358;1,87
280,624;1,87
280,889;1,88
281,154;1,88
281,419;1,88
281,684;1,88
281,95;1,89
282,215;1,89
282,48;1,89
282,745;1,9
283,01;1,89
283,275;1,89
283,54;1,88
283,805;1,88
284,07;1,89
284,335;1,9
284,6;1,9
284,865;1,91
285,13;1,91
285,395;1,92
285,66;1,92
285,925;1,92
286,19;1,93
286,455;1,93
286,72;1,93
286,985;1,94
287,249;1,95
287,514;1,94
287,779;1,94
288,044;1,94
288,309;1,94
288,573;1,95
288,838;1,95
289,103;1,96
289,367;1,97
289,632;1,96
289,897;1,96
290,161;1,96
290,426;1,96
290,691;1,96
290,955;1,96
291,22;1,95
291,484;1,95
291,749;1,95
292,014;1,95
292,278;1,95
292,543;1,95
292,807;1,94
293,072;1,95
293,336;1,94
293,6;1,94
293,865;1,94
294,129;1,93
294,394;1,93
294,658;1,94
294,922;1,93
295,187;1,94
295,451;1,93
295,715;1,93
295,98;1,93
296,244;1,94
296,508;1,93
296,773;1,94
