Data from IndigoWhite_Reflection__0__52.txt Node;
"Date: Fri Sep 12 11:51:11 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;-667,32
186,281;-1945,59
186,552;64,96
186,822;-50,78
187,093;81,82
187,364;-18,89
187,635;8150
187,905;71,2
188,176;30,51
188,447;21,29
188,717;20,82
188,988;20,75
189,258;21,1
189,529;20,15
189,8;20,99
190,07;18,9
190,341;18,55
190,611;16,09
190,882;15,64
191,152;17,14
191,423;17,3
191,693;17,12
191,964;16,75
192,234;16,48
192,505;14,58
192,775;14,83
193,045;14,24
193,316;13,62
193,586;12,92
193,856;13,65
194,127;13,72
194,397;13,16
194,667;13,14
194,938;13,36
195,208;12,7
195,478;12,73
195,748;12,53
196,019;12,03
196,289;11,91
196,559;11,72
196,829;10,73
197,099;10,62
197,37;10,26
197,64;9,85
197,91;9,78
198,18;9,77
198,45;9,42
198,72;9,88
198,99;9,32
199,26;8,88
199,53;8,36
199,8;8,69
200,07;8,41
200,34;8,73
200,61;8,53
200,88;8,87
201,15;8,67
201,42;8,68
201,69;8,6
201,96;8,56
202,23;8,28
202,499;8,31
202,769;8,16
203,039;7,89
203,309;7,87
203,579;7,76
203,849;7,81
204,118;7,81
204,388;7,44
204,658;7,61
204,927;7,65
205,197;7,59
205,467;7,21
205,736;7,26
206,006;6,88
206,276;6,74
206,545;6,44
206,815;6,29
207,085;6,3
207,354;6,22
207,624;6,23
207,893;6,15
208,163;6,01
208,432;6,02
208,702;6,05
208,971;6,01
209,241;5,97
209,51;6
209,78;6,04
210,049;6,02
210,318;5,81
210,588;5,75
210,857;5,7
211,127;5,69
211,396;5,72
211,665;5,65
211,935;5,72
212,204;5,72
212,473;5,69
212,742;5,63
213,012;5,68
213,281;5,64
213,55;5,63
213,819;5,66
214,088;5,61
214,358;5,6
214,627;5,56
214,896;5,49
215,165;5,34
215,434;5,19
215,703;5,1
215,972;5,2
216,241;5,22
216,51;5,19
216,779;5,09
217,048;5,03
217,317;4,97
217,586;4,91
217,855;4,86
218,124;4,86
218,393;4,82
218,662;4,72
218,931;4,68
219,2;4,64
219,469;4,59
219,738;4,53
220,006;4,46
220,275;4,46
220,544;4,43
220,813;4,41
221,082;4,41
221,35;4,39
221,619;4,32
221,888;4,28
222,157;4,24
222,425;4,27
222,694;4,24
222,963;4,27
223,231;4,24
223,5;4,28
223,769;4,25
224,037;4,2
224,306;4,23
224,574;4,23
224,843;4,21
225,111;4,2
225,38;4,17
225,648;4,18
225,917;4,12
226,185;4,12
226,454;4,12
226,722;4,11
226,991;4,13
227,259;4,14
227,528;4,11
227,796;4,11
228,064;4,08
228,333;4,07
228,601;4,06
228,869;4,04
229,138;4
229,406;4,01
229,674;4,02
229,942;4
230,211;3,99
230,479;4
230,747;3,99
231,015;3,98
231,283;3,99
231,552;4,01
231,82;3,98
232,088;3,98
232,356;3,98
232,624;3,96
232,892;3,96
233,16;3,96
233,428;3,96
233,696;3,96
233,964;3,96
234,232;3,95
234,5;3,95
234,768;3,94
235,036;3,93
235,304;3,93
235,572;3,92
235,84;3,9
236,108;3,89
236,376;3,89
236,644;3,9
236,912;3,89
237,179;3,89
237,447;3,9
237,715;3,89
237,983;3,89
238,251;3,88
238,518;3,86
238,786;3,86
239,054;3,84
239,322;3,85
239,589;3,86
239,857;3,85
240,125;3,87
240,392;3,86
240,66;3,85
