Data from neroAvorioWhite_Reflection__2__17.txt Node;
"Date: Fri Sep 12 10:50:57 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-1 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;-7074,66
186,281;-26705,88
186,552;511,32
186,822;262,53
187,093;100
187,364;-258,64
187,635;61526,6
187,905;422,41
188,176;168,66
188,447;131,37
188,717;104,81
188,988;126,23
189,258;132,78
189,529;151,75
189,8;149,75
190,07;133,03
190,341;125,73
190,611;108,85
190,882;101,23
191,152;95,3
191,423;88,83
191,693;84,63
191,964;84,69
192,234;80,2
192,505;73,47
192,775;73,79
193,045;69,64
193,316;66,2
193,586;63,92
193,856;65,17
194,127;63,34
194,397;62,59
194,667;59,3
194,938;59,3
195,208;55,9
195,478;54,99
195,748;52,58
196,019;51,4
196,289;50,97
196,559;50,11
196,829;49,02
197,099;47,81
197,37;46,02
197,64;44,08
197,91;42,92
198,18;42,44
198,45;40,28
198,72;40,04
198,99;38,31
199,26;37,92
199,53;37,23
199,8;37,32
200,07;36,71
200,34;36,39
200,61;35,35
200,88;35,27
201,15;34,58
201,42;34,85
201,69;34,1
201,96;33,98
202,23;33,6
202,499;32,19
202,769;32,2
203,039;31,63
203,309;30,56
203,579;30,35
203,849;30,29
204,118;29,74
204,388;28,69
204,658;28,24
204,927;27,83
205,197;27,26
205,467;26,2
205,736;26,01
206,006;25,44
206,276;25,01
206,545;23,85
206,815;23,8
207,085;23,37
207,354;23,09
207,624;22,8
207,893;21,97
208,163;21,8
208,432;21,27
208,702;21,13
208,971;20,85
209,241;20,33
209,51;19,81
209,78;19,61
210,049;19,53
210,318;19,3
210,588;19,15
210,857;18,7
211,127;18,79
211,396;18,37
211,665;18,11
211,935;17,98
212,204;18,23
212,473;17,71
212,742;17,45
213,012;17,4
213,281;17,04
213,55;17
213,819;16,82
214,088;16,66
214,358;16,33
214,627;16,21
214,896;16,09
215,165;15,69
215,434;15,28
215,703;15,06
215,972;15,03
216,241;14,62
216,51;14,42
216,779;14,01
217,048;13,94
217,317;13,81
217,586;13,62
217,855;13,3
218,124;13,34
218,393;13,29
218,662;12,99
218,931;12,85
219,2;12,61
219,469;12,51
219,738;12,38
220,006;12,36
220,275;12,37
220,544;12,32
220,813;12,4
221,082;12,37
221,35;12,3
221,619;12,2
221,888;12,22
222,157;12,23
222,425;12,29
222,694;12,1
222,963;12,03
223,231;11,92
223,5;11,89
223,769;11,75
224,037;11,69
224,306;11,64
224,574;11,58
224,843;11,59
225,111;11,64
225,38;11,59
225,648;11,56
225,917;11,4
226,185;11,63
226,454;11,54
226,722;11,56
226,991;11,59
227,259;11,55
227,528;11,51
227,796;11,52
228,064;11,44
228,333;11,5
228,601;11,55
228,869;11,53
229,138;11,5
229,406;11,51
229,674;11,47
229,942;11,53
230,211;11,54
230,479;11,57
230,747;11,52
231,015;11,52
231,283;11,52
231,552;11,58
231,82;11,37
232,088;11,38
232,356;11,39
232,624;11,36
232,892;11,36
233,16;11,32
233,428;11,27
233,696;11,27
233,964;11,24
234,232;11,26
234,5;11,27
234,768;11,28
235,036;11,27
235,304;11,28
235,572;11,2
235,84;11,21
236,108;11,19
236,376;11,24
236,644;11,29
236,912;11,26
237,179;11,23
237,447;11,23
237,715;11,24
237,983;11,24
238,251;11,18
238,518;11,2
238,786;11,19
239,054;11,19
239,322;11,18
239,589;11,24
239,857;11,2
240,125;11,22
240,392;11,17
240,66;11,18
240,927;11,15
241,195;11,17
241,463;11,15
241,73;11,18
241,998;11,1
242,265;11,04
242,533;11,04
242,8;11,07
243,068;11,06
243,335;11,05
243,603;11,01
243,87;11,06
244,138;11,03
244,405;11,05
244,672;11,02
244,94;11,04
245,207;10,97
245,474;10,97
245,742;10,94
246,009;10,97
246,276;10,95
246,544;10,95
246,811;10,98
247,078;11
247,345;10,97
247,613;10,98
247,88;10,96
248,147;10,95
248,414;10,9
248,681;10,9
248,948;10,9
249,215;10,89
249,483;10,84
249,75;10,81
250,017;10,8
250,284;10,82
250,551;10,8
250,818;10,79
251,085;10,76
251,352;10,76
251,619;10,76
251,886;10,74
252,153;10,74
252,42;10,69
252,687;10,67
252,953;10,65
253,22;10,64
253,487;10,69
253,754;10,67
254,021;10,65
254,288;10,63
254,555;10,63
254,821;10,64
255,088;10,67
255,355;10,69
255,622;10,68
255,888;10,65
256,155;10,66
256,422;10,64
256,688;10,64
256,955;10,61
257,222;10,61
257,488;10,58
257,755;10,59
258,022;10,57
258,288;10,55
258,555;10,52
258,821;10,52
259,088;10,49
259,354;10,47
259,621;10,49
259,887;10,5
260,154;10,43
260,42;10,39
260,687;10,37
260,953;10,34
261,219;10,31
261,486;10,29
261,752;10,26
262,019;10,27
262,285;10,24
262,551;10,22
262,818;10,23
263,084;10,21
263,35;10,2
263,616;10,19
263,883;10,18
264,149;10,18
264,415;10,15
264,681;10,18
264,947;10,16
265,214;10,14
265,48;10,16
265,746;10,18
266,012;10,19
266,278;10,17
266,544;10,17
266,81;10,2
267,076;10,18
267,342;10,19
267,608;10,16
267,874;10,18
268,14;10,18
268,406;10,15
268,672;10,16
268,938;10,16
269,204;10,13
269,47;10,12
269,736;10,11
270,002;10,12
270,268;10,07
270,533;10,07
270,799;10,03
271,065;10
271,331;9,98
271,597;9,98
271,862;9,97
272,128;9,97
272,394;9,94
272,66;9,95
272,925;9,95
273,191;9,94
273,457;9,92
273,722;9,92
273,988;9,93
274,254;9,91
274,519;9,91
274,785;9,92
275,05;9,92
275,316;9,93
275,582;9,94
275,847;9,92
276,113;9,91
276,378;9,91
276,644;9,92
276,909;9,92
277,174;9,91
277,44;9,93
277,705;9,92
277,971;9,93
278,236;9,94
278,501;9,93
278,767;9,92
279,032;9,91
279,297;9,87
279,563;9,86
279,828;9,9
280,093;9,88
280,358;9,86
280,624;9,87
280,889;9,85
281,154;9,84
281,419;9,83
281,684;9,81
281,95;9,86
282,215;9,83
282,48;9,83
282,745;9,84
283,01;9,8
283,275;9,8
283,54;9,76
283,805;9,73
284,07;9,73
284,335;9,74
284,6;9,73
284,865;9,75
285,13;9,75
285,395;9,71
285,66;9,71
285,925;9,74
286,19;9,74
286,455;9,73
286,72;9,74
286,985;9,76
287,249;9,79
287,514;9,78
287,779;9,77
288,044;9,77
288,309;9,77
288,573;9,77
288,838;9,76
289,103;9,77
289,367;9,77
289,632;9,75
289,897;9,77
290,161;9,78
290,426;9,76
290,691;9,77
290,955;9,75
291,22;9,74
291,484;9,71
291,749;9,7
292,014;9,7
292,278;9,67
292,543;9,65
292,807;9,63
293,072;9,63
293,336;9,63
293,6;9,61
293,865;9,6
294,129;9,59
294,394;9,59
294,658;9,6
294,922;9,58
295,187;9,59
295,451;9,58
295,715;9,59
295,98;9,61
296,244;9,59
296,508;9,59
296,773;9,59
297,037;9,57
297,301;9,56
297,565;9,57
297,829;9,56
298,094;9,56
298,358;9,57
298,622;9,55
298,886;9,52
