Data from neroAvorioWhite_Reflection__4__19.txt Node;
"Date: Fri Sep 12 10:52:40 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-1 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;-6942,59
186,281;-26579,41
186,552;492,99
186,822;240,27
187,093;36,36
187,364;-450,17
187,635;73694,68
187,905;471,61
188,176;192,58
188,447;148,52
188,717;121,17
188,988;143,64
189,258;149,97
189,529;169,24
189,8;162,55
190,07;143,1
190,341;135,48
190,611;118,82
190,882;111,99
191,152;105,39
191,423;99,12
191,693;95,58
191,964;96,15
192,234;91,26
192,505;84,44
192,775;84,54
193,045;79,25
193,316;76,25
193,586;74,5
193,856;75,75
194,127;74,44
194,397;73,26
194,667;69,68
194,938;68,44
195,208;64,83
195,478;64,7
195,748;62,83
196,019;61,78
196,289;61,63
196,559;60,29
196,829;60,21
197,099;59,31
197,37;57,46
197,64;55,6
197,91;54,36
198,18;54,07
198,45;51,5
198,72;50,92
198,99;49,09
199,26;48,71
199,53;47,91
199,8;47,73
200,07;47,09
200,34;46,51
200,61;45,73
200,88;45,49
201,15;44,45
201,42;44,46
201,69;43,82
201,96;43,77
202,23;43,32
202,499;41,81
202,769;41,64
203,039;41,09
203,309;39,88
203,579;39,45
203,849;39,05
204,118;38,84
204,388;37,88
204,658;37,38
204,927;36,76
205,197;35,96
205,467;34,84
205,736;34,75
206,006;34,14
206,276;33,51
206,545;32,43
206,815;32,28
207,085;31,58
207,354;30,98
207,624;30,44
207,893;29,51
208,163;29,31
208,432;28,8
208,702;28,43
208,971;28,11
209,241;27,68
209,51;27,23
209,78;26,96
210,049;26,74
210,318;26,34
210,588;26,17
210,857;25,8
211,127;25,78
211,396;25,25
211,665;25,09
211,935;25,04
212,204;25,14
212,473;24,61
212,742;24,33
213,012;24,23
213,281;23,87
213,55;23,77
213,819;23,46
214,088;23,19
214,358;22,87
214,627;22,7
214,896;22,46
215,165;21,99
215,434;21,6
215,703;21,35
215,972;21,31
216,241;20,83
216,51;20,58
216,779;20,18
217,048;20,14
217,317;19,98
217,586;19,74
217,855;19,44
218,124;19,53
218,393;19,46
218,662;19,14
218,931;18,98
219,2;18,79
219,469;18,68
219,738;18,59
220,006;18,58
220,275;18,52
220,544;18,47
220,813;18,54
221,082;18,44
221,35;18,42
221,619;18,3
221,888;18,37
222,157;18,38
222,425;18,41
222,694;18,19
222,963;18,09
223,231;17,93
223,5;17,89
223,769;17,72
224,037;17,67
224,306;17,68
224,574;17,63
224,843;17,61
225,111;17,66
225,38;17,59
225,648;17,55
225,917;17,42
226,185;17,64
226,454;17,58
226,722;17,59
226,991;17,62
227,259;17,58
227,528;17,53
227,796;17,57
228,064;17,52
228,333;17,6
228,601;17,67
228,869;17,7
229,138;17,71
229,406;17,74
229,674;17,73
229,942;17,77
230,211;17,8
230,479;17,86
230,747;17,79
231,015;17,79
231,283;17,82
231,552;17,87
231,82;17,69
232,088;17,71
232,356;17,72
232,624;17,69
232,892;17,71
233,16;17,7
233,428;17,63
233,696;17,67
233,964;17,63
234,232;17,64
234,5;17,66
234,768;17,65
235,036;17,62
235,304;17,64
235,572;17,57
235,84;17,55
236,108;17,51
236,376;17,59
236,644;17,64
236,912;17,58
237,179;17,54
237,447;17,53
237,715;17,54
237,983;17,56
238,251;17,48
238,518;17,48
238,786;17,45
239,054;17,44
239,322;17,37
239,589;17,4
239,857;17,37
240,125;17,36
240,392;17,32
240,66;17,32
240,927;17,26
241,195;17,27
241,463;17,23
241,73;17,23
241,998;17,13
242,265;17,04
242,533;17,03
242,8;17,04
243,068;17
243,335;16,96
243,603;16,9
243,87;16,94
244,138;16,9
244,405;16,88
244,672;16,84
244,94;16,84
245,207;16,78
245,474;16,74
245,742;16,69
246,009;16,67
246,276;16,65
246,544;16,61
246,811;16,62
247,078;16,62
247,345;16,57
247,613;16,54
247,88;16,51
248,147;16,49
248,414;16,42
248,681;16,39
248,948;16,38
249,215;16,35
249,483;16,26
249,75;16,21
250,017;16,18
250,284;16,16
250,551;16,11
250,818;16,07
251,085;16,01
251,352;15,99
251,619;15,96
251,886;15,91
252,153;15,89
252,42;15,82
252,687;15,79
252,953;15,75
253,22;15,72
253,487;15,72
253,754;15,67
254,021;15,65
254,288;15,59
254,555;15,56
254,821;15,55
255,088;15,57
255,355;15,56
255,622;15,52
255,888;15,49
256,155;15,49
256,422;15,46
256,688;15,45
256,955;15,39
257,222;15,37
257,488;15,33
257,755;15,31
258,022;15,28
258,288;15,24
258,555;15,2
258,821;15,2
259,088;15,16
259,354;15,13
259,621;15,13
259,887;15,13
260,154;15,06
260,42;14,99
260,687;14,94
260,953;14,9
261,219;14,88
261,486;14,84
261,752;14,78
262,019;14,79
262,285;14,74
262,551;14,71
262,818;14,7
263,084;14,66
263,35;14,63
263,616;14,61
263,883;14,6
264,149;14,58
264,415;14,52
264,681;14,54
264,947;14,52
265,214;14,49
265,48;14,49
265,746;14,49
266,012;14,49
266,278;14,46
266,544;14,44
266,81;14,45
267,076;14,43
267,342;14,42
267,608;14,38
267,874;14,38
268,14;14,38
268,406;14,34
268,672;14,34
268,938;14,32
269,204;14,28
269,47;14,25
269,736;14,23
270,002;14,22
270,268;14,17
270,533;14,14
270,799;14,11
271,065;14,09
271,331;14,06
271,597;14,04
271,862;14,02
272,128;14,02
272,394;13,98
272,66;13,99
272,925;13,96
273,191;13,94
273,457;13,92
273,722;13,91
273,988;13,9
274,254;13,87
274,519;13,86
274,785;13,86
275,05;13,86
275,316;13,86
275,582;13,87
275,847;13,83
276,113;13,8
276,378;13,79
276,644;13,78
276,909;13,76
277,174;13,75
277,44;13,77
277,705;13,74
277,971;13,74
278,236;13,76
278,501;13,74
278,767;13,73
279,032;13,71
279,297;13,67
279,563;13,65
279,828;13,68
280,093;13,65
280,358;13,63
280,624;13,62
280,889;13,58
281,154;13,57
281,419;13,54
281,684;13,52
281,95;13,55
282,215;13,52
282,48;13,5
282,745;13,5
283,01;13,45
283,275;13,45
283,54;13,41
283,805;13,37
284,07;13,36
284,335;13,35
284,6;13,32
284,865;13,32
285,13;13,32
285,395;13,28
285,66;13,27
285,925;13,28
286,19;13,28
286,455;13,27
286,72;13,29
286,985;13,31
287,249;13,32
287,514;13,31
287,779;13,3
288,044;13,3
288,309;13,28
288,573;13,27
288,838;13,26
289,103;13,26
289,367;13,24
289,632;13,22
289,897;13,24
290,161;13,24
290,426;13,22
290,691;13,23
290,955;13,2
291,22;13,19
291,484;13,17
291,749;13,16
292,014;13,15
292,278;13,1
292,543;13,07
292,807;13,05
293,072;13,06
293,336;13,04
293,6;13,03
293,865;13,02
294,129;13
294,394;13
294,658;13,01
294,922;12,98
295,187;12,99
295,451;12,97
295,715;12,98
295,98;13
296,244;12,96
296,508;12,96
296,773;12,95
297,037;12,94
297,301;12,91
297,565;12,92
297,829;12,9
298,094;12,91
298,358;12,92
298,622;12,88
298,886;12,86
299,15;12,86
299,414;12,86
299,678;12,88
299,942;12,86
300,206;12,82
300,47;12,81
300,734;12,8
300,998;12,77
301,262;12,76
301,526;12,73
301,79;12,71
302,054;12,69
302,318;12,69
302,582;12,67
302,846;12,66
303,11;12,65
303,374;12,65
303,637;12,63
303,901;12,62
304,165;12,6
304,429;12,61
304,693;12,57
304,956;12,56
305,22;12,54
305,484;12,51
305,747;12,51
306,011;12,49
306,275;12,45
306,538;12,44
306,802;12,43
307,066;12,44
307,329;12,42
307,593;12,43
307,856;12,4
308,12;12,38
308,384;12,37
308,647;12,32
308,911;12,31
309,174;12,27
309,438;12,23
309,701;12,22
309,964;12,2
310,228;12,2
310,491;12,16
310,755;12,15
311,018;12,18
311,281;12,18
311,545;12,16
311,808;12,17
312,071;12,14
312,335;12,08
312,598;12,07
312,861;12,06
313,124;12
313,388;11,98
313,651;12,01
313,914;11,97
314,177;11,95
314,44;11,93
314,704;11,95
