Data from neroAvorioWhite_Reflection__0__15.txt Node;
"Date: Fri Sep 12 10:48:50 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;-227,29
186,281;-3938,24
186,552;149,71
186,822;125,09
187,093;63,64
187,364;-64,44
187,635;5974,47
187,905;57,6
188,176;31,78
188,447;29,13
188,717;27,38
188,988;26,12
189,258;25,31
189,529;28,87
189,8;31,32
190,07;29,82
190,341;29,59
190,611;27,71
190,882;27,49
191,152;28,91
191,423;28,71
191,693;28,22
191,964;28,47
192,234;29,09
192,505;27,78
192,775;27,66
193,045;27,34
193,316;27,23
193,586;26,94
193,856;27,03
194,127;27,16
194,397;27,06
194,667;27,43
194,938;27,94
195,208;27,9
195,478;28,04
195,748;27,99
196,019;27,34
196,289;27,45
196,559;27,25
196,829;26,87
197,099;27,03
197,37;27,64
197,64;27,93
197,91;28,09
198,18;28,39
198,45;28,13
198,72;28,32
198,99;28,04
199,26;28,05
199,53;28,44
199,8;28,94
200,07;29,24
200,34;29,26
200,61;29,15
200,88;29,27
201,15;28,88
201,42;29,02
201,69;29,48
201,96;29,57
202,23;29,45
202,499;29,58
202,769;29,45
203,039;29,15
203,309;28,98
203,579;28,72
203,849;28,87
204,118;28,92
204,388;28,62
204,658;28,77
204,927;28,82
205,197;28,67
205,467;28,23
205,736;28,05
206,006;27,93
206,276;27,84
206,545;27,58
206,815;27,63
207,085;27,49
207,354;27,41
207,624;27,33
207,893;27,18
208,163;26,94
208,432;26,92
208,702;26,81
208,971;26,8
209,241;26,84
209,51;26,62
209,78;26,6
210,049;26,59
210,318;26,47
210,588;26,41
210,857;26,34
211,127;26,28
211,396;26,33
211,665;26,21
211,935;26,27
212,204;26,25
212,473;26,09
212,742;26,1
213,012;25,99
213,281;25,92
213,55;25,96
213,819;25,97
214,088;25,84
214,358;25,85
214,627;25,84
214,896;25,8
215,165;25,78
215,434;25,67
215,703;25,63
215,972;25,65
216,241;25,64
216,51;25,61
216,779;25,6
217,048;25,57
217,317;25,62
217,586;25,62
217,855;25,66
218,124;25,71
218,393;25,74
218,662;25,85
218,931;25,94
219,2;25,96
219,469;25,97
219,738;26,08
220,006;26,09
220,275;26,15
220,544;26,21
220,813;26,3
221,082;26,39
221,35;26,48
221,619;26,57
221,888;26,67
222,157;26,78
222,425;26,89
222,694;27
222,963;27,12
223,231;27,18
223,5;27,33
223,769;27,42
224,037;27,53
224,306;27,66
224,574;27,78
224,843;27,88
225,111;28,06
225,38;28,18
225,648;28,3
225,917;28,39
226,185;28,51
226,454;28,6
226,722;28,71
226,991;28,84
227,259;28,92
227,528;29
227,796;29,13
228,064;29,24
228,333;29,33
228,601;29,44
228,869;29,58
229,138;29,68
229,406;29,82
229,674;29,92
229,942;29,99
230,211;30,1
230,479;30,2
230,747;30,26
231,015;30,36
231,283;30,46
231,552;30,57
231,82;30,64
232,088;30,73
232,356;30,82
232,624;30,89
232,892;30,98
233,16;31,07
233,428;31,13
233,696;31,21
233,964;31,28
234,232;31,32
234,5;31,35
234,768;31,41
235,036;31,44
235,304;31,5
235,572;31,52
235,84;31,57
236,108;31,6
236,376;31,64
236,644;31,67
236,912;31,7
237,179;31,71
237,447;31,76
237,715;31,8
237,983;31,83
238,251;31,84
238,518;31,87
238,786;31,89
239,054;31,91
239,322;31,92
239,589;31,94
239,857;31,95
240,125;32,01
240,392;32
240,66;32,02
240,927;32,01
241,195;32,04
241,463;32,04
241,73;32,05
241,998;32,06
242,265;32,07
242,533;32,07
242,8;32,09
243,068;32,09
243,335;32,07
243,603;32,09
243,87;32,08
244,138;32,08
244,405;32,08
244,672;32,07
244,94;32,07
245,207;32,06
245,474;32,07
245,742;32,04
246,009;32,04
246,276;32,02
246,544;32,03
246,811;32,01
247,078;31,99
247,345;31,98
247,613;31,95
247,88;31,93
248,147;31,94
248,414;31,92
248,681;31,88
248,948;31,87
249,215;31,83
249,483;31,81
249,75;31,77
250,017;31,74
250,284;31,73
250,551;31,71
250,818;31,69
251,085;31,66
251,352;31,63
251,619;31,6
251,886;31,59
252,153;31,54
252,42;31,53
252,687;31,51
252,953;31,49
253,22;31,49
253,487;31,47
253,754;31,43
254,021;31,42
254,288;31,39
254,555;31,38
254,821;31,37
255,088;31,37
255,355;31,37
255,622;31,36
255,888;31,33
256,155;31,31
256,422;31,3
256,688;31,29
256,955;31,27
257,222;31,27
257,488;31,25
257,755;31,24
258,022;31,23
258,288;31,2
258,555;31,16
258,821;31,14
259,088;31,13
259,354;31,12
259,621;31,11
259,887;31,11
260,154;31,08
260,42;31,06
260,687;31,05
260,953;31,03
261,219;31,03
261,486;31,02
261,752;31
262,019;31,01
262,285;31
262,551;31
262,818;30,99
263,084;30,98
263,35;30,98
263,616;30,98
263,883;30,97
264,149;30,98
264,415;30,98
264,681;30,98
264,947;30,97
265,214;30,97
265,48;30,97
265,746;30,99
266,012;30,98
266,278;30,98
266,544;30,98
266,81;30,99
267,076;31
267,342;31,01
267,608;31,01
267,874;31
268,14;31,02
268,406;31,03
268,672;31,04
268,938;31,06
269,204;31,06
269,47;31,07
269,736;31,07
270,002;31,08
270,268;31,08
270,533;31,09
270,799;31,08
271,065;31,09
271,331;31,09
271,597;31,11
271,862;31,12
272,128;31,12
272,394;31,12
272,66;31,12
272,925;31,14
273,191;31,14
273,457;31,15
273,722;31,16
273,988;31,16
274,254;31,15
274,519;31,14
274,785;31,15
275,05;31,16
275,316;31,17
275,582;31,19
275,847;31,18
276,113;31,18
276,378;31,19
276,644;31,2
276,909;31,19
277,174;31,18
277,44;31,19
277,705;31,19
277,971;31,2
278,236;31,19
278,501;31,17
278,767;31,16
279,032;31,17
279,297;31,15
279,563;31,16
279,828;31,16
280,093;31,18
280,358;31,17
280,624;31,18
280,889;31,16
281,154;31,15
281,419;31,14
281,684;31,14
281,95;31,15
282,215;31,14
282,48;31,14
282,745;31,16
283,01;31,13
283,275;31,13
283,54;31,11
283,805;31,12
284,07;31,13
284,335;31,12
284,6;31,1
284,865;31,09
285,13;31,07
285,395;31,07
285,66;31,04
285,925;31,04
286,19;31,03
286,455;31,05
286,72;31,04
286,985;31,06
287,249;31,05
287,514;31,04
287,779;31,05
288,044;31,06
288,309;31,05
288,573;31,04
288,838;31,05
289,103;31,04
289,367;31,03
289,632;31,04
289,897;31,04
290,161;31,03
290,426;31,02
290,691;31,02
290,955;31
291,22;31,02
291,484;31,01
291,749;31,02
292,014;31
292,278;31
292,543;30,99
292,807;30,98
293,072;30,98
293,336;30,95
293,6;30,95
293,865;30,94
294,129;30,94
294,394;30,93
294,658;30,94
294,922;30,93
295,187;30,91
295,451;30,91
295,715;30,91
295,98;30,91
296,244;30,9
296,508;30,91
296,773;30,89
297,037;30,88
297,301;30,86
297,565;30,85
297,829;30,83
298,094;30,81
298,358;30,81
298,622;30,79
298,886;30,78
299,15;30,75
299,414;30,75
299,678;30,73
299,942;30,71
300,206;30,69
300,47;30,67
300,734;30,66
300,998;30,63
301,262;30,62
301,526;30,58
301,79;30,56
302,054;30,53
302,318;30,51
302,582;30,48
302,846;30,47
303,11;30,46
303,374;30,45
303,637;30,42
303,901;30,4
304,165;30,38
304,429;30,36
304,693;30,34
304,956;30,33
305,22;30,31
305,484;30,3
305,747;30,27
306,011;30,26
306,275;30,24
306,538;30,21
306,802;30,2
307,066;30,19
307,329;30,18
307,593;30,16
307,856;30,16
308,12;30,15
308,384;30,13
308,647;30,09
308,911;30,06
309,174;30,06
309,438;30,03
309,701;30,01
309,964;29,98
310,228;29,97
310,491;29,94
310,755;29,93
311,018;29,93
311,281;29,91
311,545;29,9
311,808;29,87
312,071;29,85
312,335;29,83
312,598;29,81
312,861;29,79
313,124;29,77
313,388;29,74
313,651;29,71
313,914;29,69
314,177;29,69
314,44;29,68
314,704;29,65
314,967;29,63
315,23;29,6
315,493;29,6
315,756;29,56
316,019;29,54
316,282;29,5
316,545;29,46
316,808;29,45
317,071;29,42
317,334;29,4
317,597;29,37
317,86;29,33
318,123;29,3
318,386;29,27
318,649;29,25
318,912;29,22
319,175;29,18
319,437;29,16
319,7;29,14
319,963;29,11
320,226;29,07
320,489;29,05
320,751;29,02
321,014;28,98
321,277;28,97
321,54;28,94
321,802;28,93
322,065;28,9
322,328;28,87
322,59;28,84
322,853;28,83
323,116;28,81
323,378;28,81
323,641;28,79
323,903;28,78
324,166;28,77
324,428;28,76
324,691;28,73
324,953;28,69
325,216;28,66
325,478;28,65
325,741;28,61
326,003;28,6
326,266;28,58
326,528;28,57
326,791;28,54
327,053;28,52
327,315;28,49
327,578;28,44
327,84;28,41
328,102;28,39
328,365;28,37
328,627;28,35
328,889;28,31
329,151;28,29
329,414;28,27
329,676;28,23
329,938;28,19
330,2;28,18
330,462;28,16
330,725;28,14
330,987;28,1
331,249;28,09
331,511;28,05
331,773;28,01
332,035;27,97
332,297;27,95
332,559;27,91
332,821;27,89
333,083;27,86
333,345;27,86
333,607;27,83
333,869;27,78
334,131;27,74
334,393;27,72
334,655;27,69
334,917;27,67
335,179;27,66
335,44;27,65
335,702;27,61
335,964;27,61
336,226;27,6
336,488;27,59
336,749;27,59
337,011;27,59
337,273;27,6
337,535;27,61
337,796;27,58
338,058;27,59
338,32;27,59
338,581;27,58
338,843;27,55
339,105;27,56
339,366;27,55
339,628;27,57
339,889;27,55
340,151;27,55
340,412;27,53
340,674;27,52
340,935;27,51
341,197;27,52
341,458;27,51
341,72;27,49
341,981;27,48
342,243;27,46
342,504;27,45
342,766;27,41
343,027;27,38
343,288;27,37
343,55;27,33
343,811;27,31
344,072;27,3
344,334;27,27
344,595;27,22
344,856;27,2
345,117;27,14
345,379;27,12
345,64;27,07
345,901;27,03
346,162;26,99
346,423;26,94
346,684;26,87
346,946;26,84
347,207;26,79
347,468;26,74
347,729;26,7
347,99;26,62
348,251;26,59
348,512;26,56
348,773;26,54
349,034;26,51
349,295;26,45
349,556;26,42
349,817;26,38
350,078;26,37
350,339;26,34
350,6;26,32
350,86;26,27
351,121;26,24
351,382;26,21
351,643;26,19
351,904;26,16
352,165;26,17
352,425;26,15
352,686;26,14
352,947;26,11
353,208;26,09
353,468;26,09
353,729;26,08
353,99;26,05
354,25;26,04
354,511;26
354,772;26
355,032;25,98
355,293;25,99
355,553;25,96
355,814;25,93
356,074;25,9
356,335;25,89
356,596;25,89
356,856;25,91
357,116;25,91
357,377;25,93
357,637;25,89
357,898;25,87
358,158;25,85
358,419;25,85
358,679;25,84
358,939;25,85
359,2;25,83
359,46;25,82
359,72;25,79
359,981;25,81
360,241;25,79
360,501;25,79
360,761;25,78
361,022;25,77
361,282;25,78
361,542;25,78
361,802;25,77
362,062;25,76
362,323;25,72
362,583;25,72
362,843;25,69
363,103;25,7
363,363;25,67
363,623;25,67
363,883;25,67
364,143;25,65
364,403;25,63
364,663;25,64
364,923;25,61
