Data from neroAvorioWhite_Reflection__1__16.txt Node;
"Date: Fri Sep 12 10:50:08 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-1 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;-7947,74
186,281;-28642,65
186,552;518,94
186,822;230,56
187,093;-63,64
187,364;-379,11
187,635;72605,32
187,905;483,14
188,176;200,21
188,447;153,73
188,717;123
188,988;140,67
189,258;147,41
189,529;162,97
189,8;161,72
190,07;143,51
190,341;131,86
190,611;117,65
190,882;110,27
191,152;102,99
191,423;97,1
191,693;93,55
191,964;92,08
192,234;86
192,505;79,13
192,775;78,9
193,045;74,33
193,316;70,54
193,586;68,32
193,856;68,65
194,127;66,77
194,397;65,4
194,667;62,91
194,938;61,78
195,208;57,48
195,478;55,91
195,748;54,38
196,019;54,31
196,289;53,64
196,559;52,4
196,829;51,85
197,099;50,85
197,37;49,13
197,64;47,9
197,91;47,03
198,18;46,67
198,45;44,44
198,72;43,83
198,99;42,3
199,26;42,04
199,53;41,94
199,8;41,97
200,07;41,57
200,34;41,28
200,61;40,29
200,88;40,57
201,15;40,07
201,42;40,14
201,69;39,33
201,96;39,47
202,23;38,86
202,499;37,7
202,769;37,62
203,039;37,1
203,309;35,92
203,579;35,55
203,849;35,25
204,118;34,99
204,388;34,02
204,658;33,5
204,927;32,85
205,197;32,05
205,467;31,02
205,736;30,91
206,006;30,28
206,276;29,76
206,545;28,6
206,815;28,44
207,085;27,87
207,354;27,44
207,624;26,95
207,893;26,07
208,163;25,8
208,432;25,31
208,702;25,08
208,971;24,91
209,241;24,49
209,51;24,04
209,78;23,85
210,049;23,7
210,318;23,48
210,588;23,4
210,857;23,07
211,127;23,05
211,396;22,63
211,665;22,38
211,935;22,35
212,204;22,65
212,473;22,22
212,742;22,07
213,012;22,04
213,281;21,6
213,55;21,58
213,819;21,31
214,088;21,11
214,358;20,79
214,627;20,58
214,896;20,49
215,165;20,12
215,434;19,66
215,703;19,48
215,972;19,46
216,241;19,05
216,51;18,85
216,779;18,49
217,048;18,48
217,317;18,31
217,586;18,07
217,855;17,79
218,124;17,82
218,393;17,67
218,662;17,33
218,931;17,26
219,2;17,12
219,469;17,08
219,738;17,03
220,006;17,03
220,275;17,03
220,544;16,97
220,813;17,03
221,082;17,02
221,35;16,96
221,619;16,86
221,888;16,92
222,157;16,92
222,425;16,95
222,694;16,73
222,963;16,71
223,231;16,63
223,5;16,59
223,769;16,49
224,037;16,48
224,306;16,47
224,574;16,45
224,843;16,45
225,111;16,51
225,38;16,42
225,648;16,42
225,917;16,31
226,185;16,57
226,454;16,55
226,722;16,54
226,991;16,59
227,259;16,58
227,528;16,54
227,796;16,59
228,064;16,55
228,333;16,65
228,601;16,72
228,869;16,75
229,138;16,76
229,406;16,79
229,674;16,78
229,942;16,85
230,211;16,86
230,479;16,9
230,747;16,84
231,015;16,85
231,283;16,9
231,552;16,96
231,82;16,76
232,088;16,77
232,356;16,83
232,624;16,8
232,892;16,8
233,16;16,81
233,428;16,75
233,696;16,79
233,964;16,78
234,232;16,81
234,5;16,82
234,768;16,85
235,036;16,82
235,304;16,87
235,572;16,81
235,84;16,85
236,108;16,86
236,376;16,95
236,644;17,02
236,912;17
237,179;16,98
237,447;17,02
237,715;17,06
237,983;17,1
238,251;17,08
238,518;17,1
238,786;17,1
239,054;17,13
239,322;17,12
239,589;17,18
239,857;17,17
240,125;17,23
240,392;17,21
240,66;17,25
240,927;17,21
241,195;17,27
241,463;17,26
241,73;17,29
241,998;17,25
242,265;17,2
242,533;17,2
242,8;17,25
243,068;17,25
243,335;17,23
243,603;17,18
243,87;17,25
244,138;17,24
244,405;17,27
244,672;17,27
244,94;17,3
245,207;17,26
245,474;17,25
245,742;17,2
246,009;17,22
246,276;17,22
246,544;17,23
246,811;17,26
247,078;17,27
247,345;17,26
247,613;17,25
247,88;17,25
248,147;17,25
248,414;17,2
248,681;17,21
248,948;17,24
249,215;17,26
249,483;17,2
249,75;17,17
250,017;17,16
250,284;17,16
250,551;17,15
250,818;17,14
251,085;17,13
251,352;17,15
251,619;17,15
251,886;17,14
252,153;17,15
252,42;17,11
252,687;17,1
252,953;17,09
253,22;17,09
253,487;17,12
253,754;17,11
254,021;17,12
254,288;17,08
254,555;17,07
254,821;17,09
255,088;17,12
255,355;17,14
255,622;17,13
255,888;17,11
256,155;17,13
256,422;17,11
256,688;17,11
256,955;17,09
257,222;17,08
257,488;17,05
257,755;17,05
258,022;17,04
258,288;17,02
258,555;16,99
258,821;16,99
259,088;16,97
259,354;16,95
259,621;16,96
259,887;16,98
260,154;16,92
260,42;16,89
260,687;16,86
260,953;16,84
261,219;16,82
261,486;16,81
261,752;16,77
262,019;16,79
262,285;16,77
262,551;16,74
262,818;16,76
263,084;16,75
263,35;16,72
263,616;16,72
263,883;16,71
264,149;16,7
264,415;16,65
264,681;16,67
264,947;16,66
265,214;16,62
265,48;16,62
265,746;16,64
266,012;16,62
266,278;16,6
266,544;16,59
266,81;16,61
267,076;16,58
267,342;16,58
267,608;16,54
267,874;16,55
268,14;16,56
268,406;16,5
268,672;16,51
268,938;16,51
269,204;16,47
269,47;16,46
269,736;16,45
270,002;16,45
270,268;16,41
270,533;16,4
270,799;16,38
271,065;16,36
271,331;16,34
271,597;16,33
271,862;16,31
272,128;16,3
272,394;16,25
272,66;16,26
272,925;16,25
273,191;16,23
273,457;16,21
273,722;16,2
273,988;16,2
274,254;16,18
