Data from lapisWhite_Reflection__2__35.txt Node;
"Date: Fri Sep 12 11:16:31 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;-678,09
186,281;-3360,29
186,552;109,39
186,822;24,56
187,093;54,55
187,364;-23,19
187,635;5101,06
187,905;58,43
188,176;43,75
188,447;36,44
188,717;29,82
188,988;31,75
189,258;34,63
189,529;36,51
189,8;37,69
190,07;34,15
190,341;30,28
190,611;26,16
190,882;25,16
191,152;25,14
191,423;24,48
191,693;24,15
191,964;24,19
192,234;24,31
192,505;23,4
192,775;23,93
193,045;23,26
193,316;22,66
193,586;21,74
193,856;20,74
194,127;20,52
194,397;20,41
194,667;20,17
194,938;19,84
195,208;19,55
195,478;19,26
195,748;18,87
196,019;18,51
196,289;18,4
196,559;17,58
196,829;17,34
197,099;17,17
197,37;16,88
197,64;16,57
197,91;16,13
198,18;15,36
198,45;14,74
198,72;14,61
198,99;14,04
199,26;13,94
199,53;14,06
199,8;14,27
200,07;13,81
200,34;13,61
200,61;13,21
200,88;12,96
201,15;12,62
201,42;12,51
201,69;12,7
201,96;12,52
202,23;12,39
202,499;12,01
202,769;11,81
203,039;11,51
203,309;11,15
203,579;10,98
203,849;11,14
204,118;10,89
204,388;10,54
204,658;10,68
204,927;10,56
205,197;10,33
205,467;9,77
205,736;9,82
206,006;9,54
206,276;9,46
206,545;9,13
206,815;8,92
207,085;8,91
207,354;8,63
207,624;8,63
207,893;8,47
208,163;8,36
208,432;8,39
208,702;8,33
208,971;8,41
209,241;8,22
209,51;8,15
209,78;8,1
210,049;8,2
210,318;8,09
210,588;8,04
210,857;7,95
211,127;7,96
211,396;7,89
211,665;7,79
211,935;7,88
212,204;7,93
212,473;7,85
212,742;7,76
213,012;7,77
213,281;7,7
213,55;7,66
213,819;7,62
214,088;7,49
214,358;7,42
214,627;7,31
214,896;7,34
