Data from lapisWhite_Reflection__3__36.txt Node;
"Date: Fri Sep 12 11:17:10 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
186,01;-1219,71
186,281;-4750
186,552;126,08
186,822;151,7
187,093;209,09
187,364;-19,5
187,635;2595,74
187,905;59,31
188,176;26,39
188,447;22,89
188,717;16,68
188,988;18,54
189,258;18,01
189,529;22,93
189,8;19,88
190,07;17,13
190,341;16,34
190,611;14,86
190,882;15,2
191,152;14,71
191,423;15,08
191,693;14,66
191,964;14,35
192,234;14,96
192,505;14,04
192,775;13,49
193,045;12,88
193,316;11,99
193,586;10,8
193,856;11,18
194,127;10,75
194,397;10,82
194,667;10,9
194,938;11,35
195,208;10,09
195,478;9,91
195,748;9,06
196,019;8,32
196,289;8,27
196,559;7,87
196,829;7,5
197,099;7,64
197,37;7,76
197,64;7,55
197,91;7,11
198,18;7,08
198,45;6,75
198,72;7,01
198,99;6,79
199,26;6,67
199,53;6,35
199,8;6,33
200,07;6,15
200,34;6,04
200,61;5,78
200,88;5,93
201,15;5,88
201,42;6,25
201,69;6,27
201,96;6,14
202,23;5,77
202,499;5,81
202,769;5,93
203,039;5,71
203,309;5,46
203,579;5,39
203,849;5,44
204,118;5,46
204,388;5,12
204,658;5,11
204,927;5,11
205,197;5,12
205,467;5,09
205,736;5,08
206,006;5,05
206,276;4,93
206,545;4,71
206,815;4,76
207,085;4,72
207,354;4,66
207,624;4,66
207,893;4,64
208,163;4,57
208,432;4,48
208,702;4,5
208,971;4,62
209,241;4,59
209,51;4,56
209,78;4,47
210,049;4,54
210,318;4,54
210,588;4,63
210,857;4,51
211,127;4,45
211,396;4,41
211,665;4,16
211,935;4,3
212,204;4,33
212,473;4,24
212,742;4,2
213,012;4,23
213,281;4,27
213,55;4,22
213,819;4,16
214,088;4,01
214,358;3,99
214,627;3,96
214,896;3,88
215,165;3,78
215,434;3,8
215,703;3,71
215,972;3,75
216,241;3,61
216,51;3,55
216,779;3,48
217,048;3,44
217,317;3,48
217,586;3,42
217,855;3,39
218,124;3,32
218,393;3,27
218,662;3,26
218,931;3,2
219,2;3,14
219,469;3,14
219,738;3,15
220,006;3,14
220,275;3,13
220,544;3,14
220,813;3,13
221,082;3,1
221,35;3,11
221,619;3,07
221,888;3,08
222,157;3,11
222,425;3,14
222,694;3,13
222,963;3,16
223,231;3,13
223,5;3,15
223,769;3,18
224,037;3,19
224,306;3,19
224,574;3,21
224,843;3,25
225,111;3,25
225,38;3,21
225,648;3,21
225,917;3,19
226,185;3,19
226,454;3,19
226,722;3,18
226,991;3,18
227,259;3,17
227,528;3,17
227,796;3,18
228,064;3,18
228,333;3,16
228,601;3,16
228,869;3,17
229,138;3,17
229,406;3,19
229,674;3,21
229,942;3,22
230,211;3,22
230,479;3,23
230,747;3,24
231,015;3,24
231,283;3,25
231,552;3,25
231,82;3,24
232,088;3,23
232,356;3,26
232,624;3,26
232,892;3,27
233,16;3,28
233,428;3,26
233,696;3,26
233,964;3,28
234,232;3,28
234,5;3,29
234,768;3,29
235,036;3,28
235,304;3,28
235,572;3,27
235,84;3,26
236,108;3,26
236,376;3,26
236,644;3,28
236,912;3,28
237,179;3,28
237,447;3,29
237,715;3,3
237,983;3,3
238,251;3,29
238,518;3,28
238,786;3,28
239,054;3,29
239,322;3,31
239,589;3,32
239,857;3,32
240,125;3,33
240,392;3,32
240,66;3,33
240,927;3,32
241,195;3,32
241,463;3,32
241,73;3,33
241,998;3,33
242,265;3,33
242,533;3,33
242,8;3,34
243,068;3,35
243,335;3,36
243,603;3,35
243,87;3,36
244,138;3,37
244,405;3,39
244,672;3,4
244,94;3,39
245,207;3,38
245,474;3,39
245,742;3,38
246,009;3,39
246,276;3,39
246,544;3,4
246,811;3,41
247,078;3,41
247,345;3,42
247,613;3,41
247,88;3,41
248,147;3,41
248,414;3,41
248,681;3,41
248,948;3,42
249,215;3,43
249,483;3,43
249,75;3,44
250,017;3,44
250,284;3,44
250,551;3,44
250,818;3,44
251,085;3,43
251,352;3,44
251,619;3,44
251,886;3,45
252,153;3,45
252,42;3,45
252,687;3,46
252,953;3,47
253,22;3,49
253,487;3,49
253,754;3,49
254,021;3,49
254,288;3,49
254,555;3,49
254,821;3,49
255,088;3,5
255,355;3,49
255,622;3,5
255,888;3,5
256,155;3,51
256,422;3,52
256,688;3,53
256,955;3,52
257,222;3,52
257,488;3,53
257,755;3,53
258,022;3,53
258,288;3,53
258,555;3,53
258,821;3,53
